Date,Open,High,Low,Close,Volume
2001-02-07,25.9,25.95,25.76,25.88,591600
2001-02-08,25.82,25.95,25.68,25.82,569400
2001-02-09,25.95,26.05,25.45,25.6,919200
2001-02-12,25.65,25.68,25.25,25.26,295600
2001-02-13,25.3,25.63,25.28,25.58,769200
2001-02-14,25.51,25.75,25.5,25.6,321200
2001-02-15,25.52,25.85,25.52,25.65,656800
2001-02-16,25.62,25.75,25.6,25.75,490200
2001-02-20,25.78,25.88,25.62,25.78,932000
2001-02-21,25.86,25.87,25.28,25.31,770200
2001-02-22,25.32,25.38,24.8,24.82,762600
2001-02-23,24.82,25.12,24.8,24.85,1439800
2001-02-26,25.0,25.5,24.9,25.46,745400
2001-02-27,25.75,25.8,25.6,25.8,405600
2001-02-28,25.48,26.05,25.48,26.05,1018600
2001-03-01,26.0,26.58,26.0,26.54,759200
2001-03-02,26.54,26.75,26.5,26.64,973600
2001-03-05,26.62,26.62,26.02,26.38,560400
2001-03-06,26.38,26.38,26.09,26.3,553800
2001-03-07,26.3,26.4,26.0,26.16,454400
2001-03-08,26.4,26.48,26.22,26.48,732000
2001-03-09,26.48,26.48,26.3,26.32,249600
2001-03-12,26.22,26.75,26.2,26.55,1004000
2001-03-13,27.0,27.0,26.72,26.8,962800
2001-03-14,26.8,26.93,26.42,26.66,443800
2001-03-15,26.66,26.68,26.32,26.54,613000
2001-03-16,26.4,26.46,26.06,26.37,407000
2001-03-19,26.62,27.04,26.5,27.04,714200
2001-03-20,27.04,27.04,26.46,26.48,498400
2001-03-21,26.6,26.75,25.62,25.94,839600
2001-03-22,25.81,26.07,25.48,26.07,766800
2001-03-23,26.07,26.65,25.88,25.94,1344000
2001-03-26,26.0,26.28,25.9,26.1,1450600
2001-03-27,26.0,26.05,25.6,25.75,1043800
2001-03-28,25.75,25.81,25.4,25.5,895400
2001-03-29,25.6,26.02,25.52,25.7,1114400
2001-03-30,25.7,26.18,25.68,26.02,546400
2001-04-02,26.18,26.18,25.92,26.06,395800
2001-04-03,26.06,26.06,25.68,25.85,662200
2001-04-04,25.85,26.06,25.85,26.05,1202800
2001-04-05,26.08,26.25,25.95,26.14,1325800
2001-04-06,26.26,26.32,26.0,26.0,768000
2001-04-09,26.04,26.12,25.75,25.75,467000
2001-04-10,25.8,25.98,25.8,25.82,733600
2001-04-11,25.8,25.8,25.15,25.32,732200
2001-04-12,25.42,25.42,25.23,25.38,594400
2001-04-16,25.48,25.67,25.28,25.39,330800
2001-04-17,25.4,25.95,25.32,25.95,416800
2001-04-18,25.95,26.4,25.18,26.4,1148800
2001-04-19,26.45,26.5,25.78,26.18,582400
2001-04-20,26.28,26.44,25.98,26.28,317000
2001-04-23,26.34,26.45,26.01,26.26,303400
2001-04-24,26.26,26.3,25.54,25.58,983800
2001-04-25,25.64,26.32,25.64,26.02,445200
2001-04-26,26.12,26.42,26.06,26.38,480000
2001-04-27,26.36,26.72,26.32,26.55,282600
2001-04-30,26.55,26.88,26.24,26.24,761000
2001-05-01,26.25,26.36,25.7,26.16,507400
2001-05-02,26.16,26.16,25.4,25.7,1655200
2001-05-03,25.7,25.95,25.65,25.88,510000
2001-05-04,25.74,25.8,25.38,25.58,712800
2001-05-07,25.68,25.84,25.52,25.59,310800
2001-05-08,25.62,25.62,25.39,25.39,341200
2001-05-09,25.4,25.54,25.38,25.44,257600
2001-05-10,25.44,25.5,25.32,25.39,280600
2001-05-11,25.38,25.65,25.32,25.5,567200
2001-05-14,25.4,25.89,25.38,25.89,413200
2001-05-15,25.89,25.92,25.73,25.86,467200
2001-05-16,25.86,26.12,25.8,26.12,458600
2001-05-17,26.12,26.3,26.08,26.24,274400
2001-05-18,26.29,26.41,26.1,26.41,360400
2001-05-21,26.45,26.5,26.1,26.5,994800
2001-05-22,26.5,26.82,26.5,26.62,397000
2001-05-23,26.62,26.84,26.51,26.74,1500600
2001-05-24,26.74,26.99,26.66,26.84,869800
2001-05-25,26.84,26.84,26.38,26.8,506600
2001-05-29,26.78,26.78,26.6,26.68,548000
2001-05-30,26.72,26.72,26.41,26.54,780400
2001-05-31,26.54,26.86,26.48,26.82,468000
2001-06-01,26.85,26.88,26.65,26.88,337000
2001-06-04,26.88,26.96,26.7,26.9,574200
2001-06-05,26.9,27.0,26.83,26.98,462800
2001-06-06,27.0,27.15,26.92,27.12,781400
2001-06-07,27.12,27.15,26.98,27.15,751400
2001-06-08,27.15,27.25,26.99,27.1,402000
