Date,Open,High,Low,Close,Volume
2001-02-06,129.38,133.13,126.88,130.0,301410
2001-02-07,126.88,130.0,124.38,124.38,249360
2001-02-08,126.25,129.38,123.13,125.0,216340
2001-02-09,123.75,125.0,118.75,120.94,351740
2001-02-12,120.63,123.75,119.38,122.5,180470
2001-02-13,124.38,128.75,123.75,125.0,294930
2001-02-14,125.0,128.13,121.88,126.88,282000
2001-02-15,130.5,132.0,127.1,127.1,197720
2001-02-16,125.0,125.0,122.5,124.5,133270
2001-02-20,124.5,125.7,112.7,113.0,176720
2001-02-21,111.0,112.3,107.5,109.6,233710
2001-02-22,107.0,107.1,98.4,100.0,395100
2001-02-23,97.0,100.4,92.0,94.2,331900
2001-02-26,96.5,107.5,96.0,107.5,317230
2001-02-27,102.0,104.5,99.8,99.9,237820
2001-02-28,100.9,101.4,90.1,90.1,346000
2001-03-01,90.9,92.8,86.1,92.5,249880
2001-03-02,89.7,96.6,88.0,92.5,215450
2001-03-05,92.5,96.0,92.0,93.5,171930
2001-03-06,95.0,99.5,95.0,99.5,138210
2001-03-07,98.5,99.7,95.0,96.3,136760
2001-03-08,96.3,96.3,91.2,92.0,108390
2001-03-09,90.0,90.1,81.3,81.7,313190
2001-03-12,80.3,80.3,72.6,73.6,340790
2001-03-13,75.5,78.5,74.1,76.5,214640
2001-03-14,73.5,78.3,73.0,74.5,202170
2001-03-15,79.5,79.5,75.8,76.5,193260
2001-03-16,76.1,76.6,71.6,72.5,201050
2001-03-19,72.0,81.2,71.5,80.6,233060
2001-03-20,80.6,82.0,73.0,74.6,243210
2001-03-21,72.5,76.0,68.5,68.5,241440
2001-03-22,67.8,69.5,65.0,65.8,453730
2001-03-23,67.8,69.8,66.4,69.6,349300
2001-03-26,74.0,74.2,70.1,71.2,151270
2001-03-27,71.5,72.3,70.0,72.0,208970
2001-03-28,70.2,70.2,67.3,67.3,153570
2001-03-29,67.0,67.6,64.3,64.5,143680
2001-03-30,67.5,69.8,63.5,69.8,247640
2001-04-02,69.4,69.4,61.0,61.5,188660
2001-04-03,61.0,61.2,55.1,56.5,390550
2001-04-04,55.0,58.0,53.2,55.6,249080
2001-04-05,60.0,64.5,59.0,64.5,231580
2001-04-06,62.0,62.0,60.0,60.4,133740
2001-04-09,60.5,62.4,60.5,62.3,104880
2001-04-10,64.5,76.5,63.95,75.5,448600
2001-04-11,76.5,82.5,75.8,77.5,394550
2001-04-12,75.0,88.1,74.1,87.7,364900
2001-04-16,84.6,84.8,77.5,81.5,215850
2001-04-17,77.7,82.2,77.0,81.9,139470
2001-04-18,85.0,93.3,84.5,89.5,375680
2001-04-19,91.9,93.0,89.5,93.0,225350
2001-04-20,92.9,97.5,90.0,95.5,265650
2001-04-23,96.4,96.4,85.5,85.5,576670
2001-04-24,85.0,88.7,82.9,83.9,129280
2001-04-25,82.0,88.6,81.0,87.4,231790
2001-04-26,86.5,92.6,86.5,91.0,139120
2001-04-27,92.0,94.3,92.0,93.8,114480
2001-04-30,94.1,96.1,93.9,94.0,129020
2001-05-01,91.5,92.8,88.0,91.5,144470
2001-05-02,94.0,96.2,92.7,96.0,248380
2001-05-03,95.0,95.0,91.5,91.7,132010
2001-05-04,90.7,96.0,89.0,96.0,201590
2001-05-07,94.5,95.9,92.0,93.4,205210
2001-05-08,93.3,94.4,91.0,91.8,157470
2001-05-09,90.1,92.5,89.2,91.9,121470
2001-05-10,93.8,95.0,91.0,91.0,89420
2001-05-11,93.0,93.9,89.6,90.7,124520
2001-05-14,90.0,90.1,86.0,87.5,134120
2001-05-15,88.0,90.0,85.1,90.0,153050
2001-05-16,89.0,92.5,87.1,92.0,178270
2001-05-17,92.0,94.0,91.2,94.0,141330
2001-05-18,93.3,93.4,91.0,92.0,93550
2001-05-21,92.3,102.5,91.5,102.0,240280
2001-05-22,99.0,99.0,87.3,87.4,1469540
2001-05-23,86.0,94.4,83.5,83.9,705330
2001-05-24,84.0,84.5,79.9,82.6,568240
2001-05-25,82.6,84.5,81.5,83.4,455150
2001-05-29,82.6,82.6,78.1,78.6,285840
2001-05-30,78.8,78.8,75.1,76.0,209150
2001-05-31,75.1,78.5,75.0,75.0,276010
2001-06-01,75.3,77.8,74.0,77.4,551520
2001-06-04,78.4,79.1,76.8,78.2,268190
2001-06-05,78.8,80.5,78.1,80.0,261770
