Date,Open,High,Low,Close,Volume
2016-12-02,66.25,72.0,64.38,69.91,2727446
2016-12-05,70.36,74.74,70.36,71.75,3297416
2016-12-06,71.55,74.19,71.29,71.7,2414604
2016-12-07,73.01,73.72,68.88,69.19,2388256
2016-12-08,69.47,70.21,68.05,70.21,1863593
2016-12-09,70.59,71.73,68.9,71.68,1261991
2016-12-12,71.65,71.65,69.11,69.75,1600083
2016-12-13,70.04,70.84,68.08,68.59,2323357
2016-12-14,68.12,68.56,65.79,66.0,1897094
2016-12-15,66.05,67.3,65.55,65.86,1341281
2016-12-16,65.56,66.55,65.44,65.85,3206871
2016-12-19,66.19,67.43,64.94,65.3,1327467
2016-12-20,65.63,65.82,64.68,65.11,1417572
2016-12-21,64.9,66.0,63.9,65.64,2116361
2016-12-22,65.35,66.12,64.0,64.96,1522064
2016-12-23,64.62,65.56,64.62,65.34,609191
2016-12-27,65.74,66.65,65.29,65.78,723023
2016-12-28,65.06,65.73,64.29,64.61,1166885
2016-12-29,64.97,64.97,64.0,64.31,1337813
2016-12-30,64.16,64.64,63.07,63.29,1224029
