Date,Open,High,Low,Close,Volume
2001-02-07,16.47,16.51,16.12,16.15,807800
2001-02-08,16.15,17.15,16.1,17.0,1548600
2001-02-09,17.75,17.99,17.05,17.47,2754800
2001-02-12,17.4,17.96,17.4,17.78,1167600
2001-02-13,17.9,18.5,17.8,18.16,1306300
2001-02-14,18.16,18.24,17.34,17.48,1248000
2001-02-15,17.65,17.99,17.28,17.65,1166700
2001-02-16,17.79,18.25,17.62,18.03,898500
2001-02-20,18.7,18.9,18.36,18.5,1085900
2001-02-21,18.28,18.64,18.05,18.17,1054800
2001-02-22,18.32,18.58,17.91,18.18,1107700
2001-02-23,17.94,18.26,17.51,17.77,1434000
2001-02-26,17.77,18.15,17.71,18.03,1406700
2001-02-27,18.23,18.25,17.92,18.19,607500
2001-02-28,18.39,18.4,18.02,18.09,482200
2001-03-01,17.85,17.9,17.22,17.7,1104100
2001-03-02,17.45,17.66,17.0,17.22,1642000
2001-03-05,17.25,17.5,17.01,17.41,868400
2001-03-06,17.36,17.73,17.11,17.37,477700
2001-03-07,17.3,17.97,17.25,17.58,660500
2001-03-08,17.6,18.0,17.5,17.95,631000
2001-03-09,17.77,17.95,17.43,17.73,522600
2001-03-12,17.72,17.79,17.26,17.34,596600
2001-03-13,17.0,17.1,16.15,16.35,1178000
2001-03-14,16.35,16.35,15.55,15.87,908000
2001-03-15,15.62,15.95,15.4,15.82,843000
2001-03-16,15.0,15.39,14.78,14.89,1568500
2001-03-19,14.97,15.73,14.8,15.52,2050900
2001-03-20,15.55,15.66,15.21,15.35,1105800
2001-03-21,15.31,15.48,15.02,15.16,793100
2001-03-22,15.0,15.45,14.05,14.72,1098800
2001-03-23,14.66,14.99,14.39,14.95,1439600
2001-03-26,15.24,15.24,14.61,14.96,964100
2001-03-27,15.25,16.05,15.25,16.0,1675800
2001-03-28,16.15,16.19,15.72,16.13,1219200
2001-03-29,16.15,16.25,15.95,16.05,967300
2001-03-30,16.29,17.25,16.1,16.74,1440400
2001-04-02,16.8,17.4,16.51,16.77,1451800
2001-04-03,16.77,16.9,16.4,16.72,1033400
2001-04-04,16.5,16.85,16.26,16.5,1136900
2001-04-05,16.5,16.75,16.43,16.6,1302400
2001-04-06,16.82,16.84,16.27,16.55,690800
2001-04-09,16.6,17.19,16.55,16.65,1016500
2001-04-10,16.9,17.59,16.72,17.52,1127100
2001-04-11,17.22,17.58,16.86,17.0,666700
2001-04-12,16.8,17.09,16.8,17.0,379500
2001-04-16,16.95,17.24,16.8,17.1,583300
2001-04-17,16.77,17.25,16.76,17.23,763000
