Date,Open,High,Low,Close,Volume
2001-02-06,40.0,42.75,39.56,40.75,2793100
2001-02-07,40.81,42.5,40.75,42.12,2240500
2001-02-08,42.75,43.25,40.81,41.62,1483200
2001-02-09,41.23,43.06,41.0,42.25,2262900
2001-02-12,42.61,43.5,41.38,43.06,1547200
2001-02-13,43.62,43.81,41.0,41.25,1384800
2001-02-14,41.61,43.38,40.5,43.31,1651600
2001-02-15,43.38,43.44,42.0,42.75,1824700
2001-02-16,41.06,42.25,40.44,41.62,1994400
2001-02-20,41.56,42.75,41.06,41.69,2552200
2001-02-21,41.5,44.25,41.5,42.19,2317400
2001-02-22,42.31,44.44,42.25,44.06,3368800
2001-02-23,43.77,45.0,42.0,43.62,3250800
2001-02-26,43.81,44.12,41.06,42.88,2218300
2001-02-27,42.88,42.94,40.72,41.25,2288700
2001-02-28,41.44,42.75,39.81,39.94,3816700
2001-03-01,40.25,40.25,37.0,39.44,5445100
2001-03-02,38.69,40.69,38.5,39.0,3031000
2001-03-05,38.81,40.81,38.31,39.81,1429700
2001-03-06,40.56,41.81,40.06,40.81,1973100
2001-03-07,41.19,41.5,40.0,40.69,1260300
2001-03-08,41.0,41.0,39.62,40.06,1401300
2001-03-09,40.0,40.06,38.12,38.88,1500100
2001-03-12,38.44,38.56,34.5,35.12,3929100
2001-03-13,36.0,38.38,34.77,36.62,4005700
2001-03-14,34.94,36.5,33.69,35.69,2941000
2001-03-15,36.62,37.19,34.75,35.06,2431500
2001-03-16,33.23,35.12,32.38,33.77,4738900
2001-03-19,34.94,36.94,33.88,36.38,5418800
2001-03-20,36.94,37.19,34.12,34.31,3501600
2001-03-21,33.88,36.81,33.38,36.38,5281200
2001-03-22,36.69,38.5,36.56,38.25,6802800
2001-03-23,39.06,39.31,37.62,38.38,4552600
2001-03-26,38.69,39.12,37.75,37.94,2077600
2001-03-27,38.5,38.62,37.0,38.31,2448400
2001-03-28,38.25,40.0,38.0,38.44,2675000
2001-03-29,38.19,38.88,37.0,37.62,2772800
2001-03-30,38.25,38.38,36.44,37.06,2764300
2001-04-02,37.5,38.12,36.25,37.12,2693600
2001-04-03,36.25,37.31,35.38,35.5,3167100
2001-04-04,35.62,37.0,35.25,36.75,2074800
2001-04-05,37.25,37.5,35.38,36.75,3533900
2001-04-06,36.12,36.56,35.5,36.19,2545500
2001-04-09,36.14,38.24,36.1,37.91,2165800
2001-04-10,38.43,40.0,37.64,38.6,2340200
2001-04-11,39.02,39.16,35.0,37.39,4684100
2001-04-12,36.66,37.4,33.9,34.11,5023000
2001-04-16,34.45,36.6,34.11,35.05,3437200
2001-04-17,34.9,36.46,34.25,36.06,2726000
2001-04-18,36.35,39.5,35.77,37.87,3833700
2001-04-19,37.79,38.25,35.4,36.85,3302300
2001-04-20,35.77,36.4,34.45,36.0,3246800
2001-04-23,35.77,36.19,34.3,34.5,2565800
2001-04-24,34.92,35.75,34.0,34.0,2355000
2001-04-25,34.4,36.8,34.34,36.5,2951700
2001-04-26,36.45,36.5,34.12,34.45,2656500
2001-04-27,34.98,35.95,33.79,34.04,4024300
2001-04-30,35.35,35.4,33.8,34.56,3424000
2001-05-01,35.08,35.1,33.28,33.55,4145400
2001-05-02,34.13,34.15,31.45,32.53,6912200
2001-05-03,32.6,32.62,30.5,31.44,7936900
2001-05-04,30.91,34.05,30.61,33.25,6270700
2001-05-07,33.8,34.5,33.24,33.51,2996000
2001-05-08,33.71,34.5,33.26,34.5,3485600
2001-05-09,34.23,35.78,33.95,34.76,2727000
2001-05-10,35.29,35.85,34.7,35.36,3297700
2001-05-11,35.12,36.23,34.94,35.79,3330600
2001-05-14,36.0,36.21,35.55,36.19,2162400
2001-05-15,35.94,37.9,35.92,36.94,3325300
2001-05-16,36.68,39.51,36.54,38.9,4330900
2001-05-17,38.62,39.33,37.5,38.46,3465000
2001-05-18,38.51,39.5,37.34,38.64,1752400
2001-05-21,38.65,40.86,38.36,40.79,2667600
2001-05-22,41.0,42.85,39.8,42.76,3736200
2001-05-23,41.9,42.25,39.5,40.04,2922500
2001-05-24,39.51,40.78,39.35,40.76,1716600
2001-05-25,40.79,41.0,39.56,40.42,1622300
2001-05-29,40.53,41.26,39.25,39.95,1697000
2001-05-30,39.25,40.65,39.02,39.41,2063900
2001-05-31,39.7,40.08,38.02,38.43,2676700
2001-06-01,38.79,40.25,37.7,40.14,3864800
2001-06-04,40.25,40.6,39.19,39.81,1715700
2001-06-05,39.92,40.71,39.25,39.99,2465300
2001-06-06,39.96,40.15,38.5,38.79,2629800
2001-06-07,38.79,39.43,38.15,39.34,1747800
2001-06-08,39.6,39.65,38.35,38.88,1522000
2001-06-11,38.88,39.31,37.88,37.91,1875400
2001-06-12,37.94,38.0,36.96,37.72,2594000
2001-06-13,37.8,38.5,36.4,36.56,3734600
2001-06-14,36.35,37.23,36.07,36.4,2348200
2001-06-15,36.36,37.5,35.9,36.7,3304400
2001-06-18,36.61,38.61,36.6,37.22,2057300
2001-06-19,37.6,39.05,37.05,37.6,2963400
2001-06-20,37.75,38.66,37.58,38.12,2715800
2001-06-21,38.19,39.09,37.93,38.29,2333800
2001-06-22,38.31,38.6,36.32,36.97,5827500
2001-06-25,38.2,38.31,35.9,36.71,6700300
2001-06-26,37.1,38.61,36.6,38.1,5783300
2001-06-27,38.33,38.43,37.64,38.05,3377000
2001-06-28,38.43,41.37,38.41,40.69,3874800
2001-06-29,40.66,42.0,39.25,40.0,2953300
2001-07-02,41.13,41.61,40.01,40.8,1800500
2001-07-03,40.42,40.91,39.55,40.45,1280800
2001-07-05,40.01,40.71,39.45,39.77,1271800
2001-07-06,39.61,39.95,38.64,39.08,1466900
2001-07-09,39.5,39.6,38.8,39.58,2580400
2001-07-10,39.82,39.85,38.0,38.46,1983200
2001-07-11,38.43,39.55,38.12,38.8,2555700
2001-07-12,39.12,40.91,39.04,40.86,2167500
2001-07-13,40.45,41.74,40.39,41.4,4326800
2001-07-16,41.18,41.86,40.62,41.21,3010800
2001-07-17,41.11,41.55,40.75,41.47,2771500
2001-07-18,41.24,42.75,41.1,41.74,3286900
2001-07-19,42.24,43.49,41.25,42.0,2421200
2001-07-20,41.8,42.2,40.99,41.0,1697800
2001-07-23,40.7,41.25,39.18,39.3,1825400
2001-07-24,39.34,40.45,38.96,39.3,3496100
2001-07-25,39.62,40.2,38.09,38.99,3866100
2001-07-26,38.94,39.44,37.75,39.42,2868800
2001-07-27,39.27,39.45,37.85,38.79,2771700
2001-07-30,39.16,39.2,38.2,38.58,1538500
2001-07-31,38.85,39.82,38.65,39.3,2132800
