Date,Open,High,Low,Close,Volume
2001-02-06,15.78,16.56,15.31,16.22,420400
2001-02-07,16.19,16.84,16.0,16.81,374400
2001-02-08,16.62,16.94,15.62,15.72,280000
2001-02-09,15.72,15.88,14.78,14.78,370200
2001-02-12,15.12,16.44,14.72,15.31,543000
2001-02-13,15.23,16.12,14.94,15.03,602400
2001-02-14,15.24,15.56,15.03,15.56,259000
2001-02-15,15.31,16.0,15.29,15.72,494000
2001-02-16,15.5,16.59,15.5,16.25,193600
2001-02-20,15.72,16.34,15.62,16.22,290400
2001-02-21,16.03,16.66,15.81,16.5,286600
2001-02-22,16.56,16.88,15.88,16.0,605400
2001-02-23,16.25,16.59,16.0,16.25,187000
2001-02-26,16.03,16.38,15.97,16.12,446600
2001-02-27,15.88,16.81,15.84,16.47,669400
2001-02-28,16.56,16.78,15.72,15.81,183200
2001-03-01,16.24,16.47,15.81,16.12,250000
2001-03-02,16.34,16.59,16.12,16.44,595400
2001-03-05,16.69,16.72,16.34,16.41,257800
2001-03-06,16.56,16.56,16.25,16.28,339000
2001-03-07,16.48,16.66,16.0,16.16,580800
2001-03-08,16.17,16.25,15.5,15.78,287400
2001-03-09,15.75,15.98,15.66,15.88,155000
2001-03-12,16.0,16.12,14.94,14.97,259800
2001-03-13,14.98,15.94,14.97,15.81,223800
2001-03-14,15.69,16.0,15.09,15.28,166000
2001-03-15,15.25,15.88,15.06,15.41,302600
2001-03-16,15.78,15.94,15.0,15.41,283400
2001-03-19,15.25,15.34,15.12,15.16,308600
2001-03-20,15.44,15.66,15.0,15.0,200600
2001-03-21,15.44,15.5,14.94,15.06,195600
2001-03-22,14.94,14.97,13.97,14.56,470000
2001-03-23,14.88,15.19,14.84,14.94,576000
2001-03-26,15.03,15.38,14.94,15.12,577800
2001-03-27,15.12,15.41,15.06,15.38,175000
2001-03-28,15.37,16.03,15.06,15.44,249800
2001-03-29,15.57,15.69,14.94,15.34,539000
2001-03-30,15.47,15.75,15.0,15.38,703000
2001-04-02,15.38,15.5,14.62,14.69,334000
2001-04-03,14.94,15.12,14.81,14.91,377000
2001-04-04,14.78,15.5,14.75,15.28,447400
2001-04-05,15.34,15.84,15.19,15.25,354000
2001-04-06,15.22,15.47,15.0,15.31,235600
2001-04-09,15.0,15.66,15.0,15.6,293600
2001-04-10,15.15,15.65,15.1,15.55,219800
2001-04-11,15.74,15.74,15.45,15.62,271000
2001-04-12,15.28,16.0,15.28,15.58,128600
2001-04-16,15.38,15.55,15.03,15.34,249200
2001-04-17,15.12,15.5,15.12,15.24,363600
2001-04-18,15.24,15.38,14.96,15.25,446800
2001-04-19,15.24,15.24,14.86,15.0,385000
2001-04-20,14.97,15.08,14.95,15.0,520600
2001-04-23,14.93,15.06,14.92,15.0,144800
2001-04-24,15.0,15.06,14.8,14.89,147400
2001-04-25,14.92,15.2,14.82,15.2,567200
2001-04-26,15.01,15.48,15.01,15.35,150200
2001-04-27,15.12,15.42,15.12,15.25,276000
2001-04-30,15.35,15.35,15.14,15.28,275400
2001-05-01,15.26,15.36,15.04,15.2,149200
2001-05-02,15.08,15.29,15.05,15.28,297000
2001-05-03,15.15,15.33,15.15,15.32,536400
2001-05-04,15.13,15.75,15.03,15.58,313000
2001-05-07,15.72,15.72,15.54,15.61,259000
2001-05-08,15.3,15.5,15.3,15.45,348000
2001-05-09,15.45,15.5,15.35,15.39,354400
2001-05-10,15.35,15.74,14.95,15.53,380000
2001-05-11,15.5,15.58,15.25,15.25,130200
2001-05-14,15.3,15.53,15.16,15.16,171000
2001-05-15,15.24,15.62,15.18,15.45,334200
2001-05-16,15.52,15.62,15.42,15.54,111600
2001-05-17,15.53,16.28,15.47,16.22,864000
2001-05-18,16.32,17.82,16.32,16.86,896000
2001-05-21,16.88,17.5,16.88,17.26,1355800
2001-05-22,17.47,18.0,17.32,17.58,1013800
2001-05-23,17.41,17.44,16.84,17.01,668400
2001-05-24,16.81,16.82,15.13,15.53,2002400
2001-05-25,15.45,16.5,15.44,16.15,1095400
2001-05-29,16.05,16.7,16.0,16.66,773400
2001-05-30,16.66,17.35,16.05,17.13,353800
2001-05-31,17.18,17.3,16.45,17.06,321000
2001-06-01,17.06,17.5,16.62,17.05,605000
2001-06-04,17.31,17.32,16.88,16.97,289600
2001-06-05,16.97,16.97,16.85,16.97,300200
2001-06-06,16.95,17.03,16.82,17.03,237000
2001-06-07,16.9,17.38,16.8,17.03,386200
2001-06-08,17.04,17.04,16.92,16.94,138600
2001-06-11,16.88,17.0,16.77,16.9,252800
2001-06-12,16.92,16.92,16.32,16.47,210200
2001-06-13,16.64,17.01,16.38,16.89,336200
2001-06-14,16.9,16.92,16.58,16.71,577000
2001-06-15,16.92,16.92,16.7,16.7,358200
2001-06-18,16.76,16.97,16.12,16.27,252200
2001-06-19,16.5,16.62,16.2,16.42,199600
2001-06-20,16.42,16.62,16.25,16.62,193800
2001-06-21,16.59,17.01,16.35,16.47,382800
2001-06-22,16.48,16.55,16.42,16.42,380600
2001-06-25,16.42,16.67,16.01,16.1,183400
2001-06-26,16.05,16.24,16.05,16.17,113600
2001-06-27,16.22,16.71,16.19,16.39,229800
2001-06-28,16.5,16.67,16.44,16.6,161800
2001-06-29,16.55,17.35,16.5,16.5,545000
2001-07-02,17.0,17.4,16.25,16.86,299400
2001-07-03,16.5,16.65,16.38,16.47,293600
2001-07-05,16.46,16.9,16.46,16.66,141000
2001-07-06,16.68,16.85,16.58,16.62,210800
2001-07-09,16.67,17.32,16.62,17.16,1337200
2001-07-10,17.25,18.44,17.25,18.0,1004600
2001-07-11,18.12,18.3,17.98,18.16,486000
2001-07-12,18.24,18.38,17.64,17.92,337600
2001-07-13,18.12,18.12,17.5,17.64,435800
2001-07-16,17.55,18.62,17.5,18.12,534600
2001-07-17,18.05,18.28,17.88,18.04,405600
2001-07-18,17.91,18.53,17.91,18.12,423600
2001-07-19,18.1,18.49,17.8,17.88,387600
2001-07-20,17.88,18.24,17.5,17.62,440200
2001-07-23,17.7,18.17,17.5,17.62,391600
2001-07-24,17.47,17.5,16.43,16.53,1427600
2001-07-25,16.47,16.78,15.72,16.6,1250600
