Date,Open,High,Low,Close,Volume
2001-02-07,45.35,47.48,45.35,46.99,6422100
2001-02-08,46.9,47.0,46.25,46.85,4430000
2001-02-09,46.95,47.2,46.02,46.2,2422900
2001-02-12,46.7,47.1,46.05,46.95,3359700
2001-02-13,46.5,47.17,46.01,47.15,3565900
2001-02-14,47.2,47.35,46.34,46.7,3601900
2001-02-15,46.6,46.85,46.25,46.85,3693900
2001-02-16,46.95,47.44,46.86,47.32,5129300
2001-02-20,47.5,48.79,47.42,48.5,5468600
2001-02-21,47.48,47.74,46.9,47.25,7426800
2001-02-22,47.0,47.08,45.8,46.55,5337100
2001-02-23,46.3,47.01,45.4,46.38,4246600
2001-02-26,46.38,46.42,45.54,46.28,3080300
2001-02-27,45.78,46.64,45.66,46.06,3202800
2001-02-28,46.31,46.47,45.5,46.08,2251300
2001-03-01,45.5,46.15,45.08,45.81,3357100
2001-03-02,45.2,45.86,44.7,44.85,3230100
2001-03-05,45.5,45.84,45.02,45.62,2086800
2001-03-06,45.25,47.0,45.13,45.81,3826400
2001-03-07,46.5,47.1,45.75,46.02,2980300
2001-03-08,46.02,46.93,45.9,46.9,2623700
2001-03-09,46.27,46.9,46.15,46.4,2090400
2001-03-12,46.25,46.45,45.4,45.55,2494400
2001-03-13,45.3,45.4,44.06,44.85,3330400
2001-03-14,44.85,45.2,43.4,44.27,3768400
2001-03-15,44.27,44.51,42.5,44.03,5130000
2001-03-16,43.0,43.5,42.75,42.99,5368900
2001-03-19,42.99,42.99,42.18,42.68,2821700
2001-03-20,42.8,42.8,41.27,41.62,5415900
2001-03-21,40.8,42.25,40.25,42.01,7318700
2001-03-22,41.75,42.7,41.33,42.6,6314600
2001-03-23,42.45,44.05,41.51,43.85,7927700
2001-03-26,43.15,44.13,42.85,43.8,3997800
2001-03-27,43.65,44.1,42.88,44.04,3985100
2001-03-28,43.95,43.95,42.25,43.08,4038100
2001-03-29,42.25,43.7,41.5,43.25,3542400
2001-03-30,42.8,43.95,42.7,43.95,3227300
2001-04-02,43.7,44.95,43.69,44.05,3852700
2001-04-03,43.8,44.0,42.75,43.08,3007200
2001-04-04,42.83,44.0,42.5,43.9,2594300
2001-04-05,44.45,44.74,43.65,44.1,3390600
2001-04-06,43.27,43.75,42.0,42.0,5694500
2001-04-09,42.74,42.99,41.27,41.5,6112600
2001-04-10,42.5,42.5,41.6,42.15,5881400
2001-04-11,42.0,42.02,40.9,41.39,5069600
2001-04-12,41.8,41.97,41.35,41.91,3177500
2001-04-16,42.0,43.0,41.78,42.2,4734400
2001-04-17,42.45,42.6,42.02,42.27,3435100
2001-04-18,42.5,43.2,41.86,42.06,5387000
2001-04-19,42.0,42.5,41.9,42.47,3476100
2001-04-20,42.0,42.05,41.09,41.26,5632400
2001-04-23,42.2,42.44,41.8,42.27,6205900
2001-04-24,42.75,43.45,42.6,43.15,4629400
2001-04-25,43.55,44.44,43.4,44.07,4890300
2001-04-26,44.5,44.91,44.16,44.9,4179300
2001-04-27,44.9,44.96,44.0,44.1,5821400
2001-04-30,44.65,44.65,43.7,43.81,2996600
2001-05-01,44.25,44.97,43.65,44.65,3733200
2001-05-02,44.7,44.75,44.1,44.31,2953900
2001-05-03,44.63,44.73,43.59,44.24,3925000
2001-05-04,44.24,44.7,44.0,44.68,3604200
2001-05-07,44.93,44.98,44.31,44.94,2178000
2001-05-08,45.0,45.98,44.63,44.99,2584700
2001-05-09,45.24,46.0,44.92,45.54,4689500
2001-05-10,45.65,46.61,45.3,46.47,5562400
2001-05-11,46.47,46.61,45.6,46.17,3340400
2001-05-14,46.0,46.4,45.9,46.15,2248100
2001-05-15,46.15,46.15,44.6,45.0,3808200
2001-05-16,45.0,45.6,44.51,45.26,4613200
2001-05-17,45.3,45.49,44.35,44.93,5048800
2001-05-18,44.94,45.03,44.42,44.98,2619000
2001-05-21,44.73,44.99,44.25,44.93,2473600
2001-05-22,45.0,45.0,43.88,43.98,4209300
2001-05-23,43.98,44.98,43.85,44.75,2435500
2001-05-24,44.3,45.0,44.3,44.97,2296000
2001-05-25,44.75,45.24,44.55,44.81,2201800
2001-05-29,44.82,45.15,44.6,44.92,2098400
2001-05-30,44.93,45.7,44.9,45.59,3755500
2001-05-31,45.27,45.75,44.59,44.76,3715800
2001-06-01,44.76,44.95,44.5,44.81,2003500
2001-06-04,44.71,45.05,44.53,44.92,1341200
2001-06-05,44.82,45.68,44.8,45.6,2631800
2001-06-06,45.13,45.34,44.45,44.6,3314100
2001-06-07,44.35,44.86,44.0,44.31,3630500
2001-06-08,44.32,44.69,44.14,44.5,2407000
2001-06-11,44.4,44.4,43.91,44.02,2672100
2001-06-12,43.77,44.32,43.36,44.22,3276900
2001-06-13,43.82,44.39,43.72,44.32,2656400
2001-06-14,44.0,44.16,43.6,43.78,2796000
2001-06-15,43.31,43.7,43.08,43.26,5359800
2001-06-18,43.12,43.62,43.12,43.36,1989000
2001-06-19,43.42,43.94,43.2,43.71,4367000
2001-06-20,43.71,44.24,43.62,44.06,4006800
2001-06-21,44.09,45.42,44.05,45.17,7463300
2001-06-22,45.07,45.7,45.0,45.32,4832400
2001-06-25,45.25,45.49,44.2,44.88,2901600
2001-06-26,44.4,44.98,44.27,44.83,2781600
2001-06-27,44.53,45.68,44.36,45.37,3521600
2001-06-28,45.17,45.82,45.08,45.59,3723700
2001-06-29,45.2,45.23,43.55,44.2,7859900
2001-07-02,44.35,45.4,44.3,45.19,4435300
2001-07-03,44.7,45.65,44.55,45.62,2566100
2001-07-05,45.5,45.5,44.88,44.97,3939300
2001-07-06,45.14,45.14,44.75,44.89,3652500
2001-07-09,45.04,45.25,44.8,45.23,3953800
2001-07-10,45.4,45.43,45.12,45.23,3479500
2001-07-11,45.25,45.4,45.02,45.09,2928900
2001-07-12,45.12,45.6,44.93,45.55,3893700
2001-07-13,45.55,45.9,45.25,45.44,3212400
2001-07-16,45.54,46.65,45.5,45.99,4704900
2001-07-17,45.9,46.3,45.64,46.15,4444800
2001-07-18,46.35,46.99,46.21,46.99,5148100
2001-07-19,46.99,47.65,46.1,46.47,6919900
2001-07-20,46.35,46.36,45.53,46.24,5694200
2001-07-23,46.03,46.18,44.9,45.05,3951700
2001-07-24,44.55,44.94,44.39,44.62,3981400
2001-07-25,44.6,45.96,44.6,45.8,3560100
2001-07-26,45.55,45.92,45.1,45.73,4140800
2001-07-27,46.18,46.18,45.39,45.67,1897300
2001-07-30,45.9,46.2,45.63,46.1,3606000
2001-07-31,46.3,46.93,46.12,46.63,3908800
2001-08-01,46.64,46.64,43.6,43.69,29758700
2001-08-02,44.4,44.95,44.22,44.45,17721800
2001-08-03,44.7,44.79,43.91,44.44,6321200
2001-08-06,44.65,44.65,43.78,44.0,4899600
2001-08-07,44.0,44.55,43.94,44.49,5594700
2001-08-08,44.3,45.11,44.3,44.63,6264600
2001-08-09,45.0,45.5,44.8,45.33,7738400
2001-08-10,45.5,45.89,45.25,45.66,6950100
2001-08-13,45.75,45.91,44.98,45.05,6070000
2001-08-14,45.48,45.77,45.34,45.55,5344400
2001-08-15,45.6,45.75,44.5,45.56,7482400
2001-08-16,45.55,46.04,45.4,45.95,5367300
2001-08-17,45.9,45.95,45.42,45.68,3840200
2001-08-20,45.75,46.6,45.7,46.51,4625000
2001-08-21,46.26,46.54,45.73,46.05,3763000
2001-08-22,46.02,47.0,45.96,46.93,5063300
2001-08-23,46.46,47.5,46.46,47.25,5243500
2001-08-24,47.28,47.57,46.96,47.1,5060500
2001-08-27,47.0,47.0,46.58,46.88,3198200
2001-08-28,46.98,47.09,46.57,46.61,3349400
2001-08-29,46.98,46.99,46.51,46.99,2993700
2001-08-30,47.07,47.71,46.95,47.25,4766500
2001-08-31,47.33,47.53,46.79,47.0,3727900
2001-09-04,47.34,47.94,47.02,47.3,4320300
2001-09-05,47.46,47.89,46.83,47.8,3875200
2001-09-06,47.31,47.58,46.92,47.1,3504800
2001-09-07,46.9,47.99,46.76,47.4,5013300
2001-09-10,47.4,47.5,46.55,46.9,5161500
2001-09-17,47.15,47.99,46.26,47.9,10267100
2001-09-18,48.0,49.8,48.0,49.5,18505300
2001-09-19,49.49,49.59,48.37,49.59,17351800
2001-09-20,49.01,49.28,48.05,48.76,13451400
2001-09-21,47.5,48.0,45.76,47.0,17479400
2001-09-24,47.4,47.54,46.75,47.4,9304400
2001-09-25,47.1,48.1,47.01,48.0,9337300
2001-09-26,47.95,48.24,47.16,48.17,7259100
2001-09-27,47.95,48.97,47.92,48.89,6542100
2001-09-28,49.0,49.24,48.05,48.5,7028800
2001-10-01,48.94,49.08,48.59,48.94,4550500
