Date,Open,High,Low,Close,Volume
2008-05-26,2800.0,2800.0,2750.0,2800.0,15391
2008-05-28,2700.0,2700.0,2650.0,2650.0,9929
2008-05-29,2650.0,2675.0,2650.0,2650.0,42800
2008-05-30,2625.0,2650.0,2600.0,2610.0,16060
2008-06-02,2600.0,2650.0,2600.0,2650.0,1410
2008-06-03,2600.0,2650.0,2600.0,2600.0,3730
2008-06-04,2600.0,2600.0,2600.0,2600.0,55622
2008-06-05,2600.0,2650.0,2600.0,2650.0,13753
2008-06-06,2657.0,2657.0,2650.0,2650.0,5382
2008-06-09,2650.0,2650.0,2550.0,2550.0,242
2008-06-10,2500.0,2500.0,2500.0,2500.0,7700
2008-06-11,2500.0,2550.0,2500.0,2500.0,3900
2008-06-12,2515.0,2515.0,2450.0,2450.0,5927
2008-06-13,2499.0,2499.0,2450.0,2450.0,10664
2008-06-17,2420.0,2450.0,2400.0,2450.0,34651
2008-06-18,2410.0,2445.0,2410.0,2430.0,10727
2008-06-19,2400.0,2400.0,2300.0,2399.0,43689
2008-06-20,2350.0,2400.0,2310.0,2400.0,27756
2008-06-23,2400.0,2400.0,2330.0,2400.0,17686
2008-06-24,2400.0,2400.0,2312.0,2312.0,91145
2008-06-25,2310.0,2350.0,2305.0,2350.0,18334
2008-06-26,2300.0,2350.0,2295.0,2350.0,22467
2008-06-27,2350.0,2350.0,2350.0,2350.0,13737
2008-06-30,2355.0,2355.0,2350.0,2350.0,4896
2008-07-01,2325.0,2325.0,2255.0,2255.0,35112
2008-07-02,2250.0,2260.0,2250.0,2251.0,27587
2008-07-03,2210.0,2250.0,2200.0,2200.0,114688
2008-07-04,2200.0,2300.0,2100.0,2150.0,14529
2008-07-07,2120.0,2120.0,2100.0,2100.0,34242
2008-07-08,2100.0,2101.0,2100.0,2101.0,5026
2008-07-09,2102.0,2200.0,2102.0,2175.0,21336
2008-07-10,2103.0,2150.0,2103.0,2150.0,159146
2008-07-11,2165.0,2165.0,2135.0,2135.0,7997
2008-07-14,2135.0,2135.0,2135.0,2135.0,0
2008-07-15,2103.0,2140.0,2050.0,2100.0,75408
2008-07-16,2050.0,2100.0,2050.0,2060.0,62121
2008-07-17,2100.0,2150.0,2100.0,2150.0,22145
2008-07-18,2200.0,2250.0,2150.0,2150.0,23277
2008-07-21,2150.0,2300.0,2150.0,2300.0,35137
2008-07-22,2300.0,2300.0,2300.0,2300.0,0
2008-07-23,2280.0,2280.0,2210.0,2210.0,11000
2008-07-24,2270.0,2275.0,2210.0,2270.0,72868
2008-07-25,2275.0,2300.0,2211.0,2300.0,25067
2008-07-28,2311.0,2311.0,2310.0,2310.0,2543
2008-07-29,2310.0,2310.0,2203.0,2210.0,10724
2008-07-30,2220.0,2228.0,2220.0,2226.0,5681
2008-07-31,2300.0,2300.0,2300.0,2300.0,1064
2008-08-01,2212.0,2214.0,2212.0,2214.0,579
2008-08-04,2240.0,2250.0,2224.0,2224.0,34388
2008-08-05,2230.0,2230.0,2215.0,2215.0,4550
2008-08-06,2231.0,2250.0,2231.0,2232.0,65704
2008-08-07,2235.0,2250.0,2233.0,2234.0,1959
2008-08-08,2270.0,2321.0,2234.0,2320.0,138597
2008-08-11,2342.0,2366.0,2341.0,2366.0,14610
2008-08-12,2404.0,2600.0,2404.0,2600.0,146609
2008-08-13,2600.0,2650.0,2600.0,2648.0,522162
2008-08-14,2600.0,2645.0,2550.0,2570.0,117906
2008-08-15,2600.0,2650.0,2600.0,2650.0,162417
2008-08-18,2560.0,2560.0,2551.0,2560.0,99867
2008-08-19,2550.0,2590.0,2550.0,2550.0,79925
2008-08-20,2595.0,2595.0,2499.0,2575.0,32481
2008-08-21,2575.0,2575.0,2445.0,2500.0,45629
2008-08-22,2450.0,2495.0,2450.0,2466.0,108708
2008-08-25,2475.0,2500.0,2455.0,2490.0,126080
2008-08-26,2500.0,2500.0,2461.0,2500.0,151186
2008-08-27,2480.0,2500.0,2480.0,2500.0,30423
2008-08-28,2450.0,2500.0,2450.0,2500.0,113556
2008-08-29,2510.0,2540.0,2500.0,2540.0,245715
2008-09-01,2550.0,2550.0,2525.0,2525.0,42396
2008-09-02,2500.0,2520.0,2450.0,2520.0,547768
2008-09-03,2525.0,2590.0,2525.0,2575.0,450960
2008-09-04,2575.0,2575.0,2550.0,2570.0,52630
2008-09-05,2560.0,2560.0,2530.0,2530.0,13314
2008-09-08,2550.0,2574.0,2550.0,2574.0,125674
2008-09-09,2501.0,2575.0,2501.0,2570.0,88827
2008-09-10,2570.0,2570.0,2550.0,2560.0,91420
2008-09-11,2530.0,2560.0,2530.0,2550.0,269200
2008-09-12,2540.0,2540.0,2540.0,2540.0,5514
2008-09-15,2540.0,2540.0,2500.0,2500.0,26095
2008-09-16,2490.0,2500.0,2490.0,2500.0,16308
2008-09-17,2500.0,2500.0,2500.0,2500.0,300
2008-09-18,2500.0,2500.0,2475.0,2475.0,229857
2008-09-19,2475.0,2500.0,2475.0,2500.0,4566
2008-09-22,2550.0,2550.0,2500.0,2550.0,64832
2008-09-23,2550.0,2550.0,2480.0,2480.0,180300
2008-09-25,2550.0,2565.0,2550.0,2560.0,13000
2008-09-26,2525.0,2525.0,2500.0,2500.0,48610
2008-09-29,2500.0,2550.0,2475.0,2475.0,8915
2008-09-30,2400.0,2490.0,2400.0,2477.0,49707
2008-10-01,2475.0,2490.0,2400.0,2450.0,15902
2008-10-02,2400.0,2500.0,2400.0,2499.0,71236
2008-10-03,2400.0,2425.0,2400.0,2425.0,5970
2008-10-06,2401.0,2401.0,2380.0,2390.0,165736
2008-10-07,2390.0,2410.0,2390.0,2400.0,58216
2008-10-08,2395.0,2395.0,2340.0,2380.0,68168
2008-10-09,2381.0,2390.0,2355.0,2390.0,44888
2008-10-10,2300.0,2350.0,2250.0,2350.0,59055
2008-10-13,2280.0,2490.0,2280.0,2490.0,103873
2008-10-14,2500.0,2500.0,2380.0,2400.0,66343
2008-10-15,2400.0,2475.0,2400.0,2401.0,47459
2008-10-16,2350.0,2405.0,2200.0,2321.0,40353
2008-10-17,2350.0,2400.0,2300.0,2400.0,61813
2008-10-20,2402.0,2500.0,2399.0,2500.0,18318
2008-10-21,2500.0,2560.0,2500.0,2550.0,174303
2008-10-22,2522.0,2522.0,2450.0,2450.0,55064
2008-10-23,2455.0,2455.0,2400.0,2435.0,23432
2008-10-24,2435.0,2435.0,2300.0,2300.0,183022
2008-10-27,1850.0,2250.0,1850.0,2249.0,96906
2008-10-28,2295.0,2320.0,2295.0,2300.0,168683
2008-10-29,2300.0,2450.0,2300.0,2400.0,684123
2008-10-30,2400.0,2475.0,2400.0,2451.0,193373
2008-10-31,2450.0,2450.0,2420.0,2422.0,87531
2008-11-03,2450.0,2450.0,2420.0,2420.0,63551
2008-11-04,2420.0,2470.0,2420.0,2470.0,59082
2008-11-05,2490.0,2550.0,2470.0,2500.0,220415
2008-11-06,2500.0,2500.0,2450.0,2500.0,74141
2008-11-07,2450.0,2500.0,2450.0,2500.0,12031
2008-11-10,2450.0,2450.0,2450.0,2450.0,5324
2008-11-11,2500.0,2500.0,2450.0,2450.0,83312
2008-11-12,2450.0,2450.0,2400.0,2400.0,34557
2008-11-13,2350.0,2450.0,2350.0,2400.0,27433
2008-11-14,2400.0,2400.0,2350.0,2360.0,14784
2008-11-17,2320.0,2350.0,2320.0,2350.0,9680
2008-11-18,2300.0,2300.0,2300.0,2300.0,12300
2008-11-19,2300.0,2350.0,2300.0,2350.0,21769
2008-11-20,2225.0,2350.0,2225.0,2350.0,13750
2008-11-21,2335.0,2350.0,2300.0,2330.0,92579
2008-11-24,2300.0,2400.0,2300.0,2400.0,32730
2008-11-25,2400.0,2400.0,2300.0,2300.0,129636
2008-11-26,2400.0,2400.0,2400.0,2400.0,3100
2008-11-27,2350.0,2500.0,2350.0,2500.0,142704
2008-11-28,2500.0,2550.0,2300.0,2550.0,58137
2008-12-01,2525.0,2525.0,2525.0,2525.0,649
2008-12-02,2280.0,2300.0,2280.0,2300.0,33410
2008-12-03,2300.0,2300.0,2260.0,2300.0,107536
2008-12-04,2300.0,2400.0,2300.0,2400.0,28176
2008-12-05,2401.0,2475.0,2400.0,2475.0,117784
2008-12-08,2450.0,2475.0,2450.0,2475.0,58520
2008-12-09,2490.0,2550.0,2475.0,2500.0,86064
2008-12-10,2550.0,2750.0,2550.0,2580.0,130386
2008-12-11,2750.0,2750.0,2650.0,2650.0,36491
2008-12-12,2640.0,2645.0,2550.0,2600.0,87341
2008-12-15,2550.0,2555.0,2550.0,2555.0,8444
2008-12-17,2600.0,2600.0,2599.0,2600.0,35100
2008-12-18,2600.0,2635.0,2600.0,2600.0,43600
2008-12-19,2600.0,2630.0,2550.0,2606.0,36000
2008-12-22,2600.0,2600.0,2550.0,2550.0,20383
2008-12-23,2600.0,2600.0,2550.0,2560.0,19357
2008-12-24,2600.0,2600.0,2560.0,2570.0,6919
2008-12-29,2500.0,2640.0,2500.0,2595.0,13858
2008-12-30,2550.0,2595.0,2550.0,2550.0,42672
2008-12-31,2550.0,2600.0,2550.0,2595.0,8550
2009-01-02,2595.0,2640.0,2595.0,2640.0,8500
2009-01-05,2600.0,2650.0,2600.0,2650.0,207110
2009-01-06,2650.0,2700.0,2650.0,2660.0,57475
2009-01-07,2650.0,2650.0,2550.0,2550.0,1650
2009-01-08,2550.0,2550.0,2550.0,2550.0,21300
2009-01-09,2550.0,2600.0,2550.0,2550.0,12590
2009-01-12,2550.0,2550.0,2550.0,2550.0,2333
2009-01-13,2580.0,2580.0,2580.0,2580.0,3308
2009-01-14,2590.0,2590.0,2550.0,2561.0,35717
2009-01-15,2550.0,2580.0,2550.0,2550.0,44043
2009-01-16,2580.0,2580.0,2550.0,2550.0,7420
2009-01-19,2550.0,2580.0,2550.0,2580.0,4777
2009-01-20,2600.0,2600.0,2550.0,2600.0,76923
2009-01-21,2590.0,2590.0,2590.0,2590.0,18940
2009-01-22,2575.0,2575.0,2500.0,2552.0,33194
2009-01-23,2551.0,2551.0,2550.0,2550.0,12176
2009-01-26,2500.0,2500.0,2470.0,2470.0,6649
2009-01-27,2500.0,2500.0,2470.0,2500.0,20165
2009-01-28,2500.0,2525.0,2470.0,2500.0,28499
2009-01-29,2500.0,2500.0,2470.0,2470.0,15000
2009-01-30,2480.0,2500.0,2470.0,2470.0,72651
2009-02-02,2470.0,2480.0,2470.0,2470.0,47623
2009-02-03,2470.0,2500.0,2470.0,2470.0,5626
2009-02-04,2470.0,2471.0,2450.0,2450.0,52714
2009-02-05,2470.0,2500.0,2470.0,2500.0,60520
2009-02-06,2470.0,2480.0,2400.0,2480.0,44135
2009-02-09,2470.0,2480.0,2450.0,2480.0,92102
2009-02-10,2460.0,2480.0,2460.0,2480.0,1850
2009-02-11,2480.0,2480.0,2460.0,2460.0,1325
2009-02-12,2460.0,2470.0,2460.0,2470.0,13079
2009-02-13,2475.0,2495.0,2470.0,2479.0,57381
2009-02-16,2460.0,2460.0,2300.0,2401.0,73177
2009-02-17,2430.0,2440.0,2400.0,2406.0,26123
2009-02-18,2405.0,2410.0,2405.0,2410.0,43642
2009-02-19,2405.0,2410.0,2405.0,2405.0,60504
2009-02-20,2380.0,2400.0,2350.0,2364.0,58827
2009-02-23,2300.0,2310.0,2300.0,2300.0,14793
2009-02-24,2310.0,2310.0,2250.0,2250.0,36217
2009-02-25,2250.0,2300.0,2250.0,2300.0,20104
2009-02-26,2350.0,2350.0,2299.0,2350.0,20431
2009-02-27,2200.0,2350.0,2200.0,2350.0,156293
2009-03-02,2220.0,2260.0,2220.0,2260.0,5606
2009-03-03,2251.0,2300.0,2250.0,2250.0,7752
2009-03-04,2250.0,2299.0,2100.0,2299.0,5912
2009-03-05,2250.0,2250.0,2250.0,2250.0,973
2009-03-06,2250.0,2250.0,2250.0,2250.0,1174
2009-03-09,2190.0,2190.0,2100.0,2190.0,32007
2009-03-10,2100.0,2175.0,2000.0,2175.0,72274
2009-03-11,2050.0,2200.0,2050.0,2200.0,2200
2009-03-12,2105.0,2190.0,2105.0,2190.0,6500
2009-03-13,2190.0,2250.0,2180.0,2250.0,59245
2009-03-16,2250.0,2290.0,2250.0,2290.0,20364
2009-03-17,2280.0,2280.0,2230.0,2230.0,2500
2009-03-18,2250.0,2250.0,2250.0,2250.0,171819
2009-03-19,2260.0,2260.0,2230.0,2250.0,54174
2009-03-20,2250.0,2270.0,2205.0,2270.0,132699
2009-03-23,2200.0,2290.0,2200.0,2285.0,57261
2009-03-24,2285.0,2285.0,2250.0,2250.0,3652
2009-03-25,2280.0,2280.0,2280.0,2280.0,200
2009-03-26,2250.0,2280.0,2215.0,2280.0,48226
2009-03-27,2280.0,2285.0,2250.0,2251.0,33260
2009-03-30,2280.0,2280.0,2250.0,2280.0,17000
2009-03-31,2280.0,2280.0,2260.0,2275.0,30514
2009-04-01,2275.0,2285.0,2250.0,2285.0,32106
2009-04-02,2285.0,2320.0,2275.0,2320.0,96302
2009-04-03,2300.0,2300.0,2300.0,2300.0,2800
2009-04-06,2300.0,2320.0,2290.0,2290.0,79548
2009-04-07,2290.0,2290.0,2290.0,2290.0,14246
2009-04-08,2270.0,2300.0,2270.0,2300.0,11199
2009-04-09,2300.0,2400.0,2300.0,2355.0,226215
2009-04-14,2301.0,2400.0,2301.0,2340.0,20197
2009-04-15,2340.0,2450.0,2340.0,2450.0,210616
2009-04-16,2450.0,2550.0,2450.0,2550.0,296278
2009-04-17,2501.0,2501.0,2450.0,2480.0,135296
2009-04-20,2480.0,2480.0,2480.0,2480.0,10000
2009-04-21,2479.0,2480.0,2460.0,2480.0,86730
2009-04-23,2500.0,2500.0,2450.0,2500.0,73331
2009-04-24,2499.0,2499.0,2410.0,2440.0,3999
2009-04-28,2440.0,2456.0,2440.0,2450.0,23825
2009-04-29,2450.0,2450.0,2450.0,2450.0,0
2009-04-30,2450.0,2450.0,2450.0,2450.0,5319
2009-05-04,2450.0,2500.0,2450.0,2500.0,75419
2009-05-05,2500.0,2500.0,2450.0,2500.0,41519
