Date,Open,High,Low,Close,Volume
2003-12-29,340.0,340.0,340.0,340.0,11000
2003-12-30,340.0,340.0,337.0,337.0,120281
2004-01-02,338.0,340.0,338.0,340.0,5919
2004-01-05,340.0,340.0,340.0,340.0,0
2004-01-06,350.0,380.0,350.0,380.0,43500
2004-01-07,380.0,380.0,380.0,380.0,13500
2004-01-08,380.0,395.0,380.0,395.0,10200
2004-01-09,390.0,400.0,390.0,390.0,47673
2004-01-12,390.0,390.0,390.0,390.0,0
2004-01-13,400.0,410.0,400.0,410.0,0
2004-01-14,410.0,410.0,390.0,400.0,0
2004-01-15,400.0,400.0,400.0,400.0,0
2004-01-16,420.0,420.0,410.0,410.0,0
2004-01-19,412.0,420.0,412.0,412.0,0
2004-01-20,412.0,412.0,412.0,412.0,0
2004-01-21,400.0,400.0,400.0,400.0,0
2004-01-22,400.0,400.0,390.0,390.0,0
2004-01-23,400.0,405.0,396.0,400.0,0
2004-01-26,400.0,400.0,400.0,400.0,0
2004-01-27,420.0,420.0,405.0,420.0,0
2004-01-28,420.0,420.0,420.0,420.0,0
2004-01-29,435.0,460.0,435.0,460.0,0
2004-01-30,460.0,460.0,450.0,450.0,0
2004-02-02,436.0,436.0,435.0,435.0,0
2004-02-03,435.0,440.0,435.0,440.0,0
2004-02-04,440.0,440.0,440.0,440.0,0
2004-02-05,440.0,440.0,440.0,440.0,0
2004-02-06,440.0,440.0,440.0,440.0,0
2004-02-09,435.0,445.0,435.0,445.0,0
2004-02-10,435.0,435.0,400.0,400.0,35118
2004-02-11,400.0,400.0,390.0,400.0,50000
2004-02-12,405.0,425.0,405.0,425.0,13500
2004-02-13,425.0,470.0,425.0,455.0,209814
2004-02-16,455.0,455.0,455.0,455.0,10000
2004-02-17,455.0,455.0,455.0,455.0,20000
2004-02-18,470.0,470.0,470.0,470.0,26000
2004-02-19,474.0,500.0,474.0,490.0,77749
2004-02-20,490.0,500.0,490.0,500.0,175682
2004-02-23,500.0,510.0,500.0,510.0,39200
2004-02-24,510.0,510.0,500.0,510.0,20200
2004-02-25,500.0,500.0,480.0,500.0,9900
2004-02-26,480.0,480.0,460.0,480.0,45400
2004-02-27,480.0,480.0,465.0,465.0,20400
2004-03-01,475.0,475.0,458.0,460.0,59600
2004-03-02,480.0,500.0,460.0,500.0,95102
2004-03-03,499.0,499.0,499.0,499.0,11700
2004-03-04,499.0,499.0,499.0,499.0,1600
2004-03-05,500.0,500.0,480.0,481.0,24200
2004-03-08,480.0,485.0,480.0,485.0,17025
2004-03-09,490.0,500.0,490.0,500.0,4000
2004-03-10,500.0,500.0,485.0,485.0,6650
2004-03-11,500.0,500.0,485.0,500.0,7500
2004-03-12,500.0,500.0,500.0,500.0,0
2004-03-15,500.0,500.0,500.0,500.0,0
2004-03-16,500.0,500.0,495.0,500.0,3700
2004-03-17,495.0,500.0,495.0,500.0,11200
2004-03-18,500.0,545.0,500.0,500.0,99900
2004-03-19,520.0,520.0,500.0,520.0,14450
2004-03-23,520.0,520.0,520.0,520.0,0
2004-03-24,550.0,550.0,500.0,500.0,7800
2004-03-25,510.0,510.0,510.0,510.0,10000
2004-03-26,500.0,510.0,500.0,501.0,46280
2004-03-29,501.0,501.0,500.0,500.0,19370
2004-03-30,495.0,495.0,490.0,490.0,13730
