Date,Open,High,Low,Close,Volume
2001-12-13,29.1,30.0,29.0,29.3,49374000
2001-12-14,29.9,30.1,29.52,29.68,9476100
2001-12-17,29.95,29.95,29.4,29.45,5112000
2001-12-18,29.5,29.95,29.39,29.95,4850400
2001-12-19,29.85,30.19,29.62,30.15,3643200
2001-12-20,30.25,30.98,30.12,30.17,3914200
2001-12-21,30.4,30.99,30.25,30.99,3429100
2001-12-24,30.75,31.49,30.75,31.45,956900
2001-12-26,31.5,32.74,31.5,32.2,2454200
2001-12-27,32.2,32.97,31.52,32.85,3772500
2001-12-28,32.86,33.1,32.58,32.94,3504400
2001-12-31,33.11,33.74,32.72,33.19,5517700
2002-01-02,32.61,32.8,31.12,31.3,5084600
2002-01-03,31.3,32.75,30.82,31.25,2896500
2002-01-04,31.2,32.0,31.1,31.95,3086000
2002-01-07,31.75,32.05,31.37,31.95,2317900
2002-01-08,31.25,31.85,31.25,31.78,1761500
2002-01-09,31.95,31.95,31.25,31.3,1637200
2002-01-10,31.12,31.68,31.01,31.01,1679400
2002-01-11,31.01,31.15,30.75,30.9,1966200
2002-01-14,30.75,30.75,29.53,30.05,3160000
2002-01-15,30.4,31.12,29.92,30.78,1962400
2002-01-16,30.58,31.15,30.45,30.68,1881100
2002-01-17,30.88,31.0,30.3,30.52,1739800
2002-01-18,30.4,30.45,29.75,30.25,1506400
2002-01-22,30.49,31.25,30.4,31.25,2294100
2002-01-23,31.65,31.7,30.52,30.52,2459800
2002-01-24,30.6,30.67,30.0,30.25,3047600
2002-01-25,30.0,30.5,29.9,30.43,2348600
2002-01-28,30.65,31.04,30.55,30.93,2399600
2002-01-29,30.0,30.89,30.0,30.39,2487800
2002-01-30,30.5,30.57,29.8,30.15,3533700
2002-01-31,30.48,31.18,30.33,31.05,3678700
2002-02-01,30.95,30.95,30.4,30.6,3200100
2002-02-04,30.6,30.98,30.5,30.88,3085800
2002-02-05,30.85,31.6,30.76,31.05,2391400
2002-02-06,31.2,31.2,30.89,31.15,2108700
2002-02-07,30.95,31.05,30.52,30.62,1801500
2002-02-08,30.57,31.03,30.55,31.03,1398700
2002-02-11,30.7,31.89,30.67,31.76,1904300
2002-02-12,31.41,31.85,31.25,31.5,2028700
2002-02-13,31.2,32.22,30.86,32.09,3779900
2002-02-14,32.05,32.28,31.9,32.03,2204100
2002-02-15,31.83,31.93,31.03,31.5,1649100
2002-02-19,31.0,31.1,30.0,30.26,2979800
2002-02-20,30.5,30.73,30.1,30.65,2282200
2002-02-21,30.45,30.87,30.45,30.84,1929100
2002-02-22,30.55,30.65,30.0,30.24,1655900
2002-02-25,30.25,30.32,30.07,30.28,2355800
2002-02-26,30.38,30.69,30.33,30.5,2309100
2002-02-27,30.6,30.61,30.3,30.35,2937000
2002-02-28,30.35,30.75,30.35,30.57,2012200
2002-03-01,30.69,30.89,30.4,30.85,2187600
2002-03-04,30.88,31.48,30.7,30.7,2321500
2002-03-05,30.7,31.49,30.41,31.44,3355700
2002-03-06,31.0,31.4,31.0,31.4,1568000
2002-03-07,31.2,31.67,31.1,31.57,2412800
2002-03-08,31.85,32.06,31.45,31.75,2561600
2002-03-11,31.85,31.9,31.2,31.35,2237500
2002-03-12,31.0,31.35,30.69,30.9,1732000
2002-03-13,30.63,30.9,30.6,30.63,1745400
2002-03-14,30.7,31.0,30.7,30.97,2171300
2002-03-15,30.69,31.38,30.69,31.1,2885300
2002-03-18,31.55,31.6,30.95,31.39,2275600
2002-03-19,31.3,31.78,31.29,31.4,2258000
2002-03-20,31.25,31.49,31.22,31.35,2410000
2002-03-21,31.17,31.34,30.99,31.25,2800500
2002-03-22,30.85,31.3,30.83,31.25,1674300
2002-03-25,31.2,31.45,31.14,31.21,923300
2002-03-26,31.05,31.48,31.05,31.43,1631300
2002-03-27,31.25,31.49,31.23,31.37,1764400
2002-03-28,31.37,31.39,30.95,31.05,2672600
2002-04-01,31.15,31.3,30.93,31.05,1553000
2002-04-02,31.0,31.4,30.99,31.35,1753400
2002-04-03,31.27,31.49,31.25,31.35,1495100
2002-04-04,31.35,31.86,31.27,31.84,2065300
2002-04-05,31.95,32.7,31.85,32.31,4725700
2002-04-08,32.31,32.95,32.2,32.72,3018900
2002-04-09,32.97,33.11,32.78,33.0,2337500
2002-04-10,32.85,33.2,32.57,32.79,1629700
2002-04-11,32.79,32.99,32.55,32.6,1598100
2002-04-12,32.5,33.02,32.5,32.51,1411200
2002-04-15,32.6,32.7,32.05,32.07,1747600
2002-04-16,32.35,32.6,32.15,32.6,2569900
2002-04-17,32.5,32.6,32.2,32.22,941600
2002-04-18,32.3,32.37,31.66,31.85,1454600
2002-04-19,31.85,32.11,31.8,31.9,1901800
2002-04-22,32.0,32.75,31.9,32.75,1797200
2002-04-23,32.75,33.1,32.19,32.6,2326700
2002-04-24,32.5,33.09,32.48,32.9,2252200
2002-04-25,32.4,32.95,32.14,32.48,1359300
2002-04-26,32.48,32.48,31.7,31.77,2278500
2002-04-29,31.85,32.05,31.85,32.0,1434700
2002-04-30,32.0,32.2,31.75,32.1,1589700
2002-05-01,32.15,32.15,31.75,32.1,1793100
2002-05-02,32.05,32.25,31.75,32.11,2629900
2002-05-03,32.0,32.13,31.75,32.1,1338400
2002-05-06,32.02,32.1,31.5,31.67,1193000
2002-05-07,31.6,31.69,30.85,31.16,1902100
2002-05-08,32.5,33.4,32.2,33.27,4102600
2002-05-09,33.4,33.75,32.8,32.8,2805900
2002-05-10,32.85,33.1,32.25,32.99,2126300
2002-05-13,33.1,33.47,32.75,33.16,2401600
2002-05-14,33.55,33.99,33.3,33.9,3015400
2002-05-15,33.5,33.75,33.09,33.65,2529000
2002-05-16,33.85,33.9,33.38,33.52,1654200
2002-05-17,33.4,34.22,33.3,34.13,1505100
2002-05-20,33.6,34.04,33.6,33.95,1535700
2002-05-21,34.1,34.1,33.4,33.7,2282400
2002-05-22,33.65,33.66,33.05,33.29,2163000
2002-05-23,32.8,34.4,32.8,34.05,4392700
2002-05-24,34.05,34.15,33.5,33.8,1256000
2002-05-28,33.95,33.95,33.2,33.76,2590600
2002-05-29,33.55,33.75,33.25,33.3,1308800
2002-05-30,33.25,34.0,33.15,33.75,1968200
2002-05-31,34.0,34.8,33.9,34.49,6459700
2002-06-03,34.49,35.0,34.3,34.4,3058900
2002-06-04,34.4,34.49,33.85,34.31,2408600
2002-06-05,34.6,36.0,34.25,35.6,3058700
2002-06-06,35.55,35.85,35.5,35.75,2875400
2002-06-07,35.8,35.8,34.8,35.31,2297900
2002-06-10,35.5,35.67,35.0,35.55,1166200
2002-06-11,35.45,35.45,34.3,34.3,1873000
2002-06-12,34.3,35.2,34.0,35.2,2351700
2002-06-13,35.06,35.08,33.05,33.65,3925800
2002-06-14,33.41,34.13,32.61,33.94,2239800
2002-06-17,34.0,34.48,33.6,34.0,2520000
2002-06-18,34.25,34.4,33.75,33.9,2194100
2002-06-19,33.4,34.12,33.38,33.95,2227200
2002-06-20,33.8,34.15,33.65,33.88,1366300
2002-06-21,33.95,34.05,32.96,33.15,2421200
2002-06-24,33.1,33.1,31.5,32.5,3932200
2002-06-25,32.5,33.14,32.5,32.73,2456100
2002-06-26,31.0,32.65,31.0,32.25,2589800
2002-06-27,32.75,32.95,31.68,32.5,2389700
2002-06-28,34.0,34.0,33.03,33.36,23589700
2002-07-01,32.95,32.95,31.8,32.7,3552500
2002-07-02,32.46,32.68,31.31,31.83,2949700
2002-07-03,31.7,31.73,30.4,30.4,3872400
2002-07-05,31.0,31.8,30.8,31.34,2874700
2002-07-08,31.66,31.72,30.42,30.9,3924100
2002-07-09,30.8,31.08,30.06,30.31,2703400
2002-07-10,32.2,32.2,30.4,30.59,13457400
2002-07-11,30.65,31.21,30.25,30.95,5808600
2002-07-12,30.95,32.05,30.85,31.8,3460100
2002-07-15,31.7,31.8,30.2,31.8,3514400
2002-07-16,31.55,32.08,31.31,31.55,3740500
2002-07-17,31.95,32.25,30.89,31.42,4733200
