Date,Open,High,Low,Close,Volume
2010-09-03,300.0,300.0,300.0,300.0,0
2012-07-02,50.0,50.0,50.0,50.0,0
2012-07-04,50.0,50.0,50.0,50.0,0
2012-07-05,51.0,51.0,51.0,51.0,0
2012-07-06,51.0,51.0,51.0,51.0,0
2012-07-09,51.0,51.0,51.0,51.0,0
2012-07-10,51.0,51.0,51.0,51.0,0
2012-07-11,51.0,51.0,51.0,51.0,0
2012-07-12,51.0,51.0,51.0,51.0,0
2012-07-13,51.0,51.0,51.0,51.0,0
2012-07-16,51.0,51.0,51.0,51.0,0
2012-07-17,51.0,51.0,51.0,51.0,0
2012-07-18,51.0,51.0,51.0,51.0,0
2012-07-19,51.0,51.0,51.0,51.0,0
2012-07-20,51.0,51.0,51.0,51.0,0
2012-07-23,51.0,51.0,51.0,51.0,0
2012-07-24,51.0,51.0,51.0,51.0,0
2012-07-25,51.0,51.0,51.0,51.0,0
2012-07-26,51.0,51.0,51.0,51.0,0
2012-07-27,51.0,51.0,51.0,51.0,0
2012-07-30,51.0,51.0,51.0,51.0,0
2012-07-31,51.0,51.0,51.0,51.0,0
2012-08-01,51.0,51.0,51.0,51.0,0
2012-08-02,51.0,51.0,51.0,51.0,0
2012-08-03,51.0,51.0,51.0,51.0,0
2012-08-06,50.0,50.0,50.0,50.0,0
2012-08-07,50.0,50.0,50.0,50.0,0
2012-08-08,50.0,50.0,50.0,50.0,0
2012-08-10,50.0,50.0,50.0,50.0,0
2012-08-13,50.0,50.0,50.0,50.0,0
2012-08-14,50.0,50.0,50.0,50.0,0
2012-08-15,50.0,50.0,50.0,50.0,0
2012-08-16,50.0,50.0,50.0,50.0,0
2012-08-17,50.0,50.0,50.0,50.0,0
2012-08-20,10.0,10.0,10.0,10.0,0
2012-08-21,10.0,10.0,10.0,10.0,0
2012-08-24,10.0,10.0,10.0,10.0,0
2012-08-30,10.0,10.0,10.0,10.0,0
2012-09-06,10.0,10.0,10.0,10.0,0
2012-09-07,10.0,10.0,10.0,10.0,0
2012-09-10,16.0,16.0,16.0,16.0,0
2012-09-11,16.0,16.0,16.0,16.0,0
2012-09-12,16.0,16.0,16.0,16.0,0
2012-09-13,16.0,16.0,16.0,16.0,0
2012-09-14,16.0,16.0,16.0,16.0,0
2012-09-17,16.0,16.0,16.0,16.0,0
2012-09-18,16.0,16.0,16.0,16.0,0
2012-09-19,16.0,16.0,16.0,16.0,0
2012-09-20,50.0,50.0,50.0,50.0,0
2012-09-21,50.0,50.0,50.0,50.0,0
2012-09-25,50.0,50.0,50.0,50.0,0
