Date,Open,High,Low,Close,Volume
2001-02-07,17.87,18.17,17.78,17.99,2503800
2001-02-08,18.12,18.37,18.08,18.37,2436200
2001-02-09,18.4,18.64,18.33,18.45,1986900
2001-02-12,18.52,18.79,18.24,18.67,4087900
2001-02-13,18.67,18.78,18.31,18.6,3466800
2001-02-14,18.64,18.72,18.28,18.46,2382000
2001-02-15,18.46,18.46,17.96,18.09,4011600
2001-02-16,18.48,18.58,18.36,18.53,2657900
2001-02-20,18.53,18.89,18.48,18.86,2824100
2001-02-21,18.94,19.02,18.66,18.67,2811300
2001-02-22,18.73,19.19,18.38,18.68,2410300
2001-02-23,18.68,18.93,17.97,18.43,2736300
2001-02-26,18.43,18.71,18.43,18.6,2029000
2001-02-27,18.57,18.85,18.53,18.84,2328000
2001-02-28,18.82,19.37,18.48,18.91,3251200
2001-03-01,18.94,19.15,18.74,18.93,3217700
2001-03-02,19.12,19.2,18.82,19.12,3927800
2001-03-05,19.19,19.3,19.02,19.19,1588200
2001-03-06,19.2,19.22,19.01,19.09,1816500
2001-03-07,19.1,19.2,18.85,18.92,3006200
2001-03-08,19.07,19.17,18.9,19.04,2337300
2001-03-09,19.0,19.03,18.82,18.91,2412900
2001-03-12,18.7,19.03,18.68,18.82,2413300
2001-03-13,18.82,18.82,18.48,18.5,2548400
2001-03-14,18.39,18.48,18.07,18.13,2860100
2001-03-15,19.2,19.48,18.98,19.39,8446800
2001-03-16,19.39,19.72,19.34,19.41,5585300
2001-03-19,19.46,19.9,19.46,19.72,4448300
2001-03-20,19.72,20.16,19.65,19.86,4523900
2001-03-21,19.8,20.13,19.8,19.95,7506400
2001-03-22,19.95,20.08,19.13,19.55,4328300
2001-03-23,19.4,19.77,19.15,19.39,3831400
2001-03-26,19.52,20.47,19.46,20.31,3982500
2001-03-27,20.22,20.76,20.22,20.6,3617800
2001-03-28,20.77,21.04,20.71,20.94,3901300
2001-03-29,20.94,21.14,20.62,21.11,4241600
2001-03-30,21.26,21.65,21.21,21.44,4919600
2001-04-02,21.54,21.82,21.31,21.56,4316500
2001-04-03,21.95,22.24,21.65,22.1,7266200
2001-04-04,22.1,22.23,21.7,21.9,7805600
2001-04-05,21.85,22.1,21.61,22.06,2660600
2001-04-06,22.0,22.06,20.89,21.47,5068300
2001-04-09,21.47,22.35,21.47,21.99,2685500
2001-04-10,22.0,22.35,21.9,22.28,2827500
2001-04-11,22.75,22.75,22.0,22.39,3260900
2001-04-12,22.0,22.29,21.83,22.17,2126000
2001-04-16,22.26,22.75,22.1,22.6,1518900
2001-04-17,22.6,23.0,22.54,22.99,2119900
2001-04-18,23.0,23.25,22.49,22.8,3524400
2001-04-19,22.6,22.85,22.21,22.31,2583500
2001-04-20,22.56,22.8,22.0,22.36,2143000
2001-04-23,22.65,22.79,22.4,22.68,1713100
2001-04-24,23.1,23.18,22.75,23.17,1990200
2001-04-25,23.64,23.64,23.1,23.3,2169700
2001-04-26,23.5,23.75,23.3,23.33,2262100
2001-04-27,23.5,23.5,22.92,23.06,2077500
2001-04-30,23.14,23.47,23.06,23.39,1813200
2001-05-01,23.39,23.65,23.0,23.35,3409300
2001-05-02,23.2,23.21,22.8,23.08,4850500
2001-05-03,22.74,22.8,22.2,22.37,2566100
2001-05-04,22.37,22.5,22.1,22.46,1797200
2001-05-07,22.8,22.85,22.42,22.59,1387400
2001-05-08,22.59,22.59,22.18,22.45,1297700
2001-05-09,22.47,22.74,22.33,22.5,1315300
2001-05-10,22.5,22.8,22.48,22.76,1191800
2001-05-11,22.78,22.88,22.42,22.6,1102800
2001-05-14,22.68,22.85,22.55,22.68,1517400
2001-05-15,22.78,22.8,22.31,22.44,1426900
