Date,Open,High,Low,Close,Volume
2001-02-06,8.09,8.25,7.58,7.6,226400
2001-02-07,7.59,8.56,7.39,8.38,358000
2001-02-08,8.38,8.45,8.25,8.28,694400
2001-02-09,8.28,8.29,7.88,7.91,141200
2001-02-12,8.12,8.28,7.91,8.23,400000
2001-02-13,8.2,8.66,8.2,8.47,301600
2001-02-14,8.44,8.44,8.14,8.28,81600
2001-02-15,8.31,8.72,8.31,8.41,420400
2001-02-16,8.36,8.73,8.25,8.72,201600
2001-02-20,8.73,8.94,8.61,8.72,264000
2001-02-21,8.77,9.84,8.73,9.64,1219600
2001-02-22,9.53,9.75,9.18,9.69,423600
2001-02-23,9.5,9.84,9.41,9.84,962400
2001-02-26,9.86,10.06,9.77,9.84,1573600
2001-02-27,9.89,10.19,8.97,9.0,1648800
2001-02-28,9.02,9.92,8.81,9.81,668000
2001-03-01,9.75,9.97,9.38,9.84,956800
2001-03-02,9.72,10.14,9.66,10.12,593200
2001-03-05,10.12,10.16,9.67,9.77,709600
2001-03-06,9.89,9.92,9.44,9.56,466800
2001-03-07,9.5,9.66,9.31,9.64,136000
2001-03-08,9.55,9.69,9.41,9.59,95600
2001-03-09,9.44,9.92,9.44,9.84,724800
2001-03-12,9.86,9.91,9.55,9.61,376800
2001-03-13,9.45,9.47,9.12,9.28,1294800
2001-03-14,9.0,9.38,8.88,8.98,818800
2001-03-15,9.27,9.27,8.94,9.2,678400
2001-03-16,9.05,9.34,9.0,9.23,502800
2001-03-19,9.25,9.59,9.25,9.56,3288000
2001-03-20,9.51,9.88,9.5,9.62,2684800
2001-03-21,9.72,10.22,9.62,10.16,1693200
2001-03-22,10.16,10.38,9.38,9.84,1846800
2001-03-23,9.72,10.14,9.72,9.97,557200
2001-03-26,10.0,11.22,9.97,11.12,2614400
2001-03-27,11.3,11.75,10.91,11.12,1824000
2001-03-28,11.11,11.2,10.36,10.38,1508000
2001-03-29,10.45,11.12,10.36,10.88,1384800
2001-03-30,11.03,11.17,10.7,11.16,1272800
2001-04-02,11.21,11.61,11.14,11.28,1111200
2001-04-03,11.2,11.22,10.5,10.62,356000
2001-04-04,10.47,11.06,10.44,11.0,876800
2001-04-05,11.11,11.62,10.98,11.5,1151200
2001-04-06,11.52,11.59,11.16,11.25,786400
2001-04-09,11.47,11.85,11.25,11.81,838000
2001-04-10,11.85,12.28,11.78,11.86,1287600
2001-04-11,11.92,11.95,10.99,11.33,2105200
2001-04-12,11.42,11.42,11.01,11.35,736400
2001-04-16,11.44,11.55,10.98,11.52,851200
2001-04-17,11.54,12.05,11.5,11.93,714800
2001-04-18,12.12,12.5,11.85,11.93,716400
2001-04-19,12.16,12.25,11.75,11.75,264000
2001-04-20,11.72,11.79,11.52,11.69,430000
2001-04-23,11.69,11.9,11.25,11.48,908800
2001-04-24,11.36,11.52,11.25,11.43,330800
2001-04-25,11.42,11.54,11.15,11.3,999200
2001-04-26,11.32,11.39,11.26,11.37,490400
2001-04-27,11.47,11.58,10.77,11.0,1253600
2001-04-30,11.11,11.14,10.36,10.48,1311600
2001-05-01,10.39,11.05,9.88,10.98,1285600
2001-05-02,10.85,10.91,10.51,10.52,366400
2001-05-03,10.6,10.73,10.44,10.67,560800
2001-05-04,10.55,10.71,10.46,10.71,171200
2001-05-07,10.66,10.67,10.49,10.55,326000
2001-05-08,10.6,10.67,10.49,10.53,366000
2001-05-09,10.5,10.51,10.25,10.41,404400
2001-05-10,10.42,10.75,10.16,10.56,1079200
2001-05-11,10.65,11.57,10.64,11.18,1018400
2001-05-14,11.3,12.08,11.06,11.19,831600
2001-05-15,11.39,11.5,11.18,11.25,808800
2001-05-16,11.26,11.53,11.12,11.34,619600
2001-05-17,11.17,11.29,10.92,11.16,274000
2001-05-18,11.23,11.26,10.88,11.0,904000
2001-05-21,11.09,11.37,10.62,10.68,1804000
2001-05-22,10.54,10.6,9.77,10.09,2263200
2001-05-23,9.76,9.95,9.63,9.75,896400
2001-05-24,9.76,10.5,9.62,10.34,1194000
2001-05-25,10.43,10.73,10.22,10.53,742000
2001-05-29,10.6,10.78,10.44,10.48,927200
2001-05-30,10.38,10.48,10.03,10.31,1550400
2001-05-31,10.33,10.75,10.32,10.71,1690000
2001-06-01,10.6,10.67,10.51,10.55,792800
2001-06-04,10.54,10.66,10.3,10.31,476400
2001-06-05,10.29,10.63,10.17,10.56,526000
2001-06-06,10.49,10.94,10.49,10.88,438400
2001-06-07,10.76,11.14,10.76,11.08,772400
2001-06-08,11.05,11.4,11.05,11.37,469600
2001-06-11,11.43,11.53,11.32,11.48,487600
2001-06-12,11.5,11.8,11.33,11.72,572800
2001-06-13,11.75,11.82,11.52,11.67,413200
2001-06-14,11.66,11.66,11.33,11.49,322400
2001-06-15,11.5,11.54,11.26,11.35,355200
2001-06-18,11.31,11.62,11.28,11.45,836800
2001-06-19,11.52,12.34,11.48,12.0,1348800
2001-06-20,12.29,12.5,12.0,12.42,520800
2001-06-21,12.36,12.97,12.2,12.26,1459200
2001-06-22,12.32,12.32,10.44,11.11,2486800
2001-06-25,10.94,11.25,10.65,11.12,716800
2001-06-26,11.12,11.4,10.75,11.27,255200
2001-06-27,11.27,11.48,11.13,11.28,288000
2001-06-28,11.31,12.0,11.31,12.0,728000
2001-06-29,12.04,12.28,11.73,11.74,950800
2001-07-02,11.74,12.04,11.65,11.84,236400
2001-07-03,11.78,12.12,11.71,11.93,292400
2001-07-05,11.88,11.93,11.65,11.84,130000
2001-07-06,11.87,11.96,11.62,11.75,477200
2001-07-09,11.93,11.93,11.6,11.84,462400
2001-07-10,11.69,12.31,11.69,12.17,292400
2001-07-11,12.08,12.12,11.75,11.84,380800
2001-07-12,11.96,12.01,11.74,12.0,112400
2001-07-13,12.03,12.23,11.86,12.1,96400
2001-07-16,12.24,12.34,12.0,12.12,512400
2001-07-17,12.1,12.73,11.96,12.73,287600
2001-07-18,12.56,12.75,12.13,12.6,426000
2001-07-19,12.61,12.68,12.31,12.6,178800
2001-07-20,12.69,12.71,12.39,12.66,278400
2001-07-23,12.54,13.25,12.0,12.15,600000
2001-07-24,12.12,12.21,11.29,11.55,860800
2001-07-25,11.56,12.06,11.44,12.06,213600
2001-07-26,12.1,12.1,11.72,11.74,514400
2001-07-27,11.74,12.25,11.74,12.21,219200
2001-07-30,12.2,12.48,12.04,12.48,299200
2001-07-31,12.49,12.51,12.02,12.31,262400
2001-08-01,12.31,12.33,11.95,11.98,164400
2001-08-02,11.95,12.26,11.89,12.02,291200
2001-08-03,12.0,12.12,11.77,11.92,360000
2001-08-06,11.88,12.0,10.65,11.18,2795200
2001-08-07,11.04,11.25,10.0,11.17,2258800
2001-08-08,11.17,11.72,11.08,11.61,1150400
2001-08-09,11.51,12.06,11.51,11.97,731600
2001-08-10,12.07,12.12,11.89,12.09,827600
2001-08-13,11.87,12.17,11.87,12.11,220400
2001-08-14,11.91,12.4,11.88,12.25,436400
2001-08-15,12.05,12.38,12.04,12.37,384800
2001-08-16,12.4,12.62,12.08,12.5,423200
2001-08-17,12.43,12.5,12.27,12.48,242800
2001-08-20,12.45,12.5,12.31,12.5,354000
2001-08-21,12.5,12.79,12.17,12.25,636000
2001-08-22,12.25,12.49,11.97,12.11,509200
2001-08-23,12.08,12.14,11.69,11.73,285200
2001-08-24,11.65,11.65,11.25,11.4,410000
2001-08-27,11.31,11.56,11.23,11.38,605200
