Date,Open,High,Low,Close,Volume
2001-02-06,30.38,31.22,29.5,29.69,442800
2001-02-07,29.44,29.62,27.62,28.88,695800
2001-02-08,28.62,29.12,27.0,27.25,697100
2001-02-09,27.06,27.12,25.44,26.19,772700
2001-02-12,26.38,26.38,24.88,26.0,803000
2001-02-13,26.75,28.25,25.25,25.88,648400
2001-02-14,26.0,27.25,25.5,26.88,366200
2001-02-15,27.89,29.12,24.88,25.31,1878500
2001-02-16,23.0,23.19,21.81,22.69,2396200
2001-02-20,23.19,23.25,19.5,19.88,1544600
2001-02-21,19.5,19.62,18.12,18.5,1779300
2001-02-22,18.81,19.75,17.06,18.88,886100
2001-02-23,17.38,18.25,16.75,18.0,1020600
2001-02-26,18.25,18.75,17.12,18.0,422600
2001-02-27,17.69,17.75,15.69,16.62,652600
2001-02-28,16.5,17.12,15.5,16.12,572700
2001-03-01,14.75,14.81,13.38,14.06,3384900
2001-03-02,13.44,14.88,13.19,14.12,1724000
2001-03-05,14.75,15.69,14.0,15.12,811100
2001-03-06,16.19,17.0,15.88,16.69,1003700
2001-03-07,17.06,17.19,15.62,15.81,902700
2001-03-08,13.5,16.19,13.38,15.5,4149200
2001-03-09,15.12,15.81,14.88,15.19,1640700
2001-03-12,14.62,15.0,13.75,13.94,729300
2001-03-13,14.16,15.5,13.88,15.48,761600
2001-03-14,15.0,16.62,14.25,15.56,985400
2001-03-15,16.25,16.81,14.94,15.06,828100
2001-03-16,15.12,15.12,14.75,14.81,825000
2001-03-19,14.88,15.31,14.5,14.81,1252700
2001-03-20,15.0,15.75,14.25,14.38,450300
2001-03-21,13.88,16.12,13.75,15.25,740800
2001-03-22,15.19,17.12,15.12,16.5,1160400
2001-03-23,17.25,18.38,17.06,17.88,1444400
2001-03-26,17.88,18.44,17.62,18.0,830300
2001-03-27,18.0,18.44,16.62,17.94,902600
2001-03-28,17.62,17.66,14.88,16.75,419000
2001-03-29,16.47,17.19,15.56,15.94,840700
2001-03-30,15.91,16.5,15.5,15.75,1129500
2001-04-02,15.38,16.38,14.44,15.12,485100
2001-04-03,14.38,15.0,13.88,14.25,653800
2001-04-04,14.38,14.56,13.06,13.56,1236400
2001-04-05,14.31,15.62,14.25,15.19,934700
2001-04-06,15.0,16.06,14.38,15.81,2086300
2001-04-09,15.64,16.3,15.63,16.1,911400
2001-04-10,16.24,18.67,16.2,17.65,1484800
2001-04-11,19.26,20.5,19.1,19.19,1990600
2001-04-12,19.18,21.25,18.71,21.21,1312900
2001-04-16,20.5,20.53,19.34,19.68,1224600
2001-04-17,19.3,20.2,18.72,19.2,437000
2001-04-18,21.19,28.4,20.62,25.25,4993900
2001-04-19,25.51,26.32,24.85,25.32,1042600
2001-04-20,26.7,27.74,25.64,27.35,3884100
2001-04-23,26.49,26.5,24.7,25.73,860200
2001-04-24,25.52,26.05,23.16,23.66,991400
2001-04-25,23.85,25.29,23.4,25.19,921600
2001-04-26,25.26,25.35,23.0,23.14,692100
2001-04-27,23.8,24.74,23.34,24.36,874000
2001-04-30,25.24,26.0,23.87,24.57,634000
2001-05-01,24.79,25.2,23.61,24.79,488500
2001-05-02,25.51,26.47,24.04,26.45,3693500
2001-05-03,25.4,27.21,25.31,26.01,955100
2001-05-04,25.75,27.6,25.2,27.2,1412300
2001-05-07,27.05,28.15,26.99,27.37,825300
2001-05-08,28.25,28.25,27.29,27.93,802000
2001-05-09,27.47,28.15,26.9,27.54,1351500
2001-05-10,28.35,29.75,26.85,26.95,1394400
2001-05-11,26.98,27.37,26.66,27.37,571300
2001-05-14,27.15,27.16,25.35,25.59,504500
2001-05-15,25.32,26.61,25.32,25.42,315000
2001-05-16,24.97,26.93,24.3,26.63,697700
2001-05-17,26.86,29.19,26.7,28.52,613200
2001-05-18,28.36,28.36,27.9,27.99,491000
2001-05-21,27.98,29.9,27.98,29.7,750800
2001-05-22,29.47,29.97,29.3,29.44,558700
2001-05-23,29.14,29.14,25.82,27.49,399000
2001-05-24,27.26,27.26,25.7,25.82,1129100
2001-05-25,25.88,26.25,24.64,25.28,1268900
2001-05-29,25.25,25.3,23.82,23.97,416100
