Date,Open,High,Low,Close,Volume
2001-02-06,36.35,37.6,36.0,36.29,3878400
2001-02-07,36.29,37.09,36.2,36.69,3093100
2001-02-08,35.75,35.95,34.5,35.36,5310300
2001-02-09,35.36,35.74,33.07,33.95,4632300
2001-02-12,33.4,36.4,33.31,36.15,6889000
2001-02-13,36.15,37.15,35.73,36.83,3283700
2001-02-14,36.9,37.1,36.3,36.61,3200200
2001-02-15,36.95,37.05,36.2,36.5,2927800
2001-02-16,36.15,37.45,35.0,35.72,3509100
2001-02-20,36.2,38.75,36.14,37.25,5313900
2001-02-21,37.0,37.0,34.5,34.8,3502400
2001-02-22,36.25,36.25,34.25,35.8,5262400
2001-02-23,35.5,36.24,34.74,35.74,4890300
2001-02-26,36.75,37.8,36.46,37.8,4006300
2001-02-27,38.25,39.07,37.76,38.37,6374300
2001-02-28,38.7,39.6,38.11,39.0,6823100
2001-03-01,37.9,38.06,36.51,37.29,4942400
2001-03-02,36.62,37.2,35.91,36.95,4605100
2001-03-05,37.2,38.0,36.0,36.4,4319700
2001-03-06,38.5,39.4,37.2,38.0,8418600
2001-03-07,38.9,39.2,37.6,38.3,7579200
2001-03-08,38.85,39.5,37.8,38.0,7903900
2001-03-09,38.0,38.16,37.5,37.6,3578100
2001-03-12,37.25,37.47,36.5,36.51,3816300
2001-03-13,36.51,36.9,34.41,35.65,5818400
2001-03-14,34.75,36.4,34.05,35.5,4867700
2001-03-15,35.8,36.3,34.55,35.57,3601800
2001-03-16,35.2,35.75,34.85,34.93,4756200
2001-03-19,35.4,35.9,34.65,35.6,2937200
2001-03-20,37.0,37.95,35.75,35.75,4562000
2001-03-21,35.75,37.25,35.15,36.87,4634000
2001-03-22,36.05,36.06,32.65,34.5,6777300
2001-03-23,34.35,35.07,33.35,34.9,4126200
2001-03-26,35.85,36.25,34.75,35.79,3585300
2001-03-27,36.1,36.99,35.5,36.88,3645100
2001-03-28,35.9,36.5,35.4,36.15,4859200
2001-03-29,35.8,36.09,34.65,35.46,4727200
2001-03-30,35.9,36.74,35.36,36.08,3962700
2001-04-02,37.0,37.44,36.05,36.3,4239300
2001-04-03,36.5,36.5,34.46,35.08,4553500
2001-04-04,35.0,35.2,34.05,34.31,4843600
2001-04-05,35.1,36.1,34.72,35.85,4062800
2001-04-06,36.5,36.5,34.9,35.6,3523600
2001-04-09,36.3,36.3,34.91,35.05,2408600
2001-04-10,35.65,36.4,35.36,35.85,3792600
2001-04-11,36.25,36.4,34.56,35.7,4068300
2001-04-12,34.9,35.99,33.5,35.85,6505100
2001-04-16,35.85,36.8,35.26,35.75,2025900
2001-04-17,35.7,35.98,35.0,35.35,2851700
2001-04-18,36.0,39.0,35.61,38.25,6262000
2001-04-19,38.0,38.2,37.3,37.48,3047800
2001-04-20,37.25,37.63,37.0,37.5,2646100
