Date,Open,High,Low,Close,Volume
2001-02-06,19.36,19.38,18.84,18.94,597000
2001-02-07,18.88,18.91,18.09,18.47,1282000
2001-02-08,18.56,19.06,18.53,18.91,827000
2001-02-09,18.8,19.0,18.47,18.88,1551400
2001-02-12,18.88,19.25,18.69,19.16,361000
2001-02-13,19.16,19.19,18.69,18.81,816000
2001-02-14,18.81,19.06,18.34,18.44,761400
2001-02-15,18.51,18.97,18.5,18.66,1401400
2001-02-16,18.59,18.72,18.12,18.59,660800
2001-02-20,18.8,18.81,18.16,18.28,1101400
2001-02-21,18.15,18.34,17.38,17.41,1365000
2001-02-22,17.38,17.62,16.75,17.38,2141800
2001-02-23,17.17,17.56,16.81,17.44,1814000
2001-02-26,17.47,18.38,17.47,18.34,1977000
2001-02-27,18.19,18.47,17.97,18.12,724600
2001-02-28,18.22,18.31,17.72,17.84,1220800
2001-03-01,17.56,18.22,17.44,18.22,1175200
2001-03-02,18.03,18.62,18.0,18.44,732400
2001-03-05,18.53,18.59,17.94,18.5,692000
2001-03-06,18.75,19.28,18.56,18.72,642600
2001-03-07,19.25,19.25,18.25,18.38,764400
2001-03-08,18.5,18.78,18.03,18.19,371600
2001-03-09,18.03,18.19,17.56,17.81,403400
2001-03-12,17.62,17.75,17.28,17.28,699400
2001-03-13,17.31,17.88,17.16,17.53,2355200
2001-03-14,17.41,17.5,16.91,17.03,1780000
2001-03-15,17.06,17.34,16.53,16.66,2116200
2001-03-16,16.5,16.81,16.0,16.03,2063600
2001-03-19,16.22,17.0,15.91,16.91,1730200
2001-03-20,16.88,17.0,15.91,16.0,1197000
2001-03-21,16.19,16.25,15.28,15.34,1023200
2001-03-22,15.5,15.53,14.28,14.56,3428200
2001-03-23,14.88,15.31,14.72,15.12,1653400
2001-03-26,15.12,15.76,15.06,15.31,488200
2001-03-27,15.19,16.27,15.19,16.12,1367600
2001-03-28,16.08,16.16,15.56,15.66,901200
2001-03-29,15.57,15.81,15.37,15.41,723400
2001-03-30,15.53,15.75,15.38,15.66,552800
2001-04-02,15.72,16.06,15.34,15.38,1044600
2001-04-03,15.38,15.47,14.59,14.69,789600
2001-04-04,14.62,14.69,13.91,14.28,1260600
2001-04-05,14.47,15.62,14.44,15.5,1755600
2001-04-06,15.44,15.44,14.81,14.88,1143400
2001-04-09,14.93,15.12,14.82,15.11,1174800
2001-04-10,15.16,16.21,15.03,16.14,1970000
2001-04-11,16.18,17.09,16.12,17.01,2185400
2001-04-12,16.98,17.03,16.66,16.88,1741600
2001-04-16,16.86,16.99,16.64,16.8,1046000
2001-04-17,16.5,17.18,16.46,17.12,1418800
2001-04-18,17.26,18.78,17.09,18.76,2789400
2001-04-19,18.7,18.74,18.1,18.47,973400
2001-04-20,18.47,18.5,17.72,18.18,712800
2001-04-23,18.12,18.12,17.25,17.38,1455400
2001-04-24,17.38,17.5,17.18,17.2,1056800
2001-04-25,17.28,17.78,16.58,17.24,799200
2001-04-26,17.44,17.65,17.24,17.41,677400
2001-04-27,17.52,17.96,17.5,17.88,1007000
2001-04-30,18.0,18.09,17.35,17.38,584800
2001-05-01,17.35,17.78,17.08,17.78,724600
2001-05-02,17.53,18.01,17.5,17.78,781600
2001-05-03,17.79,17.8,17.47,17.78,604800
2001-05-04,17.57,17.78,17.47,17.72,772400
2001-05-07,17.8,18.03,17.68,17.77,672000
2001-05-08,17.9,17.9,17.47,17.54,548400
2001-05-09,17.58,17.68,17.33,17.54,486400
2001-05-10,17.71,17.74,17.5,17.54,428000
2001-05-11,17.45,17.62,17.16,17.53,651600
2001-05-14,17.55,17.58,17.26,17.49,325800
2001-05-15,17.45,17.67,17.3,17.5,645800
2001-05-16,17.53,18.09,17.42,17.93,1030200
2001-05-17,17.94,18.01,17.78,17.93,651600
2001-05-18,17.93,17.93,17.63,17.66,891000
2001-05-21,17.73,18.09,17.58,18.01,1494400
2001-05-22,17.82,18.54,17.78,18.4,1541600
2001-05-23,18.25,18.28,18.0,18.08,801600
2001-05-24,18.05,18.38,17.91,18.34,785600
2001-05-25,18.25,18.45,18.25,18.34,1048200
2001-05-29,18.33,18.46,18.22,18.46,601000
2001-05-30,18.42,18.5,18.26,18.26,1051200
2001-05-31,18.2,18.59,18.15,18.34,876200
2001-06-01,18.35,18.38,17.8,18.14,581600
2001-06-04,18.27,18.4,18.0,18.36,562600
2001-06-05,18.26,18.72,18.18,18.63,1183800
2001-06-06,18.78,18.78,18.35,18.45,737000
2001-06-07,18.49,18.6,18.17,18.32,393400
2001-06-08,18.26,18.4,17.88,18.4,211000
