Date,Open,High,Low,Close,Volume
2001-02-07,25.55,26.25,25.5,25.66,1176600
2001-02-08,25.65,25.85,25.61,25.68,963600
2001-02-09,25.62,26.12,25.61,25.74,1545200
2001-02-12,25.68,26.35,25.6,26.21,770200
2001-02-13,26.12,26.48,26.1,26.28,1234600
2001-02-14,26.13,26.32,25.9,25.9,1189800
2001-02-15,26.12,26.83,26.12,26.83,1160000
2001-02-16,26.9,26.9,26.42,26.54,998800
2001-02-20,26.52,27.42,26.45,27.0,1773200
2001-02-21,26.62,27.3,26.62,26.75,1312200
2001-02-22,26.5,26.74,26.25,26.25,1371800
2001-02-23,25.37,26.2,25.37,25.94,2199000
2001-02-26,26.05,26.62,25.82,26.59,1053400
2001-02-27,26.5,27.42,26.48,27.37,1614600
2001-02-28,27.25,27.3,26.3,26.49,906000
2001-03-01,26.5,26.52,25.7,26.12,1608600
2001-03-02,25.62,26.9,25.62,26.78,1677000
2001-03-05,26.78,27.32,26.66,27.32,950600
2001-03-06,28.22,28.25,27.6,27.91,1340000
2001-03-07,27.82,28.78,27.68,28.78,1774000
2001-03-08,28.5,29.88,28.4,29.63,2345800
2001-03-09,29.5,29.99,29.42,29.56,1525000
2001-03-12,28.75,29.1,28.52,28.52,1949600
2001-03-13,28.5,28.55,27.85,28.2,1272800
2001-03-14,28.22,28.4,27.9,28.03,1241200
2001-03-15,27.9,28.56,27.88,28.48,1085600
2001-03-16,28.4,28.76,28.22,28.35,1834200
2001-03-19,28.12,29.18,28.06,28.92,1142000
2001-03-20,28.79,28.91,28.32,28.46,836400
2001-03-21,28.46,28.5,27.12,27.4,1332000
2001-03-22,27.22,27.22,25.62,26.89,1794400
2001-03-23,26.78,27.03,26.06,26.98,1065400
2001-03-26,26.98,27.68,26.93,27.48,747600
2001-03-27,27.5,28.5,27.3,28.4,1337600
2001-03-28,28.15,28.16,27.14,27.85,1256000
2001-03-29,27.95,28.45,27.76,28.22,1404400
2001-03-30,28.2,28.42,27.65,28.42,885600
2001-04-02,28.42,28.92,28.12,28.42,1657400
2001-04-03,28.25,28.26,26.78,27.0,985000
2001-04-04,27.1,27.79,27.0,27.73,632200
2001-04-05,27.76,28.9,27.76,28.82,1056400
2001-04-06,28.75,28.75,28.05,28.49,662800
2001-04-09,28.45,28.94,28.34,28.48,979000
2001-04-10,28.75,28.9,28.05,28.38,1865200
2001-04-11,28.38,28.38,27.3,27.6,1508200
2001-04-12,27.62,27.78,27.3,27.64,1635200
2001-04-16,28.0,28.0,27.52,27.88,863400
2001-04-17,27.88,28.3,27.8,28.3,872000
2001-04-18,28.38,29.75,28.36,29.26,894600
2001-04-19,29.2,29.2,28.24,28.38,1300400
2001-04-20,28.28,28.3,26.95,27.4,1585800
2001-04-23,27.4,27.58,26.65,27.07,1242600
2001-04-24,27.3,27.36,26.58,26.66,1351600
2001-04-25,26.78,26.92,26.04,26.78,1014000
2001-04-26,26.78,26.8,26.2,26.48,1877200
2001-04-27,26.5,27.02,26.28,27.02,1333200
2001-04-30,27.01,27.02,26.42,26.51,1730600
2001-05-01,26.62,27.08,26.5,26.98,877600
2001-05-02,26.85,27.24,26.78,26.9,777800
2001-05-03,26.78,27.25,26.42,27.18,1082400
2001-05-04,26.94,27.6,26.75,27.52,1134800
2001-05-07,27.52,27.64,27.14,27.16,885800
2001-05-08,27.62,28.12,27.48,27.6,1521800
2001-05-09,28.0,28.0,26.8,27.28,843800
2001-05-10,27.4,27.98,27.38,27.7,731200
2001-05-11,27.68,27.82,27.5,27.52,495000
2001-05-14,27.5,27.62,27.48,27.53,708000
2001-05-15,27.5,28.35,27.5,27.95,876200
2001-05-16,27.82,28.84,27.76,28.78,904400
2001-05-17,28.9,29.62,28.7,29.03,1012800
2001-05-18,29.04,29.38,28.8,28.82,790800
2001-05-21,28.9,28.92,28.58,28.76,1059200
2001-05-22,28.7,29.1,28.56,28.74,1294600
2001-05-23,28.75,29.2,28.7,28.97,1154400
2001-05-24,28.97,29.1,28.83,28.86,842600
2001-05-25,28.82,28.9,28.42,28.68,523800
2001-05-29,28.6,28.8,28.5,28.64,367600
2001-05-30,28.65,28.84,28.2,28.32,725200
2001-05-31,28.58,29.08,28.43,28.8,663800
2001-06-01,28.92,28.98,28.6,28.85,658000
2001-06-04,28.84,29.17,28.8,29.08,815600
2001-06-05,29.0,30.0,28.98,29.94,1528600
2001-06-06,29.94,30.14,29.71,29.83,1552400
2001-06-07,29.9,30.19,29.82,29.94,1099400
2001-06-08,30.24,30.24,29.4,29.64,822800
2001-06-11,29.65,29.67,29.32,29.39,521800
2001-06-12,29.12,29.65,29.12,29.64,618800
2001-06-13,29.39,29.6,29.2,29.3,779200
2001-06-14,29.0,29.0,28.42,28.66,972600
2001-06-15,28.6,28.7,28.3,28.5,1059000
2001-06-18,28.45,29.08,28.45,29.01,783400
2001-06-19,28.9,29.05,28.3,28.5,770400
2001-06-20,28.38,28.82,28.32,28.41,859400
2001-06-21,28.42,29.28,28.26,29.24,752400
2001-06-22,29.0,29.06,28.35,28.38,743000
2001-06-25,28.48,28.82,27.75,28.17,834200
2001-06-26,28.28,28.28,27.65,28.18,1292800
2001-06-27,28.18,28.38,28.0,28.25,587400
2001-06-28,28.35,28.41,28.01,28.14,1325800
2001-06-29,27.88,27.88,27.34,27.52,1966400
2001-07-02,27.52,27.75,27.21,27.75,1589200
2001-07-03,27.88,28.04,27.38,27.97,707400
2001-07-05,27.93,27.98,27.68,27.92,742200
2001-07-06,27.92,27.95,27.35,27.44,1090600
2001-07-09,27.0,27.44,26.92,27.25,743800
2001-07-10,27.25,27.25,26.94,26.98,2148400
2001-07-11,26.75,27.15,26.68,27.03,1358000
2001-07-12,27.25,27.8,27.05,27.72,1314600
2001-07-13,27.7,27.71,27.25,27.4,1156600
2001-07-16,27.48,27.52,26.74,26.74,954800
2001-07-17,26.8,28.25,26.72,27.9,1336200
2001-07-18,27.45,27.9,27.25,27.5,2521000
2001-07-19,27.62,27.78,27.5,27.64,652600
2001-07-20,27.5,27.55,27.44,27.49,1197000
2001-07-23,27.5,27.52,26.95,27.0,836200
2001-07-24,27.0,27.1,26.55,26.76,941600
2001-07-25,26.85,27.28,26.78,27.18,916000
2001-07-26,27.18,27.2,27.0,27.13,1147200
2001-07-27,27.08,27.3,26.95,27.24,1561200
2001-07-30,27.2,27.48,27.12,27.44,835400
2001-07-31,27.5,28.22,27.48,28.16,962200
2001-08-01,28.16,28.62,27.99,28.08,1207800
2001-08-02,28.3,28.5,27.9,27.92,433600
2001-08-03,28.0,28.32,27.65,28.2,729600
2001-08-06,27.96,28.32,27.48,27.5,462000
2001-08-07,27.98,28.5,27.88,28.45,1278600
2001-08-08,28.42,28.49,27.62,27.64,878000
2001-08-09,27.8,27.8,27.52,27.54,696200
2001-08-10,27.55,28.29,27.52,27.98,496600
2001-08-13,27.85,27.86,27.6,27.72,698400
2001-08-14,27.72,28.2,27.68,28.02,596400
2001-08-15,27.92,28.32,27.92,27.97,614200
2001-08-16,27.9,28.25,27.6,28.18,415800
2001-08-17,28.1,28.38,27.62,27.62,636000
2001-08-20,27.75,27.78,27.5,27.7,761600
2001-08-21,27.7,28.39,27.48,27.49,1457000
2001-08-22,27.56,27.68,27.0,27.44,640800
2001-08-23,27.55,27.55,27.15,27.25,528400
2001-08-24,27.25,28.0,27.15,27.7,764800
2001-08-27,27.89,27.95,27.34,27.36,616200
2001-08-28,27.38,27.4,26.51,26.65,1242800
2001-08-29,26.78,26.95,26.53,26.54,761200
2001-08-30,26.55,26.76,26.04,26.08,515200
2001-08-31,25.98,26.48,25.92,26.2,644000
2001-09-04,26.38,27.1,26.22,26.5,1699200
2001-09-05,26.52,26.52,26.02,26.19,863800
2001-09-06,26.19,26.28,25.63,25.64,793600
2001-09-07,25.52,25.52,24.66,24.72,1171000
2001-09-10,24.42,25.1,24.38,24.5,1463000
2001-09-17,24.25,24.36,21.87,22.0,3414200
2001-09-18,22.0,22.89,22.0,22.12,1892600
2001-09-19,22.24,22.48,20.58,21.44,1502600
2001-09-20,21.12,21.4,20.15,20.2,1854600
2001-09-21,19.5,20.04,19.25,19.25,2121800
2001-09-24,19.5,21.28,19.5,21.18,1939000
2001-09-25,21.14,21.88,21.12,21.5,1726400
2001-09-26,19.08,19.08,16.05,16.4,11212400
2001-09-27,16.75,16.8,16.2,16.4,2828600
2001-09-28,16.65,17.25,16.4,16.8,3206200
2001-10-01,17.0,17.0,16.55,16.99,2398200
2001-10-02,16.99,17.75,16.9,17.55,3385400
2001-10-03,17.65,18.12,17.34,17.88,2354400
2001-10-04,17.84,18.05,17.72,17.72,2345200
2001-10-05,17.86,18.0,17.37,17.64,1557000
2001-10-08,17.45,17.6,17.28,17.57,1064000
2001-10-09,17.57,17.62,16.98,17.07,1913200
