Date,Open,High,Low,Close,Volume
2001-02-07,37.18,37.8,36.94,37.13,3239400
2001-02-08,37.18,37.79,36.94,37.5,2037200
2001-02-09,38.0,38.08,37.3,37.44,3192400
2001-02-12,37.88,37.9,37.43,37.5,2576200
2001-02-13,37.52,39.02,37.5,38.7,5008200
2001-02-14,38.62,39.15,38.28,38.5,3899000
2001-02-15,38.75,39.88,38.72,39.5,4367000
2001-02-16,39.5,39.8,38.92,39.12,3473600
2001-02-20,39.5,39.78,39.38,39.38,4321800
2001-02-21,39.2,40.2,38.92,39.56,3889800
2001-02-22,39.56,39.69,38.75,39.22,5653600
2001-02-23,38.85,38.9,38.1,38.62,3858600
2001-02-26,38.2,39.25,38.15,39.22,5034200
2001-02-27,39.25,40.0,38.85,39.82,6800800
2001-02-28,39.88,39.92,38.3,38.96,4915200
2001-03-01,38.8,39.42,38.34,39.0,4533400
2001-03-02,38.88,39.46,38.5,39.02,3744400
2001-03-05,39.5,40.55,39.4,40.05,5397400
2001-03-06,40.45,40.95,40.09,40.18,5661000
2001-03-07,40.19,41.2,40.0,40.84,3746600
2001-03-08,40.98,41.25,40.5,41.04,4530600
2001-03-09,41.04,41.06,40.6,40.85,2645000
2001-03-12,40.6,40.6,39.12,39.2,4878000
2001-03-13,39.25,39.62,38.72,39.62,5033800
2001-03-14,38.55,38.88,36.76,37.5,11076600
2001-03-15,38.5,38.52,37.27,37.88,7018800
2001-03-16,38.0,38.12,35.62,35.72,8542400
2001-03-19,35.8,36.55,35.62,36.52,5198800
2001-03-20,36.78,37.22,35.82,35.92,4252800
2001-03-21,35.85,35.86,34.85,34.86,4160600
2001-03-22,34.75,34.75,32.45,33.68,9451800
2001-03-23,33.68,34.2,32.72,33.5,7726200
2001-03-26,34.0,36.25,33.75,35.88,8469600
2001-03-27,35.88,37.5,35.5,37.23,8147600
2001-03-28,36.95,37.1,36.1,36.6,5990000
2001-03-29,36.6,37.62,36.22,37.28,4959600
2001-03-30,37.38,37.5,36.38,36.65,4715400
2001-04-02,36.8,37.42,36.16,36.7,4580200
2001-04-03,36.3,36.56,35.19,35.42,5146400
2001-04-04,35.3,36.37,35.0,35.7,4314800
2001-04-05,36.3,37.7,36.3,37.58,3671800
2001-04-06,37.0,37.5,36.6,36.89,3218400
2001-04-09,37.0,37.93,37.0,37.46,2725000
2001-04-10,36.5,37.62,36.12,37.3,6334000
2001-04-11,37.12,37.24,36.17,36.42,4531400
2001-04-12,36.95,37.69,36.62,37.69,2995400
2001-04-16,37.68,38.32,37.3,37.64,2617800
2001-04-17,37.52,38.0,37.15,37.8,2283600
2001-04-18,38.3,39.92,38.15,39.05,4324400
2001-04-19,38.92,38.93,38.15,38.65,4556200
2001-04-20,38.05,38.6,38.05,38.36,3202400
2001-04-23,38.75,38.75,38.14,38.33,2067200
2001-04-24,38.28,38.92,38.25,38.25,2563000
2001-04-25,38.38,38.47,37.48,38.22,2762800
2001-04-26,38.5,38.95,38.12,38.5,2670800
2001-04-27,38.68,39.42,38.48,39.25,3037200
2001-04-30,39.38,39.85,38.96,39.04,3105800
2001-05-01,39.0,39.38,38.75,39.22,2996800
2001-05-02,39.95,39.95,38.72,39.07,3762200
2001-05-03,39.5,39.5,38.73,39.16,2675400
2001-05-04,39.06,39.6,38.58,39.48,2267200
2001-05-07,38.95,39.49,38.95,39.2,1911800
2001-05-08,39.32,39.44,38.24,38.56,2699400
2001-05-09,38.8,38.8,38.25,38.38,2576800
2001-05-10,38.75,39.66,38.68,39.36,2844600
2001-05-11,39.5,40.0,39.18,39.55,3047800
2001-05-14,39.95,39.95,39.22,39.44,2160600
2001-05-15,39.85,39.99,39.15,39.7,2874400
2001-05-16,39.62,41.45,39.5,41.45,4686800
2001-05-17,41.32,42.66,41.28,42.32,6738800
2001-05-18,42.32,43.75,42.18,43.6,8325600
2001-05-21,43.25,43.48,42.86,43.15,4469600
2001-05-22,42.9,43.18,42.02,42.41,4709600
2001-05-23,42.54,42.55,41.86,42.28,2889400
2001-05-24,42.62,42.84,41.92,42.12,2921000
2001-05-25,42.12,42.12,41.0,41.62,3180000
