Date,Open,High,Low,Close,Volume
2001-02-07,16.5,16.78,16.5,16.78,566400
2001-02-08,16.75,17.2,16.44,16.58,562400
2001-02-09,16.5,16.5,16.17,16.25,392800
2001-02-12,16.22,16.45,16.2,16.45,780000
2001-02-13,16.46,16.49,16.25,16.29,289600
2001-02-14,16.28,16.54,16.06,16.52,615200
2001-02-15,16.78,17.3,16.78,17.19,1036000
2001-02-16,17.1,17.12,16.92,16.92,620400
2001-02-20,16.95,17.16,16.8,17.11,436800
2001-02-21,17.18,17.54,17.18,17.28,975200
2001-02-22,17.25,17.28,16.98,17.0,1348800
2001-02-23,16.94,17.21,16.81,17.2,1101600
2001-02-26,17.2,18.22,17.2,17.55,1722800
2001-02-27,17.49,17.62,17.2,17.4,936000
2001-02-28,17.44,17.49,16.6,16.6,624000
2001-03-01,16.8,16.8,15.6,16.3,1679200
2001-03-02,16.24,16.78,16.08,16.64,614800
2001-03-05,16.68,16.68,16.4,16.48,414400
2001-03-06,16.45,16.55,16.42,16.5,421200
2001-03-07,16.5,16.9,16.38,16.69,607200
2001-03-08,16.68,16.7,16.54,16.55,254800
2001-03-09,16.55,16.85,16.55,16.75,643200
2001-03-12,16.75,16.75,16.39,16.39,458800
2001-03-13,16.36,16.36,15.86,16.07,967200
2001-03-14,16.0,16.05,15.62,15.72,997600
2001-03-15,15.76,16.02,15.76,15.9,844800
2001-03-16,15.92,15.95,15.75,15.88,1089600
2001-03-19,15.81,16.25,15.25,16.25,1120000
2001-03-20,16.25,16.25,15.8,15.8,638000
2001-03-21,16.05,16.05,15.9,16.0,1324400
2001-03-22,16.0,16.0,15.1,15.61,1023600
2001-03-23,15.61,15.72,15.32,15.64,544000
2001-03-26,15.69,15.92,15.69,15.75,509200
2001-03-27,15.75,15.75,15.46,15.69,379600
2001-03-28,15.66,15.9,15.5,15.83,648800
2001-03-29,15.83,15.88,15.52,15.75,690800
2001-03-30,15.94,16.0,15.2,15.2,1090400
2001-04-02,15.25,15.62,15.24,15.39,1100800
2001-04-03,15.32,15.32,14.78,15.0,901600
2001-04-04,15.0,15.06,14.58,14.62,899600
2001-04-05,14.75,15.0,14.68,14.98,1297200
2001-04-06,14.95,15.03,14.66,14.69,502400
2001-04-09,14.62,14.88,14.61,14.72,515200
2001-04-10,14.79,15.12,14.79,15.12,933600
2001-04-11,15.19,15.29,14.52,14.88,557600
2001-04-12,14.85,14.97,14.55,14.68,526000
2001-04-16,14.75,14.94,14.62,14.64,290400
2001-04-17,14.7,15.25,14.7,15.19,278000
2001-04-18,15.19,15.64,15.19,15.19,492000
2001-04-19,15.19,15.49,15.19,15.35,530000
2001-04-20,15.32,15.32,14.88,15.05,213600
2001-04-23,15.09,15.65,15.09,15.56,467600
2001-04-24,15.5,15.91,15.48,15.75,718800
2001-04-25,15.72,17.15,15.72,17.12,1302400
2001-04-26,17.08,17.5,16.69,17.18,2545600
2001-04-27,17.18,17.58,17.15,17.21,872400
2001-04-30,17.16,17.5,17.09,17.22,771200
2001-05-01,17.2,17.25,17.0,17.22,578400
2001-05-02,17.24,17.24,16.92,16.92,381600
2001-05-03,16.86,16.86,16.44,16.48,757600
2001-05-04,16.42,16.45,16.15,16.15,1182000
2001-05-07,16.21,16.32,16.08,16.25,512000
2001-05-08,16.12,16.71,15.89,16.68,1538400
2001-05-09,16.69,16.88,16.3,16.35,635600
2001-05-10,16.32,17.22,16.32,17.04,927200
2001-05-11,17.04,17.24,17.02,17.1,737600
2001-05-14,17.1,17.26,17.0,17.09,580800
2001-05-15,17.08,17.49,17.05,17.3,458800
2001-05-16,17.36,18.25,17.3,17.91,2186000
2001-05-17,17.92,19.12,17.92,18.5,1708000
2001-05-18,18.5,18.6,18.26,18.51,676800
2001-05-21,18.48,18.75,18.45,18.62,665200
2001-05-22,18.58,18.6,18.47,18.51,567200
2001-05-23,18.31,18.31,17.62,18.0,800800
2001-05-24,17.98,18.15,17.62,18.08,576400
2001-05-25,18.01,18.32,17.99,18.26,384000
2001-05-29,18.25,18.38,18.06,18.32,382000
2001-05-30,18.33,18.33,17.68,17.75,813600
2001-05-31,17.75,18.31,17.75,18.12,612400
2001-06-01,18.13,18.69,18.0,18.39,794400
2001-06-04,18.45,18.9,18.45,18.7,550400
2001-06-05,18.64,19.08,18.5,18.88,573200
2001-06-06,18.94,19.25,18.94,19.16,1318400
2001-06-07,19.1,19.31,19.05,19.18,1576000
2001-06-08,19.19,19.22,18.82,19.2,332800
2001-06-11,19.21,19.21,18.55,18.65,406800
2001-06-12,18.45,18.45,16.25,16.35,2426000
2001-06-13,17.99,18.69,17.52,18.39,4397200
2001-06-14,18.32,18.35,17.71,18.08,1364400
2001-06-15,18.12,18.12,17.94,18.11,854000
2001-06-18,18.11,18.55,18.1,18.54,508400
2001-06-19,18.38,18.48,18.05,18.44,1180400
2001-06-20,18.44,18.9,18.32,18.7,1036400
2001-06-21,18.72,18.99,18.72,18.82,760400
2001-06-22,18.8,18.8,18.53,18.7,824800
2001-06-25,18.68,18.68,17.95,18.0,1280000
2001-06-26,17.78,17.78,17.4,17.5,1917600
2001-06-27,17.52,18.5,17.52,18.4,866000
2001-06-28,18.4,18.54,18.32,18.39,947200
2001-06-29,18.34,18.54,17.88,17.88,2739200
2001-07-02,18.06,18.17,17.91,18.14,863600
2001-07-03,18.2,18.35,18.2,18.26,531600
2001-07-05,18.25,18.5,18.21,18.44,816400
2001-07-06,18.52,18.52,17.65,17.79,568000
2001-07-09,17.82,17.92,17.12,17.69,1354000
2001-07-10,17.69,18.62,17.69,18.44,1667200
2001-07-11,18.44,18.55,17.92,18.0,939600
2001-07-12,18.05,18.05,17.8,17.9,823200
2001-07-13,17.9,17.9,17.69,17.82,1236800
2001-07-16,17.82,17.88,17.58,17.75,920400
2001-07-17,17.72,17.73,17.3,17.38,821600
2001-07-18,17.35,17.36,17.1,17.3,539600
2001-07-19,17.38,17.71,17.32,17.34,1094000
2001-07-20,17.32,17.72,17.32,17.72,336800
2001-07-23,17.72,17.88,17.64,17.85,1212000
2001-07-24,17.82,17.97,17.77,17.83,1142400
2001-07-25,17.85,17.88,16.44,16.44,2279200
2001-07-26,17.0,18.0,17.0,18.0,2255200
2001-07-27,17.95,17.98,17.6,17.6,626400
2001-07-30,17.59,18.0,17.1,18.0,1185600
2001-07-31,17.85,17.99,17.62,17.88,622400
2001-08-01,17.88,17.88,17.5,17.55,608800
2001-08-02,17.6,17.6,17.0,17.08,788400
2001-08-03,17.02,17.02,16.38,16.82,1383200
2001-08-06,16.62,16.74,16.25,16.34,802000
2001-08-07,16.38,16.38,16.02,16.24,690000
2001-08-08,16.2,17.0,16.12,16.85,1048400
2001-08-09,16.8,16.98,16.78,16.89,656800
2001-08-10,16.88,17.24,16.68,16.95,737600
2001-08-13,16.95,17.04,16.86,16.92,338400
2001-08-14,16.95,17.0,16.78,17.0,692800
2001-08-15,17.0,17.08,16.75,16.79,354400
2001-08-16,16.72,16.72,16.42,16.55,789600
2001-08-17,16.52,16.71,16.48,16.63,641600
2001-08-20,17.0,17.05,16.71,16.76,460800
2001-08-21,16.75,17.25,16.75,17.15,1083200
2001-08-22,17.15,17.4,17.14,17.18,510000
2001-08-23,17.19,17.2,16.8,16.9,586800
2001-08-24,16.89,17.01,16.74,16.92,480400
2001-08-27,16.94,17.04,16.8,16.88,393200
2001-08-28,16.88,17.02,16.74,16.74,248800
2001-08-29,16.84,16.99,16.75,16.97,660800
2001-08-30,16.96,17.0,16.85,16.98,256800
2001-08-31,16.94,17.0,16.5,16.5,352400
2001-09-04,16.56,17.1,16.56,17.0,406400
2001-09-05,17.02,17.15,16.98,16.99,284800
2001-09-06,16.99,17.11,16.81,16.85,352400
2001-09-07,16.79,16.79,16.0,16.12,4791600
2001-09-10,16.06,16.6,16.06,16.3,1334400
2001-09-17,16.25,16.5,15.93,15.94,712000
2001-09-18,15.91,15.91,15.02,15.05,816400
2001-09-19,15.06,15.33,14.1,14.5,1907200
2001-09-20,14.44,14.7,14.31,14.68,1280000
2001-09-21,14.52,14.84,14.35,14.83,784400
2001-09-24,15.25,15.61,15.25,15.4,956800
2001-09-25,15.4,16.12,15.4,16.0,1250800
2001-09-26,15.95,16.04,15.75,16.0,1559200
2001-09-27,16.0,17.0,16.0,16.78,1141600
2001-09-28,16.76,16.76,15.88,16.04,1486400
2001-10-01,15.75,16.1,15.3,15.51,1131600
2001-10-02,15.57,16.56,15.57,15.88,1082800
2001-10-03,15.81,16.0,15.75,15.88,896400
2001-10-04,15.94,16.15,15.8,15.94,513600
2001-10-05,15.9,15.9,15.12,15.12,1275200
2001-10-08,15.12,15.56,15.02,15.42,1558400
2001-10-09,15.42,15.42,15.0,15.04,874000
2001-10-10,14.88,15.35,14.75,15.25,1666800
2001-10-11,15.29,15.75,15.29,15.72,1763600
2001-10-12,15.68,15.98,15.68,15.9,822400
