Date,Open,High,Low,Close,Volume
2001-02-07,9.3,9.62,9.3,9.6,3338800
2001-02-08,9.29,9.44,9.2,9.22,4778000
2001-02-09,9.28,9.37,9.19,9.31,3550400
2001-02-12,9.35,9.62,9.31,9.62,5105600
2001-02-13,9.74,9.78,9.68,9.75,3300400
2001-02-14,9.75,9.79,9.55,9.63,2796800
2001-02-15,9.58,9.58,9.15,9.22,2622400
2001-02-16,9.28,9.34,9.09,9.24,1795600
2001-02-20,9.24,9.24,9.12,9.19,1813200
2001-02-21,9.12,9.2,9.02,9.06,1865600
2001-02-22,9.04,9.15,8.99,9.03,2240000
2001-02-23,9.19,9.2,8.98,9.05,2707200
2001-02-26,9.11,9.44,9.1,9.4,4411600
2001-02-27,9.35,9.46,9.35,9.38,1901200
2001-02-28,8.88,9.16,8.86,9.16,4100400
2001-03-01,9.15,9.16,9.04,9.12,1952000
2001-03-02,9.12,9.22,9.12,9.14,2596400
2001-03-05,9.16,9.44,9.15,9.32,1060800
2001-03-06,9.12,9.21,9.11,9.15,2415200
2001-03-07,9.14,9.32,9.14,9.3,2602400
2001-03-08,9.31,9.7,9.28,9.69,2524000
2001-03-09,9.69,9.99,9.62,9.7,2172400
2001-03-12,9.6,9.62,9.5,9.56,4863200
2001-03-13,9.55,9.58,9.2,9.38,3430800
2001-03-14,9.35,9.35,9.08,9.13,1980800
2001-03-15,9.12,9.21,8.88,8.91,1793600
2001-03-16,8.71,8.9,8.42,8.55,2871600
2001-03-19,8.59,8.8,8.54,8.74,2689600
2001-03-20,8.76,9.05,8.75,8.89,3102400
2001-03-21,9.12,9.18,8.86,8.96,2772400
2001-03-22,8.92,8.92,8.32,8.51,1938400
2001-03-23,8.57,8.7,8.52,8.54,1396000
2001-03-26,8.59,8.74,8.58,8.74,1709200
2001-03-27,8.66,8.75,8.56,8.62,2776800
2001-03-28,8.58,8.82,8.55,8.78,2725200
2001-03-29,8.8,8.88,8.77,8.84,1446800
2001-03-30,8.84,9.29,8.84,8.88,3458000
2001-04-02,8.94,9.08,8.82,8.86,3458800
2001-04-03,8.79,8.9,8.75,8.76,3641200
2001-04-04,8.9,9.1,8.9,9.06,4018400
2001-04-05,9.38,9.66,9.32,9.59,5000400
2001-04-06,9.53,9.53,9.34,9.41,3812000
2001-04-09,9.55,10.02,9.55,10.02,5180000
2001-04-10,10.28,10.28,10.06,10.15,3339200
2001-04-11,10.34,10.34,9.94,10.11,2758400
2001-04-12,10.1,10.3,10.1,10.15,2172000
2001-04-16,10.14,10.76,10.14,10.74,3338000
2001-04-17,10.72,11.05,10.69,10.84,5926800
2001-04-18,11.75,11.75,11.17,11.34,8357200
2001-04-19,11.32,11.33,11.18,11.2,3349200
2001-04-20,11.2,11.38,11.2,11.25,4040800
2001-04-23,11.44,11.88,11.44,11.61,3168000
