Date,Open,High,Low,Close,Volume
2001-02-07,36.2,36.55,36.2,36.36,323100
2001-02-08,36.34,36.36,36.0,36.26,71000
2001-02-09,36.3,36.39,36.01,36.1,76600
2001-02-12,36.25,36.3,36.0,36.08,84700
2001-02-13,36.05,36.2,36.0,36.05,198900
2001-02-14,36.05,36.16,36.0,36.12,1314800
2001-02-15,36.12,36.12,35.76,36.0,674600
2001-02-16,36.1,36.3,35.94,36.0,519400
2001-02-20,36.1,36.1,35.7,35.95,1152900
2001-02-21,35.85,35.95,35.15,35.52,170300
2001-02-22,35.3,35.4,34.47,34.57,263800
2001-02-23,34.57,36.15,34.57,35.15,904700
2001-02-26,35.15,36.6,35.15,36.45,285900
2001-02-27,36.45,37.14,36.42,37.06,810800
2001-02-28,37.06,38.35,37.05,37.81,398400
2001-03-01,37.81,38.15,37.5,37.95,175600
2001-03-02,38.15,39.2,38.15,38.55,463500
2001-03-05,38.54,38.85,38.54,38.76,430900
2001-03-06,38.76,38.8,38.51,38.54,201200
2001-03-07,38.54,38.54,37.9,38.0,668500
2001-03-08,38.0,38.0,37.88,38.0,72800
2001-03-09,38.0,38.0,37.5,37.65,161700
2001-03-12,37.71,37.75,37.2,37.41,128500
2001-03-13,37.4,37.81,37.4,37.7,97200
2001-03-14,37.46,37.5,36.98,37.0,208400
2001-03-15,36.55,36.98,36.2,36.55,120400
2001-03-16,36.0,36.5,36.0,36.39,2146800
2001-03-19,36.4,37.19,36.35,37.05,1979700
2001-03-20,37.05,37.85,36.95,36.97,112300
2001-03-21,36.98,37.2,36.0,36.07,220000
2001-03-22,36.1,36.2,34.9,35.5,151900
2001-03-23,35.5,36.4,35.25,35.3,203400
2001-03-26,35.25,36.3,35.25,36.3,241100
2001-03-27,36.1,36.3,35.5,36.25,102400
2001-03-28,36.15,36.15,35.35,35.42,158900
2001-03-29,35.45,36.0,35.36,35.85,167000
2001-03-30,35.85,36.5,35.82,35.83,173000
2001-04-02,36.23,36.75,36.23,36.7,207000
2001-04-03,36.6,36.63,35.64,35.7,85700
2001-04-04,35.9,36.24,35.65,35.83,97600
2001-04-05,35.8,36.55,35.8,36.39,99600
2001-04-06,36.45,36.45,35.69,35.75,66400
2001-04-09,35.75,36.2,35.58,35.6,65100
2001-04-10,35.6,35.8,35.39,35.42,132300
2001-04-11,35.55,35.58,34.87,34.98,176900
2001-04-12,34.98,34.98,34.55,34.78,184700
2001-04-16,34.78,35.0,34.56,34.56,134500
2001-04-17,34.65,35.1,34.5,35.0,102200
2001-04-18,35.0,35.3,34.6,35.23,324600
2001-04-19,35.23,35.3,35.0,35.25,88400
2001-04-20,35.3,35.5,35.02,35.13,173200
2001-04-23,35.3,35.38,34.85,35.08,105700
2001-04-24,35.08,35.3,34.84,35.1,191600
2001-04-25,35.2,35.38,35.02,35.15,56600
2001-04-26,35.16,35.77,35.16,35.61,181700
2001-04-27,36.05,36.7,35.88,36.55,399400
2001-04-30,36.6,36.8,36.49,36.72,59500
2001-05-01,36.73,36.96,36.55,36.93,123600
2001-05-02,36.95,37.0,36.75,37.0,197300
2001-05-03,36.69,36.9,36.45,36.76,379000
