Date,Open,High,Low,Close,Volume
2001-02-02,63.12,63.88,59.88,59.88,629300
2001-02-05,59.88,61.62,58.64,61.12,659700
2001-02-06,62.31,69.0,62.25,66.75,1026300
2001-02-07,66.88,67.06,62.27,62.88,707300
2001-02-08,64.06,65.75,62.62,65.44,772200
2001-02-09,64.88,64.88,61.19,63.55,392800
2001-02-12,62.81,68.25,61.88,68.06,474100
2001-02-13,68.0,69.25,60.25,60.88,599500
2001-02-14,60.62,63.5,58.38,62.94,853900
2001-02-15,63.38,64.69,60.25,63.31,396200
2001-02-16,58.88,61.0,56.0,58.81,1115200
2001-02-20,59.12,59.38,52.69,54.88,1005000
2001-02-21,51.0,56.25,50.62,54.62,1027400
2001-02-22,54.31,54.5,45.5,47.75,1529700
2001-02-23,46.06,49.12,44.75,48.94,2204200
2001-02-26,50.62,56.75,49.75,56.12,1647800
2001-02-27,55.0,56.25,49.5,49.81,860800
2001-02-28,49.88,54.12,47.25,49.75,974700
2001-03-01,49.12,49.88,45.64,48.0,876000
2001-03-02,46.81,49.5,45.5,47.06,494500
2001-03-05,47.06,49.19,45.12,46.0,532800
2001-03-06,48.56,48.56,43.19,45.12,992900
2001-03-07,44.81,45.0,41.19,42.94,989500
2001-03-08,42.12,42.38,38.75,39.81,779100
2001-03-09,38.0,41.0,36.25,36.5,1164100
2001-03-12,35.06,36.12,31.88,32.0,1239700
2001-03-13,32.25,36.19,32.12,35.75,1414700
2001-03-14,31.75,36.73,31.75,34.62,942400
2001-03-15,35.38,35.62,31.64,33.75,1160200
2001-03-16,33.56,34.5,30.88,31.62,1129700
2001-03-19,31.69,34.62,31.12,34.31,1110400
2001-03-20,34.5,35.44,31.75,32.06,1007700
2001-03-21,31.5,32.12,29.25,29.94,1523600
2001-03-22,29.12,29.5,25.62,29.19,2257100
2001-03-23,29.69,32.88,28.38,31.12,1586800
2001-03-26,32.62,35.8,32.12,34.88,1343800
2001-03-27,34.19,35.12,32.5,34.62,785200
2001-03-28,33.56,34.5,32.12,33.38,423900
2001-03-29,33.19,37.38,32.62,34.7,1393500
2001-03-30,36.0,38.0,35.31,36.62,823600
2001-04-02,36.69,36.88,32.06,33.25,661000
2001-04-03,31.19,33.88,29.75,31.56,1091100
2001-04-04,32.0,32.94,30.0,31.0,805200
2001-04-05,32.31,35.75,31.88,35.19,1044700
2001-04-06,34.81,37.75,33.25,35.81,912200
2001-04-09,36.0,37.73,35.62,37.3,483000
2001-04-10,37.73,40.7,37.72,40.49,1089100
2001-04-11,41.38,42.06,38.8,39.52,1019500
2001-04-12,39.98,43.97,38.98,43.61,424700
2001-04-16,43.35,43.6,39.8,39.83,972700
2001-04-17,39.0,42.63,38.02,42.15,617000
2001-04-18,43.56,46.0,42.62,44.99,1437400
2001-04-19,44.57,45.81,43.04,44.7,775100
2001-04-20,44.62,44.71,41.24,41.73,814700
2001-04-23,41.62,41.65,38.5,39.49,520500
2001-04-24,39.89,41.39,36.26,36.84,843500
2001-04-25,37.57,39.82,36.0,38.75,1216800
2001-04-26,39.44,40.25,37.05,39.76,1085600
2001-04-27,39.59,41.01,38.18,39.25,651200
2001-04-30,36.94,39.34,35.97,38.56,3847000
2001-05-01,38.4,38.97,36.89,37.46,1792800
2001-05-02,37.97,38.98,36.92,37.86,809800
2001-05-03,37.25,37.3,34.53,35.33,623300
2001-05-04,34.75,37.6,33.56,37.59,1044800
2001-05-07,37.9,38.25,35.72,36.23,469800
2001-05-08,37.22,37.29,35.0,35.83,980700
2001-05-09,35.25,36.55,34.5,34.99,541700
2001-05-10,36.38,36.51,32.44,32.95,1186700
2001-05-11,33.26,33.3,32.4,32.74,1467800
2001-05-14,32.65,32.7,31.36,31.76,986200
2001-05-15,32.05,32.2,30.96,31.49,900400
2001-05-16,31.0,34.04,30.8,32.92,1421400
2001-05-17,34.1,37.45,33.3,36.9,1726100
2001-05-18,37.76,37.77,35.3,36.51,1008600
2001-05-21,39.75,42.16,37.78,41.73,2771700
2001-05-22,42.21,43.5,40.52,43.4,2027500
2001-05-23,42.68,42.81,41.3,42.07,1300300
2001-05-24,42.1,45.4,41.35,45.1,1346900
2001-05-25,45.1,46.65,44.6,45.45,1715300
2001-05-29,45.25,46.1,44.25,44.5,1091500
2001-05-30,43.44,43.75,41.96,42.4,1367800
2001-05-31,42.84,44.8,42.81,43.94,1674500
2001-06-01,44.0,45.0,43.95,44.43,984900
2001-06-04,44.53,48.25,44.5,48.04,1280300
2001-06-05,48.15,52.25,48.1,50.97,1588700
2001-06-06,50.89,50.9,48.15,49.41,1485500
2001-06-07,49.0,50.15,47.05,48.7,1390300
2001-06-08,49.0,49.75,48.0,48.3,650900
2001-06-11,48.31,48.4,45.08,45.86,849500
2001-06-12,43.9,45.94,42.53,45.04,1824200
2001-06-13,46.14,47.71,44.86,45.04,669800
2001-06-14,44.84,45.19,43.64,44.12,1037700
2001-06-15,43.25,46.5,43.25,45.43,1123100
2001-06-18,45.74,47.35,43.8,44.0,723000
2001-06-19,45.53,46.71,43.77,44.0,571300
2001-06-20,43.32,46.66,42.8,46.59,1083800
2001-06-21,46.65,47.14,45.3,46.0,553200
2001-06-22,46.06,46.6,43.79,45.03,668500
2001-06-25,45.27,46.22,41.8,42.38,955700
2001-06-26,41.4,44.4,40.61,43.2,772400
2001-06-27,43.72,45.28,43.21,45.16,724700
2001-06-28,45.75,48.0,45.6,47.44,1002300
2001-06-29,47.61,49.5,46.56,49.5,492400
2001-07-02,48.98,49.38,46.59,46.88,475600
2001-07-03,46.19,48.85,46.0,48.58,480200
2001-07-05,48.31,48.38,45.5,45.53,403300
2001-07-06,44.61,45.3,42.77,44.65,723700
2001-07-09,44.52,47.1,43.3,44.01,694500
2001-07-10,44.3,45.0,40.76,41.01,1679800
2001-07-11,40.52,40.57,38.7,39.5,1040800
2001-07-12,40.3,40.45,38.9,40.1,1044000
2001-07-13,40.24,42.77,40.1,41.73,538500
2001-07-16,41.5,42.07,39.2,39.62,750000
2001-07-17,39.31,40.7,37.93,39.51,1236200
2001-07-18,38.23,40.62,37.85,39.76,751300
