Date,Open,High,Low,Close,Volume
2001-06-12,43.71,45.17,42.38,43.97,3889166
2001-06-13,43.84,44.24,43.71,43.84,758022
2001-06-14,43.71,43.71,42.38,42.91,501095
2001-06-15,42.78,43.58,42.38,43.58,382824
2001-06-18,45.03,46.09,43.84,45.14,352737
2001-06-19,45.03,45.96,44.37,45.96,232805
2001-06-20,46.09,49.01,46.09,47.15,176180
2001-06-21,47.15,47.68,47.02,47.15,79124
2001-06-22,47.1,47.1,45.96,46.3,109853
2001-06-25,45.7,47.68,43.71,46.75,142582
2001-06-26,46.57,46.57,44.98,45.03,109362
2001-06-27,45.03,46.22,44.37,45.83,96149
2001-06-28,46.36,47.28,46.09,46.36,102567
2001-06-29,46.36,47.55,45.7,47.02,222877
2001-07-02,47.02,47.15,45.7,46.36,46319
2001-07-03,46.75,46.75,45.7,46.09,54398
2001-07-05,46.36,47.26,46.09,47.07,74858
2001-07-06,47.05,47.28,46.75,46.97,60589
2001-07-09,46.62,46.62,45.03,45.3,117327
2001-07-10,45.43,45.59,44.37,44.77,148962
2001-07-11,45.17,47.02,44.66,45.7,151982
2001-07-12,45.7,46.36,44.64,44.69,198981
2001-07-13,44.66,45.7,44.66,45.7,112269
2001-07-16,45.83,46.04,45.7,45.96,48849
2001-07-17,45.96,46.36,44.77,45.96,64930
2001-07-18,45.83,45.83,45.03,45.43,80559
2001-07-19,45.03,45.3,44.5,45.03,128275
2001-07-20,44.9,45.03,44.69,44.9,38769
2001-07-23,44.9,44.9,44.64,44.9,59985
2001-07-24,44.9,44.9,43.18,43.44,221442
2001-07-25,43.18,43.18,41.06,43.05,371763
2001-07-26,43.05,43.97,43.05,43.6,96187
2001-07-27,43.71,45.56,43.71,45.56,118875
2001-07-30,45.17,46.33,45.03,45.03,91204
2001-07-31,46.36,47.02,44.77,45.7,267271
2001-08-01,45.96,46.36,45.75,45.75,139562
2001-08-02,45.75,45.83,44.11,44.37,153114
2001-08-03,44.37,47.02,44.37,46.75,177086
2001-08-06,47.02,47.68,46.78,47.68,46546
2001-08-07,47.42,47.81,46.36,46.36,130011
2001-08-08,46.62,46.62,45.56,46.49,67346
2001-08-09,46.36,46.49,45.7,46.12,58626
2001-08-10,46.12,46.89,46.12,46.89,25746
2001-08-13,46.62,48.34,46.49,47.44,34994
2001-08-14,47.28,49.01,47.28,48.08,72027
2001-08-15,48.48,48.48,47.68,48.34,61419
2001-08-16,48.34,48.9,48.11,48.77,68781
2001-08-17,48.74,49.72,48.74,49.27,9249
2001-08-20,49.67,51.66,49.67,51.66,174934
2001-08-21,50.99,51.26,50.33,50.46,108079
2001-08-22,50.86,53.51,50.86,52.85,168932
2001-08-23,52.98,52.98,52.19,52.19,44394
2001-08-24,51.52,51.52,50.6,50.86,154322
2001-08-27,50.99,51.13,50.07,50.33,59532
2001-08-28,50.33,50.46,49.72,50.33,99924
2001-08-29,50.33,50.6,49.67,50.33,127067
2001-08-30,50.46,50.6,49.67,49.72,31219
2001-08-31,49.8,50.2,49.8,49.83,15742
2001-09-04,49.67,49.77,48.74,49.4,45413
2001-09-05,49.27,49.27,48.61,48.61,55568
2001-09-06,48.37,48.42,47.58,47.58,6908
2001-09-07,47.15,48.0,46.89,47.05,38732
2001-09-10,47.15,47.15,46.38,46.62,72669
2001-09-17,45.96,54.3,45.96,50.99,726085
2001-09-18,51.66,52.19,51.66,51.92,319479
2001-09-19,52.19,53.64,51.66,53.64,222499
2001-09-20,53.91,59.6,53.91,56.69,409098
2001-09-21,56.95,58.28,54.44,55.1,306644
2001-09-24,55.63,56.16,55.1,55.63,167535
2001-09-25,56.16,56.95,55.36,55.76,120951
2001-09-26,56.69,59.31,56.56,58.91,345036
2001-09-27,61.59,65.14,60.66,63.44,369573
2001-09-28,63.84,64.61,61.62,61.96,141110
2001-10-01,60.93,61.85,60.21,61.14,102794
2001-10-02,59.6,61.19,58.83,60.13,139449
2001-10-03,60.66,63.44,60.66,61.48,320876
2001-10-04,61.72,62.25,60.13,61.17,148886
2001-10-05,61.19,62.25,60.56,62.12,131295
2001-10-08,62.15,62.15,60.66,61.24,45564
2001-10-09,61.27,61.72,60.93,60.93,80483
2001-10-10,61.19,63.28,61.19,62.41,212156
2001-10-11,63.05,63.55,62.12,62.22,55228
2001-10-12,61.99,62.52,60.13,61.99,81653
2001-10-15,61.32,61.35,59.36,60.4,40883
2001-10-16,60.42,63.58,58.99,59.47,50661
2001-10-17,58.28,59.6,58.28,59.58,71272
2001-10-18,59.1,61.46,58.81,61.35,101284
