Date,Open,High,Low,Close,Volume
2001-02-07,53.21,54.7,53.2,54.66,4924900
2001-02-08,54.55,54.8,51.56,52.3,7965800
2001-02-09,52.31,53.35,50.1,50.4,7826000
2001-02-12,51.0,53.48,50.96,53.45,7243200
2001-02-13,53.05,54.47,52.03,54.1,7421900
2001-02-14,54.35,54.35,53.0,53.0,5088100
2001-02-15,53.35,53.45,51.65,52.0,7445300
2001-02-16,51.8,53.3,51.56,52.36,6227300
2001-02-20,52.2,54.29,52.0,53.4,9335100
2001-02-21,52.55,52.96,50.05,50.21,8101200
2001-02-22,51.0,51.0,48.95,49.7,9153800
2001-02-23,50.0,50.8,48.05,50.28,8046900
2001-02-26,50.93,51.37,50.45,51.07,6012400
2001-02-27,51.6,51.85,49.52,50.99,7043500
2001-02-28,51.24,51.3,49.04,50.09,7722800
2001-03-01,49.25,49.87,48.0,48.34,8691700
2001-03-02,47.99,49.69,47.5,48.92,6472300
2001-03-05,48.94,49.54,48.0,48.37,4565500
2001-03-06,49.5,49.96,48.9,49.55,5096800
2001-03-07,50.05,50.95,49.92,50.7,5415800
2001-03-08,51.9,51.9,50.78,51.65,6017900
2001-03-09,51.8,51.8,50.1,50.78,5163000
2001-03-12,50.25,50.25,48.1,48.31,5737400
2001-03-13,49.0,49.3,47.01,48.8,7957300
2001-03-14,47.1,47.97,46.53,47.2,8547400
2001-03-15,47.35,48.49,46.56,47.85,7508300
2001-03-16,47.85,47.85,46.56,46.93,12766300
2001-03-19,46.99,47.7,46.7,47.38,5844400
2001-03-20,47.36,49.48,47.36,47.88,10029700
2001-03-21,47.8,49.77,47.28,48.31,8325000
2001-03-22,47.25,47.4,45.7,46.91,11851000
2001-03-23,45.85,47.91,45.2,47.57,8279300
2001-03-26,48.9,49.8,48.3,49.6,6839300
2001-03-27,49.6,50.4,49.15,50.29,9779500
2001-03-28,50.0,50.13,48.3,49.66,6870700
2001-03-29,49.85,50.65,48.42,50.62,7725200
2001-03-30,51.1,51.24,49.5,50.5,8303700
2001-04-02,50.0,50.98,49.6,50.64,7437700
2001-04-03,50.85,51.0,48.77,49.19,8681200
2001-04-04,48.72,50.4,48.7,49.87,7954700
2001-04-05,50.55,50.69,50.01,50.54,7789300
2001-04-06,50.0,51.32,49.51,51.24,7633500
2001-04-09,51.55,51.79,49.8,50.3,7273300
2001-04-10,51.15,51.64,50.75,50.84,6981500
2001-04-11,50.1,50.7,49.26,50.23,6955300
2001-04-12,48.75,49.7,47.41,49.7,9744000
2001-04-16,49.7,50.22,48.71,49.05,6627000
2001-04-17,48.91,49.44,48.51,49.24,6185100
2001-04-18,49.95,52.94,49.63,52.73,13000700
2001-04-19,51.73,52.72,51.7,52.5,7038000
2001-04-20,52.49,52.49,51.4,51.71,7264900
2001-04-23,52.05,52.7,51.65,52.04,5474300
2001-04-24,50.75,51.09,50.05,50.1,8172700
2001-04-25,51.1,51.1,50.03,50.67,5973700
2001-04-26,51.0,51.6,50.55,51.24,5072800
2001-04-27,52.1,53.24,51.9,52.83,7954100
2001-04-30,53.3,53.3,51.22,51.74,6596600
2001-05-01,51.72,53.55,51.4,53.5,7617700
2001-05-02,53.45,53.45,52.28,53.08,7688600
2001-05-03,52.3,53.45,52.03,53.1,7585700
2001-05-04,52.3,53.7,52.01,53.02,7370400
2001-05-07,52.4,52.94,51.85,52.05,4714700
2001-05-08,51.75,51.99,51.14,51.98,4437600
2001-05-09,52.05,52.2,51.3,51.59,4250500
2001-05-10,53.3,53.7,53.21,53.42,8200700
2001-05-11,53.97,54.46,53.35,54.1,6521800
2001-05-14,54.1,54.75,53.84,54.35,4794900
2001-05-15,54.35,54.35,52.0,52.0,12858100
2001-05-16,51.2,52.12,51.0,51.65,9597200
2001-05-17,51.95,52.22,51.3,51.76,6538900
2001-05-18,51.95,52.04,51.41,52.04,5858200
2001-05-21,52.04,53.3,51.56,53.2,7760200
2001-05-22,53.21,53.7,52.9,53.52,6735900
2001-05-23,53.3,53.88,52.21,52.52,5546200
2001-05-24,52.35,53.24,52.15,52.89,4248500
2001-05-25,52.98,53.0,51.2,51.2,5169000
2001-05-29,51.95,51.95,51.03,51.21,5000500
2001-05-30,51.22,52.2,51.12,51.47,5968800
2001-05-31,52.1,52.6,51.27,51.75,5870900
2001-06-01,51.54,52.45,51.45,51.72,4147000
2001-06-04,51.55,51.61,50.5,50.99,5614700
2001-06-05,50.74,51.64,50.69,51.3,5163900
2001-06-06,51.3,51.71,50.7,50.75,4185400
2001-06-07,50.07,51.35,50.07,51.1,6019700
2001-06-08,51.0,51.27,50.75,51.02,3780200
2001-06-11,50.95,51.1,50.16,50.23,3231200
2001-06-12,50.02,50.97,49.61,50.57,4454100
2001-06-13,50.6,50.6,50.06,50.15,3427500
2001-06-14,49.9,50.36,49.4,49.5,4071500
2001-06-15,49.4,49.73,48.0,48.15,14006900
2001-06-18,48.8,49.59,48.35,48.52,7122500
2001-06-19,49.47,49.49,48.63,48.86,5176000
2001-06-20,49.2,49.9,48.98,49.8,5732100
2001-06-21,49.3,51.17,49.3,50.45,8929600
2001-06-22,50.68,50.75,49.45,49.98,4717100
2001-06-25,50.55,50.55,48.8,49.0,5704400
2001-06-26,48.55,49.8,48.53,49.1,5741500
2001-06-27,49.02,49.72,48.4,48.5,5126600
2001-06-28,48.95,49.79,48.95,49.37,5013700
2001-06-29,49.13,50.49,48.6,48.8,9305300
2001-07-02,48.95,49.79,48.65,49.75,5482400
2001-07-03,49.7,49.7,48.94,49.22,3763900
2001-07-05,49.35,49.38,48.3,48.6,5078500
2001-07-06,48.55,48.56,46.71,47.34,6658100
2001-07-09,47.48,48.4,47.05,48.25,6041400
2001-07-10,48.5,48.67,47.35,47.5,6460400
2001-07-11,48.15,49.4,47.62,48.85,7897000
2001-07-12,50.55,51.85,49.95,51.85,11629900
2001-07-13,51.85,53.23,51.13,52.9,9820600
2001-07-16,53.4,54.05,53.11,53.48,11268900
2001-07-17,53.84,53.85,52.94,53.35,8694500
2001-07-18,52.87,53.98,52.53,53.98,7172300
2001-07-19,53.98,54.5,53.81,54.23,8228900
2001-07-20,54.0,54.59,53.9,54.28,5877000
2001-07-23,53.9,54.27,52.85,53.03,5336600
2001-07-24,53.05,53.2,52.5,53.1,6054400
2001-07-25,53.1,55.1,52.73,55.1,9494700
2001-07-26,55.1,55.51,54.18,55.5,8445700
2001-07-27,55.75,56.0,55.01,55.41,5169300
2001-07-30,56.0,56.05,54.19,55.88,7165700
2001-07-31,55.52,56.5,55.4,55.9,7472000
2001-08-01,55.4,56.77,54.95,55.01,6142600
2001-08-02,55.44,56.15,55.05,55.99,5624800
2001-08-03,55.9,55.97,55.05,55.39,4158100
2001-08-06,55.58,55.58,54.06,54.5,5697900
2001-08-07,54.68,55.28,54.15,55.08,5111900
2001-08-08,54.6,55.87,54.4,54.53,6121500
2001-08-09,54.42,54.79,53.3,54.17,8486800
2001-08-10,53.95,54.0,52.5,53.6,8029900
2001-08-13,53.55,53.77,51.8,52.2,10138500
2001-08-14,51.25,52.7,51.13,52.36,9867100
2001-08-15,52.32,52.92,51.82,52.0,5828700
2001-08-16,51.52,52.25,50.67,51.69,6165200
2001-08-17,51.5,51.5,50.1,50.8,5699800
2001-08-20,51.3,51.62,50.8,51.59,4338400
2001-08-21,51.4,51.62,49.88,49.94,6442400
2001-08-22,50.01,50.54,49.51,50.24,5808300
2001-08-23,50.05,50.43,49.5,49.74,5063800
2001-08-24,49.65,51.0,49.65,50.95,7235500
2001-08-27,51.2,51.5,50.39,50.39,4641400
2001-08-28,49.9,50.2,49.7,50.1,6148600
2001-08-29,50.05,50.42,49.03,49.15,5235900
2001-08-30,49.1,49.47,47.24,47.6,9383700
2001-08-31,47.7,49.0,47.7,48.05,7294800
2001-09-04,48.23,49.88,48.21,48.45,7307200
2001-09-05,48.32,49.35,47.0,49.15,9827000
2001-09-06,48.95,49.66,47.0,47.37,10382400
2001-09-07,46.9,46.9,45.12,46.22,10195700
2001-09-10,45.5,47.0,45.04,46.23,6724000
2001-09-17,44.0,46.1,43.58,44.0,17480000
2001-09-18,45.0,46.35,44.16,45.35,10505100
2001-09-19,45.28,46.08,44.19,45.45,11727700
2001-09-20,45.35,45.94,45.01,45.31,12404300
2001-09-21,44.15,45.8,41.5,44.66,16406200
2001-09-24,46.5,47.98,46.01,47.28,13889800
2001-09-25,48.2,49.1,48.05,48.4,15957900
2001-09-26,49.35,49.48,48.62,49.48,12070900
2001-09-27,49.48,49.69,48.11,49.39,9246000
2001-09-28,49.45,49.95,48.81,49.5,9411600
2001-10-01,49.5,50.05,48.14,49.76,11928400
2001-10-02,50.05,52.0,49.8,52.0,11310400
2001-10-03,51.89,53.47,51.5,52.73,13892400
2001-10-04,52.8,53.14,51.42,51.5,10060600
2001-10-05,51.52,52.4,51.0,52.4,9447500
2001-10-08,52.41,52.41,50.96,51.11,6677700
2001-10-09,51.5,52.2,51.0,52.08,8045100
2001-10-10,52.33,53.7,52.2,53.63,9444000
2001-10-11,53.95,54.75,52.92,53.49,11696500
