Date,Open,High,Low,Close,Volume
2001-02-06,50.69,53.75,48.75,50.5,8426400
2001-02-07,49.12,49.88,46.5,48.0,11775300
2001-02-08,48.44,49.94,47.12,47.38,6863200
2001-02-09,47.06,49.25,46.44,47.44,7965500
2001-02-12,46.94,51.06,46.88,49.5,6673500
2001-02-13,49.44,51.31,47.56,47.75,6077700
2001-02-14,48.0,52.0,47.25,51.25,7276800
2001-02-15,52.25,65.0,52.0,54.0,9371600
2001-02-16,49.06,50.38,47.75,47.88,11999200
2001-02-20,48.88,48.88,42.12,42.38,8404700
2001-02-21,43.06,46.69,42.5,43.25,10502000
2001-02-22,44.38,45.94,41.62,42.88,13774800
2001-02-23,42.75,43.06,38.75,41.12,17524000
2001-02-26,41.94,42.06,38.88,41.88,13139100
2001-02-27,40.75,42.12,38.62,38.75,12106300
2001-02-28,38.0,39.88,36.06,38.88,11759900
2001-03-01,37.69,41.75,37.19,41.5,9361100
2001-03-02,41.25,45.0,39.69,42.5,14589400
2001-03-05,42.88,45.0,42.38,43.25,7467100
2001-03-06,45.56,47.88,44.75,45.19,10440700
2001-03-07,45.89,46.12,43.0,45.56,8960000
2001-03-08,44.94,46.88,44.06,45.31,6331100
2001-03-09,44.5,44.5,41.38,42.94,11066500
2001-03-12,41.5,44.56,40.38,41.31,11394400
2001-03-13,42.25,44.56,40.5,44.5,8071900
2001-03-14,42.81,46.0,41.75,44.75,11616200
2001-03-15,46.56,46.8,43.5,43.56,9873400
2001-03-16,42.38,43.56,40.56,41.58,8160900
2001-03-19,42.38,45.38,40.88,44.81,7356100
2001-03-20,44.98,46.31,40.88,41.12,10866100
2001-03-21,41.38,43.94,40.19,41.62,11821600
2001-03-22,42.5,47.0,42.06,46.5,14098700
2001-03-23,47.5,48.5,43.62,46.0,12092800
2001-03-26,45.69,46.0,42.25,43.12,9432500
2001-03-27,42.11,45.12,41.25,42.12,12058700
2001-03-28,41.12,42.75,39.5,39.62,14042600
2001-03-29,39.12,40.5,35.75,36.94,13808700
2001-03-30,36.5,36.62,34.0,35.12,13405200
2001-04-02,35.94,39.12,32.38,33.12,15376500
2001-04-03,32.94,34.19,31.0,31.44,14191100
2001-04-04,31.62,32.25,29.98,30.38,12497000
2001-04-05,32.0,34.75,31.09,33.25,10175200
2001-04-06,32.81,33.88,31.0,32.19,12107500
2001-04-09,32.71,33.35,29.79,31.4,9516800
2001-04-10,31.85,36.1,31.01,35.03,9294300
2001-04-11,40.38,42.9,38.07,39.2,20537200
2001-04-12,38.33,42.57,37.9,41.14,12902400
2001-04-16,38.99,41.5,38.23,40.24,10823500
2001-04-17,37.87,42.7,37.5,40.92,15705000
2001-04-18,43.73,50.08,43.34,46.02,16200700
2001-04-19,45.2,50.69,44.55,50.0,13971600
2001-04-20,48.9,52.14,47.25,48.44,12442400
2001-04-23,46.3,46.85,44.04,44.8,8305200
2001-04-24,44.56,48.15,43.53,43.89,7640700
2001-04-25,43.74,46.61,43.4,46.01,7776000
2001-04-26,46.9,47.3,43.34,43.41,6232800
2001-04-27,44.62,46.74,44.31,45.82,5012200
2001-04-30,46.84,49.23,45.53,47.47,5824000
2001-05-01,46.77,48.15,45.2,48.0,7514600
2001-05-02,49.45,50.75,47.87,48.27,7849800
2001-05-03,47.73,48.26,45.04,45.81,6172400
2001-05-04,44.41,46.28,43.38,45.0,7745300
2001-05-07,45.4,45.45,43.9,44.32,4690700
2001-05-08,45.3,45.85,44.3,45.15,4812800
2001-05-09,43.89,44.99,42.64,43.3,5662600
2001-05-10,46.0,46.06,43.03,43.41,5994600
