Date,Open,High,Low,Close,Volume
2001-02-07,28.92,29.0,26.8,27.64,1188825
2001-02-08,27.68,29.04,27.68,28.08,666250
2001-02-09,28.0,28.0,26.68,27.8,708650
2001-02-12,27.8,27.96,26.96,27.0,571800
2001-02-13,27.2,28.48,27.08,27.48,559900
2001-02-14,27.48,30.92,27.4,29.8,1127000
2001-02-15,30.2,30.48,28.96,28.96,509300
2001-02-16,29.0,29.0,28.0,28.6,662575
2001-02-20,28.44,28.8,27.6,27.84,559175
2001-02-21,27.8,27.92,26.96,27.0,330250
2001-02-22,26.4,26.6,25.6,26.2,754025
2001-02-23,26.6,26.6,24.48,24.64,894450
2001-02-26,25.04,25.2,24.44,24.52,803975
2001-02-27,24.6,25.92,24.12,24.28,1041450
2001-02-28,24.0,24.28,23.6,24.16,1042350
2001-03-01,23.8,23.96,22.56,22.96,1601250
2001-03-02,24.4,27.92,24.4,26.8,1413450
2001-03-05,26.12,27.92,26.04,27.04,635450
2001-03-06,27.48,28.4,27.48,27.64,729300
2001-03-07,27.88,29.56,27.44,29.28,956875
2001-03-08,30.0,30.16,28.0,28.12,740300
2001-03-09,28.12,28.12,26.28,26.8,649950
2001-03-12,26.12,26.12,24.6,24.68,791675
2001-03-13,24.4,24.4,22.6,22.6,1212775
2001-03-14,22.6,23.8,22.32,23.4,986025
2001-03-15,23.04,23.4,21.8,21.8,1513875
2001-03-16,21.84,21.84,20.12,20.12,1341450
2001-03-19,20.8,22.0,20.64,21.64,853725
2001-03-20,22.2,25.36,22.0,23.2,1623675
2001-03-21,23.6,25.0,23.0,23.52,1105950
2001-03-22,24.4,24.4,22.12,22.36,690800
2001-03-23,22.8,23.92,22.56,23.76,708150
2001-03-26,24.16,24.28,22.56,22.56,1167825
2001-03-27,23.2,23.56,22.68,22.88,710075
2001-03-28,23.12,25.0,23.04,25.0,1319225
2001-03-29,24.2,24.44,23.0,23.28,462500
2001-03-30,23.32,24.2,22.72,23.96,524850
2001-04-02,24.0,24.0,22.08,24.0,616325
2001-04-03,22.2,22.2,19.0,19.8,1992075
2001-04-04,19.8,21.2,18.92,21.2,1759300
2001-04-05,22.12,22.2,20.68,21.04,644425
2001-04-06,20.64,20.8,19.64,20.8,809500
2001-04-09,20.44,21.08,20.4,21.08,500725
2001-04-10,21.08,22.0,20.88,21.76,596900
2001-04-11,21.76,22.96,21.76,22.48,682575
2001-04-12,22.84,23.32,22.32,23.24,500650
2001-04-16,23.2,23.28,22.64,23.16,375450
2001-04-17,22.76,24.72,22.72,24.56,669175
2001-04-18,25.0,26.12,24.72,25.6,1090050
2001-04-19,30.0,37.0,30.0,35.6,6131025
2001-04-20,34.72,36.4,33.88,34.4,2687800
2001-04-23,34.0,34.2,30.4,30.4,1558550
2001-04-24,31.0,32.72,30.6,32.36,926425
2001-04-25,32.76,33.68,32.4,32.72,862800
2001-04-26,32.72,33.6,31.72,32.04,860775
2001-04-27,32.84,35.4,32.8,35.28,1083075
2001-04-30,35.4,36.4,35.4,36.16,1183825
2001-05-01,36.0,39.6,36.0,39.6,1579600
2001-05-02,40.0,40.84,38.08,38.2,1725750
2001-05-03,37.8,39.8,36.76,39.68,1307575
2001-05-04,38.8,39.48,38.28,39.36,820550
2001-05-07,39.32,40.04,39.04,39.68,534575
2001-05-08,40.2,40.64,38.04,39.2,761325
2001-05-09,38.2,40.0,38.2,40.0,639750
2001-05-10,40.2,41.2,39.08,39.92,570250
2001-05-11,40.04,40.56,39.8,40.56,919450
2001-05-14,40.0,40.88,39.84,40.0,534125
2001-05-15,40.0,42.6,39.72,42.6,955500
2001-05-16,41.6,45.0,41.2,43.32,1100725
2001-05-17,42.8,44.36,42.48,43.48,839650
2001-05-18,43.24,43.64,42.44,43.64,666975
2001-05-21,43.6,45.4,43.4,45.4,844850
2001-05-22,44.0,44.0,41.4,43.0,1859675
2001-05-23,42.0,42.6,40.0,42.2,819850
2001-05-24,41.8,42.0,40.88,41.32,610150
2001-05-25,41.32,41.36,38.4,39.96,1257875
2001-05-29,38.4,39.0,37.68,37.8,1085325
2001-05-30,37.4,37.48,35.92,36.12,1277900
2001-05-31,38.4,42.8,38.4,39.64,2039575
2001-06-01,39.68,42.6,39.64,42.4,1598675
2001-06-04,42.76,43.0,40.68,43.0,1146750
