Date,Open,High,Low,Close,Volume
2001-02-07,8.99,9.04,8.88,8.98,3620400
2001-02-08,8.92,8.97,8.79,8.93,2480400
2001-02-09,8.78,8.92,8.74,8.76,2644800
2001-02-12,8.76,8.81,8.73,8.77,2678800
2001-02-13,8.75,9.12,8.68,9.0,4472000
2001-02-14,8.98,8.98,8.68,8.74,3351200
2001-02-15,8.6,9.02,8.6,8.82,5860800
2001-02-16,8.82,9.41,8.79,9.25,6419600
2001-02-20,9.25,9.63,9.23,9.58,4224400
2001-02-21,9.55,9.55,9.19,9.26,5749600
2001-02-22,9.25,9.37,9.15,9.28,2162800
2001-02-23,9.22,9.28,9.14,9.22,2266000
2001-02-26,9.22,9.34,9.2,9.3,2346400
2001-02-27,9.36,9.61,9.35,9.55,2443200
2001-02-28,9.55,9.68,9.55,9.62,3228400
2001-03-01,9.5,9.88,9.5,9.75,5179200
2001-03-02,9.75,9.76,9.58,9.62,2872400
2001-03-05,9.68,9.7,9.42,9.56,3447600
2001-03-06,9.46,9.5,9.35,9.4,3763200
2001-03-07,9.28,9.54,9.28,9.51,2125600
2001-03-08,9.49,10.03,9.49,9.94,4972800
2001-03-09,9.91,10.05,9.72,9.98,4380400
2001-03-12,9.96,9.96,9.7,9.7,2829600
2001-03-13,9.64,9.64,9.16,9.42,3963200
2001-03-14,9.25,9.25,9.1,9.18,2468000
2001-03-15,9.17,9.18,9.02,9.06,2782400
2001-03-16,8.85,9.02,8.84,8.99,4904400
2001-03-19,8.99,9.31,8.99,9.26,3656400
2001-03-20,9.28,9.33,9.2,9.24,3794400
2001-03-21,9.25,9.4,9.22,9.29,3609200
2001-03-22,9.25,9.27,8.98,9.0,4935600
2001-03-23,8.96,8.96,8.84,8.85,3318800
2001-03-26,8.95,8.97,8.84,8.86,3445600
2001-03-27,8.86,8.86,8.75,8.78,4205600
2001-03-28,8.85,9.11,8.82,9.08,3669200
2001-03-29,9.02,9.58,9.0,9.39,3539600
2001-03-30,9.33,9.57,9.2,9.55,3204800
2001-04-02,9.5,9.69,9.46,9.56,1746400
2001-04-03,9.56,9.56,9.19,9.3,2396400
2001-04-04,9.26,9.46,9.2,9.45,2238800
2001-04-05,9.45,9.55,9.41,9.52,1751600
2001-04-06,9.5,9.5,9.12,9.28,2422400
2001-04-09,9.42,9.61,9.41,9.46,2612400
2001-04-10,9.41,9.52,9.19,9.44,2272800
2001-04-11,9.31,9.42,9.26,9.29,3368400
2001-04-12,9.29,9.38,9.2,9.36,1779600
2001-04-16,9.36,9.57,9.35,9.51,1868800
2001-04-17,9.5,9.58,9.45,9.49,1602800
2001-04-18,9.55,9.8,9.5,9.76,2004400
2001-04-19,9.94,10.0,9.78,10.0,3530000
2001-04-20,9.98,10.2,9.9,10.0,4446400
2001-04-23,10.12,10.33,10.08,10.25,3433600
2001-04-24,10.4,10.55,10.38,10.45,4114000
2001-04-25,10.49,10.75,10.43,10.72,4810800
2001-04-26,10.72,10.9,10.71,10.88,4085600
2001-04-27,10.88,10.98,10.81,10.92,3293200
2001-04-30,10.89,11.24,10.87,11.2,3396400
2001-05-01,11.12,11.32,10.92,11.19,7162800
2001-05-02,10.94,10.94,10.2,10.56,11395200
2001-05-03,10.4,10.4,10.08,10.26,4800800
2001-05-04,10.2,10.5,10.15,10.49,2568400
2001-05-07,10.45,10.5,10.3,10.42,1713600
2001-05-08,10.36,10.44,10.32,10.36,2448800
2001-05-09,10.26,10.4,10.26,10.32,1414800
2001-05-10,10.5,10.5,10.32,10.36,3298000
2001-05-11,10.42,10.53,10.35,10.52,1770400
2001-05-14,10.62,10.69,10.45,10.56,1966400
2001-05-15,10.56,10.65,10.56,10.61,1875200
2001-05-16,10.5,10.6,10.42,10.53,2479600
2001-05-17,10.5,10.58,10.31,10.5,2816000
2001-05-18,10.45,10.74,10.44,10.74,2307200
2001-05-21,10.74,10.75,10.63,10.72,1640800
2001-05-22,10.75,10.92,10.74,10.86,2164000
2001-05-23,10.86,10.86,10.76,10.82,1905200
2001-05-24,10.88,11.2,10.86,11.16,3672000
2001-05-25,11.2,11.35,11.2,11.25,3896400
2001-05-29,11.12,11.39,11.08,11.39,3240000
2001-05-30,11.5,11.65,11.46,11.58,4016400
2001-05-31,11.39,11.59,11.2,11.42,6017200
2001-06-01,11.42,11.65,11.41,11.58,2710400
2001-06-04,11.55,11.57,11.45,11.52,1742000
2001-06-05,11.48,11.48,11.28,11.4,2694400
2001-06-06,11.4,11.5,11.08,11.12,3166000
2001-06-07,11.08,11.4,11.08,11.32,3119200
2001-06-08,11.48,11.52,11.25,11.44,2287200
2001-06-11,11.55,11.7,11.55,11.56,3156400
2001-06-12,11.37,11.93,11.36,11.91,2593600
2001-06-13,11.91,12.19,11.88,11.95,2835600
2001-06-14,11.91,11.91,11.66,11.74,1704400
2001-06-15,11.7,11.78,11.52,11.72,2667200
2001-06-18,11.66,11.66,11.47,11.56,2400800
2001-06-19,11.45,11.73,11.44,11.49,1797600
2001-06-20,11.48,11.57,11.38,11.56,4001200
2001-06-21,11.39,11.6,11.38,11.52,4178000
2001-06-22,11.46,11.5,11.18,11.28,3159600
2001-06-25,11.21,11.34,11.09,11.09,2863200
2001-06-26,10.91,11.02,10.85,10.92,4957600
2001-06-27,10.92,10.94,10.79,10.85,2886400
2001-06-28,10.68,11.18,10.68,10.98,2967600
2001-06-29,11.04,11.04,10.92,10.98,3246000
2001-07-02,10.98,11.02,10.92,10.97,1388000
2001-07-03,10.9,10.97,10.85,10.94,675600
2001-07-05,10.88,11.04,10.88,11.0,1217600
2001-07-06,10.92,10.92,10.63,10.72,1977600
2001-07-09,10.72,10.92,10.72,10.91,1028800
2001-07-10,10.78,10.97,10.73,10.75,2076800
2001-07-11,10.74,10.88,10.65,10.69,1306400
2001-07-12,10.66,10.74,10.53,10.62,4310000
2001-07-13,10.64,10.96,10.6,10.94,2559600
2001-07-16,10.98,11.42,10.78,11.31,2746400
2001-07-17,11.25,11.31,10.85,11.1,2653200
2001-07-18,11.1,11.13,10.92,10.98,1460800
2001-07-19,10.99,11.16,10.96,11.0,1436800
2001-07-20,11.0,11.35,11.0,11.25,3434400
2001-07-23,11.28,11.49,11.28,11.31,2082800
2001-07-24,11.25,11.35,11.22,11.26,1225200
2001-07-25,11.19,11.31,11.05,11.29,3046800
2001-07-26,11.25,11.25,11.02,11.18,1840000
2001-07-27,10.66,10.96,10.34,10.88,10508400
2001-07-30,10.88,11.41,10.75,11.36,3933200
2001-07-31,11.3,11.44,11.04,11.44,2810800
2001-08-01,11.26,11.5,11.12,11.44,4102800
2001-08-02,11.34,11.46,11.25,11.36,1749200
2001-08-03,11.36,11.37,11.1,11.28,1840800
2001-08-06,11.21,11.23,10.96,11.1,1666800
2001-08-07,11.04,11.04,10.77,10.85,3144400
2001-08-08,10.84,11.06,10.8,10.88,2171600
2001-08-09,10.86,11.0,10.8,10.96,1518400
2001-08-10,10.96,11.02,10.79,10.9,1142000
2001-08-13,10.99,10.99,10.72,10.85,1466800
2001-08-14,10.82,10.9,10.78,10.9,1292000
2001-08-15,10.89,10.96,10.76,10.88,1374800
2001-08-16,10.74,11.0,10.74,10.96,1940000
2001-08-17,10.92,11.16,10.76,11.01,1476000
2001-08-20,11.01,11.15,10.98,11.12,813600
2001-08-21,11.12,11.16,11.05,11.07,1786800
2001-08-22,11.12,11.18,11.03,11.08,2012000
2001-08-23,11.06,11.21,11.06,11.12,2006000
2001-08-24,11.12,11.16,11.03,11.11,1694400
2001-08-27,11.11,11.11,11.0,11.02,1668800
2001-08-28,11.04,11.07,10.96,10.98,1695600
2001-08-29,11.0,11.04,11.0,11.0,2382800
2001-08-30,11.0,11.11,10.99,11.05,3568000
2001-08-31,11.04,11.09,10.56,10.66,6014000
2001-09-04,10.64,10.87,10.48,10.51,4832000
2001-09-05,10.55,10.56,10.38,10.49,3672800
2001-09-06,10.45,10.5,10.13,10.19,1936000
2001-09-07,10.05,10.24,10.04,10.18,3668000
2001-09-10,10.12,10.4,10.12,10.22,2708000
2001-09-17,10.22,10.22,9.45,9.83,4210400
2001-09-18,9.83,10.15,9.71,9.91,2805600
2001-09-19,9.91,10.18,9.56,9.73,2453600
2001-09-20,9.69,10.15,9.46,9.86,3632000
2001-09-21,9.56,9.92,9.39,9.64,4293600
2001-09-24,9.71,9.84,9.68,9.78,3527200
2001-09-25,9.85,9.99,9.71,9.81,2000000
2001-09-26,9.87,9.94,9.78,9.79,841600
2001-09-27,9.75,9.88,9.7,9.8,1310000
2001-09-28,9.76,9.9,9.72,9.8,2588000
2001-10-01,9.62,9.66,9.46,9.53,5149600
2001-10-02,9.53,9.8,9.4,9.74,4122400
2001-10-03,9.74,10.56,9.6,10.4,5108800
2001-10-04,10.39,10.75,10.31,10.52,2956400
2001-10-05,10.57,10.7,10.4,10.57,1629200
2001-10-08,10.51,10.62,10.28,10.43,1569600
2001-10-09,10.44,10.49,10.38,10.46,1106800
2001-10-10,10.46,10.66,10.44,10.57,1778800
