Date,Open,High,Low,Close,Volume
2008-03-13,68.0,68.0,68.0,68.0,7100
2008-03-14,68.0,68.0,68.0,68.0,0
2008-03-17,68.0,68.0,68.0,68.0,0
2008-03-18,68.0,68.0,68.0,68.0,0
2008-03-19,68.0,68.0,68.0,68.0,0
2008-03-20,68.0,68.0,68.0,68.0,0
2008-03-25,68.0,68.0,68.0,68.0,0
2008-03-26,51.0,51.0,50.0,50.0,90000
2008-03-27,52.0,52.0,50.0,50.0,405000
2008-03-28,66.0,66.0,50.0,50.0,102300
2008-03-31,50.0,50.0,50.0,50.0,0
2008-04-01,50.0,50.0,50.0,50.0,0
2008-04-02,52.0,52.0,52.0,52.0,20000
2008-04-03,50.0,60.0,48.0,48.0,839000
2008-04-04,48.0,48.0,48.0,48.0,0
2008-04-07,59.0,59.0,55.0,55.0,6000
2008-04-08,55.0,55.0,55.0,55.0,0
2008-04-09,59.0,60.0,59.0,60.0,3000
2008-04-10,55.0,55.0,55.0,55.0,5000
2008-04-11,50.0,50.0,50.0,50.0,3000
2008-04-14,50.0,50.0,50.0,50.0,0
2008-04-15,50.0,50.0,41.0,50.0,21020
2008-04-16,50.0,50.0,50.0,50.0,0
2008-04-17,50.0,50.0,50.0,50.0,0
2008-04-18,50.0,50.0,50.0,50.0,0
2008-04-21,50.0,50.0,50.0,50.0,0
2008-04-22,51.0,51.0,51.0,51.0,1000
2008-04-23,51.0,51.0,51.0,51.0,0
2008-04-24,51.0,51.0,51.0,51.0,10000
2008-04-25,45.0,45.0,45.0,45.0,25000
2008-04-29,45.0,45.0,45.0,45.0,0
2008-04-30,45.0,45.0,45.0,45.0,0
2008-05-05,50.0,50.0,50.0,50.0,8500
2008-05-06,50.0,50.0,50.0,50.0,42000
2008-05-07,50.0,50.0,50.0,50.0,0
2008-05-08,51.0,51.0,49.0,50.0,697940
2008-05-09,50.0,50.0,49.0,50.0,494300
2008-05-12,50.0,55.0,49.5,50.0,2502975
2008-05-13,55.0,60.0,55.0,60.0,494845
2008-05-14,62.0,67.0,62.0,66.0,98126
2008-05-15,62.0,65.0,62.0,65.0,60176
2008-05-16,67.0,67.0,62.0,62.0,9950
2008-05-19,62.0,62.0,62.0,62.0,0
2008-05-20,67.0,70.0,67.0,70.0,96000
2008-05-21,65.0,65.0,60.0,60.0,10000
2008-05-22,62.0,62.0,62.0,62.0,10000
2008-05-23,62.0,62.0,62.0,62.0,3462
2008-05-26,62.0,71.0,62.0,66.0,84162
2008-05-28,66.0,66.0,66.0,66.0,0
2008-05-29,66.0,66.0,66.0,66.0,0
2008-05-30,66.0,66.0,66.0,66.0,0
2008-06-02,70.0,70.0,65.0,65.0,51000
2008-06-03,64.0,64.0,60.0,60.0,29346
2008-06-04,59.0,59.0,59.0,59.0,20000
2008-06-05,58.0,58.0,58.0,58.0,29000
2008-06-06,58.0,58.0,58.0,58.0,0
2008-06-09,60.0,60.0,58.0,59.0,6200
2008-06-10,55.0,55.0,50.0,52.0,15000
2008-06-11,50.0,59.0,50.0,59.0,18740
2008-06-12,59.0,59.0,59.0,59.0,0
2008-06-13,59.0,59.0,59.0,59.0,0
2008-06-17,49.0,49.0,49.0,49.0,8572
2008-06-18,45.0,51.0,45.0,50.0,10100
2008-06-19,51.0,51.0,51.0,51.0,500
2008-06-20,50.0,51.0,50.0,51.0,896116
2008-06-23,52.0,53.0,52.0,53.0,23500
2008-06-24,51.0,51.0,43.0,43.0,17000
2008-06-25,43.0,43.0,43.0,43.0,0
2008-06-26,46.0,46.0,46.0,46.0,3199
2008-06-27,46.0,46.0,46.0,46.0,0
2008-06-30,43.0,44.0,43.0,44.0,33500
2008-07-01,44.0,44.0,44.0,44.0,0
2008-07-02,43.0,43.0,43.0,43.0,25000
2008-07-03,42.0,42.0,42.0,42.0,34645
2008-07-04,42.0,42.0,42.0,42.0,0
2008-07-07,45.0,45.0,45.0,45.0,14700
2008-07-08,45.0,45.0,45.0,45.0,0
2008-07-09,45.0,45.0,45.0,45.0,0
2008-07-10,45.0,45.0,45.0,45.0,0
2008-07-11,45.0,45.0,45.0,45.0,30500
2008-07-14,45.0,45.0,45.0,45.0,0
2008-07-15,45.0,45.0,45.0,45.0,0
2008-07-16,45.0,45.0,45.0,45.0,48350
2008-07-17,45.0,45.0,45.0,45.0,0
2008-07-18,50.0,51.0,50.0,51.0,42700
2008-07-21,52.0,52.0,52.0,52.0,24200
2008-07-22,53.0,53.0,53.0,53.0,50000
2008-07-23,54.0,54.0,53.0,54.0,258700
2008-07-24,54.0,56.0,54.0,55.0,274645
2008-07-25,54.0,54.0,54.0,54.0,55000
2008-07-28,54.0,54.0,54.0,54.0,0
2008-07-29,54.0,54.0,54.0,54.0,0
2008-07-30,54.0,54.0,54.0,54.0,0
2008-07-31,55.0,55.0,55.0,55.0,100000
2008-08-01,54.0,54.0,54.0,54.0,205000
2008-08-04,54.0,54.0,54.0,54.0,429900
2008-08-05,54.0,54.0,54.0,54.0,0
2008-08-06,54.0,54.0,54.0,54.0,0
2008-08-07,54.0,54.0,54.0,54.0,0
2008-08-08,54.0,54.0,54.0,54.0,0
