Date,Open,High,Low,Close,Volume
2001-02-06,45.5,47.31,45.44,45.62,715900
2001-02-07,45.94,47.25,45.88,46.75,859900
2001-02-08,47.44,48.44,46.62,46.88,608000
2001-02-09,46.81,48.94,46.69,47.88,900300
2001-02-12,47.94,49.06,47.31,48.0,751000
2001-02-13,48.25,48.5,46.0,46.12,883100
2001-02-14,46.3,46.75,45.0,46.56,683500
2001-02-15,47.19,47.88,45.5,46.12,632500
2001-02-16,45.25,46.88,44.75,44.8,617100
2001-02-20,45.38,46.38,44.88,45.0,770300
2001-02-21,45.44,47.0,44.75,45.12,818900
2001-02-22,45.88,46.75,44.38,44.81,1335900
2001-02-23,44.94,45.06,42.38,43.38,1302600
2001-02-26,43.75,46.0,43.25,45.94,947000
2001-02-27,45.75,45.94,42.25,42.75,1091300
2001-02-28,40.94,41.12,34.5,36.02,25812300
2001-03-01,35.88,38.94,35.81,37.12,6735400
2001-03-02,37.19,37.38,36.25,36.69,2127000
2001-03-05,36.25,36.62,35.38,36.44,1561800
2001-03-06,36.41,38.25,36.0,37.5,1479300
2001-03-07,37.5,37.5,36.88,37.25,1037000
2001-03-08,37.67,38.25,36.88,37.06,1306100
2001-03-09,36.75,37.31,35.95,37.0,1245700
2001-03-12,35.44,36.88,35.06,35.62,1829700
2001-03-13,36.06,36.5,34.75,35.06,1997600
2001-03-14,34.56,35.0,33.75,34.0,1918800
2001-03-15,35.22,36.62,34.06,35.62,1680100
2001-03-16,35.31,37.19,35.19,36.06,2744000
2001-03-19,36.19,38.75,36.12,38.06,1557800
2001-03-20,38.12,38.5,35.38,35.38,976300
2001-03-21,35.44,37.75,35.06,37.25,1905000
2001-03-22,37.19,38.89,36.88,38.56,1852200
2001-03-23,39.19,40.5,39.12,39.62,2389300
2001-03-26,40.15,41.0,39.7,39.99,2426000
2001-03-27,40.25,40.25,39.25,39.65,1043300
2001-03-28,39.48,40.12,38.6,39.3,887700
2001-03-29,39.12,39.99,38.04,38.75,988300
2001-03-30,39.06,39.83,38.48,39.42,983200
2001-04-02,39.47,39.73,37.74,38.48,1121200
2001-04-03,38.42,38.43,36.5,36.55,1018200
2001-04-04,36.81,37.71,36.35,37.3,1178400
2001-04-05,37.41,38.41,36.68,38.4,1106900
2001-04-06,37.76,38.2,36.51,37.8,1171000
2001-04-09,37.8,38.6,37.48,37.86,851500
2001-04-10,38.22,40.43,38.22,39.58,1992300
2001-04-11,39.4,40.32,38.66,40.2,1386500
2001-04-12,39.74,40.67,39.0,40.3,674100
2001-04-16,40.25,40.91,38.79,39.35,843700
2001-04-17,39.0,40.65,38.79,40.58,1007000
2001-04-18,40.06,44.85,40.0,43.41,2316300
2001-04-19,43.05,43.22,42.21,42.82,1868300
2001-04-20,41.99,41.99,40.2,41.57,1804700
2001-04-23,41.69,42.27,41.15,41.76,996300
2001-04-24,42.12,42.75,40.89,41.23,801100
2001-04-25,41.24,42.36,40.81,42.28,852800
2001-04-26,42.28,43.32,40.36,41.94,713800
2001-04-27,42.62,43.27,42.1,43.24,598100
2001-04-30,43.38,44.64,43.26,43.81,1048100
2001-05-01,44.1,47.0,43.73,46.56,1240400
2001-05-02,46.81,47.9,46.8,47.56,2027300
2001-05-03,47.19,47.2,44.55,45.6,1392200
2001-05-04,44.3,44.66,43.35,44.55,1449300
2001-05-07,44.25,45.1,43.7,43.98,1098800
2001-05-08,44.65,44.75,42.75,43.95,850700
2001-05-09,43.94,44.79,43.22,43.79,702100
2001-05-10,43.77,44.05,43.07,43.78,672300
2001-05-11,43.84,44.57,42.98,42.99,641000
2001-05-14,43.46,44.3,43.1,43.91,484200
2001-05-15,43.75,44.85,43.7,44.0,744400
2001-05-16,43.76,46.5,43.46,46.44,812200
2001-05-17,46.27,47.4,46.2,47.26,1047800
2001-05-18,47.12,47.29,46.59,47.05,724600
2001-05-21,47.22,49.4,46.21,49.25,916100
2001-05-22,49.06,49.75,48.67,49.03,752300
2001-05-23,48.9,48.94,47.5,48.1,561500
2001-05-24,48.1,49.4,47.61,49.13,607900
2001-05-25,49.38,49.62,48.03,48.3,465900
2001-05-29,47.56,48.7,47.0,47.53,935600
2001-05-30,47.06,47.35,46.67,46.98,1261000
2001-05-31,47.03,48.06,46.51,46.64,1048600
2001-06-01,46.7,47.6,45.93,47.5,976100
2001-06-04,47.59,47.59,46.21,47.04,787600
2001-06-05,47.1,48.16,46.69,48.03,618400
2001-06-06,47.96,47.96,46.4,46.67,750500
2001-06-07,46.7,47.36,46.4,47.04,691600
2001-06-08,47.0,47.25,45.01,45.88,1040700
2001-06-11,45.88,46.25,45.49,45.6,404200
2001-06-12,45.37,46.75,45.1,46.53,675300
2001-06-13,46.45,47.15,45.21,45.85,747200
2001-06-14,45.41,46.49,44.85,44.89,777700
2001-06-15,44.64,45.93,44.61,45.46,1481200
2001-06-18,45.7,46.7,45.25,45.54,782000
2001-06-19,45.98,46.99,44.75,45.04,883900
2001-06-20,45.05,47.1,45.04,46.76,1833000
2001-06-21,46.52,48.0,46.39,47.56,2100300
2001-06-22,47.26,47.48,45.55,45.92,720500
2001-06-25,46.24,46.45,45.2,46.05,766800
2001-06-26,45.53,45.75,44.51,45.26,897700
2001-06-27,45.22,46.0,44.75,45.76,1240500
2001-06-28,45.99,47.5,45.98,46.84,1450600
2001-06-29,46.83,47.45,45.35,46.25,819000
2001-07-02,46.69,47.09,45.9,46.01,604100
2001-07-03,46.15,47.49,45.3,46.27,543900
2001-07-05,45.99,47.17,45.94,46.22,529800
2001-07-06,45.98,45.98,43.5,43.62,1311600
2001-07-09,43.63,44.5,43.23,43.97,1323800
2001-07-10,45.0,47.6,44.95,47.13,3401500
2001-07-11,47.41,47.7,46.31,47.05,1572100
2001-07-12,47.13,48.64,46.8,48.42,1203600
2001-07-13,48.7,49.2,47.9,48.69,1134000
2001-07-16,48.6,49.73,48.56,48.81,698900
2001-07-17,48.68,50.75,48.29,50.02,1309100
2001-07-18,49.86,50.86,49.6,50.03,1065000
2001-07-19,50.39,52.6,50.38,50.96,1659600
2001-07-20,50.87,52.25,50.6,51.43,1304800
2001-07-23,51.34,52.5,51.16,51.2,1081600
2001-07-24,51.25,52.5,49.51,50.85,1096200
2001-07-25,50.05,52.49,50.05,51.66,969200
2001-07-26,50.75,52.5,50.6,52.42,1080800
2001-07-27,52.01,52.35,51.22,51.74,701600
2001-07-30,51.7,51.94,49.75,50.49,860000
2001-07-31,49.95,50.54,49.55,50.17,924600
2001-08-01,49.96,50.58,49.32,50.45,807700
2001-08-02,50.46,51.18,49.6,50.61,481300
2001-08-03,51.0,51.45,49.75,49.97,641600
2001-08-06,49.76,50.05,49.15,49.25,633500
2001-08-07,49.35,49.74,48.82,49.16,623700
2001-08-08,48.8,49.6,47.25,47.35,1096200
2001-08-09,47.74,48.0,46.92,47.45,783800
2001-08-10,47.7,48.17,46.62,47.6,835800
2001-08-13,47.75,48.15,47.09,48.15,612500
2001-08-14,48.09,48.8,47.6,47.72,995400
2001-08-15,47.55,48.2,46.65,46.74,1106600
2001-08-16,46.51,47.35,46.16,47.2,1294200
2001-08-17,46.25,46.43,45.61,45.61,924900
2001-08-20,45.95,47.85,45.71,47.77,1019600
2001-08-21,47.75,49.2,46.9,48.46,1476300
2001-08-22,48.36,49.01,47.63,49.0,1072400
2001-08-23,48.55,49.32,47.55,47.67,554900
2001-08-24,47.95,49.11,47.5,48.71,802800
2001-08-27,48.99,49.23,48.49,48.66,661800
2001-08-28,49.08,49.09,46.69,46.99,1096600
2001-08-29,47.0,47.4,45.7,45.97,795900
2001-08-30,46.03,47.09,45.9,46.96,854600
2001-08-31,46.55,47.75,46.2,46.56,684800
2001-09-04,46.42,48.55,46.2,46.46,1028600
2001-09-05,46.84,47.11,45.54,46.25,1203100
2001-09-06,45.99,47.18,45.31,45.5,965800
2001-09-07,45.4,46.07,43.8,45.44,1965100
2001-09-10,45.4,45.44,43.95,44.74,2181700
2001-09-17,43.8,44.8,41.05,41.06,2015400
2001-09-18,41.15,41.5,40.2,41.18,1836200
2001-09-19,41.0,42.2,37.5,40.0,3502200
2001-09-20,39.69,40.8,38.62,38.85,1891700
2001-09-21,38.0,40.64,37.25,37.92,2501000
2001-09-24,39.04,40.47,39.04,39.9,1019100
2001-09-25,39.32,40.7,38.53,39.41,884400
2001-09-26,39.92,40.09,38.5,39.33,1158200
2001-09-27,39.4,40.06,38.84,39.86,1214800
2001-09-28,40.4,40.95,39.89,40.3,1419100
2001-10-01,40.09,40.1,38.12,39.09,1300700
2001-10-02,39.15,39.5,38.12,38.99,1564700
2001-10-03,38.4,41.67,37.87,40.59,2761200
2001-10-04,40.58,41.8,40.02,40.86,1765500
2001-10-05,40.34,41.1,39.18,39.99,1303200
2001-10-08,39.74,39.89,38.45,39.04,908300
2001-10-09,39.03,39.08,38.0,38.45,733800
2001-10-10,38.5,40.03,38.5,39.68,1218700
2001-10-11,40.04,41.32,40.0,41.31,1724900
2001-10-12,41.15,41.17,38.66,40.17,1256200
2001-10-15,40.12,41.55,39.94,41.38,916600
2001-10-16,42.0,42.25,41.42,41.86,658800
2001-10-17,42.48,42.64,40.57,40.6,1607500
2001-10-18,40.54,41.3,39.8,40.91,647500
2001-10-19,40.8,41.18,39.67,41.1,455400
2001-10-22,40.74,42.25,40.11,41.93,761500
2001-10-23,42.39,42.88,40.89,41.49,529900
2001-10-24,42.0,43.35,41.18,41.88,754100
