Date,Open,High,Low,Close,Volume
2001-02-07,27.44,28.62,27.19,28.24,1131200
2001-02-08,27.94,28.19,27.08,27.08,886800
2001-02-09,27.08,27.5,26.58,27.28,894400
2001-02-12,27.25,28.06,27.11,27.98,843600
2001-02-13,28.0,28.42,27.51,27.56,1301600
2001-02-14,27.75,27.88,26.28,27.1,1322800
2001-02-15,28.0,28.02,26.72,26.91,1656000
2001-02-16,26.75,27.37,26.55,26.84,652400
2001-02-20,26.78,27.0,26.3,26.85,1114400
2001-02-21,26.9,26.9,25.25,25.35,1243200
2001-02-22,25.56,25.69,24.22,24.75,1689200
2001-02-23,24.38,25.62,23.9,25.25,1309200
2001-02-26,25.12,27.55,24.99,26.64,1744000
2001-02-27,26.64,26.99,26.0,26.63,1010400
2001-02-28,26.56,27.62,26.12,26.35,1092400
2001-03-01,26.85,26.85,24.73,25.42,1432000
2001-03-02,25.42,26.42,24.94,25.5,1334000
2001-03-05,25.5,25.8,24.5,24.9,1020000
2001-03-06,25.5,25.56,23.68,24.24,1411600
2001-03-07,24.62,24.88,24.13,24.58,1549200
2001-03-08,24.12,24.37,23.19,23.5,1341200
2001-03-09,23.31,23.88,22.88,23.58,1179600
2001-03-12,23.0,23.31,21.3,21.59,2002400
2001-03-13,21.88,22.65,21.31,21.62,1641600
2001-03-14,21.44,23.54,21.25,22.22,1696400
2001-03-15,22.46,23.0,20.88,21.14,1932800
2001-03-16,21.18,21.69,20.44,20.94,1850800
2001-03-19,21.11,21.41,20.0,21.31,1560000
2001-03-20,21.38,21.79,20.52,21.12,1379200
2001-03-21,21.42,21.45,20.11,20.15,1171600
2001-03-22,19.88,20.04,18.3,19.76,2374000
2001-03-23,20.38,21.31,20.32,20.73,1796400
2001-03-26,21.0,21.44,20.71,21.16,1124400
2001-03-27,21.16,21.56,21.1,21.42,1962400
2001-03-28,21.15,22.1,21.0,21.85,1834800
2001-03-29,21.85,22.31,21.25,22.03,1626400
2001-03-30,22.25,22.64,22.12,22.22,1142000
2001-04-02,21.75,22.31,21.19,21.84,1758400
2001-04-03,21.84,21.84,21.22,21.59,1150000
2001-04-04,21.31,22.06,21.08,21.84,1473600
2001-04-05,22.32,22.81,21.52,22.72,1217600
2001-04-06,22.65,23.25,22.44,22.65,1042800
2001-04-09,22.92,23.15,22.38,23.02,746800
2001-04-10,23.25,24.0,22.68,23.58,1820400
2001-04-11,23.58,24.06,22.75,22.93,1212400
2001-04-12,22.88,23.75,22.88,23.55,718800
2001-04-16,23.44,24.4,23.31,23.95,1019600
2001-04-17,23.89,24.88,23.76,24.88,591600
2001-04-18,25.62,25.62,24.58,25.0,1650400
2001-04-19,25.0,25.72,24.76,25.72,1016000
