Date,Open,High,Low,Close,Volume
2001-02-07,21.55,21.6,21.22,21.4,573800
2001-02-08,21.48,21.48,21.18,21.38,587200
2001-02-09,21.42,21.72,21.42,21.53,567200
2001-02-12,21.53,21.53,21.12,21.28,571800
2001-02-13,21.18,21.62,20.66,20.68,1091400
2001-02-14,20.8,21.84,20.77,21.23,1155200
2001-02-15,21.1,21.64,21.08,21.18,1158800
2001-02-16,21.25,21.34,20.78,20.88,519800
2001-02-20,21.0,21.94,20.98,21.42,626400
2001-02-21,21.5,21.5,20.95,21.28,609800
2001-02-22,21.28,21.4,20.7,21.14,421800
2001-02-23,20.92,20.92,20.32,20.64,527000
2001-02-26,20.75,21.12,20.64,21.12,556800
2001-02-27,21.12,21.2,20.88,21.15,520000
2001-02-28,21.28,21.28,20.85,20.98,497000
2001-03-01,20.88,21.31,20.88,21.18,631400
2001-03-02,21.1,21.58,20.85,21.5,653000
2001-03-05,21.5,21.92,21.5,21.62,648000
2001-03-06,21.88,21.88,21.26,21.36,1027800
2001-03-07,21.35,21.65,21.35,21.65,392800
2001-03-08,21.65,21.77,21.45,21.76,426600
2001-03-09,21.7,22.04,21.7,21.92,538600
2001-03-12,21.6,21.8,21.34,21.5,448000
2001-03-13,21.4,21.4,20.45,20.9,799800
2001-03-14,20.65,20.68,20.22,20.56,499200
2001-03-15,20.5,21.15,20.48,20.96,842800
2001-03-16,21.25,21.42,20.82,20.96,1355200
2001-03-19,20.85,21.28,20.52,20.75,658400
2001-03-20,20.65,20.9,20.15,20.6,536600
2001-03-21,20.6,20.6,19.8,20.16,606000
2001-03-22,20.0,20.0,18.94,19.48,506800
2001-03-23,19.55,20.3,19.24,20.21,590400
2001-03-26,20.18,21.27,20.18,20.88,796400
2001-03-27,20.8,21.32,20.72,21.31,860400
2001-03-28,21.18,21.3,20.6,21.12,894000
2001-03-29,20.85,21.38,20.75,21.02,522200
2001-03-30,21.15,21.25,20.88,21.21,406000
2001-04-02,21.24,21.6,20.75,21.06,715800
2001-04-03,21.0,21.0,20.0,20.38,1048000
2001-04-04,20.25,20.48,20.1,20.34,1003400
2001-04-05,20.36,20.85,20.2,20.84,703600
2001-04-06,20.84,20.84,19.9,20.45,626600
2001-04-09,20.45,21.1,20.45,20.85,384600
2001-04-10,20.9,21.28,20.71,21.26,553000
2001-04-11,21.04,21.04,20.32,20.47,632000
2001-04-12,20.5,20.62,19.92,20.4,514200
2001-04-16,20.53,20.9,20.02,20.5,587400
2001-04-17,20.55,20.78,20.22,20.78,297000
2001-04-18,20.98,21.15,20.62,21.0,622200
2001-04-19,20.8,20.82,20.43,20.49,821200
2001-04-20,20.4,20.52,19.78,20.06,679800
2001-04-23,19.88,19.9,19.24,19.32,1191400
