Date,Open,High,Low,Close,Volume
2001-02-07,37.5,37.86,37.28,37.78,1584200
2001-02-08,37.78,38.06,37.7,37.76,1044400
2001-02-09,37.5,37.71,35.62,35.87,5018800
2001-02-12,35.62,36.22,35.5,35.63,3099800
2001-02-13,35.75,36.2,35.05,35.05,4573200
2001-02-14,35.3,35.7,35.14,35.35,2943000
2001-02-15,35.38,36.6,35.38,36.44,2380800
2001-02-16,36.38,36.38,34.25,34.73,5105600
2001-02-20,34.73,34.73,32.38,33.63,9075400
2001-02-21,33.5,34.18,32.4,33.5,6894400
2001-02-22,33.5,33.5,32.44,33.18,4208600
2001-02-23,33.18,33.25,32.48,32.52,4497000
2001-02-26,32.85,33.85,32.7,33.72,4026200
2001-02-27,33.92,34.6,33.79,33.9,2808400
2001-02-28,34.1,34.2,32.84,33.45,3526400
2001-03-01,33.45,33.45,31.71,32.95,5938800
2001-03-02,32.95,33.7,32.21,33.16,4389400
2001-03-05,33.0,34.1,32.85,33.8,2673000
2001-03-06,34.3,34.9,34.25,34.44,2996600
2001-03-07,34.44,34.92,33.55,33.6,3513600
2001-03-08,33.9,34.15,33.35,33.95,2972000
2001-03-09,33.95,34.9,32.98,34.9,10112800
2001-03-12,34.9,35.6,34.48,35.09,8006200
2001-03-13,35.1,35.1,33.95,34.56,9595400
2001-03-14,34.15,34.65,33.15,33.16,7462000
2001-03-15,33.38,33.62,32.86,33.48,5515000
2001-03-16,33.18,33.18,30.51,30.89,9663600
2001-03-19,31.49,32.25,31.2,32.25,6003800
2001-03-20,32.5,33.31,31.8,31.83,7618200
2001-03-21,31.58,31.58,29.5,29.9,11570800
2001-03-22,30.4,30.4,28.88,29.99,10284400
2001-03-23,30.75,30.82,29.81,30.0,5896000
2001-03-26,30.12,32.08,30.1,31.88,6933800
2001-03-27,31.1,33.0,31.06,31.78,7764200
2001-03-28,31.35,31.36,29.84,30.5,6515600
2001-03-29,30.48,30.72,29.95,30.24,3816200
2001-03-30,30.7,31.55,30.45,31.0,4319000
2001-04-02,30.92,31.68,30.28,30.8,3313400
2001-04-03,31.0,31.05,29.68,30.0,5134200
2001-04-04,29.98,30.4,29.78,30.05,6641400
2001-04-05,30.85,31.8,30.75,31.48,3344800
2001-04-06,31.12,31.34,30.44,30.62,3854800
2001-04-09,29.8,31.22,29.8,31.1,3728000
2001-04-10,31.5,32.4,30.5,31.83,5552200
2001-04-11,32.33,32.42,31.4,31.61,4609800
2001-04-12,31.98,32.98,31.69,32.5,4467400
2001-04-16,32.5,32.5,32.0,32.35,2450200
2001-04-17,32.35,32.5,32.0,32.02,3101200
2001-04-18,32.5,33.78,32.32,33.45,9167200
2001-04-19,33.58,33.58,32.58,32.96,5215600
2001-04-20,33.08,33.22,32.5,32.67,3704600
2001-04-23,32.6,32.6,32.06,32.35,2969000
2001-04-24,32.35,32.52,31.61,31.61,3927600
2001-04-25,31.62,32.64,31.25,32.42,4088000
2001-04-26,32.48,33.1,32.4,32.76,3312800
