Date,Open,High,Low,Close,Volume
2001-02-07,15.12,15.72,15.08,15.51,1396000
2001-02-08,15.5,15.66,15.36,15.54,524400
2001-02-09,15.55,15.84,15.5,15.59,444800
2001-02-12,15.58,15.61,15.5,15.6,256400
2001-02-13,15.6,15.65,15.32,15.4,758000
2001-02-14,15.37,15.45,15.21,15.29,527600
2001-02-15,15.31,15.31,14.85,14.91,1134800
2001-02-16,14.89,15.06,14.89,15.0,504400
2001-02-20,15.02,15.02,14.9,14.95,292400
2001-02-21,14.99,15.06,14.6,14.79,292000
2001-02-22,14.75,14.96,14.48,14.63,491200
2001-02-23,14.58,14.58,14.38,14.52,319600
2001-02-26,14.55,14.73,14.52,14.55,472000
2001-02-27,14.58,14.58,14.31,14.35,266800
2001-02-28,14.35,14.4,14.26,14.35,636000
2001-03-01,14.39,14.75,14.39,14.5,561600
2001-03-02,14.5,14.86,14.5,14.85,347600
2001-03-05,14.88,15.18,14.88,15.15,444800
2001-03-06,15.12,15.32,15.08,15.29,483200
2001-03-07,15.62,15.94,15.54,15.82,1265600
2001-03-08,15.89,16.34,15.89,16.32,1314800
2001-03-09,16.44,16.5,16.32,16.42,1143200
2001-03-12,16.43,16.6,16.35,16.36,642400
2001-03-13,16.42,16.42,16.0,16.11,554800
2001-03-14,15.95,15.96,15.72,15.76,401200
2001-03-15,15.85,16.11,15.79,15.96,625200
2001-03-16,15.96,16.04,15.82,15.87,398400
2001-03-19,15.86,16.02,15.5,15.96,556800
2001-03-20,16.02,16.42,15.94,16.4,580800
2001-03-21,16.46,16.55,16.28,16.36,656800
2001-03-22,16.36,16.36,15.75,15.96,844000
2001-03-23,16.0,16.3,15.98,16.26,523200
2001-03-26,16.2,16.47,16.18,16.47,411200
2001-03-27,16.47,16.94,16.47,16.8,720400
2001-03-28,17.45,17.62,17.07,17.21,5608800
2001-03-29,16.5,17.0,16.28,16.8,2539600
2001-03-30,16.98,17.25,16.75,17.25,6682800
2001-04-02,17.31,17.56,17.18,17.32,1994800
2001-04-03,17.22,17.7,17.16,17.65,1721200
2001-04-04,17.65,18.09,17.65,17.93,1730800
2001-04-05,17.94,18.5,17.9,18.4,1419600
2001-04-06,18.38,18.38,17.95,18.11,1124800
2001-04-09,18.11,18.49,18.11,18.28,542800
2001-04-10,18.5,18.91,18.4,18.91,694400
2001-04-11,18.91,18.91,18.56,18.61,976400
2001-04-12,18.61,18.75,18.49,18.73,551600
2001-04-16,18.82,19.22,18.78,19.12,882000
2001-04-17,19.1,19.38,18.96,19.38,851200
2001-04-18,19.38,19.38,18.75,19.2,1481200
2001-04-19,19.2,19.2,18.76,19.01,1209600
2001-04-20,19.02,19.35,18.85,18.92,1743200
2001-04-23,18.96,19.25,18.85,19.15,926400
2001-04-24,19.15,19.42,19.15,19.42,2539600
2001-04-25,19.42,19.6,19.25,19.6,727200
2001-04-26,19.62,19.95,19.52,19.95,1213600
2001-04-27,19.98,20.0,19.69,19.9,902000
2001-04-30,19.93,20.09,19.71,20.0,1862800
2001-05-01,20.0,20.25,19.85,20.04,843200
2001-05-02,19.94,19.94,19.13,19.13,1539600
2001-05-03,18.88,18.88,18.3,18.7,2079600
2001-05-04,18.78,19.31,18.74,19.31,922400
2001-05-07,19.31,19.69,19.1,19.16,611600
2001-05-08,19.1,19.49,19.01,19.44,681600
2001-05-09,19.35,19.88,19.2,19.73,527200
2001-05-10,19.7,19.75,19.19,19.39,1224000
2001-05-11,19.39,19.42,19.08,19.1,562400
2001-05-14,19.58,19.74,19.57,19.74,811600
2001-05-15,19.66,19.94,19.6,19.77,476400
2001-05-16,19.77,20.04,19.51,19.68,558800
2001-05-17,19.69,19.69,19.48,19.56,561600
