Date,Open,High,Low,Close,Volume
2001-02-06,5.05,5.05,4.69,4.78,240800
2001-02-07,4.75,4.86,4.73,4.78,312000
2001-02-08,4.77,4.8,4.66,4.66,342800
2001-02-09,4.66,4.78,4.66,4.77,919200
2001-02-12,4.75,4.77,4.52,4.77,541600
2001-02-13,4.78,4.81,4.72,4.78,1216800
2001-02-14,4.81,4.81,4.66,4.67,440400
2001-02-15,4.56,4.56,4.31,4.47,1155600
2001-02-16,4.38,4.56,4.31,4.48,529200
2001-02-20,4.47,4.66,4.39,4.55,319200
2001-02-21,4.47,4.47,4.27,4.28,349200
2001-02-22,4.28,4.34,3.97,4.03,449200
2001-02-23,4.0,4.22,3.95,4.17,810000
2001-02-26,4.12,4.44,4.09,4.33,687200
2001-02-27,4.3,4.36,4.19,4.2,360400
2001-02-28,3.62,4.0,3.62,3.95,1701200
2001-03-01,3.95,3.98,3.75,3.98,542800
2001-03-02,3.92,3.97,3.84,3.94,755600
2001-03-05,3.84,4.05,3.81,3.98,117600
2001-03-06,4.02,4.11,3.97,4.08,531200
2001-03-07,4.09,4.28,4.09,4.25,317600
2001-03-08,4.19,4.25,4.14,4.2,221200
2001-03-09,4.17,4.17,3.94,3.97,880800
2001-03-12,4.0,4.0,3.84,3.88,274800
2001-03-13,3.88,3.89,3.62,3.73,731200
2001-03-14,3.69,3.69,3.39,3.44,1131200
2001-03-15,3.56,3.62,3.41,3.58,706000
2001-03-16,3.38,3.44,3.22,3.39,772800
2001-03-19,3.44,3.66,3.33,3.65,428800
2001-03-20,3.58,3.72,3.52,3.54,213600
2001-03-21,3.59,3.61,3.48,3.56,218800
2001-03-22,3.52,3.67,3.48,3.66,251200
2001-03-23,3.58,3.66,3.47,3.62,930800
2001-03-26,3.52,3.66,3.52,3.58,380800
2001-03-27,3.53,3.81,3.53,3.81,591200
2001-03-28,3.77,3.8,3.67,3.72,625200
2001-03-29,3.75,3.92,3.67,3.88,469200
2001-03-30,3.86,3.92,3.83,3.91,330800
2001-04-02,3.89,3.94,3.75,3.75,456800
2001-04-03,3.75,3.78,3.66,3.69,395600
2001-04-04,3.67,3.84,3.67,3.73,331600
2001-04-05,3.74,4.19,3.74,4.19,486800
2001-04-06,4.12,4.12,3.83,3.84,429200
2001-04-09,3.83,3.96,3.83,3.94,149600
2001-04-10,4.0,4.02,3.88,4.01,189200
2001-04-11,4.01,4.01,3.89,3.89,127600
2001-04-12,3.89,4.01,3.88,3.99,210800
2001-04-16,3.92,4.02,3.89,3.91,354800
2001-04-17,3.9,3.97,3.87,3.97,218000
2001-04-18,3.95,4.28,3.95,4.25,842000
2001-04-19,4.22,4.37,4.16,4.37,289600
2001-04-20,4.35,4.35,4.23,4.23,390000
2001-04-23,4.23,4.23,4.2,4.2,158000
2001-04-24,4.2,4.24,4.15,4.2,180400
2001-04-25,4.19,4.32,4.15,4.31,194400
2001-04-26,4.28,4.3,4.28,4.28,204800
2001-04-27,4.36,4.5,4.3,4.49,298800
2001-04-30,4.44,4.56,4.44,4.5,260000
2001-05-01,4.45,4.46,4.25,4.44,416000
2001-05-02,4.48,4.53,4.32,4.52,190400
2001-05-03,4.45,4.46,4.24,4.46,188800
2001-05-04,4.34,4.73,4.34,4.68,330800
2001-05-07,4.59,4.69,4.59,4.62,256400
2001-05-08,4.54,4.56,4.5,4.52,241600
2001-05-09,4.52,4.52,4.39,4.4,636000
2001-05-10,4.4,4.58,4.4,4.54,573600
2001-05-11,4.51,4.55,4.5,4.5,220400
2001-05-14,4.5,4.69,4.48,4.69,730800
2001-05-15,4.63,4.73,4.63,4.73,248000
2001-05-16,4.68,4.94,4.68,4.94,653600
2001-05-17,4.93,5.1,4.86,5.02,714400
2001-05-18,5.01,5.1,4.96,5.04,396000
2001-05-21,4.97,5.19,4.97,5.19,378800
2001-05-22,5.04,5.04,4.99,4.99,160800
2001-05-23,5.04,5.04,4.91,4.91,337200
2001-05-24,4.96,5.0,4.87,4.94,268000
2001-05-25,4.83,4.95,4.83,4.87,174000
2001-05-29,4.98,5.06,4.91,4.97,174000
2001-05-30,4.86,4.91,4.8,4.89,229200
2001-05-31,4.91,5.05,4.88,5.02,286800
2001-06-01,4.9,4.95,4.75,4.75,929600
2001-06-04,4.81,4.81,4.54,4.54,1274400
2001-06-05,4.6,4.81,4.6,4.75,475600
2001-06-06,4.79,4.95,4.7,4.7,946800
2001-06-07,4.62,4.9,4.62,4.79,399600
2001-06-08,4.85,4.91,4.76,4.88,695200
2001-06-11,4.84,4.98,4.83,4.86,409600
2001-06-12,4.82,4.89,4.65,4.68,436000
2001-06-13,4.65,4.73,4.5,4.5,227200
2001-06-14,4.59,4.59,4.38,4.38,244800
2001-06-15,4.3,4.45,4.28,4.38,472800
2001-06-18,4.38,4.5,4.38,4.38,68400
2001-06-19,4.35,4.44,4.33,4.33,105600
2001-06-20,4.31,4.4,4.28,4.35,779200
2001-06-21,4.4,4.46,4.35,4.46,454800
2001-06-22,4.46,4.5,4.34,4.4,82000
2001-06-25,4.44,4.5,4.33,4.33,278400
2001-06-26,4.31,4.63,4.3,4.58,358800
2001-06-27,4.63,4.71,4.55,4.64,306400
2001-06-28,4.71,4.75,4.65,4.71,214800
2001-06-29,4.65,5.12,4.56,4.75,507200
2001-07-02,4.98,4.98,4.75,4.75,368400
2001-07-03,4.75,4.84,4.68,4.72,195600
2001-07-05,4.68,4.76,4.68,4.68,79600
2001-07-06,4.72,4.75,4.53,4.6,361200
2001-07-09,4.64,4.7,4.54,4.69,300800
2001-07-10,4.68,4.85,4.68,4.83,573600
2001-07-11,4.84,5.0,4.82,4.91,749200
2001-07-12,5.0,5.33,4.99,5.33,3225200
2001-07-13,5.32,5.61,5.29,5.5,944800
2001-07-16,5.58,5.6,5.48,5.5,1240000
2001-07-17,5.49,6.21,5.49,6.19,4964400
2001-07-18,6.03,6.23,5.88,6.05,3976400
2001-07-19,6.06,6.1,5.8,6.0,1274000
2001-07-20,5.8,6.1,5.75,5.89,2162400
2001-07-23,5.9,6.02,5.89,6.0,610000
2001-07-24,5.93,6.12,5.92,6.0,1361200
2001-07-25,5.91,6.0,5.85,5.95,585200
2001-07-26,5.95,6.16,5.88,6.15,538400
2001-07-27,6.11,6.33,6.1,6.29,1451200
2001-07-30,6.28,6.4,6.23,6.28,1266400
2001-07-31,6.24,6.31,5.95,6.12,902800
2001-08-01,6.11,6.23,6.11,6.14,400800
2001-08-02,6.03,6.29,6.02,6.26,1039200
2001-08-03,6.25,6.25,6.12,6.12,975600
2001-08-06,6.2,6.22,6.1,6.17,381200
2001-08-07,6.22,6.33,6.17,6.27,1926000
2001-08-08,6.26,6.27,6.1,6.11,522000
2001-08-09,6.13,6.13,5.84,5.95,795600
2001-08-10,5.94,5.94,5.71,5.83,693600
2001-08-13,5.83,5.88,5.67,5.79,525600
2001-08-14,5.79,5.83,5.7,5.82,629600
2001-08-15,5.77,5.91,5.77,5.81,230400
2001-08-16,5.88,6.12,5.82,6.06,586000
2001-08-17,6.05,6.12,5.9,5.91,1683200
2001-08-20,5.95,5.95,5.91,5.94,580800
2001-08-21,5.95,5.96,5.76,5.84,827200
2001-08-22,5.85,5.98,5.8,5.96,950800
2001-08-23,5.93,6.14,5.93,6.06,851200
2001-08-24,6.06,6.35,6.06,6.23,895200
2001-08-27,6.24,6.25,6.14,6.14,476800
2001-08-28,6.13,6.13,5.86,5.94,399200
2001-08-29,5.98,6.2,5.9,6.17,578800
2001-08-30,6.18,6.26,5.83,5.85,534800
2001-08-31,5.95,5.96,5.8,5.8,1126000
2001-09-04,5.82,5.95,5.7,5.7,914000
2001-09-05,5.71,5.8,5.53,5.57,680000
2001-09-06,5.52,5.68,5.37,5.4,1268800
2001-09-07,5.48,5.48,5.06,5.15,1344800
2001-09-10,5.21,5.31,5.04,5.06,585600
2001-09-17,4.56,5.21,4.56,4.88,2294000
2001-09-18,4.25,4.51,3.5,3.67,4218800
2001-09-19,3.67,3.95,3.67,3.8,2229600
2001-09-20,3.76,3.77,3.34,3.52,1596000
2001-09-21,3.4,3.58,3.34,3.43,2075600
2001-09-24,3.46,3.77,3.3,3.32,1889600
2001-09-25,3.34,3.51,3.18,3.23,1218000
2001-09-26,3.25,3.37,3.04,3.2,1636400
2001-09-27,3.22,3.22,3.04,3.09,940000
2001-09-28,3.05,3.4,3.05,3.34,2108800
2001-10-01,3.25,3.31,3.11,3.27,430400
2001-10-02,3.16,3.32,3.16,3.21,482800
2001-10-03,3.17,3.44,3.12,3.44,1296400
2001-10-04,3.38,3.73,3.38,3.49,886400
2001-10-05,3.5,3.61,3.38,3.6,1071600
2001-10-08,3.62,3.66,3.4,3.46,940400
2001-10-09,3.5,3.52,3.38,3.4,658800
2001-10-10,3.38,3.59,3.38,3.59,401200
2001-10-11,3.61,3.96,3.61,3.84,1400800
2001-10-12,3.81,4.04,3.8,3.8,945600
2001-10-15,3.89,4.1,3.8,3.9,2081600
2001-10-16,3.94,4.04,3.89,3.97,542000
2001-10-17,4.0,4.0,3.81,3.81,310800
2001-10-18,3.88,3.9,3.76,3.82,432000
2001-10-19,3.77,3.84,3.72,3.74,309200
2001-10-22,3.8,3.87,3.72,3.8,327600
2001-10-23,3.75,3.92,3.72,3.86,206000
2001-10-24,3.88,4.03,3.75,3.75,878000
2001-10-25,3.75,3.82,3.69,3.77,506400
2001-10-26,3.77,3.78,3.69,3.7,332800
2001-10-29,3.71,3.82,3.66,3.73,619600
2001-10-30,3.68,3.69,3.5,3.58,434800
2001-10-31,3.62,3.65,3.44,3.44,734400
2001-11-01,3.5,3.52,3.42,3.51,490400
2001-11-02,3.49,3.52,3.48,3.48,229600
2001-11-05,3.53,3.54,3.43,3.5,735200
2001-11-06,3.52,3.52,3.45,3.52,308000
2001-11-07,3.48,3.54,3.48,3.5,416000
2001-11-08,3.52,3.56,3.5,3.53,2219200
2001-11-09,3.55,3.56,3.5,3.52,846800
2001-11-12,3.52,3.55,3.4,3.51,905600
2001-11-13,3.55,3.73,3.53,3.72,2393600
2001-11-14,3.75,4.04,3.72,4.0,1499200
2001-11-15,4.0,4.14,4.0,4.12,880400
2001-11-16,4.21,4.46,4.15,4.41,1828400
2001-11-19,4.45,4.46,4.35,4.43,1333600
2001-11-20,4.42,4.44,4.17,4.24,1036800
2001-11-21,4.25,4.34,4.18,4.32,219200
2001-11-23,4.29,4.4,4.28,4.38,111200
2001-11-26,4.4,4.42,4.24,4.24,432400
2001-11-27,4.23,4.36,4.2,4.26,339200
2001-11-28,4.21,4.29,4.18,4.22,251200
2001-11-29,4.25,4.38,4.2,4.38,400000
2001-11-30,4.36,4.54,4.26,4.48,670000
2001-12-03,4.42,4.43,4.28,4.37,456000
2001-12-04,4.38,4.62,4.33,4.62,892800
2001-12-05,4.56,4.98,4.52,4.92,1690800
2001-12-06,4.94,5.16,4.92,5.05,1582400
2001-12-07,4.99,5.11,4.81,4.84,714000
2001-12-10,4.81,4.99,4.78,4.8,376800
2001-12-11,4.78,4.91,4.69,4.72,206400
2001-12-12,4.69,4.8,4.69,4.8,377200
2001-12-13,4.73,4.92,4.65,4.66,341200
2001-12-14,4.75,4.89,4.74,4.85,315600
2001-12-17,5.23,5.61,5.12,5.57,3436800
2001-12-18,5.51,6.03,5.51,6.01,3756000
2001-12-19,5.96,6.29,5.88,6.05,2915600
2001-12-20,6.12,6.18,6.02,6.07,1187600
2001-12-21,6.01,6.08,5.75,5.85,1758400
2001-12-24,5.71,5.77,5.69,5.76,853200
2001-12-26,5.7,5.98,5.7,5.84,575200
2001-12-27,5.86,5.98,5.81,5.81,1771200
2001-12-28,5.86,5.86,5.7,5.75,752800
2001-12-31,5.76,5.88,5.64,5.8,666000
2002-01-02,5.8,5.82,5.55,5.63,1162400
2002-01-03,5.65,6.13,5.65,6.13,2117200
2002-01-04,6.15,6.75,6.15,6.72,4814000
2002-01-07,6.72,6.77,6.44,6.47,2552400
2002-01-08,6.42,6.58,6.34,6.49,1252400
2002-01-09,6.44,6.6,6.44,6.48,1185600
2002-01-10,6.5,6.56,6.24,6.32,1114000
2002-01-11,6.29,6.42,6.18,6.4,950800
2002-01-14,6.42,6.42,6.11,6.32,981600
2002-01-15,6.34,6.36,6.14,6.28,1638800
2002-01-16,6.28,6.28,6.0,6.06,744800
2002-01-17,6.11,6.23,6.05,6.2,878800
2002-01-18,6.19,6.19,6.0,6.01,947200
2002-01-22,6.02,6.14,5.95,6.02,475200
2002-01-23,6.02,7.05,6.02,7.02,7848800
2002-01-24,7.0,7.29,6.84,6.86,3714000
2002-01-25,6.84,7.02,6.78,7.02,598000
2002-01-28,7.02,7.28,7.02,7.25,1424000
2002-01-29,7.2,7.35,7.08,7.16,1031600
2002-01-30,7.21,7.26,6.95,6.96,3890000
2002-01-31,6.92,7.01,6.83,6.95,2792000
2002-02-01,6.86,6.92,6.5,6.68,2480000
2002-02-04,6.62,6.68,6.31,6.43,1782400
2002-02-05,6.24,6.28,6.11,6.22,7475200
2002-02-06,6.23,6.23,5.56,5.71,5020800
2002-02-07,5.75,5.77,5.58,5.59,1273200
2002-02-08,5.66,5.73,5.52,5.66,2379200
2002-02-11,5.67,6.13,5.59,6.02,2547200
2002-02-12,6.05,6.05,5.82,5.99,720000
2002-02-13,6.05,6.06,5.89,6.0,979600
2002-02-14,6.05,6.05,5.74,5.8,1058400
2002-02-15,5.8,5.92,5.68,5.82,750000
2002-02-19,5.79,5.8,5.64,5.65,666400
2002-02-20,5.65,5.74,5.59,5.66,1125600
2002-02-21,5.67,6.12,5.67,5.74,1708000
2002-02-22,5.8,6.06,5.8,6.06,1522000
2002-02-25,6.06,6.24,6.05,6.2,1543200
2002-02-26,6.2,6.34,6.15,6.29,1275200
2002-02-27,6.3,6.36,6.18,6.3,1345200
2002-02-28,6.3,6.31,5.85,5.87,1326800
2002-03-01,5.92,6.1,5.86,6.05,840000
2002-03-04,6.1,6.77,6.1,6.76,2248000
2002-03-05,6.7,6.88,6.55,6.62,1740000
2002-03-06,6.67,6.84,6.58,6.68,873200
