Date,Open,High,Low,Close,Volume
2001-02-07,77.5,79.4,77.06,78.95,5416700
2001-02-08,80.0,81.5,79.55,80.99,2905400
2001-02-09,81.49,81.99,79.3,80.75,4412600
2001-02-12,81.5,81.73,79.71,80.4,4179800
2001-02-13,81.0,81.0,79.41,79.99,2631000
2001-02-14,79.5,79.99,76.87,77.08,4589400
2001-02-15,77.28,77.4,74.8,75.25,5399700
2001-02-16,74.55,74.99,72.98,73.0,4467700
2001-02-20,74.0,74.7,73.25,73.68,6497200
2001-02-21,74.48,74.65,73.75,73.76,3643300
2001-02-22,74.86,75.0,72.91,74.24,4232500
2001-02-23,74.48,76.2,72.75,75.95,3657400
2001-02-26,76.0,77.49,74.75,77.39,2979700
2001-02-27,76.9,78.36,76.55,78.0,2881300
2001-02-28,78.75,79.99,78.53,79.46,3057000
2001-03-01,78.21,80.1,78.21,78.98,3370800
2001-03-02,78.98,80.39,78.54,79.33,2578700
2001-03-05,78.25,80.19,77.5,79.46,2800800
2001-03-06,79.36,79.36,77.52,77.96,3526700
2001-03-07,79.2,79.24,75.75,76.77,4564800
2001-03-08,75.76,77.5,75.36,77.4,4249100
2001-03-09,77.7,79.28,77.61,79.0,3216000
2001-03-12,78.0,79.39,78.0,78.5,3151300
2001-03-13,78.0,78.47,77.01,78.3,3139600
2001-03-14,77.3,78.68,76.23,76.94,2545400
2001-03-15,76.69,76.9,74.98,75.74,3545100
2001-03-16,75.2,75.91,73.42,74.44,5683400
2001-03-19,73.91,76.75,73.75,76.0,3512800
2001-03-20,76.01,77.19,75.5,76.5,3279700
2001-03-21,76.5,76.6,73.63,74.22,3762800
2001-03-22,74.0,74.01,70.01,73.35,7173700
2001-03-23,73.1,73.1,70.8,72.59,5569500
2001-03-26,73.1,74.8,72.6,74.39,2990900
2001-03-27,74.39,76.22,74.18,76.22,2839300
2001-03-28,75.1,77.5,74.55,77.36,4157500
2001-03-29,76.6,77.2,74.65,75.7,3791400
2001-03-30,75.7,77.01,74.7,76.66,4028100
2001-04-02,76.91,76.94,74.62,75.46,3129100
2001-04-03,75.0,77.48,74.91,75.01,3167000
2001-04-04,74.4,76.99,74.01,76.21,3057100
2001-04-05,75.6,77.12,75.48,77.12,4512200
2001-04-06,76.8,78.85,76.1,77.5,4226500
2001-04-09,76.75,78.39,76.75,77.92,2989100
2001-04-10,78.5,78.89,77.1,78.36,3229800
2001-04-11,77.5,77.51,75.85,76.92,4072100
2001-04-12,77.1,78.09,77.0,77.44,3079200
2001-04-16,78.0,79.73,78.0,79.0,3627900
2001-04-17,79.15,80.89,78.6,80.89,2552600
2001-04-18,79.99,80.95,79.06,79.88,5013000
2001-04-19,80.0,80.35,78.6,79.79,2632000
2001-04-20,79.54,80.64,78.51,80.1,3986100
2001-04-23,80.1,81.49,79.75,80.39,2795700
2001-04-24,80.39,81.34,78.87,79.06,2561400
2001-04-25,79.76,82.1,79.58,81.39,3076800
2001-04-26,81.59,81.84,80.02,81.39,2718000
2001-04-27,81.4,82.88,80.0,82.8,2617500
2001-04-30,83.67,85.19,83.58,85.0,4030600
2001-05-01,84.9,86.0,84.22,85.63,3096400
2001-05-02,85.13,86.88,84.6,86.4,3081800
2001-05-03,86.1,86.78,84.35,85.32,2353500
2001-05-04,85.33,86.85,84.07,86.04,2144800
2001-05-07,85.0,87.0,84.75,86.78,1550100
2001-05-08,85.8,86.12,84.2,86.04,2842300
2001-05-09,86.2,86.65,84.55,85.51,2494200
2001-05-10,85.99,85.99,84.79,85.01,2912500
2001-05-11,84.74,85.25,83.7,83.9,2027500
2001-05-14,83.9,84.77,83.7,84.44,1633300
2001-05-15,84.69,85.26,83.9,84.8,2455400
2001-05-16,85.5,86.99,85.2,86.26,2868900
2001-05-17,86.3,88.65,86.27,87.73,2782300
2001-05-18,87.85,88.0,85.01,85.49,3105400
2001-05-21,85.49,85.97,85.08,85.85,2402800
2001-05-22,84.6,86.4,84.31,85.56,1543500
2001-05-23,86.3,86.8,84.09,84.5,2919200
2001-05-24,84.3,84.9,84.01,84.9,2645600
2001-05-25,84.25,84.6,83.67,84.02,2082000
2001-05-29,84.0,86.34,84.0,85.9,2214600
2001-05-30,85.9,86.15,84.54,84.7,2621600
2001-05-31,84.0,84.7,83.01,84.7,2612600
2001-06-01,84.9,86.61,83.9,86.43,1982100
2001-06-04,86.0,87.37,85.85,87.0,1884500
2001-06-05,87.0,88.47,86.28,88.1,2272100
2001-06-06,88.1,88.47,86.58,86.99,2089100
2001-06-07,86.5,87.24,86.42,87.04,2090500
2001-06-08,86.6,87.4,86.52,87.04,1490700
2001-06-11,87.0,87.26,86.39,87.0,1977300
2001-06-12,87.0,87.61,86.01,86.5,2190100
2001-06-13,83.3,84.1,82.86,83.7,5629100
2001-06-14,83.5,83.64,83.0,83.5,2764500
2001-06-15,82.73,82.85,80.88,81.4,4641400
2001-06-18,80.6,81.74,80.34,80.88,3055300
2001-06-19,80.2,80.3,78.06,78.71,3946100
2001-06-20,78.65,79.97,78.65,79.52,3005200
2001-06-21,79.7,79.98,78.42,78.5,3319300
2001-06-22,77.4,77.41,75.51,76.4,5240900
2001-06-25,76.5,76.75,75.2,75.52,2366000
2001-06-26,75.53,76.5,75.2,75.73,2537100
2001-06-27,75.8,75.8,74.0,74.02,3075100
2001-06-28,74.0,74.0,73.28,73.68,4894000
2001-06-29,74.0,75.24,73.7,74.0,5187900
2001-07-02,74.5,76.9,74.5,75.75,2761700
2001-07-03,76.0,76.46,74.97,76.35,1943000
2001-07-05,76.0,76.41,74.59,75.6,1999300
2001-07-06,75.0,75.55,74.51,75.11,2013700
2001-07-09,75.11,76.4,74.6,76.4,2158200
2001-07-10,76.1,76.36,74.48,74.7,3041200
2001-07-11,74.7,77.18,74.43,75.8,5399900
2001-07-12,75.2,75.35,74.0,74.55,4091800
2001-07-13,74.5,76.2,74.49,75.78,2218800
2001-07-16,75.1,75.78,74.72,75.1,1911800
2001-07-17,74.25,75.7,74.25,75.05,2129900
2001-07-18,74.6,76.95,74.6,76.75,4050000
2001-07-19,77.85,78.49,76.51,77.46,4416500
2001-07-20,77.21,77.84,76.15,77.4,2599000
2001-07-23,78.2,78.2,76.3,76.55,2193500
2001-07-24,76.65,76.7,75.9,76.11,2188500
2001-07-25,76.95,77.15,75.82,76.3,2337800
2001-07-26,76.5,78.68,76.35,78.12,2542100
2001-07-27,77.45,80.0,77.45,78.38,2894000
2001-07-30,79.1,79.64,78.3,79.09,2316500
2001-07-31,78.6,80.48,78.57,79.28,2691000
2001-08-01,79.0,79.4,78.24,78.9,3591200
2001-08-02,79.0,80.27,78.8,79.55,2046000
2001-08-03,78.5,79.5,78.36,79.2,1843900
2001-08-06,79.4,79.43,78.61,79.05,1721000
2001-08-07,78.3,78.66,78.11,78.35,1993800
2001-08-08,77.65,78.34,77.25,77.63,1744200
2001-08-09,77.19,77.75,76.97,77.24,1992900
2001-08-10,76.7,78.41,76.7,78.1,1413200
2001-08-13,77.2,78.67,77.19,78.46,1308600
2001-08-14,78.71,79.41,78.03,78.39,1570500
2001-08-15,79.09,79.85,78.81,79.1,1742600
2001-08-16,78.4,80.1,78.35,80.04,2507000
2001-08-17,79.55,80.03,79.1,79.8,1815000
2001-08-20,79.5,81.35,79.49,81.09,2864700
2001-08-21,81.99,82.2,80.39,80.77,2446900
2001-08-22,80.2,82.04,79.71,81.8,2048100
2001-08-23,81.36,82.64,81.18,82.44,2214500
2001-08-24,82.25,83.76,82.02,83.67,2513200
2001-08-27,82.78,82.89,82.02,82.25,3222200
2001-08-28,81.95,82.1,79.77,79.95,4025100
2001-08-29,80.0,80.13,79.01,79.04,2770600
2001-08-30,79.1,79.85,78.81,79.32,3411600
2001-08-31,78.85,79.7,77.57,77.63,2045300
2001-09-04,78.2,79.7,78.05,78.72,2650400
2001-09-05,78.11,80.1,78.02,79.8,3439700
2001-09-06,78.75,79.3,78.01,78.5,2775700
2001-09-07,78.02,78.5,76.7,76.7,4041300
2001-09-10,76.7,77.87,75.89,77.2,3112800
2001-09-17,77.45,79.3,75.5,77.61,5242500
2001-09-18,77.56,78.86,77.02,77.96,3267700
2001-09-19,77.01,77.49,73.72,75.5,4534000
2001-09-20,74.25,75.35,73.8,73.91,3715800
2001-09-21,72.01,75.3,71.81,73.99,7166300
2001-09-24,76.16,77.25,74.99,76.9,4805300
2001-09-25,76.0,77.6,76.0,77.2,3655800
2001-09-26,77.79,79.6,77.62,78.55,4504900
2001-09-27,78.4,80.49,78.15,80.1,3518400
2001-09-28,80.1,81.34,79.42,80.7,3759300
2001-10-01,80.58,82.0,80.1,81.66,3341700
2001-10-02,81.66,82.99,81.03,82.87,2836600
2001-10-03,78.0,79.27,77.7,79.25,12165800
2001-10-04,79.1,79.2,78.6,78.97,6353500
2001-10-05,78.9,79.84,78.72,79.69,2484700
2001-10-08,79.45,79.85,79.11,79.65,2156300
2001-10-09,79.45,79.54,78.28,78.7,2736700
2001-10-10,78.6,80.0,78.55,79.75,2952400
2001-10-11,79.4,79.6,78.52,78.99,4543500
2001-10-12,78.6,79.65,78.5,78.89,4536100
2001-10-15,78.75,78.9,77.76,78.06,5560900
2001-10-16,78.1,79.49,77.5,79.0,5081900
2001-10-17,74.0,75.6,74.0,75.0,18126400
2001-10-18,74.26,76.44,74.26,76.1,5717400
2001-10-19,76.3,76.9,75.25,75.96,3490700
2001-10-22,75.96,77.59,75.5,77.51,3132100
2001-10-23,77.51,77.77,76.73,77.56,3585700
2001-10-24,77.57,79.8,77.5,78.2,7538800
2001-10-25,77.65,79.16,77.16,79.0,3785200
2001-10-26,78.2,80.05,78.06,79.7,4264600
2001-10-29,80.15,81.55,79.29,79.37,5521200
2001-10-30,79.95,80.0,77.0,77.27,4281300
2001-10-31,77.74,77.74,76.09,76.5,4660400
2001-11-01,76.5,77.41,75.92,76.95,3082100
2001-11-02,76.9,78.4,76.54,77.89,2556600
2001-11-05,78.89,79.55,78.04,78.5,2962900
2001-11-06,78.15,79.7,78.1,79.6,2606200
2001-11-07,79.85,80.84,79.71,80.15,3388400
2001-11-08,79.7,80.2,78.8,79.36,3201300
2001-11-09,79.2,79.7,78.45,78.47,2177000
2001-11-12,77.92,78.78,77.0,78.5,1966900
2001-11-13,78.28,78.99,78.19,78.97,2047400
2001-11-14,78.97,78.98,78.1,78.24,2747100
2001-11-15,78.69,79.22,77.74,78.37,2009600
2001-11-16,78.9,79.38,78.69,79.02,1918200
2001-11-19,78.5,80.05,78.46,79.99,3434900
