Date,Open,High,Low,Close,Volume
2001-02-07,22.48,22.98,22.35,22.97,2956600
2001-02-08,23.0,23.22,21.44,21.49,5220800
2001-02-09,21.5,22.5,20.38,20.58,5403200
2001-02-12,21.02,22.05,20.91,21.75,3253600
2001-02-13,21.88,22.23,21.5,22.11,2525600
2001-02-14,22.11,22.5,21.56,22.4,3183400
2001-02-15,22.03,22.6,21.76,22.55,2572000
2001-02-16,21.8,23.48,21.8,22.88,4249800
2001-02-20,22.92,23.55,22.76,22.88,4998600
2001-02-21,22.58,22.73,21.52,21.72,2793800
2001-02-22,21.82,22.15,20.65,22.15,3803800
2001-02-23,21.62,22.3,21.48,22.08,3638000
2001-02-26,22.2,22.86,22.05,22.86,2917200
2001-02-27,22.86,23.74,22.86,23.68,4792800
2001-02-28,24.25,24.5,23.5,24.18,6481200
2001-03-01,23.75,23.85,23.0,23.7,4293400
2001-03-02,23.35,23.85,23.1,23.75,4987800
2001-03-05,23.75,23.75,23.19,23.3,4999000
2001-03-06,23.55,23.92,23.25,23.82,2753400
2001-03-07,23.98,24.95,23.95,24.63,6761600
2001-03-08,24.25,24.35,23.6,23.75,6333000
2001-03-09,23.75,24.0,23.5,23.92,2736600
2001-03-12,23.55,23.98,23.34,23.48,3165000
2001-03-13,23.45,23.46,22.65,22.88,3141200
2001-03-14,22.5,23.06,22.23,22.9,3643200
2001-03-15,22.92,23.1,22.62,22.86,2192600
2001-03-16,22.86,23.22,22.2,22.2,2880200
2001-03-19,22.25,22.52,22.05,22.52,2346200
2001-03-20,22.5,23.42,22.45,22.45,3459400
2001-03-21,22.55,22.74,21.61,21.78,4700400
2001-03-22,22.05,22.25,20.18,21.42,6495400
2001-03-23,21.48,21.92,20.85,21.56,4600400
2001-03-26,21.06,21.07,20.58,20.85,6259800
2001-03-27,20.78,21.01,20.2,20.94,6241000
2001-03-28,20.7,20.9,20.28,20.72,5313200
2001-03-29,20.72,20.72,20.43,20.52,3172400
2001-03-30,20.52,21.0,20.3,20.78,5535800
2001-04-02,20.3,20.67,20.2,20.56,4043200
2001-04-03,20.56,20.75,19.56,19.75,3905400
2001-04-04,19.65,20.5,19.6,20.28,5175400
2001-04-05,20.52,21.15,20.42,21.0,6179800
2001-04-06,20.88,20.9,20.08,20.58,3586600
2001-04-09,20.5,21.0,20.4,20.52,3541600
