Date,Open,High,Low,Close,Volume
2001-02-06,43.31,46.5,43.31,44.88,8942600
2001-02-07,43.38,43.62,37.0,38.62,19992300
2001-02-08,39.0,40.31,34.0,35.25,22116700
2001-02-09,37.97,39.39,35.25,38.0,37543500
2001-02-12,37.25,39.75,33.5,39.12,16203400
2001-02-13,39.88,43.06,38.5,39.69,12109800
2001-02-14,40.0,42.88,37.94,42.12,9875800
2001-02-15,44.0,48.0,43.0,45.0,14526600
2001-02-16,42.0,42.38,39.25,40.38,11626900
2001-02-20,40.69,41.75,33.25,33.62,12777600
2001-02-21,32.75,37.38,32.5,34.31,15140700
2001-02-22,32.12,35.25,29.31,33.81,18702900
2001-02-23,34.19,35.75,30.75,33.94,22298100
2001-02-26,34.12,35.38,31.5,33.0,12419700
2001-02-27,32.38,33.75,32.0,32.0,9235400
2001-02-28,31.81,33.5,28.0,29.75,12681800
2001-03-01,28.69,32.5,28.19,30.88,11614400
2001-03-02,28.94,30.19,27.25,27.25,11649500
2001-03-05,27.62,29.12,26.62,28.5,7135300
2001-03-06,29.94,30.5,28.88,29.31,10082500
2001-03-07,29.88,30.25,27.81,28.12,5055400
2001-03-08,27.27,27.88,24.62,25.0,9404900
2001-03-09,23.5,24.0,20.12,21.12,12937100
2001-03-12,20.06,21.25,19.52,20.19,15128100
2001-03-13,20.38,23.31,20.06,22.81,11113400
2001-03-14,21.0,22.94,20.5,21.19,13906000
2001-03-15,22.81,23.31,18.31,18.75,15292000
2001-03-16,18.5,19.62,17.62,18.94,10113800
2001-03-19,19.25,20.75,18.5,20.44,7449500
2001-03-20,20.38,22.44,18.12,18.62,14434700
2001-03-21,18.81,20.25,18.62,19.25,6563400
2001-03-22,20.0,22.56,19.38,22.48,11292300
2001-03-23,23.5,23.88,20.25,21.12,13366000
2001-03-26,21.75,21.75,19.0,19.88,6923800
2001-03-27,19.69,21.62,19.56,20.81,6430500
2001-03-28,20.38,20.44,18.06,18.56,6532900
2001-03-29,17.69,18.0,15.56,16.31,11779300
2001-03-30,16.38,17.12,15.94,16.81,9883400
2001-04-02,16.31,16.5,14.56,15.25,13281500
2001-04-03,14.19,14.62,12.44,12.56,13982000
2001-04-04,12.69,12.94,11.44,11.81,14841000
2001-04-05,13.25,13.75,12.56,13.5,13715200
2001-04-06,13.06,13.69,12.5,13.44,18410500
2001-04-09,14.01,14.1,12.4,13.35,14227300
2001-04-10,13.9,15.83,13.6,15.68,17978800
2001-04-11,17.46,17.81,13.75,16.56,12132000
2001-04-12,13.31,16.85,13.25,16.68,20816300
2001-04-16,16.3,17.38,14.31,15.28,9381200
2001-04-17,15.06,16.8,15.01,15.87,8811700
2001-04-18,16.98,20.24,16.62,19.44,16645500
2001-04-19,20.82,23.45,19.49,22.3,13413800
2001-04-20,21.65,24.66,21.13,23.55,16643500
2001-04-23,22.8,23.5,21.29,21.95,9070600
2001-04-24,21.69,22.68,18.92,19.93,10529300
2001-04-25,19.79,21.7,19.61,21.5,8987200
2001-04-26,22.31,22.46,20.11,20.16,5906500
2001-04-27,21.0,22.07,20.35,21.86,5342000
2001-04-30,22.96,24.04,21.98,22.75,7368800
2001-05-01,22.68,24.61,21.15,24.55,10936100
2001-05-02,26.2,29.5,25.98,28.21,23150000
2001-05-03,26.71,27.45,24.55,25.86,17590300
2001-05-04,24.15,26.5,23.71,25.17,13019900
2001-05-07,26.44,27.25,25.73,26.28,10296300
2001-05-08,27.5,27.59,25.35,26.9,6696800
2001-05-09,25.9,27.45,25.15,25.49,9005800
2001-05-10,26.96,27.0,23.84,24.01,9353000
2001-05-11,23.92,25.25,23.51,24.25,5371200
2001-05-14,24.0,24.05,21.75,22.33,7200300
2001-05-15,22.24,24.44,21.65,22.53,10964400
2001-05-16,22.1,24.8,20.84,24.68,15003400
2001-05-17,24.72,25.25,22.75,23.1,11103800
2001-05-18,22.86,23.99,22.34,22.94,6549300
2001-05-21,22.86,26.98,22.43,26.65,13813900
2001-05-22,26.9,28.75,26.85,28.18,17414200
2001-05-23,27.45,27.57,25.88,25.93,7048100
2001-05-24,26.12,27.5,25.98,27.09,7411100
2001-05-25,27.1,27.12,25.61,25.72,4269300
2001-05-29,25.48,25.55,20.77,22.54,13481500
2001-05-30,21.15,21.2,18.3,19.01,13696300
2001-05-31,18.72,20.2,18.51,18.6,12621400
2001-06-01,19.15,19.55,18.3,18.83,8506900
2001-06-04,19.21,19.65,17.8,17.84,6559300
2001-06-05,18.2,19.25,18.19,18.82,8584600
2001-06-06,19.02,20.03,18.57,18.92,7275300
2001-06-07,18.92,22.22,18.6,20.22,10673300
2001-06-08,20.13,20.23,18.55,18.71,5633800
2001-06-11,18.84,19.0,16.95,17.84,7492600
2001-06-12,17.01,18.38,16.8,17.75,6293300
2001-06-13,18.05,18.61,16.5,16.73,7614700
2001-06-14,16.53,16.55,14.68,15.07,8752000
2001-06-15,14.7,16.06,14.12,14.74,11537700
2001-06-18,14.94,15.33,13.1,13.53,6393300
2001-06-19,14.82,15.5,12.64,13.29,9879900
2001-06-20,12.75,13.27,11.85,12.0,11191100
2001-06-21,12.06,12.4,10.65,11.08,16475900
2001-06-22,11.32,12.5,11.0,11.33,9757100
2001-06-25,11.76,11.9,11.16,11.68,5529700
2001-06-26,11.27,12.57,11.2,12.38,6961400
2001-06-27,12.71,13.5,12.5,12.8,10176000
2001-06-28,13.14,14.0,12.75,13.15,8683400
2001-06-29,13.88,14.35,12.5,13.7,7917300
2001-07-02,13.61,14.22,13.2,13.34,5470900
2001-07-03,13.12,13.32,12.7,13.16,3620300
2001-07-05,12.85,13.27,12.54,12.67,4570000
2001-07-06,11.78,11.82,11.03,11.78,8866400
2001-07-09,11.85,12.4,11.44,11.63,7258800
2001-07-10,11.92,12.1,10.25,10.36,7695700
2001-07-11,10.29,11.11,10.28,10.94,10481300
2001-07-12,11.95,12.0,10.9,11.5,12513900
2001-07-13,11.58,12.25,11.2,11.67,7037700
2001-07-16,11.67,12.18,10.99,11.08,5819300
2001-07-17,11.01,11.5,10.48,11.4,4417200
2001-07-18,11.01,11.25,10.01,10.26,6749000
2001-07-19,10.63,11.07,10.24,10.62,6004700
2001-07-20,10.25,10.79,10.2,10.48,3292800
2001-07-23,10.7,10.82,9.6,9.88,6619300
2001-07-24,9.75,10.29,9.55,10.05,6704500
2001-07-25,10.01,10.25,9.63,10.03,4447400
2001-07-26,10.04,10.9,9.85,10.77,5202000
2001-07-27,10.86,11.42,10.4,11.27,6366900
2001-07-30,11.29,12.1,11.21,11.48,9025800
2001-07-31,11.4,12.63,11.14,12.48,10793800
2001-08-01,13.15,16.15,13.1,15.21,42151400
2001-08-02,16.11,16.15,15.0,15.27,18020100
2001-08-03,14.49,15.0,13.9,14.5,15107900
2001-08-06,14.0,14.73,13.9,14.54,8517800
2001-08-07,14.43,14.63,13.9,14.15,5875500
2001-08-08,13.88,14.22,13.55,13.88,9119200
2001-08-09,13.83,14.28,13.45,14.12,5727400
2001-08-10,14.01,14.13,13.35,13.91,6871800
2001-08-13,14.0,14.25,13.7,13.99,7540500
2001-08-14,14.08,14.45,12.62,12.76,9607500
2001-08-15,13.34,14.1,12.9,13.12,14783200
2001-08-16,12.78,12.83,12.08,12.58,7987500
2001-08-17,12.19,12.52,12.0,12.05,5235700
2001-08-20,12.13,12.49,11.9,12.3,3684700
2001-08-21,12.39,12.87,12.19,12.38,5388800
2001-08-22,12.51,12.59,11.45,12.1,3900200
2001-08-23,12.07,12.6,11.97,12.22,3748500
2001-08-24,12.35,14.0,12.32,13.98,4971000
2001-08-27,13.9,14.2,13.6,13.75,4614900
2001-08-28,13.84,14.35,13.2,13.25,4933600
2001-08-29,13.53,13.83,13.25,13.77,3985700
2001-08-30,13.42,13.42,12.5,13.07,5391300
2001-08-31,13.0,13.13,12.65,12.96,3463800
2001-09-04,13.02,13.59,12.14,12.22,5203900
2001-09-05,12.25,12.55,11.19,11.72,7217200
2001-09-06,11.5,11.75,10.88,11.14,4835700
2001-09-07,10.81,11.5,10.67,11.01,4637300
2001-09-10,10.72,10.91,10.46,10.62,4577100
2001-09-17,9.86,11.0,9.28,9.97,7987400
2001-09-18,10.18,10.57,9.5,9.55,6373800
2001-09-19,9.89,9.93,9.0,9.29,8312300
2001-09-20,9.18,9.64,8.89,9.13,8314700
2001-09-21,8.55,8.78,7.8,8.02,9757700
2001-09-24,8.44,8.55,8.2,8.31,7637300
2001-09-25,8.47,9.51,8.35,9.08,9075800
2001-09-26,9.17,9.2,7.85,7.91,5184300
2001-09-27,7.53,7.8,6.0,6.68,15236200
2001-09-28,6.93,7.02,6.19,6.8,8195800
2001-10-01,6.59,6.73,6.2,6.54,8131100
2001-10-02,6.53,7.08,6.38,6.85,6307500
2001-10-03,6.62,8.6,6.44,8.3,10219200
2001-10-04,8.69,9.69,8.4,8.51,11323600
2001-10-05,8.46,9.96,8.08,9.75,12085100
2001-10-08,9.3,10.27,9.2,9.42,7475200
2001-10-09,10.23,10.24,9.25,9.41,12845500
2001-10-10,9.31,9.6,8.88,9.24,8415900
2001-10-11,9.73,11.01,9.7,10.9,15800400
2001-10-12,10.75,11.8,10.45,11.66,13694800
2001-10-15,11.36,11.95,10.82,11.61,7713300
2001-10-16,11.82,12.06,11.35,11.7,7278400
2001-10-17,12.09,12.24,10.01,10.05,13032900
2001-10-18,10.05,10.8,9.87,10.51,6639900
2001-10-19,10.45,10.78,10.1,10.25,6336100
2001-10-22,10.22,11.4,10.04,11.26,10425800
2001-10-23,11.5,11.9,11.22,11.49,9470700
2001-10-24,11.53,12.85,11.3,12.78,13532900
2001-10-25,12.39,13.85,12.07,13.79,12974500
2001-10-26,13.28,14.27,13.09,13.16,11798800
2001-10-29,13.1,13.32,11.74,11.78,9799100
2001-10-30,11.29,12.88,11.29,12.18,12646000
2001-10-31,12.74,14.04,12.31,13.3,17710200
2001-11-01,13.68,16.05,13.63,15.72,32127400
2001-11-02,15.39,15.77,14.71,14.99,15280900
2001-11-05,15.9,17.19,15.8,17.0,19660300
2001-11-06,16.8,17.13,16.04,16.94,13115600
2001-11-07,16.64,17.77,16.32,16.57,14427400
2001-11-08,17.3,17.81,15.7,15.92,12168000
2001-11-09,16.09,16.77,16.06,16.51,7451600
2001-11-12,16.74,17.81,15.7,17.48,12355700
2001-11-13,18.42,18.75,17.5,18.19,14215200
2001-11-14,17.07,17.48,15.0,15.29,36213900
2001-11-15,15.2,16.11,15.05,15.92,14345900
2001-11-16,16.03,16.22,15.68,15.95,11446700
2001-11-19,16.27,16.4,15.48,16.22,12346100
2001-11-20,16.25,16.35,15.2,15.29,11226300
2001-11-21,15.26,15.44,14.35,15.32,11212200
2001-11-23,15.6,16.15,15.28,16.04,3348000
2001-11-26,16.14,16.4,16.0,16.16,9736600
2001-11-27,16.17,16.57,15.52,16.01,14695700
2001-11-28,15.7,15.89,14.56,14.67,10888400
2001-11-29,14.98,15.51,14.9,15.5,6035100
2001-11-30,15.39,15.68,15.13,15.43,7569700
2001-12-03,14.97,16.0,14.87,15.92,7030100
2001-12-04,16.02,17.06,15.91,16.84,10523100
2001-12-05,17.27,19.5,17.11,19.25,23606100
2001-12-06,19.05,19.93,18.89,19.59,13477700
2001-12-07,19.13,19.75,18.7,19.03,10745300
2001-12-10,18.48,20.43,18.45,19.95,11951900
2001-12-11,20.49,22.35,20.3,21.37,17929800
2001-12-12,22.11,24.82,21.76,23.59,23230200
2001-12-13,22.4,23.08,21.4,21.59,15558300
2001-12-14,21.31,21.95,20.59,21.04,11215800
2001-12-17,21.02,22.25,20.93,21.75,9760400
2001-12-18,22.48,24.26,22.47,24.06,16456800
2001-12-19,23.25,24.53,23.24,23.58,11380400
2001-12-20,23.36,23.99,21.36,21.4,12252400
2001-12-21,22.1,22.98,22.0,22.6,9592100
2001-12-24,22.73,23.36,22.2,22.36,1753500
2001-12-26,22.37,23.22,21.78,22.15,4192500
2001-12-27,22.59,22.84,22.18,22.47,4355300
2001-12-28,23.05,23.75,22.3,22.95,6088500
2001-12-31,22.96,23.49,21.58,21.87,6513800
2002-01-02,22.6,24.0,22.18,23.78,7915000
2002-01-03,24.25,26.94,24.25,26.89,15457500
2002-01-04,27.1,27.95,25.87,26.73,15474500
2002-01-07,26.95,27.42,22.99,23.44,27041900
2002-01-08,23.46,25.0,23.12,24.73,12343400
2002-01-09,25.29,25.4,22.22,22.44,20954700
2002-01-10,22.7,23.37,22.53,23.0,8219400
2002-01-11,22.28,23.48,22.1,22.55,8135300
2002-01-14,22.4,22.57,19.89,20.13,13962300
2002-01-15,20.76,21.3,19.6,20.49,10954000
2002-01-16,19.75,19.78,18.03,18.19,12989400
2002-01-17,19.3,19.79,18.3,19.7,11526300
2002-01-18,18.66,18.98,18.23,18.34,8838700
2002-01-22,18.87,18.88,16.86,16.98,8590500
2002-01-23,17.39,18.69,17.16,18.24,13579400
2002-01-24,19.09,20.6,19.05,19.34,13163100
2002-01-25,19.24,19.85,18.26,19.2,10898300
2002-01-28,20.05,20.08,18.69,19.38,8963700
2002-01-29,19.37,19.75,18.52,18.86,9230300
2002-01-30,18.84,19.24,17.82,19.07,10758100
2002-01-31,18.75,18.8,17.87,17.95,12514600
2002-02-01,17.86,18.55,17.51,17.9,9224600
2002-02-04,17.64,17.65,15.85,16.07,11796300
2002-02-05,15.82,16.83,15.57,15.97,10793500
2002-02-06,16.61,16.88,15.8,16.61,8888600
2002-02-07,16.41,16.5,15.27,15.32,9138000
2002-02-08,15.54,16.0,15.23,15.8,9178100
2002-02-11,16.35,17.45,16.1,17.31,13002700
2002-02-12,16.86,17.29,16.25,16.45,13040300
2002-02-13,18.25,19.52,17.81,19.34,23563200
2002-02-14,18.85,19.54,18.34,18.77,14724800
