Date,Open,High,Low,Close,Volume
2001-02-07,10.88,10.88,10.7,10.72,528400
2001-02-08,10.74,10.75,10.65,10.75,598000
2001-02-09,10.75,10.79,10.69,10.72,1240400
2001-02-12,10.83,10.87,10.62,10.85,843600
2001-02-13,10.88,11.05,10.84,11.0,1787600
2001-02-14,11.0,11.05,10.72,10.77,1142000
2001-02-15,10.78,11.24,10.76,11.21,2056400
2001-02-16,11.15,11.2,10.69,10.84,1381200
2001-02-20,10.8,10.99,10.68,10.81,1034400
2001-02-21,10.99,10.99,10.58,10.64,875200
2001-02-22,10.61,10.84,10.52,10.8,1565200
2001-02-23,10.8,10.94,10.56,10.56,1356400
2001-02-26,10.68,11.12,10.61,11.11,1655600
2001-02-27,11.06,11.22,11.01,11.06,2140000
2001-02-28,11.0,11.19,10.97,11.05,1286800
2001-03-01,11.02,11.24,10.96,11.09,1207200
2001-03-02,11.09,11.49,11.08,11.4,1352000
2001-03-05,11.4,11.76,11.39,11.63,1427200
2001-03-06,11.69,11.77,11.51,11.68,860400
2001-03-07,11.79,11.8,11.51,11.69,1425200
2001-03-08,11.71,11.81,11.5,11.78,1032400
2001-03-09,11.72,11.89,11.65,11.73,1357600
2001-03-12,11.73,11.73,11.32,11.34,1502000
2001-03-13,11.25,11.29,10.79,11.23,2645200
2001-03-14,11.11,11.11,10.89,10.96,804800
2001-03-15,11.0,11.12,10.75,10.82,1484000
2001-03-16,10.82,10.94,10.35,10.44,1969600
2001-03-19,10.46,10.87,10.46,10.79,1186400
2001-03-20,10.79,11.2,10.64,10.86,1323600
2001-03-21,10.88,10.88,10.58,10.64,1612000
2001-03-22,10.68,10.72,10.12,10.32,1956000
2001-03-23,10.12,10.25,9.9,10.12,1862400
2001-03-26,10.06,10.34,10.02,10.34,1065600
2001-03-27,10.34,10.38,10.05,10.36,1355200
2001-03-28,10.32,10.45,10.07,10.41,1032000
2001-03-29,10.41,10.47,10.15,10.21,934800
2001-03-30,10.21,10.21,9.96,10.02,1974400
2001-04-02,10.12,10.36,9.97,10.0,2014800
2001-04-03,10.0,10.02,9.62,9.68,1211600
2001-04-04,9.77,10.1,9.77,9.95,1500000
2001-04-05,10.0,10.16,9.97,10.1,1834800
2001-04-06,10.15,10.15,9.96,10.09,2112400
2001-04-09,10.32,10.82,10.32,10.64,3061600
2001-04-10,10.64,11.18,10.64,11.03,2782800
2001-04-11,11.25,11.5,11.11,11.48,4104800
2001-04-12,11.62,11.75,11.38,11.44,2536000
2001-04-16,11.31,11.62,11.29,11.49,1816000
2001-04-17,11.49,11.58,11.27,11.54,1987600
2001-04-18,11.5,12.12,11.42,12.04,2388000
2001-04-19,11.88,11.98,11.72,11.91,2811200
2001-04-20,11.86,12.05,11.82,11.95,1232400
2001-04-23,11.92,12.1,11.7,12.06,1743200
2001-04-24,12.05,12.5,12.02,12.39,3316400
2001-04-25,12.4,12.4,12.26,12.34,2404800
2001-04-26,12.34,12.98,12.32,12.95,4948400
2001-04-27,13.0,13.0,12.66,12.72,2668400
2001-04-30,12.75,12.95,12.56,12.68,2958000
2001-05-01,12.48,12.93,12.42,12.9,2361200
2001-05-02,12.89,13.18,12.8,12.9,2214400
2001-05-03,12.9,12.9,12.48,12.53,2017200
2001-05-04,12.44,12.75,12.43,12.74,1442800
2001-05-07,12.74,12.75,12.58,12.67,1363200
2001-05-08,12.5,12.52,12.35,12.4,1728400
2001-05-09,12.39,12.58,12.3,12.45,2787200
2001-05-10,12.38,12.52,12.32,12.41,1581200
2001-05-11,12.46,12.62,12.22,12.38,1681600
2001-05-14,12.28,12.45,12.26,12.44,814800
2001-05-15,12.44,12.56,12.32,12.47,2030400
2001-05-16,12.42,13.21,12.33,13.12,4316800
2001-05-17,13.12,13.55,13.09,13.42,3444400
2001-05-18,13.4,13.42,13.18,13.33,1101600
2001-05-21,13.33,13.5,13.33,13.46,1826000
2001-05-22,13.4,13.46,13.29,13.36,1444400
2001-05-23,12.92,12.99,12.46,12.54,3546800
2001-05-24,12.54,12.54,12.08,12.32,1609600
2001-05-25,12.32,12.88,12.32,12.88,2295200
2001-05-29,12.88,13.32,12.85,13.21,3468000
2001-05-30,13.18,13.18,12.62,12.66,3412800
2001-05-31,12.7,12.89,12.62,12.8,898800
2001-06-01,12.78,12.9,12.66,12.87,1386400
2001-06-04,12.88,12.96,12.81,12.96,1069600
2001-06-05,12.94,14.12,12.84,14.0,6445600
2001-06-06,13.56,13.71,13.38,13.5,8558800
