Date,Open,High,Low,Close,Volume
2001-02-06,7.66,8.0,7.64,7.85,6135498
2001-02-07,7.8,7.86,7.07,7.48,17595198
2001-02-08,7.52,7.95,7.41,7.44,9557400
2001-02-09,7.38,7.43,7.12,7.39,6088800
2001-02-12,7.31,7.39,6.84,7.19,8801802
2001-02-13,7.33,7.75,7.24,7.41,11126202
2001-02-14,7.32,8.14,7.0,7.95,16495398
2001-02-15,9.03,9.57,8.98,9.41,27205398
2001-02-16,8.93,10.17,8.92,9.92,26119302
2001-02-20,9.67,9.88,8.92,8.93,17449500
2001-02-21,8.6,9.71,8.5,9.34,15623400
2001-02-22,9.29,10.0,9.0,9.73,20312400
2001-02-23,9.68,9.84,8.75,9.06,25641402
2001-02-26,8.8,9.05,8.47,8.86,18166098
2001-02-27,8.64,8.98,8.28,8.33,13197000
2001-02-28,8.26,8.75,7.3,7.45,18206898
2001-03-01,7.36,8.17,6.67,8.04,22651902
2001-03-02,7.46,7.99,7.17,7.27,34163700
2001-03-05,6.98,7.52,6.94,7.34,18484602
2001-03-06,7.69,8.31,7.58,8.05,19984998
2001-03-07,8.22,8.71,8.08,8.69,23364300
2001-03-08,8.44,9.08,8.44,8.98,20292102
2001-03-09,8.51,8.56,7.57,8.35,27028500
2001-03-12,8.07,8.44,7.7,8.05,18986502
2001-03-13,8.15,9.13,8.11,9.0,25962798
2001-03-14,8.61,9.55,8.6,9.52,33266598
2001-03-15,10.11,10.63,9.73,9.98,46362198
2001-03-16,9.83,10.21,9.54,9.94,29584998
2001-03-19,9.89,10.59,9.35,10.52,23351100
2001-03-20,10.39,11.05,9.42,9.54,49436898
2001-03-21,9.56,10.53,9.5,10.24,46773600
2001-03-22,10.34,11.32,10.26,11.28,41418300
2001-03-23,11.48,11.69,10.61,11.17,37471098
2001-03-26,11.17,11.84,11.17,11.78,37917198
2001-03-27,11.55,11.95,10.86,11.35,41883102
2001-03-28,11.04,11.65,11.01,11.36,35599398
2001-03-29,11.26,11.92,11.03,11.53,40546902
2001-03-30,11.44,11.66,10.76,10.83,33486102
2001-04-02,10.76,11.06,10.23,10.37,31306098
2001-04-03,10.24,11.0,10.2,10.71,49297200
2001-04-04,10.31,10.33,8.97,9.61,83059698
2001-04-05,10.24,10.66,9.96,10.49,42886998
2001-04-06,10.36,11.01,10.18,10.45,38133702
2001-04-09,10.66,10.91,9.78,9.95,27142998
2001-04-10,10.18,11.21,10.09,10.88,28327398
2001-04-11,11.55,11.97,11.22,11.54,35445900
2001-04-12,11.33,12.21,11.11,11.71,35028498
2001-04-16,11.51,11.75,11.17,11.43,18894798
2001-04-17,11.26,12.5,11.26,11.99,27228798
2001-04-18,12.49,14.07,12.49,12.88,57104598
2001-04-19,12.96,14.21,12.9,13.99,39447702
2001-04-20,13.82,15.01,13.46,14.5,44055798
2001-04-23,14.19,14.2,13.59,13.74,30901902
2001-04-24,13.7,14.72,12.55,12.76,45447702
2001-04-25,12.8,13.81,12.75,13.35,35156802
2001-04-26,13.64,13.64,12.17,12.3,36732198
2001-04-27,12.77,13.34,12.52,13.17,22687302
2001-04-30,13.53,14.67,13.24,13.89,39045900
2001-05-01,13.94,15.22,13.71,15.19,45798498
2001-05-02,15.58,15.58,14.64,14.84,38464200
2001-05-03,14.41,14.84,14.3,14.77,23708502
2001-05-04,14.34,15.21,14.27,14.98,23564598
