Date,Open,High,Low,Close,Volume
2001-02-07,27.12,28.38,26.5,27.69,42028000
2001-02-08,28.44,28.88,26.69,27.12,41160800
2001-02-09,25.25,25.69,23.25,23.56,89832800
2001-02-12,23.62,24.0,22.5,23.0,50438700
2001-02-13,23.69,24.38,22.5,22.56,43816300
2001-02-14,23.25,25.06,22.69,25.0,39052700
2001-02-15,25.56,26.62,25.0,25.5,45067900
2001-02-16,24.0,24.56,22.94,24.0,39217500
2001-02-20,24.38,24.62,23.0,23.12,37895600
2001-02-21,22.81,24.25,22.06,23.0,56220100
2001-02-22,23.5,24.19,22.44,23.38,51945600
2001-02-23,22.88,23.19,20.56,22.0,72112300
2001-02-26,22.31,24.0,21.56,23.19,43404600
2001-02-27,22.44,22.69,21.56,21.69,41575100
2001-02-28,21.88,22.0,18.69,19.0,58864000
2001-03-01,19.0,21.5,18.75,21.38,67455500
2001-03-02,16.25,17.94,15.75,16.88,21343100
2001-03-05,17.31,17.38,16.69,17.0,49930400
2001-03-06,17.75,18.0,17.38,17.62,56650800
2001-03-07,18.25,18.75,17.81,18.62,50574300
2001-03-08,18.39,18.5,17.31,17.5,38459400
2001-03-09,17.12,17.19,16.19,16.38,56832900
2001-03-12,16.0,16.38,15.02,15.25,64562800
2001-03-13,15.94,17.12,15.38,16.94,57012900
2001-03-14,16.25,16.75,15.56,16.06,51889600
2001-03-15,16.5,16.62,13.81,14.69,72455400
2001-03-16,14.12,14.62,13.81,14.06,84249900
2001-03-19,14.38,15.97,14.25,15.44,49399000
2001-03-20,15.88,16.06,14.25,14.38,64538700
2001-03-21,14.75,15.62,14.25,14.75,49257400
2001-03-22,15.25,15.62,14.38,15.5,62595600
2001-03-23,16.31,16.56,15.67,15.88,71384900
2001-03-26,16.5,16.58,15.62,15.69,33437600
2001-03-27,16.06,16.78,15.72,16.65,43930400
2001-03-28,16.19,16.22,14.9,15.1,44929700
2001-03-29,14.95,15.5,14.05,14.52,52876800
2001-03-30,14.81,15.46,14.5,14.98,34496300
2001-04-02,15.14,16.03,15.0,15.32,36555100
2001-04-03,14.98,15.05,13.15,13.25,69673200
2001-04-04,13.43,14.66,13.13,13.48,47606300
2001-04-05,14.75,14.99,14.0,14.74,43100200
2001-04-06,14.52,14.7,13.48,13.86,41862100
2001-04-09,14.1,14.2,13.63,14.05,28277100
2001-04-10,14.47,15.47,14.25,14.97,47290400
2001-04-11,15.6,15.73,15.01,15.53,65364600
2001-04-12,15.45,16.0,15.34,15.82,45605200
2001-04-16,16.0,16.71,15.3,15.96,42512600
2001-04-17,15.47,16.9,15.41,16.22,38793700
2001-04-18,17.35,19.2,17.0,17.92,92631400
2001-04-19,19.6,20.56,19.32,20.31,1088600
2001-04-20,20.54,20.84,19.32,19.75,58453900
2001-04-23,18.31,18.5,16.92,17.15,59940900
2001-04-24,16.9,18.08,16.37,16.97,51379700
2001-04-25,17.11,17.58,16.65,17.23,40428300
2001-04-26,18.16,18.25,16.38,16.9,43648900
2001-04-27,17.41,17.47,16.67,17.15,45794800
2001-04-30,17.77,17.88,15.87,16.16,90028000
2001-05-01,16.32,16.36,15.52,16.04,62502400
2001-05-02,16.83,17.21,16.15,17.17,63991100
2001-05-03,16.82,17.17,15.51,16.45,47999300
2001-05-04,16.14,17.2,15.96,17.09,47444300
2001-05-07,17.14,17.2,16.51,16.87,44968700
2001-05-08,17.25,17.27,16.54,17.04,33796200
2001-05-09,16.66,17.55,16.07,17.06,39116000
2001-05-10,17.27,17.48,16.35,16.39,39646000
2001-05-11,16.38,16.52,15.86,15.9,33495900
2001-05-14,16.07,16.49,16.0,16.04,26424800
2001-05-15,16.22,16.5,15.68,15.93,37296000
2001-05-16,15.72,16.45,15.45,16.4,59978400
2001-05-17,16.42,16.79,15.95,16.12,43259000
2001-05-18,16.03,16.35,15.88,16.28,28883400
2001-05-21,16.29,18.21,16.19,18.1,67460300
2001-05-22,18.35,18.52,17.46,17.58,59306200
2001-05-23,17.21,17.26,16.75,16.84,40495800
2001-05-24,16.86,17.4,16.6,17.3,30023800
2001-05-25,16.97,17.15,16.4,16.51,27099600
2001-05-29,16.37,16.43,15.44,15.61,43727000
2001-05-30,15.36,16.0,14.45,14.51,57642500
2001-05-31,14.65,15.89,14.64,15.3,76212400
2001-06-01,15.5,16.4,15.26,15.86,37968700
2001-06-04,16.53,16.54,15.93,16.06,33725300
2001-06-05,16.12,16.96,16.09,16.76,36830000
2001-06-06,16.94,17.24,16.8,17.0,43058100
2001-06-07,16.88,17.4,16.61,17.33,32449800
2001-06-08,17.27,17.5,16.92,17.01,20810000
2001-06-11,17.0,17.01,16.02,16.19,24718400
2001-06-12,16.01,16.36,15.34,16.14,34681400
2001-06-13,16.35,16.45,15.34,15.5,33531500
2001-06-14,15.36,15.37,14.7,14.85,43399500
2001-06-15,14.75,15.5,14.66,15.0,57094800
2001-06-18,15.23,15.3,14.62,14.84,43319000
2001-06-19,17.05,17.08,16.44,16.76,21742000
2001-06-20,16.48,17.77,16.44,17.52,64020600
2001-06-21,17.46,18.04,17.3,17.9,39912100
2001-06-22,17.8,17.97,17.35,17.48,28967100
2001-06-25,17.65,18.06,17.51,17.77,30112800
2001-06-26,17.35,18.55,17.01,18.44,54859000
2001-06-27,18.56,18.84,17.7,18.04,55927200
2001-06-28,18.38,21.2,18.29,19.18,70808300
2001-06-29,19.19,20.02,16.5,19.0,55182500
2001-07-02,19.24,20.53,19.07,19.58,27683100
2001-07-03,19.39,20.0,19.13,19.77,21542500
2001-07-05,19.38,19.91,18.9,18.93,27849200
2001-07-06,18.63,18.95,18.04,18.21,26333000
2001-07-09,18.18,19.33,18.1,18.91,32167800
2001-07-10,19.08,19.38,17.5,17.59,36808400
2001-07-11,17.58,18.24,17.46,18.0,34411400
2001-07-12,18.94,19.93,18.2,19.66,44030200
2001-07-13,19.26,19.9,19.1,19.54,30542300
2001-07-16,19.31,19.79,18.51,18.7,26513500
2001-07-17,18.52,19.58,18.46,19.5,26630700
2001-07-18,18.83,19.41,18.58,18.78,26779400
2001-07-19,19.04,19.69,17.07,19.17,31865900
2001-07-20,19.02,19.16,18.7,19.07,24872100
2001-07-23,19.13,19.3,18.1,18.13,24718900
2001-07-24,18.22,18.7,17.88,18.21,32489000
2001-07-25,18.39,19.34,18.31,19.26,35667500
2001-07-26,19.08,19.55,18.68,19.36,34980100
2001-07-27,19.14,20.0,18.75,19.06,27137000
2001-07-30,19.07,19.18,18.45,18.67,24908600
2001-07-31,18.6,18.96,18.04,18.08,42019300
2001-08-01,18.36,18.84,18.1,18.32,36073100
2001-08-02,18.67,18.85,17.98,18.31,32463700
2001-08-03,18.32,18.34,17.9,18.0,28139800
2001-08-06,17.68,18.01,17.31,17.46,24328100
2001-08-07,17.4,17.44,17.01,17.24,32764500
2001-08-08,17.04,17.6,16.15,16.3,46423400
2001-08-09,16.32,16.42,15.85,15.99,45499500
2001-08-10,15.78,15.92,15.0,15.16,59655100
2001-08-13,15.04,15.91,14.77,15.69,46470300
2001-08-14,15.93,16.32,15.46,15.55,36460000
2001-08-15,15.61,15.82,14.94,15.01,32736500
2001-08-16,14.82,15.39,14.67,15.31,37124900
2001-08-17,14.9,15.09,14.57,14.72,25436800
2001-08-20,14.7,14.92,14.01,14.81,24101800
2001-08-21,14.87,15.25,14.05,14.13,28037100
2001-08-22,14.38,14.78,14.02,14.64,26988700
2001-08-23,14.52,15.03,14.0,14.01,28348100
