Date,Open,High,Low,Close,Volume
2001-02-07,20.76,21.19,20.76,20.89,860000
2001-02-08,20.92,21.58,20.92,21.55,921800
2001-02-09,21.52,22.14,21.51,22.02,1225400
2001-02-12,22.0,22.32,21.52,21.88,1036800
2001-02-13,21.81,22.19,21.5,21.85,904200
2001-02-14,21.8,22.0,21.58,21.76,1023600
2001-02-15,21.66,21.72,21.38,21.6,653200
2001-02-16,21.92,22.2,21.88,22.02,955200
2001-02-20,22.02,22.5,21.95,22.34,1183400
2001-02-21,22.34,22.88,22.34,22.36,1339600
2001-02-22,22.46,22.84,22.0,22.04,2162400
2001-02-23,22.1,22.4,21.52,21.92,1549600
2001-02-26,22.02,22.37,21.91,22.0,957600
2001-02-27,22.0,22.45,22.0,22.42,1500200
2001-02-28,22.5,22.6,22.11,22.4,1296400
2001-03-01,22.3,22.58,22.1,22.4,1610400
2001-03-02,22.62,22.72,22.15,22.48,1291400
2001-03-05,22.42,22.65,22.38,22.42,802200
2001-03-06,22.48,22.62,22.31,22.44,799800
2001-03-07,22.18,22.44,21.9,21.92,5199600
2001-03-08,21.98,21.98,21.22,21.22,3058800
2001-03-09,20.75,21.0,20.6,20.8,2907800
2001-03-12,21.05,21.32,21.03,21.18,3054800
2001-03-13,21.12,21.15,20.91,20.91,1441800
2001-03-14,20.85,20.86,20.49,20.52,1624600
2001-03-15,20.6,21.05,20.55,20.98,1640400
2001-03-16,20.75,20.99,20.69,20.78,1441400
2001-03-19,20.68,20.8,20.56,20.66,1251200
2001-03-20,20.68,20.9,20.38,20.65,1302800
2001-03-21,20.52,21.08,20.5,20.66,1929000
2001-03-22,20.54,20.75,19.54,19.9,1517200
2001-03-23,19.65,19.98,19.4,19.86,1592400
2001-03-26,20.15,20.66,20.15,20.48,1043200
2001-03-27,20.6,21.04,20.6,20.92,2134800
2001-03-28,20.75,21.08,20.6,20.98,1795000
2001-03-29,20.98,21.5,20.71,21.46,1667200
2001-03-30,21.46,21.84,21.46,21.58,1214200
2001-04-02,21.85,22.1,21.54,22.02,1363000
2001-04-03,21.92,22.25,21.45,22.08,1371600
2001-04-04,21.98,22.26,21.74,22.04,1329000
2001-04-05,21.92,22.02,21.58,22.0,1097200
2001-04-06,22.1,22.2,20.9,21.32,1831000
2001-04-09,21.28,22.14,21.28,21.78,1293000
2001-04-10,22.75,22.75,22.2,22.48,2281000
2001-04-11,22.38,22.44,21.99,22.26,1496000
2001-04-12,21.98,22.35,21.96,22.22,2118400
2001-04-16,22.3,22.7,22.24,22.59,1057200
2001-04-17,22.59,23.2,22.59,23.04,1462000
2001-04-18,23.08,23.24,22.4,22.62,2177200
2001-04-19,22.65,22.76,22.15,22.38,2062800
2001-04-20,22.4,22.7,22.14,22.44,1397600
2001-04-23,22.62,22.92,22.56,22.92,1075400
2001-04-24,23.02,23.32,22.74,23.12,1232600
2001-04-25,23.2,23.36,22.88,23.21,923200
2001-04-26,23.21,23.6,23.21,23.44,758600
2001-04-27,23.56,23.6,23.1,23.38,1349800
2001-04-30,23.42,23.48,23.12,23.22,1250200
2001-05-01,23.28,23.45,23.16,23.25,760800
2001-05-02,23.25,23.26,22.7,22.72,1096600
2001-05-03,22.7,22.8,22.28,22.46,942400
2001-05-04,22.58,22.9,22.56,22.9,1267800
2001-05-07,22.92,23.02,22.7,22.78,656400
2001-05-08,22.66,22.74,22.46,22.56,804600
2001-05-09,22.55,23.14,22.55,23.1,936200
2001-05-10,23.3,23.34,23.0,23.32,888200
2001-05-11,23.38,23.67,23.35,23.62,1125000
2001-05-14,23.62,24.3,23.62,24.3,2220000
2001-05-15,24.2,24.2,23.9,24.0,2470800
2001-05-16,24.1,24.42,23.82,24.4,1767800
2001-05-17,24.4,24.94,24.14,24.75,2682600
2001-05-18,24.55,24.75,24.54,24.74,1459600
2001-05-21,24.74,25.1,24.68,25.04,2004800
2001-05-22,25.04,25.14,24.92,25.02,1124600
2001-05-23,25.02,25.45,25.02,25.4,1020800
2001-05-24,25.32,25.6,25.2,25.45,1439400
2001-05-25,25.42,25.42,25.1,25.18,1847800
2001-05-29,25.08,25.1,24.72,24.95,1690800
2001-05-30,24.94,25.3,24.94,25.2,1614000
2001-05-31,25.1,25.78,25.1,25.7,1779000
2001-06-01,25.6,25.7,25.26,25.52,1315200
2001-06-04,25.52,25.7,25.4,25.67,1212400
2001-06-05,25.75,25.75,25.26,25.29,7012800
2001-06-06,25.02,25.14,24.66,24.88,2181000
2001-06-07,24.88,24.88,24.1,24.26,2254200
2001-06-08,24.22,24.49,23.65,24.45,1221600
2001-06-11,24.5,24.94,24.5,24.72,1012400
2001-06-12,24.68,24.96,24.68,24.82,1201000
2001-06-13,24.82,24.99,24.25,24.37,1103800
2001-06-14,24.37,24.37,23.56,23.81,1179800
2001-06-15,23.5,24.66,23.5,24.34,2988000
2001-06-18,24.22,24.8,24.22,24.28,1498000
2001-06-19,24.32,24.7,24.3,24.7,787800
2001-06-20,24.75,24.98,24.27,24.58,1280800
2001-06-21,24.12,24.15,23.5,23.62,2432600
2001-06-22,23.5,23.8,23.31,23.64,1941400
2001-06-25,23.68,23.8,23.43,23.46,1293200
2001-06-26,23.47,23.98,23.19,23.95,1298200
2001-06-27,24.02,24.6,24.0,24.35,1145200
2001-06-28,24.4,24.68,24.26,24.31,1394600
2001-06-29,24.32,24.45,24.05,24.45,1004000
2001-07-02,24.45,24.92,24.35,24.83,982000
2001-07-03,24.72,24.98,24.64,24.68,393800
2001-07-05,24.68,24.85,24.5,24.76,1142200
2001-07-06,24.8,24.92,24.62,24.7,890000
2001-07-09,24.9,25.0,24.62,24.84,783600
2001-07-10,24.85,25.0,24.78,24.96,775400
2001-07-11,24.96,25.0,24.46,24.54,785400
2001-07-12,24.45,24.45,24.12,24.14,1040800
2001-07-13,24.15,24.3,23.8,23.92,858400
2001-07-16,23.94,24.3,23.86,23.89,1038800
2001-07-17,23.9,24.05,23.72,23.84,1109400
2001-07-18,23.85,24.1,23.58,23.64,754000
2001-07-19,23.74,23.85,23.52,23.74,518200
2001-07-20,23.8,23.9,22.92,23.09,1996800
2001-07-23,23.12,23.18,22.1,22.24,1448400
2001-07-24,21.62,21.65,20.75,21.43,2874600
2001-07-25,21.42,22.62,21.2,22.62,1912200
2001-07-26,22.45,23.22,22.4,23.1,1679600
2001-07-27,23.1,23.2,22.4,23.0,1024400
2001-07-30,22.95,23.39,22.45,23.32,1607600
2001-07-31,23.32,23.47,22.83,23.4,1402000
2001-08-01,23.31,23.6,22.96,23.6,827600
2001-08-02,23.71,23.95,23.34,23.83,668800
2001-08-03,23.8,24.06,23.55,23.86,925200
2001-08-06,23.25,23.45,23.1,23.31,1171200
2001-08-07,23.32,23.65,23.25,23.39,564600
2001-08-08,23.3,23.38,22.81,22.84,996000
2001-08-09,22.78,23.1,22.7,23.03,710800
2001-08-10,23.02,23.32,22.68,23.1,863200
2001-08-13,23.09,23.22,22.76,22.76,758000
2001-08-14,22.66,23.08,22.64,22.97,796200
2001-08-15,23.0,23.18,22.62,22.77,857600
2001-08-16,22.77,23.2,22.72,23.19,921000
2001-08-17,22.95,23.25,22.9,23.0,701600
2001-08-20,23.08,23.35,23.02,23.29,441600
2001-08-21,23.29,23.43,23.06,23.11,534200
2001-08-22,23.12,23.54,23.05,23.35,576400
2001-08-23,23.36,23.55,23.3,23.52,669200
2001-08-24,23.58,23.74,23.56,23.7,1028800
2001-08-27,23.82,24.08,23.82,23.88,688400
2001-08-28,23.68,23.95,23.68,23.76,1209400
2001-08-29,23.76,23.82,23.62,23.69,814600
2001-08-30,23.69,23.74,23.3,23.4,815600
2001-08-31,23.4,23.52,23.15,23.15,597600
2001-09-04,23.15,23.46,23.1,23.34,1202800
2001-09-05,23.1,23.18,22.75,22.98,1364200
2001-09-06,22.98,23.26,22.93,23.18,1206200
2001-09-07,23.05,23.24,22.9,22.9,1126800
2001-09-10,22.9,23.02,22.47,22.64,1256800
2001-09-17,22.52,22.75,22.08,22.64,1482400
2001-09-18,22.42,22.75,22.2,22.65,744200
2001-09-19,22.65,22.9,22.24,22.25,1648400
2001-09-20,22.22,22.35,21.88,22.0,1879600
2001-09-21,21.75,21.85,21.28,21.5,1559600
2001-09-24,21.5,21.5,21.07,21.08,1085000
2001-09-25,21.15,21.2,20.75,20.97,1318600
2001-09-26,20.88,21.1,20.58,20.72,2132600
2001-09-27,20.72,20.72,20.1,20.58,1938800
2001-09-28,20.75,21.28,20.66,21.28,1046800
2001-10-01,21.4,21.48,21.0,21.44,1028600
2001-10-02,21.38,21.69,21.3,21.5,1347800
2001-10-03,21.6,22.0,21.58,21.8,1559200
2001-10-04,21.9,22.1,21.55,21.87,1074400
2001-10-05,21.82,22.1,21.69,22.06,1066400
2001-10-08,21.95,22.01,21.73,21.8,542000
2001-10-09,21.8,21.8,21.18,21.29,659600
2001-10-10,21.32,21.35,20.94,21.25,958000
2001-10-11,21.25,21.35,20.92,20.95,868000
2001-10-12,20.95,20.98,20.72,20.9,904400
2001-10-15,20.95,21.12,20.65,20.76,759600
2001-10-16,20.86,21.22,20.85,21.14,737200
2001-10-17,21.32,21.32,20.98,21.0,797000
2001-10-18,20.95,21.04,20.55,20.55,570200
2001-10-19,20.55,20.97,20.46,20.8,586800
2001-10-22,20.8,20.8,20.52,20.65,781400
2001-10-23,20.52,20.54,19.95,20.0,1194000
2001-10-24,19.95,19.99,19.6,19.74,1321400
2001-10-25,19.69,20.06,19.64,20.0,1202200
2001-10-26,20.08,20.09,19.53,19.82,1384400
2001-10-29,19.8,20.06,19.65,19.95,1412800
2001-10-30,19.8,19.82,19.35,19.35,1374800
2001-10-31,19.35,19.69,19.35,19.68,1460800
2001-11-01,19.76,20.02,19.58,19.87,1488800
2001-11-02,19.77,19.92,19.48,19.72,826400
2001-11-05,19.85,20.56,19.83,20.56,1373400
2001-11-06,20.45,20.72,20.4,20.68,1253600
2001-11-07,20.7,20.85,20.57,20.65,1096800
2001-11-08,20.65,21.1,20.65,21.0,1018200
2001-11-09,21.02,21.22,20.92,21.1,894600
2001-11-12,21.05,21.05,20.72,20.94,799400
2001-11-13,20.9,20.95,20.5,20.64,1577600
2001-11-14,20.74,20.74,20.12,20.13,1983400
2001-11-15,20.2,20.3,19.7,19.78,2213400
2001-11-16,19.78,20.09,19.78,20.0,1152400
2001-11-19,20.02,20.04,19.52,19.72,930000
2001-11-20,19.8,20.5,19.76,20.4,1071000
2001-11-21,20.38,20.4,19.88,20.11,799000
2001-11-23,20.18,20.5,20.04,20.5,382600
2001-11-26,20.5,20.5,20.17,20.27,878000
2001-11-27,20.27,20.59,20.04,20.4,1012200
2001-11-28,20.4,20.44,20.0,20.0,737800
2001-11-29,20.0,20.25,19.72,20.15,897400
2001-11-30,20.15,20.38,20.15,20.28,1117600
2001-12-03,20.27,20.48,20.12,20.38,1033000
2001-12-04,20.38,20.67,20.3,20.66,859800
2001-12-05,20.51,20.65,20.45,20.55,1313400
2001-12-06,20.55,20.56,20.22,20.28,924800
2001-12-07,20.25,20.74,20.2,20.72,1033800
2001-12-10,20.55,20.58,20.32,20.43,743400
2001-12-11,20.43,20.44,20.01,20.02,1117200
2001-12-12,20.03,20.4,19.83,20.39,1838000
2001-12-13,20.4,20.7,20.18,20.35,998800
2001-12-14,20.2,20.32,20.02,20.28,906000
