Date,Open,High,Low,Close,Volume
2001-02-07,36.92,37.95,36.1,37.6,7484600
2001-02-08,37.6,37.68,37.2,37.45,3757400
2001-02-09,37.54,37.75,37.25,37.5,4525600
2001-02-12,37.5,37.88,37.18,37.55,5006000
2001-02-13,37.45,37.45,36.78,37.28,5787600
2001-02-14,37.25,37.25,36.75,36.84,4531400
2001-02-15,36.58,37.2,36.54,36.93,7310000
2001-02-16,37.24,37.54,37.15,37.42,6743600
2001-02-20,37.72,37.89,37.41,37.86,6161800
2001-02-21,38.25,38.52,38.08,38.4,7922000
2001-02-22,38.5,38.58,37.38,38.05,6888800
2001-02-23,37.95,37.95,36.85,37.52,5472400
2001-02-26,36.12,36.13,35.06,35.56,12026200
2001-02-27,35.5,35.74,35.13,35.35,9061000
2001-02-28,35.35,35.6,34.92,35.25,7182600
2001-03-01,35.0,35.32,34.12,34.32,8321800
2001-03-02,33.9,34.9,33.88,34.82,5813800
2001-03-05,35.45,35.7,34.9,35.08,5362400
2001-03-06,34.82,34.83,34.35,34.52,5167400
2001-03-07,34.3,34.72,34.0,34.26,3832200
2001-03-08,34.45,35.6,34.15,35.5,5216400
2001-03-09,35.12,35.2,34.33,34.57,5324200
2001-03-12,34.38,35.3,34.0,34.12,6697400
2001-03-13,34.18,34.48,33.63,34.07,5364200
2001-03-14,33.5,33.85,33.19,33.3,6453200
2001-03-15,33.38,33.5,31.95,32.47,9028800
2001-03-16,32.28,32.96,31.94,32.35,10365400
2001-03-19,32.45,33.58,32.28,32.95,7420800
2001-03-20,32.95,34.1,32.8,32.95,6524200
2001-03-21,32.9,32.9,31.5,31.6,10157600
2001-03-22,31.4,31.62,30.15,31.38,12131600
2001-03-23,30.8,30.98,29.93,30.1,10575800
2001-03-26,30.5,30.55,29.62,30.21,9346600
2001-03-27,30.5,31.4,30.46,31.09,8021000
2001-03-28,30.9,31.38,30.35,31.04,6436000
2001-03-29,31.04,31.52,30.3,30.62,6627800
2001-03-30,30.75,31.4,30.25,31.3,5596800
2001-04-02,31.5,31.82,30.53,30.8,5976800
2001-04-03,30.52,30.87,30.04,30.55,6508200
2001-04-04,30.2,30.5,29.45,30.44,7999000
2001-04-05,30.5,30.82,30.0,30.78,6476400
2001-04-06,30.75,31.18,29.95,30.84,6028200
2001-04-09,31.0,31.0,29.98,30.17,5214200
2001-04-10,30.0,30.1,28.88,29.35,10685000
2001-04-11,29.0,29.52,28.73,29.49,7587800
2001-04-12,29.45,29.72,29.05,29.4,5797000
2001-04-16,29.6,29.97,29.02,29.58,5508000
2001-04-17,29.15,29.32,28.0,28.7,13719200
2001-04-18,28.88,30.0,28.38,28.72,10259000
2001-04-19,28.95,29.5,28.75,29.48,7994600
2001-04-20,29.36,29.81,28.84,29.0,8084800
2001-04-23,29.0,29.22,28.88,29.02,5976400
2001-04-24,28.5,28.87,28.1,28.32,10913000
2001-04-25,28.4,28.92,28.35,28.78,8646200
2001-04-26,29.05,29.15,28.89,29.15,7138400
2001-04-27,29.2,29.92,29.05,29.92,5609000
2001-04-30,30.02,30.14,29.62,30.02,8328800
2001-05-01,31.4,32.42,31.12,32.09,17367000
2001-05-02,32.42,32.42,31.75,32.08,12803000
2001-05-03,32.38,32.38,31.84,32.14,7923800
2001-05-04,31.88,32.26,31.62,32.14,5643200
2001-05-07,32.2,32.48,31.95,32.32,3547800
2001-05-08,32.25,32.38,31.77,32.24,4496800
2001-05-09,32.25,33.12,31.98,33.1,8091800
2001-05-10,33.22,33.25,32.55,32.92,4691800
2001-05-11,32.92,33.14,32.58,32.75,3251400
2001-05-14,33.0,33.08,32.65,33.02,2792800
2001-05-15,33.03,33.12,32.71,32.99,4654200
2001-05-16,33.15,34.14,33.08,34.14,6934200
2001-05-17,33.88,34.15,33.35,33.58,6360800
2001-05-18,33.58,33.74,33.21,33.74,4777000
2001-05-21,32.5,33.08,32.2,32.62,11721000
2001-05-22,32.65,32.8,31.98,32.0,8065800
2001-05-23,32.3,32.46,31.82,32.1,6542400
2001-05-24,32.0,32.3,31.78,32.12,4855600
2001-05-25,32.12,32.15,31.63,31.75,4344600
2001-05-29,31.9,32.32,31.78,32.32,5717200
2001-05-30,32.3,32.48,31.84,32.18,4653400
2001-05-31,32.0,32.25,31.9,32.12,4168000
2001-06-01,32.12,32.12,31.62,31.76,3726800
2001-06-04,31.75,31.87,31.52,31.8,4917600
2001-06-05,31.8,32.06,31.62,32.04,5336600
2001-06-06,32.62,33.15,32.26,32.34,7899800
2001-06-07,32.38,32.8,32.35,32.46,5016400
2001-06-08,32.58,32.59,32.0,32.14,4122200
2001-06-11,32.25,32.38,32.03,32.18,2508200
2001-06-12,32.62,32.8,32.46,32.75,6932000
2001-06-13,32.98,32.99,32.44,32.48,4438200
2001-06-14,32.48,32.8,32.26,32.43,4315000
2001-06-15,32.2,32.44,31.24,31.3,13746600
2001-06-18,31.2,31.2,30.84,31.08,7257200
2001-06-19,31.12,31.38,30.96,31.2,7043200
2001-06-20,31.25,31.46,31.0,31.28,4587600
2001-06-21,31.0,31.68,30.98,31.18,6339200
2001-06-22,31.2,31.74,31.15,31.64,4578400
2001-06-25,31.62,31.9,31.35,31.4,3278400
2001-06-26,31.4,32.08,31.4,31.93,5391000
2001-06-27,31.86,32.16,31.68,31.7,4807200
2001-06-28,31.7,32.12,31.58,31.82,5065400
2001-06-29,32.02,32.68,31.9,31.9,8924800
2001-07-02,32.0,32.41,31.9,32.24,4279600
2001-07-03,32.01,32.35,31.88,32.3,2501000
2001-07-05,32.15,32.3,31.88,32.26,4349000
2001-07-06,32.14,32.52,32.05,32.5,5197800
2001-07-09,32.5,33.07,32.5,33.07,6992800
2001-07-10,33.05,33.55,32.64,33.5,8135000
2001-07-11,33.85,34.5,33.55,34.38,10838000
2001-07-12,34.38,34.4,33.95,34.38,7121600
2001-07-13,34.15,34.21,33.83,34.07,5783600
2001-07-16,34.07,34.74,34.02,34.58,4473000
2001-07-17,34.68,35.0,34.38,34.96,6164800
2001-07-18,34.94,34.95,34.05,34.6,6481600
2001-07-19,34.6,34.86,33.84,34.2,6432400
2001-07-20,34.55,34.55,33.8,34.04,5396000
2001-07-23,34.08,34.15,33.6,33.9,4902400
2001-07-24,33.88,34.3,33.7,34.04,4347600
2001-07-25,34.04,35.0,33.92,35.0,4727000
2001-07-26,34.7,35.5,34.5,35.5,9196800
2001-07-27,35.25,35.71,35.06,35.24,4472200
2001-07-30,35.02,35.55,35.02,35.55,4508400
2001-07-31,35.55,35.8,35.3,35.51,6196200
2001-08-01,35.52,35.96,35.52,35.75,4897400
2001-08-02,35.88,35.98,35.35,35.73,3912400
2001-08-03,35.73,35.75,34.76,35.11,4421400
2001-08-06,35.2,35.38,34.88,35.38,5442600
2001-08-07,34.88,35.92,34.77,35.3,7439200
2001-08-08,34.75,35.22,34.75,34.92,4924600
2001-08-09,34.76,35.45,34.68,35.35,3989800
2001-08-10,35.6,36.26,35.43,35.94,8548400
2001-08-13,35.95,36.15,35.86,36.06,5344800
2001-08-14,36.18,36.31,36.0,36.25,5993200
2001-08-15,36.14,36.5,36.05,36.09,6124600
2001-08-16,36.58,37.2,36.45,37.1,8621800
2001-08-17,37.08,37.38,36.9,37.38,8610200
2001-08-20,37.45,38.04,37.14,37.84,11197400
2001-08-21,37.6,37.77,37.26,37.39,7822400
2001-08-22,37.6,37.87,37.15,37.82,7370800
2001-08-23,37.72,38.5,37.68,38.47,9184000
2001-08-24,38.42,38.64,38.1,38.5,7984600
2001-08-27,38.5,38.52,38.24,38.42,5965000
2001-08-28,38.12,38.24,37.4,37.5,7206200
2001-08-29,37.8,37.8,36.9,37.01,5262400
2001-08-30,37.08,37.55,36.98,37.3,7104200
2001-08-31,36.9,37.18,36.82,37.08,4653200
2001-09-04,36.84,38.04,36.84,37.76,7429000
2001-09-05,37.76,38.12,37.45,37.94,7687200
2001-09-06,37.94,38.0,37.36,37.75,8744400
2001-09-07,37.45,37.6,36.7,37.18,6475200
2001-09-10,36.72,37.2,36.65,37.1,7404800
2001-09-17,36.8,37.45,36.25,37.28,11837800
2001-09-18,37.05,37.12,36.64,37.1,9209000
2001-09-19,37.32,37.51,36.62,37.28,11089400
2001-09-20,37.0,37.0,36.28,36.4,9654200
2001-09-21,35.32,35.82,33.0,33.5,20098200
2001-09-24,34.5,35.22,34.44,34.73,10251600
2001-09-25,34.73,35.6,34.72,35.5,7980800
2001-09-26,35.85,36.12,35.4,35.56,6894000
2001-09-27,35.75,36.2,35.53,36.2,7136200
2001-09-28,36.37,36.58,36.01,36.4,9938800
2001-10-01,36.25,36.5,35.86,36.2,7006400
2001-10-02,36.2,36.72,36.12,36.64,5705600
2001-10-03,36.4,36.7,35.95,36.62,8268400
2001-10-04,36.52,36.55,35.58,35.6,7914400
2001-10-05,35.65,36.5,35.65,36.34,6016000
2001-10-08,36.0,36.55,35.88,36.12,4237600
2001-10-09,36.12,36.89,36.05,36.27,5415000
2001-10-10,36.02,37.07,36.02,36.67,5532800
2001-10-11,36.51,36.75,35.9,36.3,6148200
2001-10-12,35.78,36.1,35.75,35.97,5865200
