Date,Open,High,Low,Close,Volume
2003-12-29,210.0,210.0,210.0,210.0,0
2003-12-30,210.0,210.0,210.0,210.0,31490
2004-01-02,210.0,210.0,210.0,210.0,24800
2004-01-05,211.0,211.0,210.0,210.0,31500
2004-01-06,211.0,211.0,210.0,211.0,495533
2004-01-07,220.0,220.0,220.0,220.0,20000
2004-01-08,220.0,220.0,220.0,220.0,5000
2004-01-09,220.0,225.0,220.0,225.0,22138
2004-01-12,230.0,235.0,226.0,230.0,0
2004-01-13,230.0,230.0,226.0,230.0,0
2004-01-14,234.0,234.0,230.0,234.0,0
2004-01-15,240.0,240.0,230.0,230.0,0
2004-01-16,240.0,240.0,221.0,226.0,0
2004-01-19,240.0,240.0,221.0,225.0,0
2004-01-20,235.0,240.0,220.0,235.0,0
2004-01-21,220.0,234.0,220.0,225.0,0
2004-01-22,235.0,235.0,225.0,225.0,0
2004-01-23,230.0,248.0,230.0,248.0,0
2004-01-26,248.0,250.0,245.0,248.0,0
2004-01-27,248.0,255.0,248.0,250.0,0
2004-01-28,250.0,250.0,250.0,250.0,0
2004-01-29,250.0,250.0,235.0,235.0,0
2004-01-30,240.0,240.0,235.0,240.0,0
2004-02-02,250.0,255.0,248.0,255.0,0
2004-02-03,255.0,255.0,250.0,250.0,0
2004-02-04,250.0,250.0,245.0,250.0,0
2004-02-05,250.0,250.0,240.0,248.0,0
2004-02-06,240.0,242.0,240.0,240.0,0
2004-02-09,240.0,240.0,240.0,240.0,44400
2004-02-10,235.0,235.0,235.0,235.0,7500
2004-02-11,225.0,230.0,225.0,230.0,13354
2004-02-12,230.0,230.0,230.0,230.0,30233
2004-02-13,225.0,230.0,220.0,225.0,522000
2004-02-16,225.0,230.0,220.0,220.0,228345
2004-02-17,230.0,230.0,220.0,230.0,43700
2004-02-18,225.0,230.0,225.0,230.0,436492
2004-02-19,225.0,230.0,225.0,230.0,815500
2004-02-20,230.0,240.0,230.0,240.0,205700
2004-02-23,250.0,250.0,240.0,250.0,160507
