Date,Open,High,Low,Close,Volume
2001-02-07,28.68,28.81,28.21,28.67,466700
2001-02-08,28.75,28.75,28.2,28.43,497800
2001-02-09,28.43,28.48,28.01,28.31,292700
2001-02-12,28.21,28.88,28.21,28.43,474100
2001-02-13,28.83,28.83,28.35,28.55,625200
2001-02-14,28.56,28.59,28.11,28.17,316300
2001-02-15,28.15,28.74,28.15,28.69,559100
2001-02-16,28.69,28.81,28.03,28.26,394900
2001-02-20,28.26,29.09,27.81,28.55,457000
2001-02-21,28.48,28.54,27.85,27.9,362200
2001-02-22,27.9,27.9,27.41,27.79,324900
2001-02-23,27.85,27.85,27.01,27.69,486700
2001-02-26,27.75,29.18,27.69,28.81,536300
2001-02-27,29.03,29.25,28.37,28.88,697500
2001-02-28,28.68,28.91,27.85,28.7,824400
2001-03-01,28.85,28.85,28.24,28.56,964300
2001-03-02,28.31,29.16,28.31,28.75,1343900
2001-03-05,28.88,30.08,28.81,29.81,743300
2001-03-06,28.95,29.71,28.68,29.45,1000700
2001-03-07,29.46,30.15,29.18,30.04,979900
2001-03-08,30.02,30.72,29.83,30.72,726400
2001-03-09,30.42,30.42,29.81,30.02,718700
2001-03-12,29.88,30.28,29.31,29.85,723200
2001-03-13,29.78,29.79,28.69,29.41,1109300
2001-03-14,29.28,29.28,28.55,28.75,881700
2001-03-15,28.76,29.73,28.62,29.41,690900
2001-03-16,28.75,29.21,28.38,28.46,972400
2001-03-19,28.47,29.18,28.33,28.88,570300
2001-03-20,28.01,28.95,27.87,27.87,749500
2001-03-21,27.71,27.75,26.68,26.89,651600
2001-03-22,26.81,27.01,25.06,26.29,844200
2001-03-23,26.85,27.15,25.73,26.92,676500
2001-03-26,26.78,27.51,26.75,27.18,490300
2001-03-27,27.17,27.17,26.21,26.79,1623700
2001-03-28,26.79,26.85,26.01,26.51,741700
2001-03-29,26.38,27.15,26.2,26.55,669300
2001-03-30,26.55,26.77,25.85,26.49,359800
2001-04-02,26.35,27.58,26.28,26.8,625000
2001-04-03,26.13,26.35,25.91,26.04,525000
2001-04-04,26.04,26.67,25.68,26.56,553500
2001-04-05,26.56,27.44,26.44,27.34,742000
2001-04-06,26.35,27.21,26.35,27.15,621900
2001-04-09,27.31,28.69,27.31,27.75,928800
2001-04-10,27.57,28.28,27.55,28.13,524600
2001-04-11,27.81,28.17,27.11,27.45,439000
2001-04-12,27.58,28.05,27.28,28.03,564000
2001-04-16,27.85,28.21,27.58,27.89,392400
2001-04-17,27.89,28.85,27.81,28.68,562100
2001-04-18,28.85,31.03,28.81,30.88,1476900
2001-04-19,30.78,30.79,29.81,30.22,1050200
2001-04-20,30.02,30.18,29.59,30.08,418400
2001-04-23,30.08,30.52,29.78,30.06,464600
2001-04-24,30.02,30.69,30.02,30.36,414800
2001-04-25,30.36,30.64,29.77,30.59,230000
2001-04-26,30.45,31.05,30.28,30.9,498500
2001-04-27,30.9,31.35,30.54,31.12,446900
2001-04-30,31.12,31.35,30.75,31.1,349900
2001-05-01,31.32,31.32,30.55,31.26,438700
2001-05-02,31.35,31.51,30.42,31.07,442000
2001-05-03,31.22,31.22,30.36,30.94,334600
2001-05-04,30.28,31.44,30.28,31.35,387400
2001-05-07,31.35,31.41,30.97,31.05,455500
2001-05-08,31.05,31.14,30.08,31.02,700600
2001-05-09,30.88,30.92,30.44,30.9,307800
2001-05-10,30.9,31.65,30.68,31.55,352600
2001-05-11,31.58,31.95,31.12,31.42,234300
2001-05-14,31.42,31.55,30.84,31.44,228200
2001-05-15,31.14,31.26,30.82,31.24,437600
2001-05-16,31.15,32.62,30.9,32.48,644100
2001-05-17,32.48,33.1,32.28,32.72,441100
2001-05-18,32.72,33.35,32.61,33.22,817200
2001-05-21,33.15,33.42,32.75,33.37,731200
2001-05-22,33.22,33.36,32.98,33.36,325600
2001-05-23,33.22,33.25,32.68,32.72,720500
2001-05-24,32.72,32.76,32.38,32.64,280400
2001-05-25,32.35,32.55,32.14,32.5,256200
2001-05-29,32.45,32.61,32.18,32.24,233700
2001-05-30,32.24,32.32,31.24,31.35,578700
2001-05-31,31.52,32.26,31.5,32.22,493100
2001-06-01,32.32,32.32,31.55,32.0,619200
2001-06-04,32.0,32.5,31.38,31.96,444200
2001-06-05,32.02,32.58,31.43,32.49,395800
2001-06-06,32.49,32.82,31.59,31.75,400400
2001-06-07,31.82,32.28,31.63,31.97,348900
2001-06-08,31.88,31.91,31.44,31.54,239700
