Date,Open,High,Low,Close,Volume
2001-02-07,47.0,47.0,45.13,45.74,726800
2001-02-08,45.74,46.74,45.02,45.18,651200
2001-02-09,45.18,45.45,43.8,44.34,576200
2001-02-12,44.34,45.58,44.32,45.12,507400
2001-02-13,45.0,46.34,44.01,44.02,469400
2001-02-14,43.7,45.74,43.06,45.74,992600
2001-02-15,46.5,46.87,45.25,45.7,792400
2001-02-16,44.65,44.65,42.2,43.94,1040000
2001-02-20,43.0,43.22,40.0,40.24,1238400
2001-02-21,39.78,41.42,38.5,38.9,1192800
2001-02-22,38.28,38.75,36.45,37.05,2968200
2001-02-23,36.75,38.0,35.8,37.69,1250800
2001-02-26,37.81,39.34,37.8,39.34,1817600
2001-02-27,39.34,39.8,38.0,38.22,1201800
2001-02-28,38.5,38.62,35.52,36.61,1526000
2001-03-01,35.88,36.24,34.26,36.0,1310800
2001-03-02,35.38,36.98,35.3,36.22,895000
2001-03-05,36.32,36.77,35.65,36.3,492000
2001-03-06,37.5,37.87,37.3,37.58,1012600
2001-03-07,37.0,37.12,35.62,35.97,1050600
2001-03-08,36.24,36.47,34.68,35.04,1048000
2001-03-09,34.75,34.75,32.78,33.26,1264000
2001-03-12,32.75,32.92,30.42,30.6,1454800
2001-03-13,31.02,31.79,30.9,31.7,1241000
2001-03-14,31.2,31.87,30.9,31.12,1577000
2001-03-15,31.0,31.35,30.3,30.7,1760600
2001-03-16,30.82,31.1,29.52,29.82,1623600
2001-03-19,29.83,30.22,28.8,29.58,1438200
2001-03-20,29.58,29.58,27.0,27.28,1791200
2001-03-21,27.88,27.98,24.9,25.68,2041400
2001-03-22,23.0,23.75,21.5,22.32,4765400
2001-03-23,22.77,25.18,22.77,25.0,2770800
2001-03-26,26.25,26.75,25.95,26.2,2410800
2001-03-27,26.3,26.38,25.61,26.02,1874600
2001-03-28,25.9,25.95,25.0,25.48,1343000
2001-03-29,25.42,25.8,24.24,24.7,1219200
2001-03-30,24.7,26.5,24.1,26.22,2056800
2001-04-02,26.16,26.34,24.12,24.38,843400
2001-04-03,24.15,24.29,23.4,23.54,895200
2001-04-04,23.45,24.12,21.28,21.38,2518800
2001-04-05,22.48,24.88,22.05,24.54,1889800
2001-04-06,23.95,24.34,23.0,24.12,1445600
2001-04-09,24.1,24.68,23.62,24.25,756800
2001-04-10,24.28,25.48,24.28,25.26,2522800
2001-04-11,26.28,26.96,25.85,26.1,1973600
2001-04-12,26.05,28.25,25.55,28.02,1356400
2001-04-16,27.62,27.64,26.5,27.25,1082800
2001-04-17,27.18,28.25,26.94,27.2,830200
2001-04-18,28.12,30.24,28.12,30.22,1996200
2001-04-19,30.22,32.65,30.22,32.6,2026000
2001-04-20,32.19,32.25,31.12,31.95,1252800
2001-04-23,31.45,31.45,29.92,30.88,861000
2001-04-24,30.88,32.46,30.5,30.62,1246000
2001-04-25,30.6,31.3,30.42,31.2,923600
2001-04-26,31.18,32.42,31.08,32.18,705000
2001-04-27,32.46,32.88,31.26,31.79,1059600
2001-04-30,32.5,33.92,32.44,33.46,1247000
2001-05-01,32.68,32.75,30.88,31.5,1856000
2001-05-02,32.0,32.5,31.38,31.5,1491200
2001-05-03,31.5,31.52,30.88,31.44,1215000
2001-05-04,30.58,31.3,30.44,30.98,761000
2001-05-07,30.93,32.25,30.88,32.17,790600
2001-05-08,32.17,32.68,31.78,32.12,950000
2001-05-09,31.95,32.88,31.34,32.88,618200
2001-05-10,33.12,33.22,32.22,32.24,751000
2001-05-11,32.22,32.8,32.12,32.12,935600
2001-05-14,32.12,32.12,31.06,31.5,608000
2001-05-15,31.5,32.6,31.5,32.38,687600
2001-05-16,32.26,33.5,31.96,33.26,1745400
2001-05-17,33.55,35.25,33.52,35.06,1438600
2001-05-18,35.06,36.6,34.55,36.41,1241400
2001-05-21,36.35,37.42,35.88,37.08,813600
2001-05-22,37.86,38.12,36.84,37.56,1014800
2001-05-23,37.43,37.43,35.8,35.94,811200
2001-05-24,35.92,36.32,35.66,35.9,475200
2001-05-25,35.98,36.22,35.5,36.2,479800
2001-05-29,36.5,36.59,34.65,34.85,665200
2001-05-30,34.0,34.2,33.5,33.5,624600
2001-05-31,33.51,34.84,33.51,34.52,681200
2001-06-01,34.98,35.1,34.28,35.02,529800
2001-06-04,35.0,35.0,34.2,34.9,328000
2001-06-05,35.07,38.27,35.01,37.22,838400
2001-06-06,37.21,37.21,35.9,36.5,637300
2001-06-07,36.7,37.06,35.51,36.05,544900
2001-06-08,36.45,36.8,35.25,36.1,358900
2001-06-11,35.25,35.41,33.51,33.97,559200
2001-06-12,32.5,33.55,32.19,33.38,1159700
2001-06-13,33.6,34.45,33.42,33.74,547300
2001-06-14,33.74,33.85,33.0,33.5,1030600
2001-06-15,35.35,36.0,34.5,35.58,1043500
2001-06-18,35.38,36.3,34.51,34.65,874700
2001-06-19,33.5,34.0,30.73,32.0,2542800
2001-06-20,31.95,31.95,29.35,29.86,2280700
2001-06-21,29.87,29.87,29.06,29.59,1241300
2001-06-22,29.35,29.4,27.25,28.22,1727000
2001-06-25,28.75,28.9,27.7,27.82,1347900
2001-06-26,26.1,27.5,26.06,27.0,2025600
2001-06-27,26.9,27.1,26.0,26.73,1599900
2001-06-28,26.87,27.1,26.0,26.39,2119900
2001-06-29,26.62,27.53,26.4,27.53,2122000
2001-07-02,26.6,27.21,26.6,26.78,1009700
2001-07-03,27.0,27.1,26.3,26.68,423900
2001-07-05,26.68,26.87,25.6,25.78,1079900
2001-07-06,25.7,25.75,24.94,25.06,488900
2001-07-09,25.1,26.09,25.1,25.75,1420100
2001-07-10,26.0,26.56,25.87,25.95,1347900
2001-07-11,25.9,25.9,24.9,25.15,696400
2001-07-12,25.35,27.5,25.27,27.19,870400
2001-07-13,27.19,27.95,26.75,27.54,752500
2001-07-16,28.0,28.6,27.45,27.93,1908600
2001-07-17,28.35,28.41,27.58,28.19,1098300
2001-07-18,28.12,30.2,28.05,30.2,2089600
2001-07-19,31.15,31.2,30.0,30.01,916200
2001-07-20,30.0,30.45,30.0,30.36,529100
2001-07-23,30.2,30.45,29.99,30.0,585300
2001-07-24,30.25,31.2,30.01,31.2,1224900
2001-07-25,31.1,33.0,31.08,32.63,1463600
2001-07-26,32.75,33.44,32.75,33.25,1381700
2001-07-27,33.55,34.5,33.3,33.95,648800
2001-07-30,33.95,34.06,31.62,31.97,822400
2001-07-31,31.3,32.15,30.6,31.5,749600
2001-08-01,31.49,31.49,30.25,30.99,1230500
2001-08-02,31.5,32.0,30.99,31.09,479400
2001-08-03,31.1,31.1,30.4,30.72,633000
2001-08-06,30.72,30.84,30.15,30.5,543200
2001-08-07,30.99,31.15,30.0,30.51,568700
2001-08-08,30.3,30.55,29.25,29.31,669200
2001-08-09,28.5,29.5,28.5,29.31,693900
2001-08-10,29.22,30.11,28.9,29.73,654800
2001-08-13,29.75,29.98,29.4,29.65,1557300
2001-08-14,29.7,29.82,29.16,29.8,1227000
2001-08-15,29.8,29.9,28.41,28.62,372100
2001-08-16,28.65,28.66,28.11,28.35,241900
2001-08-17,28.35,28.43,28.0,28.36,425500
2001-08-20,28.2,28.43,27.84,28.03,1177300
2001-08-21,27.8,29.5,27.65,28.51,934600
2001-08-22,28.96,29.26,28.5,29.12,1027900
2001-08-23,29.19,29.19,28.44,28.57,341200
2001-08-24,28.81,29.76,28.66,29.51,1200800
2001-08-27,29.75,31.4,29.52,31.26,1099700
2001-08-28,31.02,31.3,30.61,30.76,776500
2001-08-29,31.3,31.8,30.8,31.64,957100
2001-08-30,31.65,32.7,31.5,32.2,1726900
2001-08-31,32.5,32.75,32.0,32.08,940800
2001-09-04,31.85,32.4,31.52,31.87,774400
2001-09-05,31.85,31.86,29.86,30.67,822800
2001-09-06,30.42,30.74,29.8,30.43,437900
2001-09-07,29.44,30.46,29.44,30.1,462400
2001-09-10,29.5,30.0,28.85,29.21,521300
2001-09-17,30.0,31.5,27.07,27.82,1604300
2001-09-18,28.25,28.49,27.32,27.54,532200
2001-09-19,27.45,28.55,26.15,27.27,1088500
2001-09-20,27.0,27.18,25.71,25.87,918400
2001-09-21,24.5,26.49,24.26,26.06,544800
2001-09-24,27.22,28.15,27.06,27.2,573500
2001-09-25,27.6,27.65,26.45,27.23,377000
2001-09-26,27.2,27.65,26.15,26.51,312800
2001-09-27,26.26,26.27,25.25,25.75,761600
2001-09-28,25.95,26.48,25.75,26.24,734000
2001-10-01,26.18,26.23,25.27,25.72,612800
2001-10-02,25.9,26.9,25.7,26.64,1051400
2001-10-03,26.39,28.3,26.21,28.04,643400
2001-10-04,28.78,28.99,28.1,28.4,563500
2001-10-05,28.4,28.4,26.95,27.88,424000
2001-10-08,27.63,28.87,27.1,28.24,367300
2001-10-09,28.3,28.42,27.5,27.8,592300
2001-10-10,27.8,28.64,27.28,28.2,658500
2001-10-11,28.35,29.39,27.75,28.95,1158500
2001-10-12,28.95,29.65,28.51,29.24,690000
2001-10-15,29.24,29.39,28.35,28.99,292500
2001-10-16,29.04,29.3,28.29,29.17,284100
2001-10-17,30.5,30.5,29.3,30.19,1313100
2001-10-18,30.0,30.0,28.91,29.29,912100
2001-10-19,29.05,29.2,28.21,28.53,553400
2001-10-22,28.62,28.95,27.68,28.49,786700
2001-10-23,28.7,28.95,27.56,27.79,679200
2001-10-24,27.9,27.95,27.2,27.25,689800
2001-10-25,27.25,27.74,26.94,27.3,886500
2001-10-26,27.49,27.75,27.0,27.5,571100
2001-10-29,27.42,27.46,26.8,26.99,854900
2001-10-30,26.97,26.99,26.33,26.67,500100
2001-10-31,26.77,27.55,26.73,26.91,366200
