Date,Open,High,Low,Close,Volume
2001-02-06,42.94,43.69,40.91,41.47,16000600
2001-02-07,40.78,43.88,40.47,43.31,27869000
2001-02-08,43.22,44.69,42.28,42.38,25333800
2001-02-09,42.0,43.0,38.88,39.56,24897400
2001-02-12,39.53,42.47,39.5,41.44,25933200
2001-02-13,42.75,43.56,40.22,40.25,24150600
2001-02-14,40.78,42.0,39.88,41.69,23800000
2001-02-15,42.34,43.97,42.22,42.81,24613400
2001-02-16,40.75,41.69,39.97,40.31,22698000
2001-02-20,40.22,40.94,37.62,37.76,23668600
2001-02-21,36.38,37.91,34.94,35.62,32044200
2001-02-22,34.94,35.25,31.53,33.47,50409200
2001-02-23,29.62,31.5,25.06,30.91,48557200
2001-02-26,31.47,32.09,29.38,31.53,52315200
2001-02-27,30.88,30.88,27.31,27.81,46803200
2001-02-28,27.84,29.25,26.06,27.41,55496200
2001-03-01,27.56,30.75,27.47,30.59,55130600
2001-03-02,29.84,32.38,29.75,30.25,54084800
2001-03-05,30.56,31.62,29.75,31.47,22303000
2001-03-06,32.44,33.23,29.09,29.53,40647000
2001-03-07,30.5,30.66,28.03,28.81,45139200
2001-03-08,28.88,29.62,28.59,28.62,20943200
2001-03-09,27.94,28.62,25.97,25.97,33081800
2001-03-12,25.5,25.88,23.62,24.12,47515200
2001-03-13,24.31,26.81,23.78,26.41,41858800
2001-03-14,24.95,26.78,24.5,25.66,39608200
2001-03-15,26.81,27.56,26.0,26.09,26500200
2001-03-16,25.19,25.69,24.62,25.16,29193000
2001-03-19,25.19,29.81,25.12,29.09,43966200
2001-03-20,29.0,29.75,26.69,27.0,41308600
2001-03-21,27.41,29.56,27.06,29.06,43434800
2001-03-22,29.12,29.78,26.5,28.44,58674400
2001-03-23,29.69,29.97,28.03,29.44,35422200
2001-03-26,29.69,30.56,27.56,28.31,37514400
2001-03-27,28.53,30.5,28.31,29.94,42643200
2001-03-28,29.19,29.38,26.81,27.41,38311400
2001-03-29,26.19,28.06,26.0,27.34,36532400
2001-03-30,27.47,28.84,26.28,28.31,29096200
2001-04-02,27.75,28.75,25.47,25.75,36656800
2001-04-03,26.0,26.38,22.5,22.88,48370800
2001-04-04,22.44,23.81,21.38,21.94,60255800
2001-04-05,23.09,24.25,21.69,23.97,62136800
2001-04-06,23.39,23.72,21.69,22.31,40286600
2001-04-09,22.36,23.1,21.89,22.62,23329000
2001-04-10,22.92,25.34,22.61,24.4,34087000
2001-04-11,26.43,26.53,24.85,25.54,28982000
2001-04-12,24.5,26.64,23.55,26.52,35265000
2001-04-16,25.8,26.01,23.35,24.18,22992000
2001-04-17,23.97,26.24,23.95,25.38,27861800
2001-04-18,26.99,30.0,26.38,29.38,49515800
2001-04-19,29.9,33.53,28.93,33.16,54395400
2001-04-20,32.05,33.0,30.63,31.92,32919200
2001-04-23,30.66,31.53,29.03,29.1,27378600
2001-04-24,29.73,31.32,29.62,29.75,25742000
2001-04-25,29.63,32.0,29.08,31.46,30869200
2001-04-26,28.41,30.08,28.0,29.03,62097400
2001-04-27,30.0,30.25,27.93,28.15,34218000
2001-04-30,29.48,30.3,28.35,28.68,28587800
2001-05-01,28.36,30.99,27.88,30.88,26604800
2001-05-02,30.74,31.47,29.52,30.05,24671600
2001-05-03,29.57,30.5,28.86,29.42,22379800
2001-05-04,28.58,31.14,28.18,30.8,29828800
2001-05-07,30.69,30.78,29.78,30.24,19536400
2001-05-08,30.74,31.47,30.21,31.03,20331400
2001-05-09,30.59,30.8,29.53,29.64,17141200
2001-05-10,30.42,30.65,29.26,29.3,14995200
2001-05-11,29.34,30.02,28.57,28.97,12486000
2001-05-14,29.05,29.11,27.6,28.46,17770200
2001-05-15,29.09,31.18,29.02,29.75,36360000
2001-05-16,30.39,32.5,29.93,32.38,34188600
2001-05-17,32.34,34.16,32.2,33.18,30733600
2001-05-18,32.8,33.43,32.26,32.69,15295400
2001-05-21,33.18,35.52,32.88,35.5,24261000
2001-05-22,35.33,35.33,34.62,34.96,21523000
2001-05-23,35.03,35.5,34.04,34.05,24321800
2001-05-24,34.2,35.11,33.53,35.0,19690600
2001-05-25,34.58,34.95,33.75,33.76,14488600
2001-05-29,33.68,34.22,32.75,33.09,17010600
2001-05-30,31.89,32.15,30.53,30.91,23500000
2001-05-31,31.0,31.65,30.18,30.37,21591200
2001-06-01,30.61,31.25,30.0,30.8,14043600
2001-06-04,31.22,31.58,30.28,30.97,11855800
