Date,Open,High,Low,Close,Volume
2001-02-07,6.82,6.98,6.82,6.86,2147200
2001-02-08,6.85,6.98,6.81,6.92,1812000
2001-02-09,6.94,7.07,6.94,7.03,2241600
2001-02-12,7.03,7.05,6.9,6.99,3250400
2001-02-13,7.0,7.01,6.89,7.0,2947200
2001-02-14,7.0,7.01,6.86,6.86,2568800
2001-02-15,6.82,6.82,6.58,6.59,6432800
2001-02-16,6.62,6.75,6.62,6.68,2477600
2001-02-20,6.77,6.84,6.72,6.77,4070400
2001-02-21,6.85,6.92,6.84,6.87,3032800
2001-02-22,6.77,6.89,6.7,6.74,2690400
2001-02-23,6.78,6.81,6.64,6.68,2869600
2001-02-26,6.65,6.83,6.6,6.77,2864000
2001-02-27,6.75,7.03,6.75,6.93,3433600
2001-02-28,6.93,7.06,6.88,7.06,3106400
2001-03-01,7.06,7.22,7.06,7.12,3982400
2001-03-02,7.19,7.29,7.16,7.24,3834400
2001-03-05,7.26,7.38,7.21,7.29,2684800
2001-03-06,7.25,7.25,7.13,7.24,2173600
2001-03-07,7.13,7.41,7.12,7.37,4159200
2001-03-08,7.36,7.45,7.32,7.44,3048000
2001-03-09,7.44,7.55,7.44,7.51,4029600
2001-03-12,7.53,7.53,7.15,7.15,3444800
2001-03-13,7.16,7.22,6.99,7.22,4104000
2001-03-14,7.06,7.2,7.06,7.14,3274400
2001-03-15,7.12,7.15,6.96,6.96,2324800
2001-03-16,6.96,7.02,6.88,6.9,4610400
2001-03-19,6.88,6.99,6.82,6.87,4189600
2001-03-20,6.89,6.89,6.55,6.58,6400000
2001-03-21,6.58,6.66,6.39,6.61,5138400
2001-03-22,6.62,6.65,6.39,6.64,6206400
2001-03-23,6.62,6.72,6.54,6.67,3136000
2001-03-26,6.67,6.92,6.67,6.86,3228800
2001-03-27,6.86,7.02,6.78,7.0,4406400
2001-03-28,6.94,7.05,6.8,6.98,3020000
2001-03-29,6.98,7.1,6.96,6.98,4258400
2001-03-30,7.02,7.27,7.01,7.01,4483200
2001-04-02,7.04,7.2,6.88,6.9,3905600
2001-04-03,6.9,6.9,6.69,6.75,3010400
2001-04-04,6.81,6.92,6.74,6.89,4906400
2001-04-05,6.89,7.1,6.88,7.08,3026400
2001-04-06,7.08,7.25,7.0,7.14,3317600
2001-04-09,7.13,7.25,7.13,7.19,2734400
2001-04-10,7.21,7.26,7.15,7.18,3350400
2001-04-11,7.01,7.06,6.9,6.91,4679200
2001-04-12,6.92,6.96,6.86,6.9,2971200
2001-04-16,6.82,6.99,6.82,6.95,1664800
2001-04-17,6.96,7.14,6.91,7.12,3635200
2001-04-18,7.07,7.11,6.96,6.99,3792000
2001-04-19,6.96,6.98,6.72,6.81,3736800
2001-04-20,6.76,6.95,6.76,6.9,2382400
2001-04-23,6.87,7.08,6.86,6.92,2560800
2001-04-24,6.91,6.94,6.79,6.91,2789600
2001-04-25,7.09,7.36,7.08,7.23,6190400
2001-04-26,7.26,7.45,7.24,7.41,8344800
2001-04-27,7.45,7.53,7.35,7.51,4455200
2001-04-30,7.46,7.55,7.32,7.32,3715200
2001-05-01,7.32,7.54,7.32,7.53,4287200
2001-05-02,7.56,7.59,7.38,7.41,4160800
2001-05-03,7.47,7.51,7.41,7.47,2412800
2001-05-04,7.46,7.73,7.45,7.72,5376000
2001-05-07,7.72,7.84,7.56,7.58,3833600
2001-05-08,7.56,7.56,7.36,7.41,3269600
2001-05-09,7.38,7.59,7.38,7.55,3492000
2001-05-10,7.52,7.58,7.46,7.55,2954400
2001-05-11,7.52,7.53,7.44,7.44,1620800
2001-05-14,7.36,7.39,7.3,7.34,3636800
2001-05-15,7.34,7.38,7.26,7.38,1851200
2001-05-16,7.35,7.54,7.35,7.54,3833600
2001-05-17,7.51,7.55,7.4,7.44,2972800
2001-05-18,7.42,7.51,7.41,7.5,1313600
2001-05-21,7.48,7.5,7.25,7.36,3372800
2001-05-22,7.35,7.38,7.18,7.26,4996000
2001-05-23,7.25,7.29,7.19,7.19,3494400
