Date,Open,High,Low,Close,Volume
2003-09-29,438.0,438.0,430.0,438.0,123700
2003-09-30,435.0,435.0,430.0,435.0,429700
2003-10-01,440.0,440.0,440.0,440.0,28000
2003-10-02,440.0,442.0,440.0,440.0,439193
2003-10-03,440.0,445.0,440.0,440.0,260854
2003-10-06,445.0,450.0,445.0,450.0,288328
2003-10-07,450.0,453.0,450.0,450.0,56873
2003-10-08,451.0,455.0,450.0,455.0,16700
2003-10-09,452.0,455.0,450.0,455.0,26200
2003-10-10,455.0,460.0,451.0,457.0,12400
2003-10-13,460.0,470.0,457.0,460.0,233879
2003-10-14,475.0,480.0,460.0,470.0,239521
2003-10-15,500.0,500.0,470.0,475.0,112780
2003-10-16,475.0,475.0,472.0,475.0,131150
2003-10-17,470.0,480.0,470.0,470.0,101816
2003-10-20,475.0,475.0,470.0,470.0,13326
2003-10-21,470.0,480.0,470.0,480.0,523000
2003-10-22,481.0,490.0,480.0,490.0,376720
2003-10-23,490.0,495.0,490.0,495.0,152774
2003-10-24,490.0,490.0,490.0,490.0,40878
2003-10-27,495.0,495.0,490.0,495.0,27190
2003-10-28,490.0,495.0,490.0,494.0,198120
2003-10-29,494.0,495.0,490.0,495.0,8233
2003-10-30,495.0,500.0,495.0,500.0,132936
2003-10-31,520.0,520.0,505.0,510.0,102000
2003-11-03,510.0,525.0,510.0,525.0,1457
2003-11-04,530.0,545.0,530.0,545.0,15400
2003-11-05,540.0,540.0,525.0,525.0,83484
2003-11-06,524.0,524.0,510.0,512.0,184711
2003-11-07,510.0,535.0,510.0,535.0,92908
2003-11-10,485.0,506.0,485.0,500.0,224018
2003-11-11,500.0,501.0,490.0,490.0,76707
2003-11-12,490.0,499.0,485.0,499.0,90166
2003-11-13,501.0,501.0,500.0,500.0,23954
2003-11-14,500.0,500.0,500.0,500.0,2200
2003-11-17,485.0,500.0,485.0,485.0,109870
2003-11-18,485.0,490.0,485.0,490.0,630002
2003-11-19,490.0,490.0,485.0,490.0,38785
2003-11-20,495.0,500.0,495.0,500.0,60029
2003-11-21,502.0,510.0,502.0,510.0,6477
2003-11-24,510.0,510.0,495.0,495.0,116465
2003-11-25,495.0,505.0,495.0,505.0,136740
2003-11-26,500.0,505.0,500.0,505.0,222795
2003-11-27,510.0,510.0,505.0,510.0,10045
2003-11-28,510.0,510.0,500.0,505.0,33800
2003-12-01,500.0,505.0,486.0,500.0,118710
2003-12-02,500.0,500.0,499.0,500.0,119700
2003-12-03,500.0,500.0,500.0,500.0,0
2003-12-04,490.0,490.0,485.0,485.0,9800
2003-12-05,485.0,485.0,485.0,485.0,19900
2003-12-08,480.0,485.0,480.0,480.0,41185
2003-12-09,485.0,485.0,485.0,485.0,24825
2003-12-10,500.0,500.0,482.0,500.0,1576522
2003-12-11,500.0,500.0,498.0,500.0,257997
2003-12-12,500.0,500.0,495.0,495.0,199557
2003-12-15,490.0,500.0,485.0,490.0,63985
2003-12-17,491.0,495.0,491.0,495.0,61200
2003-12-18,500.0,500.0,495.0,500.0,512238
2003-12-19,485.0,504.0,485.0,485.0,215893
2003-12-22,486.0,500.0,486.0,490.0,63203
2003-12-23,489.0,500.0,489.0,500.0,83861
2003-12-24,505.0,505.0,495.0,495.0,306339
2003-12-29,495.0,495.0,495.0,495.0,0
2003-12-30,505.0,505.0,505.0,505.0,170277
2004-01-02,505.0,510.0,500.0,510.0,187933
2004-01-05,500.0,500.0,495.0,500.0,426640
2004-01-06,505.0,506.0,504.0,505.0,221380
2004-01-07,505.0,508.0,500.0,505.0,227500
2004-01-08,510.0,520.0,505.0,510.0,181019
2004-01-09,510.0,515.0,506.0,515.0,193457
2004-01-12,515.0,515.0,512.0,515.0,0
2004-01-13,509.0,514.0,500.0,500.0,0
2004-01-14,500.0,500.0,500.0,500.0,0
