Date,Open,High,Low,Close,Volume
2001-02-07,23.95,24.25,23.9,24.15,841900
2001-02-08,24.25,24.3,24.05,24.2,450201
2001-02-09,24.1,24.3,24.05,24.25,690899
2001-02-12,24.15,24.65,24.1,24.3,745700
2001-02-13,24.2,24.35,24.1,24.25,475100
2001-02-14,24.2,24.3,24.05,24.2,474200
2001-02-15,24.1,24.45,24.1,24.45,728900
2001-02-16,24.25,24.76,24.25,24.7,516700
2001-02-20,24.6,24.7,24.15,24.3,789800
2001-02-21,24.1,24.5,24.05,24.25,725300
2001-02-22,24.25,24.45,23.64,24.25,1657200
2001-02-23,24.25,24.45,24.05,24.34,1361500
2001-02-26,24.2,24.65,24.15,24.6,645900
2001-02-27,24.55,24.86,24.3,24.5,689799
2001-02-28,24.48,24.76,23.95,24.3,586500
2001-03-01,24.2,24.7,24.1,24.6,692999
2001-03-02,24.45,25.26,24.35,25.26,899900
2001-03-05,25.06,25.41,24.91,25.31,627500
2001-03-06,25.41,25.62,25.06,25.21,506000
2001-03-07,25.16,25.92,25.11,25.92,725900
2001-03-08,25.87,25.97,25.62,25.92,560200
2001-03-09,25.87,25.87,25.16,25.31,377400
2001-03-12,25.31,25.31,24.0,24.15,730600
2001-03-13,24.25,24.6,23.79,24.6,877001
2001-03-14,23.84,24.15,23.14,23.44,678400
2001-03-15,23.49,24.1,23.49,23.84,678100
2001-03-16,23.34,23.84,23.29,23.49,1517000
2001-03-19,23.64,23.69,22.88,23.34,869600
2001-03-20,23.44,23.49,22.73,22.73,942500
2001-03-21,22.73,22.78,21.92,22.02,970201
2001-03-22,21.93,22.12,21.06,21.67,1698000
2001-03-23,21.67,22.68,21.62,22.43,1222800
2001-03-26,22.68,22.83,22.58,22.78,1198100
2001-03-27,22.73,22.98,22.58,22.83,1506500
2001-03-28,22.88,22.88,22.53,22.78,1110200
2001-03-29,22.63,23.08,22.58,22.82,726700
2001-03-30,23.03,23.74,22.93,23.03,2115599
2001-04-02,22.98,23.9,22.78,23.39,1927199
2001-04-03,23.34,23.44,23.03,23.39,1819600
2001-04-04,23.44,23.49,22.38,22.68,910600
2001-04-05,22.83,23.79,22.78,23.69,1113201
2001-04-06,23.71,23.72,23.08,23.39,1389900
2001-04-09,23.39,23.66,23.39,23.53,1161901
2001-04-10,23.51,24.29,23.51,24.24,1313600
2001-04-11,24.14,24.5,24.14,24.41,1620500
2001-04-12,24.09,24.62,24.02,24.58,771900
2001-04-16,24.41,24.7,24.22,24.37,1074200
2001-04-17,24.42,24.42,24.15,24.33,1285800
2001-04-18,24.3,25.35,24.3,25.17,1159101
2001-04-19,25.12,25.32,25.03,25.13,728600
2001-04-20,25.03,25.17,24.65,24.88,1275600
2001-04-23,24.88,24.95,24.66,24.93,1079400
2001-04-24,24.87,24.92,24.58,24.69,1255701
2001-04-25,24.73,24.75,24.1,24.75,1003700
2001-04-26,24.54,24.81,24.41,24.41,548299
