Date,Open,High,Low,Close,Volume
2001-02-07,17.28,17.28,16.92,17.0,255200
2001-02-08,17.0,17.2,16.3,16.48,475900
2001-02-09,16.24,16.52,15.79,16.43,535401
2001-02-12,16.43,17.12,16.43,17.07,357599
2001-02-13,17.06,17.67,17.06,17.22,469600
2001-02-14,17.17,17.17,16.79,17.06,257600
2001-02-15,16.95,17.12,16.93,17.02,243500
2001-02-16,16.91,16.91,16.67,16.67,279000
2001-02-20,16.73,16.77,16.0,16.37,415400
2001-02-21,16.28,16.51,15.74,15.9,485001
2001-02-22,15.72,15.78,14.99,15.52,671200
2001-02-23,15.44,15.57,14.54,15.12,539399
2001-02-26,14.95,15.32,14.87,15.28,684400
2001-02-27,15.39,15.64,15.25,15.28,317099
2001-02-28,15.39,15.43,14.66,14.73,309301
2001-03-01,14.73,14.73,13.99,14.67,408800
2001-03-02,14.35,15.09,14.2,14.9,385900
2001-03-05,14.86,14.98,14.39,14.54,226100
2001-03-06,14.36,15.07,14.36,14.9,426699
2001-03-07,14.9,15.28,14.75,15.02,423200
2001-03-08,15.06,15.19,14.48,14.48,303901
2001-03-09,14.48,14.48,14.16,14.3,300899
2001-03-12,14.19,14.19,13.39,13.41,344099
2001-03-13,13.52,13.75,13.12,13.64,591599
2001-03-14,13.2,13.59,12.91,13.21,424899
2001-03-15,13.3,13.79,13.21,13.41,379501
2001-03-16,13.52,13.75,13.0,13.17,742900
2001-03-19,13.06,13.64,12.7,13.63,612700
2001-03-20,13.4,13.9,12.99,13.15,289400
2001-03-21,13.15,13.28,12.59,12.63,557300
2001-03-22,12.59,12.59,11.59,12.39,589799
2001-03-23,12.61,13.4,12.51,13.12,477700
2001-03-26,13.12,13.54,13.12,13.41,249800
2001-03-27,13.26,13.53,12.81,13.51,231300
2001-03-28,13.51,13.51,12.94,12.95,251701
2001-03-29,12.93,13.15,12.59,12.59,343600
2001-03-30,12.7,12.88,12.37,12.37,492100
2001-04-02,12.48,12.77,12.35,12.39,459400
2001-04-03,12.41,12.41,11.7,12.03,434500
2001-04-04,11.92,11.92,11.35,11.48,471400
2001-04-05,11.75,13.5,11.75,13.09,1137800
2001-04-06,12.98,13.04,12.35,12.51,539901
2001-04-09,12.61,13.26,12.61,13.0,360999
2001-04-10,13.24,14.01,13.21,13.54,694300
2001-04-11,13.8,14.08,13.72,13.86,381899
2001-04-12,13.86,14.08,13.46,14.06,355201
2001-04-16,14.1,14.1,13.64,13.7,237301
2001-04-17,13.7,14.19,13.44,14.17,392499
2001-04-18,14.37,15.27,14.32,14.71,925801
2001-04-19,14.64,15.13,14.24,14.81,558200
2001-04-20,14.81,14.81,14.35,14.4,214700
2001-04-23,14.48,14.48,13.88,14.22,270900
2001-04-24,14.22,14.28,13.92,13.96,162700
2001-04-25,13.96,13.96,13.37,13.72,596401
2001-04-26,13.83,14.21,13.79,13.95,437900
2001-04-27,14.28,14.39,14.1,14.23,287300
2001-04-30,14.08,14.35,13.47,13.5,304499
2001-05-01,13.66,13.66,12.96,13.26,972000
2001-05-02,13.39,13.72,13.19,13.63,1062700
2001-05-03,13.52,13.73,13.31,13.55,272401
2001-05-04,13.39,14.18,13.39,14.18,347699
