Date,Open,High,Low,Close,Volume
2003-10-09,385.0,385.0,385.0,385.0,0
2003-10-10,385.0,385.0,385.0,385.0,4634
2003-10-13,415.0,415.0,415.0,415.0,50000
2003-10-14,415.0,415.0,415.0,415.0,0
2003-10-15,415.0,415.0,415.0,415.0,0
2003-10-16,415.0,415.0,415.0,415.0,0
2003-10-17,415.0,415.0,415.0,415.0,0
2003-10-20,415.0,445.0,415.0,445.0,2000
2003-10-21,445.0,445.0,445.0,445.0,0
2003-10-22,445.0,445.0,445.0,445.0,0
2003-10-23,445.0,445.0,445.0,445.0,0
2003-10-24,445.0,445.0,445.0,445.0,0
2003-10-27,445.0,445.0,445.0,445.0,0
2003-10-28,445.0,445.0,445.0,445.0,0
2003-10-29,445.0,445.0,445.0,445.0,0
2003-10-30,445.0,445.0,445.0,445.0,0
2003-10-31,445.0,445.0,445.0,445.0,0
2003-11-03,445.0,445.0,445.0,445.0,0
2003-11-04,445.0,445.0,445.0,445.0,0
2003-11-05,445.0,445.0,445.0,445.0,0
2003-11-06,440.0,440.0,440.0,440.0,4844
2003-11-07,440.0,440.0,440.0,440.0,0
2003-11-10,440.0,440.0,440.0,440.0,0
2003-11-11,440.0,440.0,440.0,440.0,0
2003-11-12,440.0,440.0,440.0,440.0,0
2003-11-13,440.0,440.0,440.0,440.0,0
2003-11-14,440.0,440.0,440.0,440.0,0
2003-11-17,440.0,440.0,440.0,440.0,0
2003-11-18,440.0,440.0,440.0,440.0,0
2003-11-19,440.0,440.0,440.0,440.0,0
2003-11-20,440.0,440.0,440.0,440.0,0
2003-11-21,440.0,440.0,440.0,440.0,0
2003-11-24,440.0,440.0,440.0,440.0,0
2003-11-25,440.0,440.0,440.0,440.0,0
2003-11-26,440.0,440.0,440.0,440.0,0
2003-11-27,440.0,440.0,440.0,440.0,2129
2003-11-28,440.0,440.0,440.0,440.0,0
2003-12-01,440.0,440.0,440.0,440.0,571
2003-12-02,390.0,390.0,380.0,380.0,60000
2003-12-03,380.0,380.0,380.0,380.0,0
2003-12-04,380.0,380.0,380.0,380.0,0
2003-12-05,395.0,395.0,390.0,395.0,18200
2003-12-08,390.0,390.0,390.0,390.0,1633
2003-12-09,390.0,390.0,390.0,390.0,0
2003-12-10,390.0,390.0,390.0,390.0,0
2003-12-11,390.0,390.0,390.0,390.0,0
2003-12-12,390.0,390.0,390.0,390.0,873
2003-12-15,390.0,390.0,390.0,390.0,200
2003-12-17,390.0,390.0,390.0,390.0,0
2003-12-18,390.0,390.0,390.0,390.0,0
2003-12-19,390.0,390.0,390.0,390.0,0
2003-12-22,390.0,390.0,390.0,390.0,2180
2003-12-23,390.0,390.0,390.0,390.0,0
2003-12-24,390.0,390.0,390.0,390.0,0
2003-12-29,390.0,390.0,390.0,390.0,0
2003-12-30,390.0,390.0,390.0,390.0,0
2004-01-02,400.0,400.0,400.0,400.0,15000
2004-01-05,400.0,400.0,400.0,400.0,0
2004-01-06,400.0,400.0,400.0,400.0,0
2004-01-07,400.0,400.0,400.0,400.0,8667
2004-01-08,400.0,400.0,400.0,400.0,14667
2004-01-09,400.0,401.0,400.0,400.0,8667
2004-01-12,402.0,402.0,402.0,402.0,0
2004-01-13,400.0,400.0,400.0,400.0,0
2004-01-14,401.0,401.0,401.0,401.0,0
2004-01-15,401.0,401.0,401.0,401.0,0
2004-01-16,401.0,401.0,401.0,401.0,0
2004-01-19,401.0,401.0,401.0,401.0,0
2004-01-20,401.0,401.0,401.0,401.0,0
2004-01-21,430.0,430.0,430.0,430.0,0
2004-01-22,440.0,440.0,440.0,440.0,0
2004-01-23,440.0,440.0,440.0,440.0,0
2004-01-26,440.0,440.0,440.0,440.0,0
2004-01-27,440.0,440.0,440.0,440.0,0
2004-01-28,440.0,440.0,440.0,440.0,0
2004-01-29,440.0,440.0,440.0,440.0,0
2004-01-30,439.0,440.0,439.0,440.0,0
2004-02-02,440.0,440.0,440.0,440.0,0
2004-02-03,410.0,410.0,410.0,410.0,0
2004-02-04,410.0,410.0,410.0,410.0,0
2004-02-05,410.0,410.0,410.0,410.0,0
2004-02-06,410.0,410.0,410.0,410.0,0
2004-02-09,410.0,410.0,410.0,410.0,0
