Date,Open,High,Low,Close,Volume
2001-02-06,6.0,6.25,5.98,6.23,24433600
2001-02-07,6.14,6.26,6.13,6.23,12472800
2001-02-08,6.23,6.41,6.02,6.08,27166400
2001-02-09,6.02,6.15,5.98,6.04,11227200
2001-02-12,6.04,6.27,6.04,6.25,13370400
2001-02-13,6.2,6.35,6.07,6.08,16660800
2001-02-14,6.09,6.16,5.94,5.98,15589600
2001-02-15,6.02,6.18,6.0,6.16,10767200
2001-02-16,6.06,6.22,6.03,6.12,8162400
2001-02-20,6.16,6.28,6.03,6.04,13835200
2001-02-21,5.99,6.16,5.86,5.98,18341600
2001-02-22,6.05,6.08,5.84,5.92,12613600
2001-02-23,5.92,6.0,5.78,5.98,17580000
2001-02-26,5.96,6.06,5.95,5.98,14007200
2001-02-27,5.97,6.1,5.94,6.03,15631200
2001-02-28,6.05,6.06,5.91,5.95,17836000
2001-03-01,5.94,6.0,5.79,5.95,18620000
2001-03-02,6.0,6.13,5.94,5.94,28944800
2001-03-05,5.94,5.95,5.76,5.84,12732000
2001-03-06,5.85,5.91,5.78,5.84,14984000
2001-03-07,5.85,5.88,5.72,5.77,15746400
2001-03-08,5.8,5.96,5.77,5.95,17720800
2001-03-09,5.95,5.97,5.85,5.89,10620000
2001-03-12,5.86,5.87,5.59,5.62,17695200
2001-03-13,5.66,5.66,5.31,5.59,26188000
2001-03-14,5.47,5.55,5.33,5.41,16662400
2001-03-15,5.48,5.55,5.39,5.46,12184800
2001-03-16,5.34,5.5,5.3,5.48,18934400
2001-03-19,5.48,5.58,5.45,5.54,13877600
2001-03-20,5.55,5.66,5.38,5.41,18213600
2001-03-21,5.41,5.42,5.11,5.12,24610400
2001-03-22,5.22,5.23,4.82,5.01,35266400
2001-03-23,5.09,5.16,4.93,5.11,23473600
2001-03-26,5.17,5.31,5.15,5.2,21599200
2001-03-27,5.27,5.28,5.03,5.09,22744800
2001-03-28,5.07,5.2,5.02,5.15,18766400
2001-03-29,5.14,5.41,5.06,5.24,26262400
2001-03-30,5.26,5.45,5.24,5.3,21778400
2001-04-02,5.32,5.45,5.31,5.38,15468000
2001-04-03,5.34,5.4,5.2,5.22,19016800
2001-04-04,5.16,5.2,5.06,5.12,24563200
2001-04-05,5.2,5.27,4.96,5.12,23314400
2001-04-06,5.02,5.02,4.54,4.66,66156800
2001-04-09,4.69,4.85,4.68,4.83,35690400
2001-04-10,4.88,5.05,4.86,5.0,25151200
2001-04-11,5.05,5.19,5.0,5.03,24515200
2001-04-12,4.88,4.94,4.68,4.75,39711200
2001-04-16,4.75,4.97,4.75,4.82,16754400
2001-04-17,4.82,4.94,4.78,4.87,10645600
2001-04-18,4.93,5.25,4.88,5.19,24831200
2001-04-19,5.18,5.24,5.05,5.16,17173600
2001-04-20,5.07,5.12,4.96,5.03,15213600
2001-04-23,5.04,5.12,4.86,4.88,15166400
2001-04-24,4.92,4.92,4.71,4.71,25676000
2001-04-25,4.76,5.01,4.71,4.97,20498400
2001-04-26,5.04,5.1,4.94,4.96,13790400
2001-04-27,4.62,4.7,4.59,4.64,111204000
2001-04-30,4.75,4.94,4.62,4.84,27268400
2001-05-01,4.84,5.04,4.8,5.0,24086800
2001-05-02,5.03,5.04,4.81,4.93,17924400
2001-05-03,4.89,4.9,4.69,4.74,15248000
2001-05-04,4.51,4.75,4.5,4.75,26350000
2001-05-07,4.75,4.82,4.66,4.72,13082800
2001-05-08,4.82,4.82,4.54,4.65,26791600
2001-05-09,4.64,4.76,4.6,4.67,12069200
2001-05-10,4.69,4.74,4.63,4.65,10787200
2001-05-11,4.69,4.77,4.64,4.73,13024000
2001-05-14,4.72,4.88,4.65,4.83,19356800
2001-05-15,4.78,5.0,4.78,4.88,17457600
2001-05-16,4.86,5.03,4.78,5.0,17391600
2001-05-17,5.0,5.25,5.0,5.18,21010000
2001-05-18,5.18,5.21,5.04,5.17,11812000
2001-05-21,5.16,5.28,5.08,5.28,14338000
2001-05-22,5.29,5.38,5.23,5.3,16301200
2001-05-23,5.28,5.3,4.99,5.02,18820000
2001-05-24,5.01,5.1,4.91,5.1,14109600
2001-05-25,5.1,5.15,4.96,5.1,6214000
2001-05-29,5.1,5.19,4.88,4.97,7796000
2001-05-30,4.93,5.09,4.91,5.02,15917600
2001-05-31,5.02,5.02,4.75,4.88,21150000
2001-06-01,5.0,5.02,4.74,4.9,17176800
2001-06-04,4.9,4.92,4.76,4.8,8928400
2001-06-05,4.81,4.98,4.79,4.92,12304800
2001-06-06,4.91,4.92,4.75,4.81,11285600
2001-06-07,4.81,4.95,4.75,4.85,8480000
2001-06-08,4.87,4.87,4.74,4.76,7118400
2001-06-11,4.77,4.87,4.76,4.81,8040000
2001-06-12,4.74,4.92,4.73,4.85,9548800
2001-06-13,4.88,5.02,4.85,4.89,12175600
2001-06-14,4.88,4.94,4.79,4.8,9539600
2001-06-15,4.81,4.99,4.75,4.88,13852800
2001-06-18,4.9,5.0,4.85,4.92,9827600
2001-06-19,4.98,5.12,4.96,5.08,16213200
2001-06-20,5.06,5.27,5.06,5.24,15262000
2001-06-21,5.22,5.83,5.21,5.71,45693200
2001-06-22,5.65,5.67,5.41,5.51,18168000
2001-06-25,5.5,5.6,5.48,5.54,11516800
2001-06-26,5.44,5.53,5.4,5.47,8202800
2001-06-27,5.5,5.55,5.39,5.48,11682000
2001-06-28,5.52,5.79,5.5,5.66,15441600
2001-06-29,5.56,5.78,5.46,5.75,14383600
2001-07-02,5.62,5.74,5.51,5.69,15947600
2001-07-03,5.71,5.71,5.46,5.5,10463200
2001-07-05,5.49,5.57,5.29,5.48,12049200
2001-07-06,5.23,5.23,5.0,5.12,36516400
2001-07-09,5.12,5.27,5.11,5.23,18625600
2001-07-10,5.26,5.26,5.09,5.11,26020800
2001-07-11,5.09,5.24,5.05,5.17,22709200
2001-07-12,5.22,5.27,5.14,5.17,23283600
2001-07-13,5.15,5.17,5.08,5.12,20350800
2001-07-16,5.12,5.15,5.01,5.03,15316000
