Date,Open,High,Low,Close,Volume
2001-02-07,26.66,26.85,26.41,26.49,304000
2001-02-08,26.5,26.89,26.24,26.86,175500
2001-02-09,26.72,27.5,26.71,27.47,188100
2001-02-12,28.0,28.1,27.8,27.98,342100
2001-02-13,27.9,28.3,27.85,28.01,221100
2001-02-14,27.96,28.15,27.85,28.06,158800
2001-02-15,28.0,28.1,27.81,28.0,188900
2001-02-16,27.99,28.65,27.95,28.2,266200
2001-02-20,28.1,28.2,27.81,28.01,110500
2001-02-21,27.9,28.11,27.35,27.84,138600
2001-02-22,27.69,27.8,27.2,27.45,154800
2001-02-23,27.2,27.25,26.98,27.13,179900
2001-02-26,27.0,27.66,26.96,27.15,131900
2001-02-27,27.25,27.51,27.03,27.1,140100
2001-02-28,27.2,27.45,27.0,27.21,255000
2001-03-01,27.3,28.08,27.02,27.65,247700
2001-03-02,27.5,28.17,27.2,27.7,230300
2001-03-05,27.7,28.1,27.6,27.97,171400
2001-03-06,27.9,28.09,27.25,27.64,107500
2001-03-07,27.39,27.84,27.2,27.35,127200
2001-03-08,27.3,27.6,27.02,27.31,97000
2001-03-09,27.4,27.89,26.9,27.75,105400
2001-03-12,27.7,27.86,27.54,27.74,201700
2001-03-13,27.74,27.75,27.05,27.13,182200
2001-03-14,27.15,27.15,26.16,26.2,191000
2001-03-15,26.3,26.32,26.09,26.14,157200
2001-03-16,25.96,26.15,25.4,25.75,468200
2001-03-19,26.0,26.09,25.49,26.0,250400
2001-03-20,26.0,26.8,25.98,26.16,171500
2001-03-21,26.09,26.35,25.86,25.86,185800
2001-03-22,25.86,26.0,25.37,25.4,334600
2001-03-23,25.4,25.47,24.92,25.0,285700
2001-03-26,25.25,26.6,25.25,26.35,187600
2001-03-27,26.5,26.7,25.9,26.12,174400
2001-03-28,26.12,26.26,25.6,26.05,162800
2001-03-29,26.28,26.7,25.51,26.5,150100
2001-03-30,26.65,27.8,26.65,27.15,421600
2001-04-02,27.4,28.11,27.25,28.0,336400
2001-04-03,28.2,28.22,27.0,27.76,374900
2001-04-04,27.7,27.99,27.25,27.33,150000
2001-04-05,27.33,27.45,27.05,27.4,174100
2001-04-06,27.35,27.96,26.61,26.66,130300
2001-04-09,26.61,27.9,26.61,27.66,103700
2001-04-10,27.6,28.2,27.6,27.9,207600
2001-04-11,28.1,28.1,27.1,27.64,129700
2001-04-12,27.7,28.19,27.65,27.9,222000
2001-04-16,27.65,28.12,27.55,28.05,117600
2001-04-17,27.95,28.4,27.9,28.26,115300
2001-04-18,28.35,28.4,26.75,27.27,373400
2001-04-19,27.3,27.45,26.87,27.17,96400
2001-04-20,27.05,27.3,26.85,27.03,110200
2001-04-23,27.0,27.72,27.0,27.7,114500
2001-04-24,27.7,27.94,27.55,27.88,88000
2001-04-25,27.7,28.06,27.7,28.01,106300
2001-04-26,27.9,28.1,27.72,27.89,76500
2001-04-27,27.89,27.99,27.28,27.9,149200
2001-04-30,28.0,28.41,27.85,28.06,121400
2001-05-01,28.06,28.39,27.9,27.93,136600
2001-05-02,27.93,27.99,27.3,27.66,162200
2001-05-03,27.66,27.8,27.01,27.8,175200
2001-05-04,27.62,28.32,27.39,28.29,194200
2001-05-07,28.29,28.6,28.06,28.25,156200
2001-05-08,28.06,28.06,27.47,27.78,91600
2001-05-09,27.78,28.1,27.7,28.0,104800
2001-05-10,28.0,28.0,27.68,27.9,49000
2001-05-11,27.65,28.21,27.4,28.14,99000
2001-05-14,28.14,28.25,28.0,28.14,113100
2001-05-15,28.0,28.15,27.87,28.09,95500
2001-05-16,28.0,28.18,27.75,28.04,161900
2001-05-17,28.04,28.55,27.55,28.55,228300
2001-05-18,28.3,28.58,28.25,28.44,110400
2001-05-21,28.3,28.71,27.73,28.69,187000
2001-05-22,28.55,28.7,28.2,28.27,91100
2001-05-23,28.45,28.5,27.97,28.14,81000
2001-05-24,28.0,28.35,27.85,28.18,69000
2001-05-25,28.19,28.19,27.75,27.92,39600
2001-05-29,27.85,27.97,27.35,27.8,93200
2001-05-30,27.7,28.59,27.7,28.2,121900
2001-05-31,28.2,28.7,28.2,28.7,104900
2001-06-01,28.45,29.03,28.18,28.96,162400
2001-06-04,28.94,28.94,28.61,28.85,76000
2001-06-05,28.8,28.85,28.43,28.51,250800
2001-06-06,28.2,28.23,27.76,28.02,276100
2001-06-07,28.05,28.05,27.44,27.53,130000
2001-06-08,27.41,27.77,26.91,27.49,86100
2001-06-11,27.39,28.3,27.39,28.29,101500
2001-06-12,28.2,28.26,27.85,28.14,49700
2001-06-13,28.2,28.35,28.09,28.12,106000
2001-06-14,28.05,28.05,27.56,27.71,117300
2001-06-15,27.38,28.29,27.38,27.53,220000
2001-06-18,27.77,28.25,27.7,28.15,178900
2001-06-19,28.14,28.35,28.02,28.32,127800
2001-06-20,28.38,28.64,28.3,28.58,202300
2001-06-21,28.36,28.44,27.0,27.68,373800
2001-06-22,27.6,27.74,27.28,27.62,173500
2001-06-25,27.7,27.85,27.48,27.5,93700
2001-06-26,27.45,27.68,27.4,27.47,216800
2001-06-27,27.55,27.87,27.4,27.8,108400
2001-06-28,27.7,28.25,27.6,27.78,179100
2001-06-29,27.7,28.4,27.6,28.4,277500
2001-07-02,28.3,28.44,27.9,28.27,226500
2001-07-03,28.15,28.39,28.0,28.06,205900
2001-07-05,28.12,28.48,28.02,28.45,166400
2001-07-06,28.46,28.49,28.2,28.22,205400
2001-07-09,28.22,28.44,28.0,28.26,109300
2001-07-10,28.26,28.26,28.02,28.15,295500
2001-07-11,28.17,28.19,27.66,27.67,196100
2001-07-12,27.8,27.82,27.2,27.75,345300
2001-07-13,27.6,27.7,27.28,27.48,140600
2001-07-16,27.43,27.64,27.36,27.47,301500
2001-07-17,27.55,27.64,27.14,27.43,95200
2001-07-18,27.3,27.35,26.48,27.07,315400
2001-07-19,27.0,27.31,26.72,26.86,72400
2001-07-20,27.0,27.0,25.9,26.26,223300
2001-07-23,26.28,26.44,25.71,25.85,421200
2001-07-24,25.83,26.1,25.0,25.03,475900
2001-07-25,25.15,25.65,25.06,25.56,263200
2001-07-26,25.6,25.95,25.5,25.69,150600
2001-07-27,25.62,26.0,25.61,25.84,123300
2001-07-30,25.78,26.09,25.5,26.09,103400
2001-07-31,26.09,27.0,26.01,26.84,292700
2001-08-01,26.8,26.99,26.52,26.92,218600
2001-08-02,27.1,27.39,26.72,27.34,136700
2001-08-03,27.4,27.86,27.16,27.86,330000
2001-08-06,27.65,27.65,26.8,26.85,174800
2001-08-07,26.86,27.22,26.8,27.15,135600
2001-08-08,27.15,27.19,26.75,26.98,153700
2001-08-09,26.98,26.99,26.8,26.88,76700
2001-08-10,26.89,27.35,26.76,27.32,138700
2001-08-13,27.25,27.38,26.65,26.92,76900
2001-08-14,27.0,27.4,26.94,27.13,93300
2001-08-15,27.06,27.23,26.4,27.02,131300
2001-08-16,27.02,27.15,26.76,27.09,71900
2001-08-17,27.2,27.32,26.65,26.9,88600
