Date,Open,High,Low,Close,Volume
2001-02-06,39.18,39.78,38.48,39.64,6346600
2001-02-07,39.48,39.96,39.0,39.58,8328200
2001-02-08,39.58,39.94,39.11,39.2,5878200
2001-02-09,39.5,39.92,38.88,39.1,4858200
2001-02-12,37.25,37.55,34.25,34.5,29991200
2001-02-13,34.0,34.2,31.9,32.01,37150400
2001-02-14,32.37,32.92,31.75,32.72,27851400
2001-02-15,32.75,32.75,31.69,32.12,14938000
2001-02-16,32.5,32.7,31.78,32.25,17145800
2001-02-20,32.48,32.85,32.25,32.49,11108000
2001-02-21,31.75,32.37,31.6,31.65,11112800
2001-02-22,32.4,32.69,31.0,31.22,11797800
2001-02-23,31.3,31.62,29.86,30.0,12066600
2001-02-26,30.95,32.5,30.76,32.32,15566400
2001-02-27,32.35,32.48,32.0,32.2,8444200
2001-02-28,32.3,32.37,31.45,31.88,7725400
2001-03-01,31.9,32.27,31.5,31.66,8348400
2001-03-02,31.8,33.0,31.58,32.7,8178000
2001-03-05,32.74,33.6,32.52,33.12,5393600
2001-03-06,33.0,33.78,32.75,33.54,5632000
2001-03-07,33.55,34.6,33.55,34.6,8284400
2001-03-08,34.38,34.78,33.75,34.48,7684200
2001-03-09,34.3,34.8,33.92,34.36,7113200
2001-03-12,34.36,34.68,33.22,34.0,6852400
2001-03-13,33.8,33.8,32.92,33.08,6282800
2001-03-14,33.0,33.72,32.33,32.55,6927200
2001-03-15,32.55,32.8,31.5,31.82,7691000
2001-03-16,31.05,31.9,30.5,30.6,11832600
2001-03-19,30.98,32.0,30.92,31.73,6448000
2001-03-20,32.08,33.15,31.86,32.53,7572200
2001-03-21,31.82,32.53,31.4,31.5,6500400
2001-03-22,31.26,31.34,29.9,30.48,10662000
2001-03-23,30.92,31.95,30.38,31.4,7771000
2001-03-26,31.7,32.38,31.7,31.9,6153000
2001-03-27,32.15,32.36,31.02,31.4,6204600
2001-03-28,31.3,31.34,30.15,30.27,6342600
2001-03-29,29.8,29.91,28.65,28.9,10498400
2001-03-30,29.0,29.74,28.76,28.8,12505000
2001-04-02,28.88,28.92,27.31,27.63,10068800
2001-04-03,27.95,28.05,26.42,26.52,12506000
2001-04-04,26.75,27.76,26.68,27.02,12775800
2001-04-05,27.68,28.68,27.41,28.5,10899600
2001-04-06,28.04,29.48,27.7,28.98,12761000
2001-04-09,29.95,30.2,29.5,30.15,9105000
2001-04-10,30.5,30.9,29.78,30.85,11152000
2001-04-11,30.75,30.84,30.09,30.09,6420800
2001-04-12,30.22,30.95,30.22,30.6,10111400
2001-04-16,30.6,31.28,30.42,31.08,4219600
2001-04-17,30.88,31.64,30.72,31.32,6406200
2001-04-18,31.42,32.0,30.38,30.56,12383600
2001-04-19,30.7,30.88,29.4,29.6,10390600
2001-04-20,30.0,30.62,29.65,30.38,8963800
2001-04-23,30.88,31.22,30.8,31.12,6096200
2001-04-24,31.1,31.35,30.5,30.82,5709200
2001-04-25,30.82,31.6,30.35,31.5,5743400
2001-04-26,32.0,33.7,32.0,33.68,9840000
2001-04-27,33.75,33.75,32.72,33.0,8311200
2001-04-30,33.1,33.7,32.7,33.15,5836600
2001-05-01,33.15,33.22,32.1,32.44,6120000
2001-05-02,31.0,31.08,30.55,30.78,10262400
2001-05-03,31.0,31.35,30.38,30.86,7375000
2001-05-04,31.3,31.7,31.04,31.48,4643600
2001-05-07,31.94,32.05,30.75,31.18,4284200
2001-05-08,30.78,31.12,30.45,30.9,5327200
2001-05-09,31.24,31.54,31.18,31.48,6474400
2001-05-10,31.48,31.75,31.0,31.3,4658200
2001-05-11,31.2,31.22,30.78,30.97,3058400
2001-05-14,31.32,31.88,31.14,31.88,4439800
2001-05-15,32.42,33.06,32.0,32.86,6769400
2001-05-16,32.8,33.25,32.58,33.1,5467200
2001-05-17,33.28,34.12,32.71,34.0,8565000
2001-05-18,34.24,34.62,33.84,34.26,7071400
2001-05-21,34.35,34.52,33.92,34.22,5599800
2001-05-22,34.23,34.24,33.45,33.62,6663000
2001-05-23,33.35,33.36,32.45,32.5,5703800
2001-05-24,32.5,32.5,31.66,31.92,5379800
2001-05-25,32.25,32.44,31.95,32.03,4415000
2001-05-29,32.35,32.56,31.56,31.68,6082400
2001-05-30,31.78,31.85,30.8,31.16,5214000
2001-05-31,30.92,31.75,30.6,31.52,6151200
2001-06-01,31.52,31.7,30.96,31.42,4083200
2001-06-04,31.65,32.48,31.64,32.46,5684400
2001-06-05,32.46,32.93,32.01,32.74,4721200
2001-06-06,32.05,32.05,30.95,30.95,8166200
2001-06-07,30.95,31.55,30.44,30.58,7742800
2001-06-08,30.98,30.99,30.06,30.15,6417800
2001-06-11,30.48,30.55,29.78,29.9,6381800
2001-06-12,30.25,30.43,29.98,30.3,5613800
2001-06-13,30.92,31.23,30.08,30.11,5433600
2001-06-14,29.62,29.66,28.0,28.45,15033000
2001-06-15,28.82,29.0,28.38,28.65,8587400
2001-06-18,28.52,28.9,28.18,28.31,4128000
2001-06-19,28.68,28.68,27.84,28.18,4829400
2001-06-20,28.45,28.59,27.44,27.45,5978600
2001-06-21,27.7,27.75,26.35,26.79,12284800
2001-06-22,26.8,27.4,26.3,27.05,10014800
2001-06-25,27.22,27.28,26.68,26.93,8075600
2001-06-26,26.95,27.34,26.8,27.26,8443800
2001-06-27,27.12,27.12,26.52,26.52,7141400
2001-06-28,26.41,26.58,25.58,26.31,12942600
2001-06-29,26.52,27.02,25.98,26.32,8217400
2001-07-02,26.65,26.68,25.72,26.05,6929800
2001-07-03,26.48,26.97,26.38,26.7,5716600
2001-07-05,26.76,27.29,26.76,26.9,7358600
2001-07-06,27.25,27.32,26.22,26.64,7342200
2001-07-09,26.68,26.68,25.6,25.9,8545200
2001-07-10,25.98,26.3,25.3,25.45,10033000
2001-07-11,25.3,25.65,24.35,25.62,10823800
2001-07-12,25.35,26.12,24.62,24.87,10797800
2001-07-13,24.55,25.94,24.52,25.22,7392200
2001-07-16,25.22,25.45,24.02,24.45,10333600
2001-07-17,24.68,24.95,24.13,24.48,9054400
2001-07-18,24.15,25.15,23.45,24.82,13067000
2001-07-19,25.0,25.58,25.0,25.49,9376600
2001-07-20,25.75,26.72,25.71,26.72,12767800
2001-07-23,26.82,27.18,26.5,26.99,7186800
2001-07-24,27.0,27.05,26.55,26.85,6967800
2001-07-25,27.0,28.24,26.7,28.24,10297000
2001-07-26,28.14,28.45,26.88,27.38,11120200
2001-07-27,27.4,28.1,26.69,28.02,5332200
2001-07-30,28.05,28.4,27.82,28.1,4393200
2001-07-31,28.0,28.4,26.88,26.88,6768200
2001-08-01,27.25,27.45,26.14,26.28,9605200
2001-08-02,26.35,26.62,26.04,26.56,8999400
2001-08-03,26.5,26.59,25.98,26.01,4602000
2001-08-06,26.18,26.29,25.9,26.16,4131000
2001-08-07,26.22,26.36,25.7,25.75,5690000
2001-08-08,25.95,26.06,24.25,24.32,8457800
2001-08-09,24.32,24.98,24.12,24.43,7828000
2001-08-10,24.65,25.05,24.35,24.77,5627200
2001-08-13,25.01,25.11,24.7,24.81,6336200
2001-08-14,24.8,25.15,24.65,25.12,5923800
2001-08-15,25.42,26.75,25.32,26.6,7337600
2001-08-16,26.65,26.73,25.78,26.3,7764400
2001-08-17,26.3,26.45,25.71,26.06,5438600
2001-08-20,26.06,26.35,25.72,25.74,2984800
2001-08-21,25.95,26.3,25.82,25.88,4009400
2001-08-22,26.42,27.08,25.8,25.95,9478600
2001-08-23,25.96,26.1,25.44,25.45,4038400
2001-08-24,25.32,25.62,25.23,25.52,4116800
2001-08-27,25.65,25.8,25.5,25.66,3259600
2001-08-28,25.6,25.88,25.25,25.5,5810800
2001-08-29,25.75,25.87,25.26,25.45,5336600
2001-08-30,25.25,25.48,24.41,24.42,7149400
2001-08-31,24.32,24.7,24.28,24.5,3751400
2001-09-04,24.58,25.45,24.57,25.18,4312600
2001-09-05,25.08,25.4,24.7,25.24,4589600
2001-09-06,25.12,25.52,24.91,25.26,5745400
2001-09-07,25.05,25.4,24.98,25.32,5785800
2001-09-10,25.22,25.4,24.8,25.18,4854600
2001-09-17,25.32,25.75,24.0,24.15,7971200
2001-09-18,24.22,24.42,23.3,23.8,8962800
2001-09-19,23.4,23.4,21.09,22.1,13539400
2001-09-20,21.4,23.03,21.36,22.5,12979800
2001-09-21,22.5,23.51,21.84,23.48,9559000
2001-09-24,23.42,23.43,21.75,22.34,12279600
2001-09-25,22.35,22.46,20.74,20.97,13174600
2001-09-26,21.0,21.72,20.52,21.0,9673400
2001-09-27,21.0,21.74,20.42,21.7,9501400
2001-09-28,21.99,22.97,21.95,22.85,7504400
2001-10-01,22.6,22.68,21.5,22.04,7176400
2001-10-02,22.0,22.4,21.61,22.4,5690800
2001-10-03,21.62,22.54,21.02,22.07,9811200
2001-10-04,22.22,23.24,22.1,22.72,10912800
2001-10-05,22.82,23.1,21.98,22.65,5522600
2001-10-08,22.66,23.45,21.95,22.55,6076600
2001-10-09,22.95,23.08,22.52,22.92,4294800
2001-10-10,23.02,23.9,22.88,23.78,5867600
2001-10-11,23.92,24.15,22.98,23.32,7494200
2001-10-12,23.22,23.74,22.92,23.64,5852600
2001-10-15,23.25,23.7,22.36,22.97,5118400
2001-10-16,22.97,23.78,22.72,23.77,6760000
2001-10-17,24.25,24.42,23.5,23.62,6684000
2001-10-18,23.26,23.46,22.78,23.08,4851600
2001-10-19,23.45,23.64,22.56,23.62,6246600
2001-10-22,23.76,24.1,23.02,24.1,4695400
2001-10-23,23.75,24.74,23.45,24.3,7846400
2001-10-24,24.0,24.22,23.1,23.8,7887000
2001-10-25,23.4,25.22,23.38,25.22,9817400
2001-10-26,25.25,26.62,25.08,26.55,9110800
2001-10-29,26.58,27.08,25.75,25.8,9082400
2001-10-30,25.38,25.8,24.4,24.9,7654800
2001-10-31,24.77,25.05,24.06,24.21,8145600
2001-11-01,23.92,24.32,23.25,24.25,8805600
2001-11-02,24.2,24.2,23.4,23.75,4554400
2001-11-05,24.0,24.09,23.4,23.67,4798600
2001-11-06,23.47,23.49,22.3,22.98,11679800
2001-11-07,22.65,23.95,22.51,23.73,8115400
2001-11-08,24.2,24.58,23.75,24.12,6327400
2001-11-09,24.52,24.92,24.38,24.87,6899600
2001-11-12,23.9,24.92,23.66,24.71,4714000
2001-11-13,24.81,25.12,24.06,24.65,7921800
2001-11-14,23.85,24.1,22.98,23.05,9824800
2001-11-15,22.08,22.18,21.05,21.59,21812600
2001-11-16,22.0,22.55,21.75,22.55,13942000
2001-11-19,22.1,22.98,21.85,22.46,10724200
2001-11-20,23.45,24.05,23.32,23.93,11182800
2001-11-21,23.93,24.18,23.25,23.6,8137000
2001-11-23,23.22,23.86,22.9,23.74,3684200
2001-11-26,23.4,23.47,22.98,23.15,7254600
2001-11-27,23.15,24.0,22.82,23.61,8957600
2001-11-28,23.25,23.98,22.98,23.4,6165800
2001-11-29,23.4,24.15,23.08,24.0,5319000
2001-11-30,23.9,24.29,23.54,24.0,5603000
2001-12-03,23.84,25.0,23.64,24.72,8255400
2001-12-04,24.75,25.47,24.5,25.32,9180400
2001-12-05,25.9,26.85,25.88,26.7,14521600
2001-12-06,26.4,26.55,25.98,26.13,10285200
2001-12-07,25.98,26.55,25.12,26.4,8744200
2001-12-10,26.04,26.38,25.61,25.72,7955800
2001-12-11,25.7,25.94,25.28,25.5,4718000
2001-12-12,25.5,25.62,24.9,25.62,5772000
