Date,Open,High,Low,Close,Volume
2001-02-05,27.0,27.16,25.88,26.12,1547400
2001-02-06,26.17,26.97,26.0,26.69,1986400
2001-02-07,26.66,26.69,24.81,25.66,2364800
2001-02-08,25.72,25.78,24.69,25.34,1477000
2001-02-09,25.0,25.06,24.06,24.75,1461200
2001-02-12,24.56,25.59,24.47,24.94,1630200
2001-02-13,25.16,26.0,25.12,25.38,1774800
2001-02-14,25.72,25.88,24.94,25.17,945400
2001-02-15,25.53,27.0,25.5,25.94,1750600
2001-02-16,25.58,26.56,24.81,26.26,574400
2001-02-20,26.28,26.47,25.06,25.28,941800
2001-02-21,25.09,25.09,24.19,24.5,1794200
2001-02-22,25.69,27.06,25.69,26.44,6242000
2001-02-23,26.06,26.81,24.69,26.44,2555000
2001-02-26,26.19,28.88,26.12,28.81,3741000
2001-02-27,28.22,29.22,27.94,28.06,3098400
2001-02-28,27.84,28.0,26.78,27.16,1530600
2001-03-01,26.44,27.03,25.56,26.91,3408000
2001-03-02,26.38,27.44,25.62,26.98,3805400
2001-03-05,27.06,27.97,26.75,27.88,2478000
2001-03-06,28.0,29.66,27.97,29.53,5770400
2001-03-07,29.53,31.06,29.5,30.94,7226400
2001-03-08,30.44,30.5,29.81,30.09,2466000
2001-03-09,29.62,29.78,28.62,29.0,1965200
2001-03-12,28.12,28.75,26.88,27.5,5555800
2001-03-13,27.69,28.06,25.78,26.31,4042600
2001-03-14,25.41,26.97,25.03,25.88,2758800
2001-03-15,26.03,26.44,25.31,25.38,1111400
2001-03-16,25.18,25.75,23.59,24.62,2589200
2001-03-19,24.56,24.81,23.12,24.09,5532800
2001-03-20,24.12,25.5,23.75,24.19,4421800
2001-03-21,24.47,24.81,22.53,22.78,3547200
2001-03-22,22.81,23.22,20.92,22.41,6513200
2001-03-23,22.84,23.53,21.84,23.16,3697600
2001-03-26,23.0,23.62,22.3,22.5,2278200
2001-03-27,22.47,23.81,22.22,23.62,2773400
2001-03-28,23.06,23.62,21.44,21.56,3506600
2001-03-29,21.59,23.75,21.25,23.25,5085600
2001-03-30,23.25,24.91,22.03,23.47,4114600
2001-04-02,23.5,24.47,22.94,23.0,4665800
2001-04-03,22.41,23.59,22.09,22.16,4529800
2001-04-04,22.25,23.5,21.62,22.81,4703000
2001-04-05,23.66,24.28,23.06,23.97,3781800
2001-04-06,23.88,24.12,23.19,23.84,1681800
2001-04-09,23.85,24.72,23.09,23.46,2103200
2001-04-10,23.44,26.15,23.44,25.88,2617800
2001-04-11,26.04,26.51,25.6,26.26,2917200
2001-04-12,26.19,26.75,25.7,26.62,2591200
2001-04-16,26.16,26.42,24.77,24.83,4375800
2001-04-17,24.74,24.88,21.63,22.45,8970400
2001-04-18,23.72,26.12,23.38,25.97,6824600
2001-04-19,25.88,26.59,25.16,26.51,2717600
2001-04-20,26.2,26.5,25.55,26.05,1391800
2001-04-23,25.8,26.0,23.7,25.34,3119400
2001-04-24,25.34,26.64,25.2,25.5,2943000
2001-04-25,25.43,26.54,25.38,25.93,1246800
2001-04-26,26.0,26.17,25.62,26.16,2267000
2001-04-27,26.24,27.61,26.24,27.47,3096200
2001-04-30,27.47,28.96,27.38,28.72,4670400
2001-05-01,28.42,28.64,27.38,28.38,1444200
2001-05-02,28.7,28.86,27.8,28.14,1860400
2001-05-03,27.96,27.97,26.95,27.02,2972600
2001-05-04,26.46,27.62,26.38,27.56,2339400
2001-05-07,27.47,28.14,27.26,27.74,984800
2001-05-08,27.84,28.58,27.8,28.28,1988200
2001-05-09,27.88,27.94,27.1,27.4,3009000
2001-05-10,27.7,27.92,27.4,27.42,1457800
2001-05-11,27.45,27.89,26.85,27.38,1554600
2001-05-14,27.2,27.25,26.82,27.13,1943800
2001-05-15,27.15,28.75,27.08,28.36,2670800
2001-05-16,27.99,29.61,27.97,29.5,2994400
2001-05-17,29.37,30.3,29.07,30.25,2369000
2001-05-18,29.92,30.47,29.73,29.99,1125200
2001-05-21,29.96,30.62,29.73,30.41,3442600
2001-05-22,30.24,31.17,30.24,31.04,4014200
2001-05-23,30.91,30.91,29.59,30.0,2249400
2001-05-24,30.25,31.5,28.8,31.38,3660200
2001-05-25,31.18,31.5,30.53,30.68,808600
2001-05-29,30.31,30.38,29.32,29.58,1491800
2001-05-30,29.4,29.43,28.5,28.59,1267200
2001-05-31,28.59,28.88,27.66,28.44,2746000
2001-06-01,28.46,28.53,27.8,28.18,1643400
2001-06-04,28.08,28.62,28.06,28.17,1542400
2001-06-05,28.3,29.93,28.28,29.7,1899400
2001-06-06,29.68,29.74,29.22,29.45,556800
2001-06-07,29.12,30.5,29.07,30.5,1896400
2001-06-08,30.11,30.3,29.76,29.87,1131400
2001-06-11,29.75,29.75,29.0,29.12,1089200
2001-06-12,28.89,29.12,28.17,29.12,2591200
2001-06-13,29.08,29.54,29.08,29.14,1795200
2001-06-14,29.12,29.12,27.62,27.8,2780600
2001-06-15,27.57,27.93,27.06,27.4,3635200
2001-06-18,27.43,27.62,27.18,27.41,1514600
2001-06-19,27.8,29.68,27.68,28.97,3113800
2001-06-20,28.86,28.86,23.75,27.42,15842600
2001-06-21,27.33,27.33,25.75,26.18,5321800
2001-06-22,26.46,26.72,25.62,25.91,2799200
2001-06-25,26.15,26.43,25.62,26.25,1069600
2001-06-26,25.6,26.0,23.95,25.4,4300400
2001-06-27,23.7,23.85,22.5,23.01,13034000
2001-06-28,23.18,23.75,22.8,22.97,4854000
2001-06-29,23.25,24.5,23.14,24.2,4830600
