Date,Open,High,Low,Close,Volume
2001-02-06,10.71,11.3,10.67,10.8,7255500
2001-02-07,10.8,11.42,10.76,11.17,4515000
2001-02-08,11.03,11.38,10.55,10.92,7391900
2001-02-09,10.84,10.84,10.13,10.42,6473900
2001-02-12,10.17,11.21,10.17,11.13,6406400
2001-02-13,11.09,11.3,11.05,11.13,8797500
2001-02-14,11.13,11.42,11.05,11.3,6314800
2001-02-15,11.26,11.3,10.84,11.09,10624000
2001-02-16,10.76,11.26,10.71,10.8,9293300
2001-02-20,10.84,11.42,10.84,11.17,9405100
2001-02-21,11.01,11.17,10.17,10.38,5452800
2001-02-22,10.48,10.59,9.8,10.0,7942000
2001-02-23,10.0,10.51,9.96,10.26,10825600
2001-02-26,10.26,10.55,10.26,10.46,8711500
2001-02-27,10.42,10.42,10.05,10.13,9577700
2001-02-28,10.09,10.09,9.71,9.92,9565100
2001-03-01,9.88,10.02,9.55,9.96,8446200
2001-03-02,9.88,9.96,9.67,9.92,4534800
2001-03-05,9.92,10.05,9.67,9.88,5205700
2001-03-06,10.09,11.05,10.0,10.63,17427300
2001-03-07,10.71,11.17,10.63,11.01,5799100
2001-03-08,10.96,11.8,10.92,11.71,9093600
2001-03-09,11.63,11.76,11.3,11.42,7236100
2001-03-12,10.92,11.38,10.26,10.38,9376500
2001-03-13,10.59,11.02,10.46,11.01,9874500
2001-03-14,10.84,11.34,10.76,11.09,8879500
2001-03-15,11.09,11.17,10.63,10.67,3227900
2001-03-16,10.34,10.62,10.17,10.46,6487400
2001-03-19,10.55,10.92,10.34,10.84,3958200
2001-03-20,10.92,11.42,10.51,10.51,8804300
2001-03-21,10.55,10.71,10.26,10.42,5928900
2001-03-22,10.34,10.51,10.0,10.42,6540800
2001-03-23,10.46,10.51,9.67,10.09,13572300
2001-03-26,10.13,10.26,9.71,9.96,12019500
2001-03-27,10.0,10.05,9.55,9.75,9115100
2001-03-28,9.67,9.92,9.46,9.92,8684900
2001-03-29,9.75,10.05,9.59,9.75,5888600
2001-03-30,9.67,10.0,9.67,9.92,4003700
2001-04-02,9.88,10.17,7.0,9.71,4313200
2001-04-03,9.59,9.71,9.42,9.5,4602200
2001-04-04,9.46,9.84,9.38,9.63,4000400
2001-04-05,9.63,10.38,9.59,9.99,7914400
2001-04-06,9.75,10.05,9.67,9.92,3424100
2001-04-09,9.87,10.84,9.87,10.39,6824900
2001-04-10,10.52,11.05,10.52,11.03,7037000
2001-04-11,11.06,11.07,10.8,10.83,7619600
2001-04-12,10.58,11.1,10.56,10.95,6000000
2001-04-16,10.87,11.13,10.69,10.9,3980700
2001-04-17,10.73,11.02,10.72,10.96,4156800
2001-04-18,10.99,11.71,10.91,11.54,9346900
