Date,Open,High,Low,Close,Volume
2014-12-05,600.0,600.0,595.0,600.0,1224497
2014-12-08,600.0,650.0,600.0,639.0,872129
2014-12-09,620.0,620.0,601.0,615.0,525146
2014-12-10,615.0,615.0,602.0,615.0,85787
2014-12-11,614.0,615.0,601.0,601.0,1069621
2014-12-12,605.0,615.0,593.0,600.0,189352
2014-12-15,600.0,600.0,590.0,594.0,40836
2014-12-17,594.0,595.0,581.0,594.0,241343
2014-12-18,593.0,595.0,580.0,590.0,1845030
2014-12-19,590.0,600.0,590.0,598.0,2336803
2014-12-22,594.0,595.0,590.0,590.0,864403
2014-12-23,590.0,595.0,586.0,590.0,116363
2014-12-24,590.0,590.0,588.0,588.0,60084
2014-12-29,588.0,592.0,588.0,590.0,107350
2014-12-30,590.0,592.0,587.0,592.0,88920
2014-12-31,590.0,590.0,590.0,590.0,47876
2015-01-02,586.0,590.0,585.0,589.0,477767
2015-01-05,590.0,594.0,588.0,588.0,141977
2015-01-06,590.0,590.0,570.0,570.0,151725
2015-01-07,570.0,575.0,565.0,565.0,208661
2015-01-08,565.0,575.0,565.0,570.0,133086
2015-01-09,575.0,575.0,560.0,560.0,491249
2015-01-12,567.0,570.0,565.0,565.0,113739
2015-01-13,575.0,575.0,550.0,550.0,370080
2015-01-14,550.0,559.0,545.0,554.0,321902
2015-01-15,558.0,558.0,550.0,550.0,84459
2015-01-16,545.0,555.0,540.0,555.0,91812
2015-01-19,555.0,555.0,545.0,551.0,207900
2015-01-20,552.0,552.0,535.0,540.0,588444
2015-01-21,540.0,545.0,536.0,540.0,569222
2015-01-22,550.0,560.0,540.0,548.0,1225464
2015-01-23,540.0,540.0,525.0,525.0,349720
2015-01-26,549.0,549.0,535.0,535.0,6600
2015-01-27,549.0,550.0,539.0,550.0,687997
2015-01-28,551.0,551.0,540.0,542.0,352950
2015-01-29,545.0,545.0,537.0,537.0,113334
2015-01-30,540.0,550.0,540.0,544.0,297040
2015-02-02,545.0,564.0,545.0,564.0,1073448
2015-02-03,570.0,575.0,555.0,564.0,205338
2015-02-04,561.0,565.0,561.0,565.0,89910
2015-02-05,568.0,575.0,565.0,565.0,153440
2015-02-06,565.0,565.0,556.0,556.0,232400
2015-02-09,556.0,570.0,556.0,570.0,519620
2015-02-10,575.0,599.0,575.0,580.0,73751
2015-02-11,589.0,590.0,589.0,590.0,289749
2015-02-12,595.0,595.0,590.0,590.0,114574
2015-02-13,595.0,600.0,575.0,575.0,483337
2015-02-16,600.0,600.0,599.0,599.0,23049
2015-02-17,600.0,600.0,586.0,595.0,187102
2015-02-18,598.0,598.0,587.0,594.0,285427
2015-02-19,585.0,597.0,576.0,597.0,423800
2015-02-20,586.0,595.0,582.0,582.0,270109
2015-02-23,594.0,594.0,588.0,588.0,344200
2015-02-24,590.0,590.0,582.0,590.0,191875
2015-02-25,590.0,590.0,576.0,580.0,215742
2015-02-26,580.0,580.0,574.0,575.0,163908
2015-02-27,576.0,590.0,576.0,590.0,55005
2015-03-02,591.0,595.0,570.0,589.0,191442
2015-03-03,585.0,585.0,576.0,576.0,115000
2015-03-04,590.0,590.0,580.0,590.0,332109
2015-03-05,586.0,586.0,570.0,574.0,677833
2015-03-06,580.0,586.0,578.0,580.0,598536
2015-03-09,584.0,599.0,575.0,575.0,550900
2015-03-10,585.0,585.0,580.0,585.0,81772
2015-03-11,585.0,595.0,570.0,570.0,261628
2015-03-12,570.0,570.0,556.0,569.0,408040
2015-03-13,582.0,582.0,570.0,570.0,128275
2015-03-16,595.0,595.0,566.0,566.0,53430
2015-03-17,570.0,571.0,566.0,566.0,497570
2015-03-18,570.0,570.0,565.0,565.0,253300
2015-03-19,565.0,570.0,560.0,565.0,234457
2015-03-20,565.0,582.0,565.0,565.0,165100
2015-03-23,570.0,570.0,565.0,565.0,592815
2015-03-24,568.0,568.0,560.0,561.0,327763
2015-03-25,561.0,561.0,550.0,550.0,200181
2015-03-26,560.0,570.0,560.0,565.0,193100
2015-03-27,580.0,580.0,550.0,563.0,600031
2015-03-30,555.0,570.0,555.0,555.0,71870
2015-03-31,574.0,574.0,560.0,560.0,133260
2015-04-01,560.0,575.0,560.0,565.0,302746
2015-04-02,560.0,563.0,555.0,563.0,172230
2015-04-07,561.0,568.0,560.0,560.0,132270
2015-04-08,554.0,564.0,550.0,561.0,596063
2015-04-09,569.0,583.0,569.0,583.0,383513
2015-04-10,570.0,580.0,551.0,565.0,504327
2015-04-13,565.0,576.0,565.0,575.0,208668
2015-04-14,575.0,577.0,561.0,561.0,127509
2015-04-15,560.0,566.0,560.0,565.0,115750
2015-04-16,580.0,582.0,574.0,576.0,600162
2015-04-17,575.0,590.0,575.0,590.0,437000
2015-04-20,593.0,593.0,581.0,591.0,169235
2015-04-21,590.0,590.0,581.0,587.0,39619
2015-04-22,587.0,588.0,582.0,588.0,365249
2015-04-23,588.0,607.0,585.0,600.0,1065382
2015-04-24,609.0,616.0,605.0,610.0,489653
2015-04-28,610.0,617.0,605.0,614.0,591811
2015-04-29,615.0,637.0,613.0,613.0,455307
2015-04-30,618.0,627.0,618.0,618.0,98134
2015-05-04,618.0,618.0,618.0,618.0,3092
2015-05-05,620.0,627.0,614.0,627.0,493493
2015-05-06,627.0,627.0,610.0,621.0,239118
2015-05-07,615.0,650.0,615.0,650.0,80319
2015-05-08,650.0,650.0,630.0,630.0,38363
2015-05-11,635.0,635.0,630.0,630.0,20000
2015-05-12,640.0,720.0,640.0,650.0,288773
2015-05-13,655.0,662.0,654.0,662.0,494498
2015-05-14,675.0,680.0,674.0,680.0,239477
2015-05-15,685.0,685.0,665.0,670.0,227302
2015-05-18,685.0,685.0,675.0,675.0,34000
