Date,Open,High,Low,Close,Volume
2001-02-07,23.02,23.9,23.02,23.75,1694200
2001-02-08,23.75,23.85,23.46,23.8,978800
2001-02-09,23.75,24.0,23.6,23.85,933000
2001-02-12,24.05,25.02,24.04,24.98,1219800
2001-02-13,24.9,24.98,24.28,24.85,1043200
2001-02-14,24.92,24.95,24.66,24.88,978400
2001-02-15,25.0,25.05,24.6,24.85,941000
2001-02-16,24.75,25.0,24.62,25.0,722200
2001-02-20,24.88,25.14,24.57,25.12,454200
2001-02-21,25.08,26.15,25.08,25.91,1422400
2001-02-22,25.91,26.96,25.91,26.78,2703000
2001-02-23,26.58,27.0,26.55,26.97,2157000
2001-02-26,26.97,27.9,26.97,27.62,1950000
2001-02-27,27.62,28.42,27.35,27.6,2493800
2001-02-28,27.75,28.08,27.62,28.08,1045800
2001-03-01,28.08,28.5,27.68,28.5,1633400
2001-03-02,28.5,28.5,27.68,27.96,2010200
2001-03-05,27.85,28.5,27.85,28.0,1527000
2001-03-06,27.88,28.1,27.26,27.48,1164200
2001-03-07,27.25,27.42,26.62,26.94,860400
2001-03-08,27.0,28.06,26.98,27.81,1003200
2001-03-09,27.69,27.86,27.22,27.82,414400
2001-03-12,27.45,27.45,26.38,26.4,1057600
2001-03-13,26.4,26.7,25.85,26.39,1747000
2001-03-14,26.2,26.28,25.68,26.13,1197600
2001-03-15,26.18,26.52,25.89,26.5,910600
2001-03-16,26.12,26.75,26.12,26.38,1890600
2001-03-19,26.38,26.52,25.62,26.18,1153800
2001-03-20,26.6,26.6,25.74,25.85,793400
2001-03-21,25.55,26.0,25.38,25.7,759200
2001-03-22,25.32,25.32,23.5,24.0,2102800
2001-03-23,24.0,24.85,23.89,24.85,1542600
2001-03-26,24.85,26.0,24.65,25.98,1286200
2001-03-27,25.98,27.05,25.84,26.5,1777200
2001-03-28,24.75,26.12,24.65,25.97,1759600
2001-03-29,25.98,27.3,25.72,26.1,1286200
2001-03-30,26.2,26.45,25.5,26.12,1070200
2001-04-02,26.4,26.58,25.55,25.6,1012000
2001-04-03,25.55,25.7,24.78,24.9,1292600
2001-04-04,24.96,25.35,24.52,25.07,1272800
2001-04-05,25.1,25.92,25.1,25.82,1320800
2001-04-06,25.7,25.9,25.36,25.72,1117600
2001-04-09,25.78,26.5,25.75,26.2,1114600
2001-04-10,26.75,26.85,25.7,26.08,1534200
2001-04-11,25.95,25.95,25.14,25.22,1205800
2001-04-12,25.22,26.1,25.22,26.0,925400
2001-04-16,26.38,26.68,25.75,26.02,650400
2001-04-17,25.65,26.94,25.65,26.9,1279200
