Date,Open,High,Low,Close,Volume
2001-02-07,6.16,6.18,6.02,6.07,587600
2001-02-08,6.12,6.38,6.11,6.35,202800
2001-02-09,6.35,6.69,6.34,6.66,440000
2001-02-12,6.66,6.78,6.66,6.76,858400
2001-02-13,6.75,7.25,6.71,7.24,1247400
2001-02-14,7.25,7.25,7.0,7.12,635200
2001-02-15,7.12,7.22,7.1,7.2,590600
2001-02-16,6.92,7.24,6.92,7.18,263200
2001-02-20,7.12,7.19,7.04,7.12,244400
2001-02-21,7.12,7.17,6.85,6.88,724400
2001-02-22,6.9,6.9,6.66,6.7,545800
2001-02-23,6.72,6.8,6.5,6.72,167400
2001-02-26,6.55,6.85,6.55,6.76,159800
2001-02-27,6.71,6.78,6.69,6.74,97800
2001-02-28,6.55,6.55,6.28,6.32,330400
2001-03-01,6.48,6.5,6.28,6.45,401400
2001-03-02,6.45,6.5,6.42,6.49,330200
2001-03-05,6.54,6.62,6.53,6.54,151400
2001-03-06,6.54,6.62,6.53,6.58,95600
2001-03-07,6.58,6.88,6.58,6.82,520200
2001-03-08,6.82,6.9,6.64,6.65,314600
2001-03-09,6.7,6.7,6.5,6.5,147800
2001-03-12,6.56,6.56,6.3,6.33,274800
2001-03-13,6.38,6.38,5.96,6.14,302800
2001-03-14,6.15,6.15,6.06,6.08,217000
2001-03-15,6.1,6.14,6.08,6.08,255000
2001-03-16,6.13,6.19,6.04,6.04,153000
2001-03-19,6.06,6.16,5.86,6.08,483200
2001-03-20,6.08,6.21,6.08,6.15,175200
2001-03-21,6.16,6.18,6.0,6.02,166400
2001-03-22,5.94,5.96,5.62,5.94,177200
2001-03-23,5.96,6.1,5.87,5.87,397200
2001-03-26,5.88,6.3,5.88,6.12,715200
2001-03-27,6.08,6.2,6.08,6.16,367800
2001-03-28,6.16,6.19,6.02,6.02,260200
2001-03-29,6.0,6.0,5.95,5.95,206600
2001-03-30,5.95,6.22,5.95,6.22,428600
2001-04-02,6.2,6.2,6.08,6.11,342600
2001-04-03,6.11,6.18,5.95,5.95,198400
2001-04-04,5.92,6.1,5.92,5.95,139600
2001-04-05,6.2,6.32,6.11,6.16,248400
2001-04-06,6.21,6.28,6.13,6.2,133000
2001-04-09,6.15,6.28,6.13,6.22,167800
2001-04-10,6.35,6.44,6.26,6.42,414200
2001-04-11,6.45,6.53,6.4,6.5,1005000
2001-04-12,6.55,6.72,6.48,6.69,251000
2001-04-16,6.62,7.0,6.56,7.0,291800
2001-04-17,6.98,7.18,6.84,7.1,651600
2001-04-18,7.16,7.5,7.13,7.46,1006600
2001-04-19,7.46,7.62,7.46,7.48,1033800
2001-04-20,7.0,7.12,6.8,7.05,576600
2001-04-23,7.05,7.1,6.95,7.1,465600
2001-04-24,7.14,7.28,7.1,7.25,397400
2001-04-25,7.25,7.38,7.2,7.35,428200
2001-04-26,7.65,8.1,7.64,7.81,3189600
2001-04-27,7.8,7.99,7.54,7.75,906800
2001-04-30,7.75,7.75,7.45,7.45,391400
2001-05-01,7.62,7.76,7.43,7.44,1098000
