Date,Open,High,Low,Close,Volume
2001-02-07,144.75,149.1,144.06,144.6,3783933
2001-02-08,146.25,151.98,145.8,146.28,4091200
2001-02-09,144.45,145.44,139.8,141.75,3952233
2001-02-12,141.75,143.43,139.5,142.59,3388100
2001-02-13,143.25,147.3,143.07,144.27,3798133
2001-02-14,141.9,146.7,138.15,145.59,4313733
2001-02-15,148.5,150.9,145.8,149.85,5979733
2001-02-16,145.5,148.2,142.5,145.08,3812067
2001-02-20,144.3,145.8,132.39,134.85,5249000
2001-02-21,131.4,142.5,130.5,133.2,6491267
2001-02-22,133.26,137.25,124.5,134.7,6818500
2001-02-23,129.75,132.36,124.56,129.9,7767567
2001-02-26,130.5,140.04,130.26,138.36,4974133
2001-02-27,137.97,140.85,131.31,134.1,4991600
2001-02-28,134.7,136.5,126.75,132.09,5390367
2001-03-01,127.65,132.6,124.05,132.0,5310367
2001-03-02,125.7,131.04,124.26,126.18,4967167
2001-03-05,128.55,132.0,126.18,131.4,4455100
2001-03-06,135.3,143.1,134.1,139.62,6874067
2001-03-07,140.4,141.45,134.7,135.9,4639767
2001-03-08,133.8,139.62,132.72,133.5,6895433
2001-03-09,132.0,132.33,126.93,128.61,5017067
2001-03-12,124.8,126.0,115.2,117.81,10240933
2001-03-13,118.8,123.6,117.63,122.1,6712767
2001-03-14,117.3,123.15,115.5,120.12,6028600
2001-03-15,124.2,124.2,119.01,121.77,4823033
2001-03-16,119.25,120.6,117.6,118.05,6259633
2001-03-19,118.35,121.53,116.1,119.7,4565567
2001-03-20,121.5,124.8,115.8,116.37,7334100
2001-03-21,117.3,118.5,112.95,113.52,6327167
2001-03-22,114.15,114.45,105.36,110.31,8526000
2001-03-23,113.4,119.85,112.65,118.56,5514233
2001-03-26,120.0,124.5,120.0,122.67,5094233
2001-03-27,122.88,129.9,120.84,129.0,5869000
2001-03-28,126.15,126.75,121.98,122.28,5512700
2001-03-29,122.25,122.7,118.02,122.25,5022567
2001-03-30,122.28,122.37,116.1,120.45,4404033
2001-04-02,117.75,119.22,110.25,111.51,6840900
2001-04-03,110.25,110.25,100.38,101.7,9835667
2001-04-04,102.0,107.85,101.4,105.45,7818400
2001-04-05,111.0,120.0,110.1,119.1,7304433
2001-04-06,117.0,118.98,112.53,117.9,6176133
2001-04-09,120.6,121.5,115.62,118.41,4170700
2001-04-10,120.0,124.59,119.7,120.03,5726900
2001-04-11,125.85,126.0,121.5,123.6,5256200
2001-04-12,122.25,128.1,122.25,126.66,4143300
2001-04-16,127.65,131.22,126.75,129.93,4926967
2001-04-17,129.93,135.03,129.78,131.7,6343800
2001-04-18,138.0,150.0,136.5,147.0,14553900
2001-04-19,146.55,152.97,142.98,149.7,7606867
2001-04-20,147.6,149.67,144.75,146.07,5808900
2001-04-23,146.1,146.25,138.75,142.8,5583733
2001-04-24,143.46,146.25,141.0,141.75,4326033
2001-04-25,141.75,148.5,140.82,147.03,5057500
2001-04-26,149.85,151.47,146.43,148.53,6963767
2001-04-27,150.0,150.3,146.28,149.97,3125300
2001-04-30,150.0,156.45,150.0,151.5,6848167
2001-05-01,150.75,155.88,149.25,155.88,4468733
2001-05-02,156.0,156.3,151.8,154.83,4916033
2001-05-03,150.75,153.0,149.4,151.95,3928867
