Date,Open,High,Low,Close,Volume
2001-02-07,13.2,13.21,13.03,13.19,4016000
2001-02-08,13.19,13.28,13.13,13.26,1875600
2001-02-09,13.42,13.5,13.38,13.48,3782800
2001-02-12,13.39,13.56,13.35,13.48,4806800
2001-02-13,13.5,13.7,13.48,13.68,2869200
2001-02-14,13.67,13.67,13.17,13.17,4944400
2001-02-15,13.19,13.53,13.18,13.46,3632400
2001-02-16,13.45,13.45,13.24,13.32,2790800
2001-02-20,13.38,13.66,13.38,13.42,3097600
2001-02-21,13.42,13.58,13.2,13.22,2354800
2001-02-22,13.22,13.47,13.1,13.44,4234000
2001-02-23,13.5,13.69,13.34,13.58,4094800
2001-02-26,13.71,13.9,13.58,13.81,4234800
2001-02-27,13.8,13.95,13.79,13.93,5537200
2001-02-28,13.93,14.0,13.72,13.74,4461600
2001-03-01,13.74,13.74,13.51,13.57,3513600
2001-03-02,13.55,13.78,13.55,13.76,3035600
2001-03-05,13.78,13.92,13.66,13.88,2234000
2001-03-06,13.82,13.85,13.68,13.75,2429600
2001-03-07,13.72,13.92,13.68,13.7,2436400
2001-03-08,13.71,14.18,13.71,14.15,4248000
2001-03-09,14.09,14.28,13.91,14.21,6578800
2001-03-12,14.16,14.22,14.03,14.04,2820800
2001-03-13,14.0,14.0,13.6,13.75,5036800
2001-03-14,13.55,13.56,13.06,13.27,4300000
2001-03-15,13.21,13.28,12.87,13.22,5174400
2001-03-16,13.06,13.2,12.45,12.57,4550800
2001-03-19,12.58,12.91,12.52,12.9,5341200
2001-03-20,12.92,13.09,12.81,12.96,2346000
2001-03-21,12.96,13.3,12.96,13.16,3531200
2001-03-22,13.25,13.3,12.74,13.09,5298000
2001-03-23,13.06,13.16,12.83,13.16,2395200
2001-03-26,13.18,13.47,13.02,13.46,2039200
2001-03-27,13.5,14.12,13.5,14.05,4608800
2001-03-28,13.95,14.03,13.78,13.99,3427600
2001-03-29,13.98,14.04,13.84,14.04,3982800
2001-03-30,14.0,14.26,13.98,14.06,4066800
2001-04-02,14.12,14.41,14.12,14.31,6849600
2001-04-03,14.34,14.35,14.24,14.34,6937200
2001-04-04,14.22,14.29,13.84,14.12,11462400
2001-04-05,14.12,14.12,13.96,14.06,7592800
2001-04-06,14.06,14.06,13.93,13.99,8170800
2001-04-09,13.98,14.12,13.71,13.75,9614400
2001-04-10,13.76,14.34,13.76,14.25,12852400
2001-04-11,14.38,14.38,14.16,14.23,6418800
2001-04-12,14.18,14.29,14.16,14.24,4310000
2001-04-16,14.19,14.4,14.16,14.28,4578800
2001-04-17,14.28,14.37,14.12,14.34,4004000
2001-04-18,14.31,14.78,14.26,14.75,4689200
2001-04-19,14.72,14.9,14.72,14.88,4638800
2001-04-20,14.88,14.88,14.7,14.71,3884400
2001-04-23,14.56,14.56,13.56,13.75,11704000
2001-04-24,13.72,14.0,13.7,13.97,4954800
2001-04-25,13.97,14.09,13.79,13.94,3696400
2001-04-26,13.9,14.52,13.9,14.36,4948800
2001-04-27,14.31,14.62,14.31,14.62,2794800
2001-04-30,14.62,14.62,14.14,14.22,3521200
2001-05-01,14.05,14.06,13.64,13.74,5523600
