Date,Open,High,Low,Close,Volume
2001-02-06,69.44,70.75,66.56,68.81,3588100
2001-02-07,67.25,69.0,62.5,64.31,5022900
2001-02-08,65.48,66.0,60.62,61.62,4817200
2001-02-09,60.25,61.31,58.62,59.94,6501700
2001-02-12,56.88,59.94,52.81,58.5,7426500
2001-02-13,60.0,64.5,56.69,57.88,5664000
2001-02-14,57.75,63.5,53.5,62.62,9094300
2001-02-15,65.06,67.0,63.12,63.98,6739500
2001-02-16,59.62,61.75,58.75,59.75,5282300
2001-02-20,59.56,59.75,54.5,56.31,5478300
2001-02-21,54.94,56.62,48.0,50.69,9428300
2001-02-22,51.75,52.25,47.75,48.12,12267100
2001-02-23,48.75,52.0,45.88,48.88,7297300
2001-02-26,50.5,56.69,47.12,53.31,11299600
2001-02-27,51.19,51.75,47.12,48.19,7690800
2001-02-28,49.12,51.75,46.75,47.69,6192300
2001-03-01,48.75,54.38,48.12,54.0,10044200
2001-03-02,50.75,52.5,48.0,50.56,11377800
2001-03-05,49.56,49.88,44.62,46.94,8138400
2001-03-06,48.94,49.88,48.0,48.69,4940600
2001-03-07,49.88,50.5,46.25,47.0,6423000
2001-03-08,46.88,47.0,43.19,44.62,5798500
2001-03-09,42.69,43.0,38.75,40.44,9804700
2001-03-12,39.44,40.5,36.75,36.94,11511000
2001-03-13,37.38,37.62,33.75,37.12,9474500
2001-03-14,35.25,38.75,35.0,38.0,9224300
2001-03-15,40.44,40.88,33.25,34.44,7894200
2001-03-16,33.56,35.12,33.12,33.94,5941400
2001-03-19,34.0,35.44,29.88,34.0,14808500
2001-03-20,34.31,36.81,31.75,32.0,8219700
2001-03-21,32.06,34.94,31.88,33.0,7103900
2001-03-22,33.08,35.27,31.0,35.0,7877500
2001-03-23,35.75,35.83,30.06,33.38,12104900
2001-03-26,35.0,36.94,32.88,35.25,9282800
2001-03-27,34.94,38.88,34.38,37.62,7510300
2001-03-28,37.19,37.56,32.75,33.06,6695100
2001-03-29,32.56,34.69,31.12,32.25,5591800
2001-03-30,33.31,38.31,32.25,35.44,9326800
2001-04-02,35.27,37.88,33.88,35.75,9590400
