Date,Open,High,Low,Close,Volume
2001-02-07,10.05,10.4,9.98,10.24,878000
2001-02-08,10.19,10.4,10.16,10.25,663800
2001-02-09,10.25,10.48,10.25,10.48,1566600
2001-02-12,10.38,10.47,10.12,10.46,4936000
2001-02-13,10.4,10.5,10.25,10.46,487000
2001-02-14,10.42,10.56,10.25,10.5,664200
2001-02-15,10.4,10.48,10.34,10.4,449400
2001-02-16,10.41,10.65,10.41,10.64,530400
2001-02-20,10.62,10.72,10.55,10.68,345400
2001-02-21,10.65,10.92,10.65,10.85,545000
2001-02-22,10.84,11.12,10.78,10.96,1021000
2001-02-23,10.92,11.09,10.61,10.74,1105800
2001-02-26,10.78,11.0,10.73,10.88,507800
2001-02-27,10.98,11.0,10.86,10.9,404000
2001-02-28,10.98,11.08,10.88,11.06,603000
2001-03-01,11.0,11.08,10.85,10.91,672600
2001-03-02,10.95,10.96,10.76,10.94,587600
2001-03-05,10.94,10.95,10.76,10.92,256000
2001-03-06,10.8,10.86,10.7,10.78,682800
2001-03-07,10.75,11.0,10.72,10.82,642800
2001-03-08,10.8,11.0,10.74,10.96,432200
2001-03-09,10.9,11.25,10.86,11.23,893000
2001-03-12,11.14,11.21,11.04,11.08,436800
2001-03-13,11.08,11.2,11.03,11.2,771400
2001-03-14,11.0,11.07,10.78,10.8,1266000
2001-03-15,10.92,10.98,10.8,10.85,425800
2001-03-16,10.85,10.99,10.8,10.9,618800
2001-03-19,10.97,10.97,10.68,10.75,512800
2001-03-20,10.7,10.85,10.56,10.6,577200
2001-03-21,10.65,10.78,10.57,10.67,828400
2001-03-22,10.65,10.65,10.25,10.4,1451200
2001-03-23,10.38,10.45,10.28,10.38,966000
2001-03-26,10.38,10.74,10.38,10.65,480800
2001-03-27,10.6,10.78,10.58,10.66,905800
2001-03-28,10.58,10.68,10.43,10.52,817000
2001-03-29,10.55,10.7,10.4,10.66,845800
2001-03-30,10.67,10.9,10.64,10.79,834800
2001-04-02,10.85,10.92,10.68,10.82,717800
2001-04-03,10.7,10.84,10.42,10.72,529000
2001-04-04,10.74,10.86,10.66,10.68,516200
2001-04-05,10.75,10.75,10.45,10.68,495400
2001-04-06,10.56,10.74,10.05,10.49,889800
2001-04-09,10.4,10.86,10.4,10.72,683000
2001-04-10,10.72,11.0,10.72,10.95,462200
2001-04-11,10.85,10.87,10.6,10.73,476200
2001-04-12,10.7,10.7,10.54,10.64,605600
2001-04-16,10.52,10.74,10.52,10.66,349400
2001-04-17,10.74,10.85,10.62,10.82,380200
2001-04-18,10.75,10.85,10.58,10.72,692400
2001-04-19,10.6,10.7,10.5,10.52,560600
2001-04-20,10.45,10.6,10.38,10.5,370000
2001-04-23,10.4,10.62,10.4,10.52,331600
2001-04-24,10.5,10.6,10.46,10.58,410600
2001-04-25,10.58,10.65,10.5,10.58,552600
2001-04-26,10.58,10.77,10.53,10.65,315800
2001-04-27,10.68,10.75,10.56,10.75,393600
2001-04-30,10.7,11.0,10.64,11.0,501800
2001-05-01,10.88,10.98,10.75,10.82,489200
2001-05-02,10.74,10.87,10.64,10.72,568200
2001-05-03,10.64,10.7,10.4,10.57,417600
2001-05-04,10.58,10.92,10.58,10.92,451400
2001-05-07,10.8,10.89,10.8,10.8,253000
2001-05-08,10.8,10.8,10.66,10.74,277600
2001-05-09,10.7,10.88,10.7,10.88,4210600
2001-05-10,10.78,10.98,10.7,10.88,1269600
2001-05-11,10.88,10.96,10.76,10.95,352800
2001-05-14,10.95,11.04,10.95,11.04,492000
2001-05-15,11.02,11.08,10.98,11.08,481000
2001-05-16,11.05,11.15,11.01,11.1,547800
2001-05-17,11.1,11.21,11.08,11.21,480400
2001-05-18,11.21,11.35,11.15,11.34,423200
2001-05-21,11.34,11.5,11.25,11.5,1095200
2001-05-22,11.5,11.6,11.44,11.45,395200
2001-05-23,11.47,11.62,11.42,11.56,496600
2001-05-24,11.56,11.62,11.49,11.53,599800
2001-05-25,11.62,11.62,11.32,11.46,842200
2001-05-29,11.49,11.52,11.4,11.5,475800
2001-05-30,11.5,11.62,11.5,11.57,898400
2001-05-31,11.57,11.69,11.56,11.65,914200
2001-06-01,11.65,11.65,11.52,11.64,544800
2001-06-04,11.62,11.78,11.62,11.78,613400
2001-06-05,11.78,11.85,11.7,11.76,692000
2001-06-06,11.87,11.87,11.58,11.6,680000
2001-06-07,11.55,11.62,11.46,11.55,366800
2001-06-08,11.6,11.71,11.55,11.63,381600
2001-06-11,11.6,11.8,11.6,11.74,696200
2001-06-12,11.7,11.94,11.7,11.88,346400
2001-06-13,11.92,11.94,11.76,11.8,502000
2001-06-14,11.75,11.75,11.56,11.62,487600
2001-06-15,11.56,11.76,11.56,11.58,1037600
2001-06-18,11.65,11.82,11.58,11.68,438600
2001-06-19,11.67,11.74,11.62,11.7,318200
2001-06-20,11.7,11.87,11.6,11.87,557200
2001-06-21,11.87,11.87,11.56,11.64,548200
2001-06-22,11.6,11.87,11.57,11.74,673800
2001-06-25,11.65,11.8,11.64,11.7,460000
2001-06-26,11.7,11.87,11.56,11.75,456800
2001-06-27,11.62,11.94,11.62,11.92,353400
2001-06-28,11.88,12.02,11.88,11.98,522200
2001-06-29,11.88,11.98,11.8,11.88,1515200
2001-07-02,11.88,12.1,11.85,11.96,558400
2001-07-03,11.91,12.22,11.88,12.05,233600
2001-07-05,12.02,12.22,12.0,12.17,538000
2001-07-06,12.15,12.31,12.1,12.16,904600
2001-07-09,12.16,12.28,12.1,12.18,788000
2001-07-10,12.08,12.17,12.05,12.1,1009400
2001-07-11,12.1,12.27,12.0,12.01,1712400
2001-07-12,12.0,12.06,11.75,11.87,723600
2001-07-13,11.85,11.94,11.62,11.7,1051200
2001-07-16,11.7,11.72,11.52,11.52,687600
2001-07-17,11.52,11.52,11.35,11.48,599800
2001-07-18,11.45,11.94,11.32,11.35,328600
2001-07-19,11.32,11.48,11.17,11.24,436800
2001-07-20,11.26,11.26,11.05,11.1,811200
2001-07-23,11.02,11.04,10.7,10.76,612800
2001-07-24,10.77,10.77,10.4,10.56,421600
2001-07-25,10.45,10.78,10.4,10.78,394600
2001-07-26,10.65,10.78,10.62,10.77,907400
2001-07-27,10.77,10.86,10.6,10.82,513800
2001-07-30,10.7,10.98,10.5,10.94,375000
2001-07-31,10.88,11.18,10.8,11.07,545000
2001-08-01,11.0,11.35,11.0,11.27,651400
2001-08-02,11.27,11.56,11.27,11.52,663800
2001-08-03,11.52,11.7,11.32,11.68,491600
2001-08-06,11.65,11.65,11.31,11.46,712200
2001-08-07,11.47,11.7,11.4,11.62,577200
2001-08-08,11.52,11.58,11.38,11.4,491600
2001-08-09,11.4,11.53,11.4,11.52,407800
2001-08-10,11.45,11.58,11.3,11.52,8658400
2001-08-13,11.54,11.57,11.4,11.48,595000
2001-08-14,11.36,11.6,11.36,11.52,320800
2001-08-15,11.42,11.55,11.3,11.48,439800
2001-08-16,11.42,11.58,11.38,11.54,483200
2001-08-17,11.5,11.66,11.45,11.64,316600
2001-08-20,11.68,11.8,11.6,11.74,295400
2001-08-21,11.65,11.82,11.58,11.71,267000
2001-08-22,11.62,11.82,11.52,11.77,328800
2001-08-23,11.75,11.92,11.72,11.82,225600
2001-08-24,11.88,11.9,11.7,11.8,255000
2001-08-27,11.8,11.9,11.8,11.83,499400
2001-08-28,11.75,11.98,11.75,11.9,505600
2001-08-29,11.95,12.0,11.88,11.96,182600
2001-08-30,11.88,12.0,11.88,11.94,498200
2001-08-31,11.94,12.05,11.85,12.05,636000
2001-09-04,12.05,12.18,12.0,12.09,607400
2001-09-05,12.09,12.14,12.02,12.12,479800
2001-09-06,12.11,12.25,12.11,12.18,652800
2001-09-07,12.12,12.23,12.08,12.12,321000
2001-09-10,12.08,12.2,12.06,12.18,734800
2001-09-17,12.18,12.25,12.0,12.02,911800
2001-09-18,12.02,12.02,11.7,11.8,295800
2001-09-19,11.8,11.8,11.42,11.5,378800
2001-09-20,11.5,11.5,11.22,11.3,952800
2001-09-21,11.0,11.09,10.92,11.09,797600
2001-09-24,11.1,11.1,10.8,10.92,536200
2001-09-25,10.92,10.95,10.8,10.88,373400
2001-09-26,10.9,10.95,10.62,10.82,814000
2001-09-27,10.82,11.08,10.72,11.02,857800
2001-09-28,11.02,11.28,11.02,11.25,573000
2001-10-01,11.25,11.51,11.2,11.3,741800
2001-10-02,11.3,11.42,11.2,11.38,746400
2001-10-03,11.4,11.5,11.3,11.4,1011200
2001-10-04,11.52,11.84,11.38,11.76,1059800
2001-10-05,11.76,11.85,11.55,11.8,481600
2001-10-08,11.62,11.62,11.12,11.2,942800
2001-10-09,11.2,11.22,10.98,11.02,637000
2001-10-10,11.05,11.12,10.92,10.97,938800
2001-10-11,10.95,11.12,10.92,11.06,506000
2001-10-12,11.05,11.08,11.0,11.01,493600
2001-10-15,11.0,11.04,10.94,10.95,505200
2001-10-16,10.98,11.05,10.9,11.0,429200
2001-10-17,11.0,11.02,10.9,10.94,649200
2001-10-18,10.98,10.98,10.64,10.65,1112200
2001-10-19,10.65,10.88,10.65,10.82,509400
2001-10-22,10.78,10.84,10.66,10.74,441800
2001-10-23,10.62,10.77,10.58,10.7,504800
2001-10-24,10.6,10.62,10.25,10.46,603000
2001-10-25,10.45,10.85,10.45,10.66,1202400
2001-10-26,10.55,10.85,10.52,10.84,656400
2001-10-29,10.92,10.98,10.82,10.92,920400
2001-10-30,10.98,11.04,10.9,10.96,450800
2001-10-31,11.08,11.15,10.98,11.1,1107800
2001-11-01,11.02,11.16,10.98,11.13,647600
2001-11-02,11.13,11.35,10.9,11.15,533400
2001-11-05,11.25,11.42,11.2,11.35,1267000
2001-11-06,11.35,11.45,11.26,11.44,237400
2001-11-07,11.35,11.52,11.35,11.46,407200
2001-11-08,11.42,11.62,11.38,11.62,416000
2001-11-09,11.52,11.62,11.48,11.5,516400
2001-11-12,11.5,11.57,11.44,11.5,590400
2001-11-13,11.6,11.6,11.48,11.56,730000
2001-11-14,11.4,11.42,11.17,11.21,1041600
2001-11-15,11.21,11.32,11.14,11.2,512000
2001-11-16,11.22,11.36,11.14,11.28,316800
2001-11-19,11.22,11.32,11.11,11.18,384800
2001-11-20,11.2,11.45,11.2,11.4,353400
2001-11-21,11.28,11.28,11.03,11.16,295400
2001-11-23,11.08,11.3,11.08,11.24,149200
2001-11-26,11.35,11.35,11.2,11.24,230000
2001-11-27,11.24,11.33,11.18,11.22,341600
2001-11-28,11.18,11.22,10.99,11.0,1347000
2001-11-29,11.0,11.06,10.9,11.0,473600
2001-11-30,11.1,11.14,10.88,10.92,751200
2001-12-03,10.98,11.02,10.89,10.96,275800
2001-12-04,10.96,11.15,10.94,11.08,703600
2001-12-05,11.08,11.1,10.88,10.95,693600
2001-12-06,10.98,11.06,10.9,11.05,523800
2001-12-07,10.95,11.15,10.92,11.0,508400
2001-12-10,10.95,10.97,10.88,10.9,405400
2001-12-11,10.98,11.0,10.82,10.82,352200
2001-12-12,10.8,10.98,10.71,10.9,508200
2001-12-13,10.8,10.98,10.76,10.86,865200
2001-12-14,10.86,10.98,10.81,10.92,568800
2001-12-17,10.81,10.91,10.75,10.78,398000
2001-12-18,10.8,10.94,10.8,10.84,826400
2001-12-19,10.8,11.07,10.76,11.0,1116800
2001-12-20,11.0,11.12,10.9,11.0,392400
2001-12-21,11.05,11.34,11.01,11.26,968000
2001-12-24,11.26,11.42,11.26,11.38,234400
2001-12-26,11.38,11.5,11.31,11.4,483400
2001-12-27,11.42,11.42,11.28,11.35,370400
2001-12-28,11.38,11.39,11.25,11.3,437400
2001-12-31,11.24,11.34,11.18,11.28,476200
2002-01-02,11.32,11.48,11.18,11.44,567800
2002-01-03,11.4,11.49,11.25,11.44,639000
2002-01-04,11.32,11.46,11.26,11.42,250800
2002-01-07,11.5,11.6,11.45,11.5,582600
2002-01-08,11.5,11.55,11.38,11.4,482600
2002-01-09,11.41,11.46,11.32,11.37,733800
2002-01-10,11.37,11.45,11.28,11.42,563800
2002-01-11,11.42,11.49,11.26,11.3,371000
2002-01-14,11.26,11.45,11.26,11.32,566400
2002-01-15,11.32,11.42,11.3,11.35,482200
2002-01-16,11.3,11.48,11.26,11.36,657200
2002-01-17,11.38,11.4,11.26,11.38,558400
2002-01-18,11.36,11.44,11.25,11.29,288400
2002-01-22,11.25,11.29,11.12,11.14,261600
2002-01-23,11.15,11.27,11.1,11.22,247200
2002-01-24,11.22,11.32,11.16,11.3,287800
2002-01-25,11.32,11.32,11.15,11.24,156800
2002-01-28,11.28,11.35,11.2,11.32,209600
2002-01-29,11.26,11.31,11.04,11.11,341200
2002-01-30,11.08,11.24,11.05,11.18,308000
2002-01-31,11.2,11.35,11.1,11.3,528800
2002-02-01,11.28,11.36,11.21,11.3,236200
2002-02-04,11.25,11.32,11.2,11.24,333400
2002-02-05,11.25,11.32,11.2,11.26,488200
2002-02-06,11.35,11.43,11.24,11.34,688800
2002-02-07,11.32,11.5,11.3,11.42,506800
2002-02-08,11.42,11.74,11.42,11.72,924800
2002-02-11,11.72,11.75,11.6,11.74,3361400
2002-02-12,11.65,11.84,11.58,11.78,560200
2002-02-13,11.7,11.85,11.64,11.81,303200
2002-02-14,11.84,11.92,11.82,11.89,282400
2002-02-15,11.85,11.95,11.81,11.88,441200
2002-02-19,11.89,11.89,11.76,11.81,555600
2002-02-20,11.81,11.81,11.7,11.8,512800
2002-02-21,11.72,11.89,11.69,11.7,345400
2002-02-22,11.7,11.97,11.68,11.95,303400
2002-02-25,11.95,12.04,11.92,12.02,625200
2002-02-26,11.95,12.07,11.9,12.02,509600
2002-02-27,12.02,12.08,12.01,12.06,694000
2002-02-28,12.08,12.11,12.0,12.08,806600
2002-03-01,12.12,12.22,12.05,12.22,735800
2002-03-04,12.2,12.32,12.18,12.32,403000
2002-03-05,12.25,12.39,12.15,12.3,895200
2002-03-06,12.38,12.5,12.38,12.45,842800
2002-03-07,12.48,12.5,12.35,12.4,478600
2002-03-08,12.42,12.44,12.28,12.34,455400
2002-03-11,12.31,12.42,12.23,12.38,267000
2002-03-12,12.32,12.4,12.22,12.4,616200
2002-03-13,12.34,12.4,12.28,12.34,337200
2002-03-14,12.28,12.33,12.15,12.28,286400
2002-03-15,12.23,12.4,12.22,12.35,432600
2002-03-18,12.32,12.32,12.18,12.32,303800
2002-03-19,12.32,12.48,12.32,12.44,232600
2002-03-20,12.44,12.44,12.28,12.36,694800
2002-03-21,12.42,12.64,12.32,12.64,647000
2002-03-22,12.52,12.74,12.5,12.52,416800
2002-03-25,12.2,12.6,12.2,12.46,315200
2002-03-26,12.49,12.62,12.4,12.62,500000
2002-03-27,12.58,12.68,12.46,12.64,466000
2002-03-28,12.55,12.74,12.44,12.44,491600
2002-04-01,12.52,12.74,12.45,12.5,499000
2002-04-02,12.38,12.59,12.38,12.42,465000
2002-04-03,12.47,12.47,12.29,12.47,570600
2002-04-04,12.42,12.65,12.38,12.62,636400
2002-04-05,12.5,12.64,12.48,12.52,440200
2002-04-08,12.5,12.58,12.45,12.57,322800
2002-04-09,12.56,12.7,12.5,12.5,776200
2002-04-10,12.5,12.6,12.45,12.54,401600
