Date,Open,High,Low,Close,Volume
2001-02-06,7.21,7.36,7.15,7.2,1288800
2001-02-07,7.18,7.45,7.18,7.3,987200
2001-02-08,7.29,7.39,7.2,7.2,3381600
2001-02-09,7.2,7.2,6.91,6.95,2180800
2001-02-12,6.94,7.15,6.81,7.08,2460000
2001-02-13,7.07,7.25,6.99,7.06,1264800
2001-02-14,6.02,6.36,5.92,5.95,25670400
2001-02-15,5.96,6.19,5.85,6.11,5616800
2001-02-16,6.12,6.17,5.94,6.04,3417600
2001-02-20,6.04,6.12,5.97,6.0,5028800
2001-02-21,5.96,6.09,5.94,5.99,5244800
2001-02-22,5.94,6.0,5.81,5.95,6096000
2001-02-23,5.93,5.93,5.75,5.89,5025600
2001-02-26,5.88,5.95,5.78,5.86,2071200
2001-02-27,5.78,5.85,5.75,5.77,3462400
2001-02-28,5.69,5.7,5.25,5.39,14612800
2001-03-01,5.4,5.48,5.34,5.38,8038400
2001-03-02,5.34,5.53,5.28,5.43,8020800
2001-03-05,5.39,5.45,5.26,5.38,2654400
2001-03-06,5.5,5.53,5.26,5.47,5895200
2001-03-07,5.48,5.49,5.25,5.42,4636800
2001-03-08,5.38,5.59,5.36,5.52,2532000
2001-03-09,5.5,5.55,5.36,5.42,2220800
2001-03-12,5.47,5.51,5.38,5.42,3746400
2001-03-13,5.44,5.62,5.42,5.58,3155200
2001-03-14,5.46,5.53,5.41,5.5,2815200
2001-03-15,5.49,5.61,5.48,5.55,2337600
2001-03-16,5.61,5.77,5.57,5.62,7024000
2001-03-19,5.64,5.77,5.49,5.64,1412000
2001-03-20,5.63,5.95,5.63,5.82,3803200
2001-03-21,5.8,5.84,5.66,5.75,1928000
2001-03-22,5.66,5.7,5.36,5.6,6872800
2001-03-23,5.69,5.77,5.53,5.6,3618400
2001-03-26,5.67,5.79,5.62,5.72,2946400
2001-03-27,5.73,5.73,5.57,5.68,2656000
2001-03-28,5.66,5.66,5.38,5.39,5738400
2001-03-29,5.36,5.36,5.0,5.23,5969600
2001-03-30,5.23,5.38,5.2,5.27,5930400
2001-04-02,5.3,5.38,5.27,5.29,3935200
2001-04-03,5.3,5.36,4.94,5.08,4224000
2001-04-04,5.03,5.18,4.87,4.92,1736800
2001-04-05,4.99,5.31,4.99,5.12,4758400
2001-04-06,5.09,5.26,5.06,5.07,10081600
2001-04-09,5.09,5.19,5.01,5.14,1937600
2001-04-10,5.14,5.38,5.14,5.33,3830400
2001-04-11,5.38,5.38,5.0,5.21,2745600
2001-04-12,5.07,5.18,5.01,5.14,3613600
2001-04-16,5.14,5.19,5.11,5.15,2148000
2001-04-17,5.12,5.29,5.09,5.29,2615200
2001-04-18,5.32,5.62,5.3,5.54,4998400
2001-04-19,5.48,5.62,5.18,5.41,9815200
2001-04-20,5.44,5.45,5.36,5.39,2707200
2001-04-23,5.38,5.5,5.35,5.36,1678400
2001-04-24,5.35,5.39,5.29,5.33,4251200
2001-04-25,5.34,5.8,5.3,5.64,3962400
2001-04-26,5.63,5.88,5.63,5.79,1806400
2001-04-27,5.79,5.88,5.79,5.87,821600
2001-04-30,5.86,6.17,5.85,6.08,2696000
2001-05-01,6.08,6.08,5.91,6.0,1924800
2001-05-02,5.98,6.38,5.93,6.2,2787200
2001-05-03,6.16,6.39,6.12,6.17,2523200
2001-05-04,6.15,6.15,6.05,6.13,2285600
2001-05-07,6.15,6.16,5.78,5.89,2558400
2001-05-08,6.51,6.79,6.31,6.36,11591200
2001-05-09,6.19,6.38,6.19,6.29,3260800
2001-05-10,6.36,6.42,6.25,6.3,3104800
2001-05-11,6.35,6.4,6.26,6.37,2214400
2001-05-14,6.37,6.49,6.31,6.49,3894400
2001-05-15,6.42,6.65,6.42,6.64,3223200
2001-05-16,6.72,7.24,6.69,7.02,8285600
2001-05-17,7.04,7.22,6.99,7.08,7586400
2001-05-18,7.06,7.28,7.06,7.26,3894400
2001-05-21,7.25,7.3,7.19,7.25,5319200
2001-05-22,7.25,7.35,7.12,7.15,5688800
2001-05-23,7.14,7.14,6.94,6.97,3845600
2001-05-24,6.98,7.06,6.97,7.06,2660000
2001-05-25,7.0,7.1,6.99,7.04,1524800
2001-05-29,7.06,7.06,6.97,7.01,3195200
2001-05-30,7.0,7.12,6.95,7.08,2622400
2001-05-31,7.12,7.19,7.08,7.16,4322400
2001-06-01,7.16,7.17,7.09,7.14,3741600
2001-06-04,7.14,7.15,6.91,6.96,3244800
2001-06-05,6.94,7.09,6.9,6.92,3483600
2001-06-06,6.99,7.01,6.83,6.86,1308400
2001-06-07,6.88,7.12,6.85,7.05,1110800
2001-06-08,7.05,7.05,6.83,6.9,778800
